Date,Open,High,Low,Close,Volume
2019-12-11,4340,4435,4290,4360,23730
2019-12-12,4405,4405,4345,4370,14755
2019-12-13,4370,4380,4350,4375,28414
2019-12-16,4410,4420,4350,4350,11398
2019-12-17,4420,4420,4325,4380,15727
2019-12-18,4380,4415,4365,4395,21857
2019-12-19,4395,4410,4330,4395,22088
2019-12-20,4395,4405,4355,4385,3352
2019-12-23,4385,4390,4330,4340,19404
2019-12-24,4340,4380,4310,4345,40513
2019-12-26,4380,4405,4330,4400,51395
2019-12-27,4360,4360,4290,4320,24502
2019-12-30,4315,4320,4210,4255,10733
2020-01-02,4255,4255,4200,4210,8781
2020-01-03,4225,4270,4210,4235,9511
2020-01-06,4235,4235,4060,4060,22337
2020-01-07,4070,4160,4070,4150,23797
2020-01-08,4150,4150,4055,4115,21332
2020-01-09,4140,4145,4110,4120,7233
2020-01-10,4120,4195,4120,4190,8045
2020-01-13,4150,4205,4150,4175,10062
2020-01-14,4165,4230,4150,4160,14576
2020-01-15,4195,4195,4160,4180,3346
2020-01-16,4220,4225,4180,4210,22152
2020-01-17,4170,4280,4170,4260,8153
2020-01-20,4260,4400,4260,4340,47334
2020-01-21,4340,4390,4280,4345,18205
2020-01-22,4350,4380,4310,4345,8186
2020-01-23,4365,4365,4295,4345,7402
2020-01-28,4300,4300,4155,4280,16585
2020-01-29,4235,4280,4230,4275,7992
2020-01-30,4290,4290,4150,4180,10840
2020-01-31,4190,4340,4180,4240,5831
2020-02-03,4180,4240,4090,4205,5222
2020-02-04,4240,4240,4205,4230,8137
2020-02-05,4280,4335,4230,4255,10637
2020-02-06,4305,4305,4205,4265,12123
2020-02-07,4385,4780,4325,4420,361334
2020-02-10,4490,4495,4420,4455,48658
2020-02-11,4470,4485,4335,4380,50920
2020-02-12,4380,4380,4290,4370,34408
2020-02-13,4370,4390,4290,4360,36826
2020-02-14,4310,4370,4275,4275,32442
2020-02-17,4315,4465,4300,4455,64809
2020-02-18,4455,4455,4365,4380,40708
2020-02-19,4470,4470,4300,4435,36462
2020-02-20,4440,4440,4345,4405,22872
2020-02-21,4350,4390,4310,4355,18953
2020-02-24,4350,4600,4280,4450,175836
2020-02-25,4500,4850,4190,4520,173157
2020-02-26,4475,4570,4440,4525,72399
2020-02-27,4525,5100,4520,5000,744746
2020-02-28,4745,4870,4340,4580,345281
2020-03-02,4480,4640,4410,4490,115180
2020-03-03,4490,4680,4490,4680,150205
2020-03-04,4680,4915,4620,4720,208970
2020-03-05,4710,4790,4570,4645,66320
2020-03-06,4615,4615,4420,4435,96946
2020-03-09,4420,4420,4020,4180,104008
2020-03-10,4060,4180,4040,4120,71007
2020-03-11,4120,4820,4110,4240,643724
2020-03-12,4260,4330,3835,3945,148069
2020-03-13,3680,3800,3310,3700,148072
2020-03-16,3660,3985,3580,3695,70307
2020-03-17,3300,3690,3300,3580,54404
2020-03-18,3585,3770,3525,3525,46105
2020-03-19,3500,3550,3000,3100,126313
2020-03-20,3120,3400,3120,3330,83313
2020-03-23,3030,3250,3030,3240,35922
2020-03-24,3445,3445,3245,3370,12758
2020-03-25,3495,3600,3450,3530,24422
2020-03-26,3530,3690,3500,3560,41499
2020-03-27,3700,3745,3500,3620,37366
2020-03-30,3620,3725,3400,3725,27805
2020-03-31,3725,4005,3725,3960,73184
2020-04-01,4100,4100,3770,3860,39919
2020-04-02,3855,3995,3705,3890,30701
2020-04-03,4000,4000,3805,3950,29836
2020-04-06,3970,4100,3915,4040,49479
2020-04-07,4060,4090,3980,4075,43105
2020-04-08,4075,4130,3950,3950,64444
2020-04-09,3970,4080,3970,4020,39695
2020-04-10,4030,4060,3820,4055,49092
2020-04-13,4065,4100,3960,4005,21615
2020-04-14,4005,4090,3945,4090,40343
2020-04-16,4015,4240,4015,4195,72224
2020-04-17,4200,4350,4195,4210,54696
2020-04-20,4210,4345,4135,4260,52495
2020-04-21,4300,4365,4055,4240,81447
2020-04-22,4400,4540,4260,4475,184425
2020-04-23,4540,4765,4470,4670,217808
2020-04-24,4670,4790,4510,4545,111146
2020-04-27,4545,4740,4545,4700,59066
2020-04-28,4700,4765,4605,4725,58333
2020-04-29,4725,4780,4700,4770,44246
2020-05-04,4770,5040,4670,4950,118951
2020-05-06,5050,5050,4780,4880,97823
2020-05-07,4855,4855,4730,4790,59798
2020-05-08,4790,4855,4650,4755,47780
2020-05-11,4710,4775,4700,4740,33675
2020-05-12,4740,4760,4550,4755,30456
2020-05-13,4690,4780,4650,4780,14648
2020-05-14,4795,4845,4620,4740,25291
2020-05-15,4740,4765,4650,4730,28666
2020-05-18,4745,4840,4700,4735,31513
2020-05-19,4800,4855,4645,4695,40062
2020-05-20,4655,4750,4655,4680,34673
2020-05-21,4740,4760,4685,4720,49157
2020-05-22,4750,4750,4645,4660,38997
2020-05-25,4745,4850,4635,4845,31659
2020-05-26,4895,4915,4615,4840,21641
2020-05-27,4855,4855,4560,4675,52791
2020-05-28,4765,4765,4505,4560,37924
2020-05-29,4520,4695,4520,4695,10370
2020-06-01,4695,4810,4670,4765,20320
2020-06-02,4760,4795,4720,4760,10646
2020-06-03,4770,4810,4600,4600,49845
2020-06-04,4600,4660,4560,4615,28721
2020-06-05,4615,4630,4530,4605,14458
2020-06-08,4630,4670,4560,4610,21862
2020-06-09,4610,4635,4560,4610,21047
2020-06-10,4600,4645,4570,4600,10705
2020-06-11,4600,4600,4550,4550,19303
2020-06-12,4380,4540,4380,4530,31000
2020-06-15,4530,4550,4200,4200,23829
2020-06-16,4260,4570,4260,4465,14944
2020-06-17,4465,4520,4385,4490,23077
2020-06-18,4440,4520,4435,4500,7788
2020-06-19,4550,4575,4460,4520,12607
2020-06-22,4520,4710,4490,4570,34883
2020-06-23,4670,4670,4570,4590,17819
2020-06-24,4595,4750,4590,4660,46884
2020-06-25,4660,4760,4610,4670,31057
2020-06-26,4720,4730,4650,4720,17857
2020-06-29,4715,4735,4615,4660,16470
2020-06-30,4665,4715,4605,4695,12911
2020-07-01,4730,4815,4575,4755,36400
2020-07-02,4760,4815,4745,4795,56812
2020-07-03,4795,4835,4750,4760,30615
2020-07-06,4760,4820,4670,4745,13631
2020-07-07,4795,4800,4700,4720,19444
2020-07-08,4750,4750,4685,4700,30688
2020-07-09,4735,4770,4680,4705,10884
2020-07-10,4735,4745,4665,4680,23142
2020-07-13,4730,4810,4680,4810,37424
2020-07-14,4815,4825,4730,4775,39187
2020-07-15,4825,4825,4770,4795,17311
2020-07-16,4860,4860,4740,4770,19380
2020-07-17,4770,4785,4710,4760,20853
2020-07-20,4800,5030,4720,4905,66361
2020-07-21,4905,4995,4880,4905,22763
2020-07-22,4905,4965,4870,4905,16280
2020-07-23,4905,4980,4880,4960,39976
2020-07-24,4995,4995,4850,4850,18175
