Date,Open,High,Low,Close,Volume
2019-12-11,1165,1180,1155,1170,140297
2019-12-12,1190,1200,1170,1195,595963
2019-12-13,1195,1195,1175,1175,205911
2019-12-16,1175,1180,1160,1170,136752
2019-12-17,1175,1180,1165,1175,91327
2019-12-18,1180,1190,1145,1165,229501
2019-12-19,1165,1170,1150,1165,117732
2019-12-20,1160,1170,1150,1165,170821
2019-12-23,1155,1170,1145,1145,93851
2019-12-24,1140,1145,1110,1120,272786
2019-12-26,1125,1130,1105,1125,163200
2019-12-27,1125,1140,1125,1140,74049
2019-12-30,1145,1150,1130,1145,149653
2020-01-02,1150,1150,1135,1145,111109
2020-01-03,1145,1160,1125,1150,143120
2020-01-06,1135,1140,1105,1115,155334
2020-01-07,1110,1130,1110,1130,123337
2020-01-08,1120,1125,1055,1080,309641
2020-01-09,1100,1120,1095,1120,112473
2020-01-10,1110,1155,1110,1140,153812
2020-01-13,1130,1195,1130,1175,473932
2020-01-14,1180,1180,1150,1165,152776
2020-01-15,1155,1175,1155,1160,136053
2020-01-16,1160,1170,1150,1165,182284
2020-01-17,1170,1215,1165,1190,485199
2020-01-20,1195,1200,1165,1170,142523
2020-01-21,1160,1170,1130,1160,205017
2020-01-22,1160,1165,1145,1155,109540
2020-01-23,1155,1155,1135,1155,148303
2020-01-28,1130,1130,1095,1110,294829
2020-01-29,1120,1135,1105,1125,135079
2020-01-30,1125,1135,1095,1105,131766
2020-01-31,1105,1110,1075,1075,202113
2020-02-03,1060,1080,1040,1060,175859
2020-02-04,1055,1085,1055,1080,105149
2020-02-05,1085,1100,1085,1090,77269
2020-02-06,1100,1105,1085,1095,140435
2020-02-07,1090,1110,1080,1105,74001
2020-02-10,1110,1120,1085,1090,79162
2020-02-11,1110,1130,1095,1120,184234
2020-02-12,1130,1140,1115,1125,92525
2020-02-13,1140,1140,1100,1130,150044
2020-02-14,1125,1125,1100,1110,177500
2020-02-17,1105,1110,1090,1095,68907
2020-02-18,1100,1100,1080,1085,90152
2020-02-19,1085,1100,1055,1070,213689
2020-02-20,1080,1080,1060,1070,98323
2020-02-21,1060,1070,1045,1050,125575
2020-02-24,1030,1035,999,1005,378372
2020-02-25,1000,1030,999,1025,135104
2020-02-26,1010,1020,1000,1010,209754
2020-02-27,1010,1015,984,991,293274
2020-02-28,980,990,937,938,397136
2020-03-02,923,953,922,951,306279
2020-03-03,959,1020,959,996,282190
2020-03-04,986,1020,986,1010,69374
2020-03-05,1025,1035,1015,1030,63021
2020-03-06,1010,1020,995,1000,145663
2020-03-09,996,996,952,961,254839
2020-03-10,935,961,911,944,269062
2020-03-11,955,955,899,914,293401
2020-03-12,900,913,820,850,319000
2020-03-13,807,816,718,753,662778
2020-03-16,771,810,735,749,454446
2020-03-17,704,758,662,752,326893
2020-03-18,753,774,736,750,193097
2020-03-19,753,817,601,625,435194
2020-03-20,625,681,616,659,387271
2020-03-23,603,641,603,614,210061
2020-03-24,621,669,620,660,244509
2020-03-25,690,705,681,703,295641
2020-03-26,704,747,703,733,296851
2020-03-27,742,762,720,738,230586
2020-03-30,720,759,700,758,159504
2020-03-31,762,799,759,796,421143
2020-04-01,799,810,762,789,267412
2020-04-02,789,789,769,789,159835
2020-04-03,797,797,779,785,172161
2020-04-06,785,809,774,807,340078
2020-04-07,824,844,808,838,441520
2020-04-08,840,865,812,848,383240
2020-04-09,965,1100,940,1100,11293999
2020-04-10,1140,1240,1000,1020,14835884
2020-04-13,1010,1060,969,1055,2180762
2020-04-14,1040,1055,999,1000,1686179
2020-04-16,976,990,957,973,1462163
2020-04-17,971,994,969,981,853815
2020-04-20,988,1020,980,993,832309
2020-04-21,985,1010,915,969,1015690
2020-04-22,939,1060,939,1010,1262241
2020-04-23,1010,1025,995,1010,439945
2020-04-24,1005,1005,970,983,317980
2020-04-27,990,997,979,987,260815
2020-04-28,994,995,973,990,376665
2020-04-29,1140,1240,1020,1030,15071666
2020-05-04,1020,1100,1000,1090,1942863
2020-05-06,1080,1100,1065,1065,837384
2020-05-07,1060,1130,1060,1110,1079840
2020-05-08,1200,1200,1085,1115,2796661
2020-05-11,1115,1140,1085,1140,1171878
2020-05-12,1185,1190,1125,1155,2488094
2020-05-13,1130,1170,1125,1140,755839
2020-05-14,1140,1145,1120,1135,497845
2020-05-15,1135,1135,1105,1110,338968
2020-05-18,1130,1130,1100,1110,242683
2020-05-19,1135,1135,1110,1130,333237
2020-05-20,1120,1140,1120,1140,241002
2020-05-21,1150,1150,1125,1150,377273
2020-05-22,1165,1190,1125,1160,981196
2020-05-25,1155,1175,1150,1160,422910
2020-05-26,1155,1300,1145,1195,9357309
2020-05-27,1200,1240,1190,1240,1743270
2020-05-28,1235,1235,1160,1195,947697
2020-05-29,1185,1205,1165,1200,486704
2020-06-01,1195,1225,1185,1215,530389
2020-06-02,1215,1240,1200,1205,1267351
2020-06-03,1215,1260,1200,1240,1753160
2020-06-04,1250,1255,1215,1235,870707
2020-06-05,1235,1275,1225,1265,1739351
