Date,Open,High,Low,Close,Volume
2019-12-11,38650,38800,38150,38500,123601
2019-12-12,38450,39250,38300,38700,262504
2019-12-13,38500,38700,37950,38200,206591
2019-12-16,38350,38400,37600,38250,229554
2019-12-17,38000,39800,38000,39250,322394
2019-12-18,39250,41050,39250,40800,358522
2019-12-19,40800,41300,40550,40800,199508
2019-12-20,40800,41250,40250,40450,140428
2019-12-23,40600,40800,40250,40700,98345
2019-12-24,40900,41000,40500,40750,116488
2019-12-26,40650,40950,39750,40250,251524
2019-12-27,38900,39300,38750,39250,197844
2019-12-30,39550,39550,38800,39150,112438
2020-01-02,39100,39100,38100,38550,159043
2020-01-03,38550,38950,38350,38600,145877
2020-01-06,38500,38800,37600,37900,144486
2020-01-07,38100,38450,37750,38100,104094
2020-01-08,37900,37950,36600,37400,167652
2020-01-09,37600,37900,37200,37600,133776
2020-01-10,37250,37550,36950,37500,89521
2020-01-13,37150,37450,36800,37350,121718
2020-01-14,37600,38600,37600,38600,223383
2020-01-15,38500,39200,38200,39200,153678
2020-01-16,39200,39500,38600,39250,113104
2020-01-17,39300,39400,38550,38700,123402
2020-01-20,38700,38750,38000,38500,81032
2020-01-21,38550,38850,38500,38850,84655
2020-01-22,39100,39750,38500,39650,175432
2020-01-23,39500,40850,39500,40700,293790
2020-01-28,39950,40300,39200,39300,177534
2020-01-29,39200,40150,38700,39550,136778
2020-01-30,39150,39550,37600,37700,227864
2020-01-31,37450,38150,37400,37550,114292
2020-02-03,37000,37850,36400,37000,195647
2020-02-04,37000,37250,36300,36600,165263
2020-02-05,36600,36900,36200,36700,138784
2020-02-06,36850,37600,36850,37400,96816
2020-02-07,37200,38450,37150,37700,133613
2020-02-10,37550,37600,37000,37250,93126
2020-02-11,37300,37950,37200,37450,113994
2020-02-12,37100,37850,36600,36800,169688
2020-02-13,36600,36800,36300,36500,204561
2020-02-14,36400,36500,35650,36150,200288
2020-02-17,36050,36400,35650,36350,242293
