Date,Open,High,Low,Close,Volume
2020-03-12,21000,21000,19850,20135,21087
2020-03-13,19880,20410,18950,19950,29155
2020-03-16,20000,20790,19410,19525,11705
2020-03-17,17965,19945,17965,19535,8378
2020-03-18,19535,19785,18525,19195,5518
2020-03-19,19195,19450,18375,18935,14890
2020-03-20,18465,19465,18465,19370,13656
2020-03-23,19350,19590,18205,19210,4263
2020-03-24,19210,19940,19195,19940,9119
2020-03-25,20080,20295,19735,20105,4452
2020-03-26,19815,20500,19815,20275,3106
2020-03-27,20500,20710,19810,20000,11422
2020-03-30,19205,20205,19015,20025,12467
2020-03-31,20025,20485,19835,19990,3283
2020-04-01,19990,20320,19710,19885,14514
2020-04-02,19700,20285,19700,20125,5173
2020-04-03,20500,20500,20010,20110,2918
2020-04-06,19880,20600,19880,20480,1269
2020-04-07,20580,20910,20390,20665,1558
2020-04-08,20665,20665,20445,20450,2057
2020-04-09,20910,20910,20400,20590,1710
2020-04-10,20590,20905,20330,20545,354
2020-04-13,20535,20540,20190,20210,397
2020-04-14,20890,20890,20270,20805,4836
2020-04-16,20590,20800,20590,20735,411
2020-04-17,20510,20870,20510,20660,6641
2020-04-20,20825,20825,20540,20700,2460
2020-04-21,20695,20695,20375,20440,6993
2020-04-22,20150,20580,20050,20580,3953
2020-04-23,20585,20690,20535,20650,3903
2020-04-24,20695,20700,20400,20680,768
2020-04-27,20680,20995,20345,20955,2244
2020-04-28,21040,21090,20720,21090,3128
2020-04-29,21115,21135,20755,20975,8161
2020-05-04,20485,21000,20230,20370,12887
2020-05-06,20375,20700,20375,20700,6093
2020-05-07,20705,20705,20555,20585,1857
2020-05-08,20585,20895,20585,20755,827
2020-05-11,20950,21170,20800,21000,3713
2020-05-12,21005,21030,20690,20835,1699
2020-05-13,20835,21190,20640,20960,539
2020-05-14,21250,21250,20400,20510,2826
2020-05-15,20535,20750,20420,20575,1594
2020-05-18,20575,20835,20405,20815,1453
2020-05-19,20815,21145,20815,21115,1433
2020-05-20,21120,21195,20975,21120,7177
2020-05-21,21120,21300,20940,21010,2722
2020-05-22,21000,21000,20105,20270,31112
2020-05-25,20500,20500,20015,20325,7281
2020-05-26,20330,20700,20235,20675,9826
2020-05-27,20900,20900,20420,20450,5614
2020-05-28,20400,20725,20400,20580,5535
2020-05-29,20695,20695,20010,20400,5106
2020-06-01,20455,21040,20455,20950,5443
2020-06-02,20660,21045,20660,20935,10896
2020-06-03,20935,21255,20905,21195,7265
2020-06-04,21320,21440,21035,21155,7195
2020-06-05,20795,21430,20795,21140,5760
2020-06-08,21440,21440,20935,21010,5921
2020-06-09,20835,21300,20835,21185,10170
2020-06-10,21545,21545,20615,21080,10075
2020-06-11,20705,21360,20705,20870,2516
2020-06-12,19465,20690,19455,20590,7467
2020-06-15,20590,20860,20310,20395,4946
2020-06-16,20395,20885,20395,20805,2665
2020-06-17,20450,20950,20450,20950,3437
2020-06-18,20955,21050,20795,20920,8734
2020-06-19,20920,21150,20700,21150,599
2020-06-22,21155,21155,20550,20900,1149
2020-06-23,20930,21650,20760,21000,5159
2020-06-24,21155,21500,20930,20940,4512
2020-06-25,20940,21040,20520,20860,2344
2020-06-26,20860,20860,20520,20835,268
2020-06-29,20810,20920,20250,20505,7015
2020-06-30,20605,20675,20460,20585,1987
2020-07-01,20590,20680,20465,20680,472
2020-07-02,20680,21020,20305,21020,24655
2020-07-03,21040,21655,21040,21655,6723
2020-07-06,21655,22680,21655,22625,50704
2020-07-07,22825,23095,22490,22495,29457
2020-07-08,22500,22880,22500,22720,11186
2020-07-09,22800,23000,22700,22765,22154
2020-07-10,22805,22810,22450,22480,11799
2020-07-13,22645,22800,22400,22640,7286
2020-07-14,22640,22700,22145,22300,5334
2020-07-15,22505,23000,22010,22215,3594
2020-07-16,22255,22550,21820,21860,7298
2020-07-17,21865,22095,21860,21950,4054
2020-07-20,21955,22285,21700,22090,15031
2020-07-21,22300,22400,22095,22150,5347
2020-07-22,22305,22350,21900,22220,9686
