Date,Open,High,Low,Close,Volume
2020-03-12,111245,111335,111185,111310,4538
2020-03-13,111180,111275,110770,111065,32100
2020-03-16,111225,111345,111075,111105,3577
2020-03-17,111385,111430,111185,111365,13250
2020-03-18,111275,111365,111165,111250,15490
2020-03-19,111185,111185,110090,110520,8468
2020-03-20,110870,111090,110645,111090,15889
2020-03-23,110775,110830,110590,110690,3343
2020-03-24,110720,110965,110720,110790,26902
2020-03-25,110765,110975,110765,110780,35234
2020-03-26,110885,111215,110885,111140,1909
2020-03-27,111100,111375,111100,111230,13181
2020-03-30,111210,111215,111025,111125,6052
2020-03-31,110920,111160,110890,111070,1409
2020-04-01,111225,111245,111100,111175,75
2020-04-02,111170,111240,111060,111220,467
2020-04-03,111230,111270,111135,111135,809
2020-04-06,111130,111265,111085,111265,37755
2020-04-07,111220,111315,111220,111250,46
2020-04-08,111310,111340,111240,111305,1136
2020-04-09,111400,111570,111320,111510,1371
2020-04-10,111475,111595,111475,111565,167
2020-04-13,111590,111590,111470,111520,831
2020-04-14,111500,111515,111430,111515,1027
2020-04-16,111520,111570,111490,111515,274
2020-04-17,111490,111535,111465,111500,97
2020-04-20,111460,111565,111460,111545,130
2020-04-21,111470,111540,111290,111480,3595
2020-04-22,111480,111480,111340,111400,5934
2020-04-23,111400,111480,111385,111470,201
2020-04-24,111420,111450,111355,111435,98
2020-04-27,111425,111475,111390,111470,8918
2020-04-28,111410,111470,111385,111470,1723
2020-04-29,111470,111590,111445,111575,34372
2020-05-04,111520,111685,111520,111605,1419
2020-05-06,111635,111700,111635,111700,1654
2020-05-07,111650,111755,111650,111755,299
2020-05-08,111795,111820,111760,111805,1661
2020-05-11,111810,111855,111765,111825,314
2020-05-12,111815,111925,111815,111910,317
2020-05-13,111965,112090,111965,112050,353
2020-05-14,112030,112035,111965,112015,105
2020-05-15,111945,112030,111945,112010,486
2020-05-18,112030,112030,111935,112010,142
2020-05-19,111930,112035,111900,111985,440
2020-05-20,111985,112085,111985,112020,10636
2020-05-21,112020,112105,111995,112090,558
2020-05-22,112070,112180,111980,112125,11369
2020-05-25,112110,112195,112110,112140,190
2020-05-26,112210,112270,112125,112140,404
2020-05-27,112140,112140,112055,112055,264
2020-05-28,112100,112375,112100,112170,34550
2020-05-29,112170,112255,112075,112115,1757
2020-06-01,112215,112215,112085,112150,2314
2020-06-02,112145,112145,112010,112010,4997
2020-06-03,112160,112160,112000,112000,968
2020-06-04,112005,112090,111930,111950,790
2020-06-05,111880,111970,111880,111895,37927
2020-06-08,111425,111505,111410,111445,3443
2020-06-09,111510,111570,111460,111555,7116
2020-06-10,111555,111670,111555,111670,760
2020-06-11,111735,111745,111660,111660,450
2020-06-12,111625,111710,111625,111650,2066
2020-06-15,111640,111640,111550,111575,629
2020-06-16,111575,111630,111475,111545,1290
2020-06-17,111545,111585,111495,111555,398
2020-06-18,111550,111695,111530,111680,12709
2020-06-19,111725,111745,111605,111605,753
2020-06-22,111630,111650,111590,111630,1910
2020-06-23,111615,111760,111615,111715,450
2020-06-24,111720,111770,111720,111765,276
2020-06-25,111750,111795,111735,111765,738
2020-06-26,111765,111820,111765,111815,269
2020-06-29,111845,111845,111720,111725,830
2020-06-30,111780,111780,111650,111710,7553
2020-07-01,111730,111760,111655,111670,4616
2020-07-02,111675,111765,111675,111685,2223
2020-07-03,111775,111775,111680,111685,234
2020-07-06,111685,111725,111670,111670,229
2020-07-07,111660,111745,111660,111745,309
2020-07-08,111700,111775,111680,111775,204
2020-07-09,111770,111770,111705,111755,123
2020-07-10,111720,111805,111690,111735,1325
2020-07-13,111640,111705,111620,111690,891
2020-07-14,111690,111735,111670,111675,620
2020-07-15,111665,111720,111650,111700,686
2020-07-16,111655,111800,111650,111750,384
2020-07-17,111770,111855,111770,111855,1237
2020-07-20,111860,111915,111830,111900,180
