Date,Open,High,Low,Close,Volume
2020-03-12,24390,24390,23310,23340,70390
2020-03-13,22985,23675,22000,23245,24451
2020-03-16,23245,23635,22540,22665,28291
2020-03-17,22000,23225,21590,22740,15316
2020-03-18,22950,22995,22410,22440,13536
2020-03-19,22990,22990,21700,22645,94971
2020-03-20,22305,22795,22000,22495,139997
2020-03-23,22310,22310,21500,22110,63162
2020-03-24,22105,22425,22000,22210,54959
2020-03-25,22800,24750,22405,22555,56971
2020-03-26,22410,22695,22135,22475,18170
2020-03-27,22495,23500,22455,22470,53113
2020-03-30,21710,22775,21710,22285,16620
2020-03-31,22285,22520,22230,22310,6518
2020-04-01,22600,22600,22250,22445,4687
2020-04-02,22300,22500,22250,22485,3580
2020-04-03,22485,22800,22485,22595,2668
2020-04-06,22800,22995,22610,22795,5662
2020-04-07,22855,23500,22840,22950,52638
2020-04-08,22950,23400,22710,22855,4421
2020-04-09,22865,23290,22815,22920,2401
2020-04-10,22935,23030,22760,22820,7872
2020-04-13,22705,22885,22600,22855,18725
2020-04-14,22855,23000,22800,23000,850
2020-04-16,23000,23205,22800,22990,2041
2020-04-17,22915,23285,22915,23005,4803
2020-04-20,23005,23285,22605,23260,9199
2020-04-21,22920,23300,22905,23110,2208
2020-04-22,23105,23105,22715,23050,4022
2020-04-23,23045,23280,22825,23100,1510
2020-04-24,22860,23155,22700,22800,3153
2020-04-27,23100,23100,22800,23020,3913
2020-04-28,23020,23070,22700,23050,52902
2020-04-29,22900,23190,22875,22915,8835
2020-05-04,22970,22970,22705,22705,3624
2020-05-06,22970,23105,22810,23105,13560
2020-05-07,23105,23250,23005,23245,7566
2020-05-08,23290,23595,22850,23515,54764
2020-05-11,23515,23790,23410,23410,3820
2020-05-12,23410,23660,23340,23530,6452
2020-05-13,23230,23650,23230,23635,2286
2020-05-14,23630,23630,23305,23430,11128
2020-05-15,23360,23700,23360,23525,1167
2020-05-18,23520,23650,23265,23585,1735
2020-05-19,23695,23695,23220,23665,5890
2020-05-20,23660,23695,23500,23500,10799
2020-05-21,23590,23690,23480,23570,9135
2020-05-22,23565,23565,22885,23070,4898
2020-05-25,23070,23150,22970,23055,5500
2020-05-26,23055,23185,23055,23130,5893
2020-05-27,23130,23155,22850,22850,3666
2020-05-28,22930,23115,22840,23090,3857
2020-05-29,22810,23090,22785,22980,13264
2020-06-01,23005,23590,23005,23580,13852
2020-06-02,23600,24055,23450,24015,13736
2020-06-03,24015,24200,23760,24100,12895
2020-06-04,24245,24245,23655,23735,11947
2020-06-05,23985,23985,23635,23795,1076
2020-06-08,24000,24000,23775,23890,54075
2020-06-09,24000,24000,23745,23845,50830
2020-06-10,23840,23890,23580,23755,2543
2020-06-11,23825,23825,23215,23605,5645
2020-06-12,23200,23740,23000,23635,53257
2020-06-15,23625,23775,23465,23555,8685
2020-06-16,23560,23815,23560,23760,59799
2020-06-17,24000,24000,23700,23890,1471
2020-06-18,24050,24095,23795,23940,6838
2020-06-19,23990,24400,23990,24365,6557
2020-06-22,24365,24680,24180,24480,5725
2020-06-23,24790,24790,24275,24420,52845
2020-06-24,24780,24790,24210,24245,60926
2020-06-25,24315,24485,24195,24235,18221
2020-06-26,24480,24480,24145,24285,7592
2020-06-29,24285,24285,24040,24195,5941
2020-06-30,24480,24540,24005,24500,9659
2020-07-01,24780,25055,24625,25000,58389
2020-07-02,25000,25585,24895,25550,443523
2020-07-03,26000,26000,25345,25980,334643
2020-07-06,26210,27790,25920,27685,419911
2020-07-07,27765,29000,27675,27995,258460
2020-07-08,27920,28280,27750,28280,63548
2020-07-09,28330,29020,28295,28770,57772
2020-07-10,29000,29400,28500,28595,65892
2020-07-13,28730,29260,28550,29050,29982
2020-07-14,29050,29180,28465,28800,34031
