Date,Open,High,Low,Close,Volume
2020-03-12,7940,8605,7880,8370,1504039
2020-03-13,9200,10055,8375,8735,2116933
2020-03-16,8525,9480,8425,9425,862472
2020-03-17,10350,10350,9310,9830,1498709
2020-03-18,9820,10990,9670,10990,1503416
2020-03-19,10435,12930,10240,12500,2740636
2020-03-20,11730,12405,10610,10610,5661263
2020-03-23,11955,12095,11320,11710,4164939
2020-03-24,11070,11415,9455,9455,2026189
2020-03-25,8830,9245,8370,8435,2630626
2020-03-26,8460,8730,8170,8730,1799134
2020-03-27,8030,8945,7895,8360,2403317
2020-03-30,8770,8935,8235,8375,1872089
2020-03-31,8140,8400,8020,8105,1513665
2020-04-01,8265,8830,8030,8830,1202987
2020-04-02,8810,9025,8325,8350,1749240
2020-04-03,8345,8555,8175,8340,1337786
2020-04-06,8135,8195,7605,7700,1562443
2020-04-07,7250,7690,7235,7370,1570896
2020-04-08,7450,7600,7275,7600,757900
2020-04-09,7325,7540,7310,7380,792602
2020-04-10,7420,7485,7255,7260,1292832
2020-04-13,7300,7540,7300,7530,954357
2020-04-14,7375,7450,7160,7225,1004302
2020-04-16,7300,7480,7210,7245,813114
2020-04-17,6890,6945,6650,6780,1508538
2020-04-20,6825,6990,6765,6955,686572
2020-04-21,7070,7350,6965,7110,1529074
2020-04-22,7300,7385,6950,6975,871626
2020-04-23,6910,7000,6775,6850,663111
2020-04-24,6950,7130,6910,7060,519151
2020-04-27,6995,7025,6705,6760,751009
2020-04-28,6720,6855,6645,6685,726512
2020-04-29,6650,6710,6505,6575,663033
2020-05-04,6860,7000,6810,6990,872916
2020-05-06,6775,6945,6735,6735,366014
2020-05-07,6790,6835,6675,6760,231893
2020-05-08,6670,6670,6545,6640,506419
2020-05-11,6600,6750,6525,6740,356268
2020-05-12,6735,6940,6705,6825,673087
2020-05-13,6990,7005,6685,6685,568582
2020-05-14,6795,6880,6760,6820,466710
2020-05-15,6700,6875,6680,6780,379567
2020-05-18,6705,6820,6645,6680,360052
2020-05-19,6405,6425,6310,6340,528130
2020-05-20,6395,6395,6275,6310,225454
2020-05-21,6235,6285,6210,6265,247267
2020-05-22,6265,6520,6230,6465,476467
2020-05-25,6370,6485,6295,6295,287915
2020-05-26,6300,6300,6070,6080,737076
