Date,Open,High,Low,Close,Volume
2020-03-12,8170,8195,7810,7970,979828
2020-03-13,7410,7910,7210,7755,1039682
2020-03-16,7940,7940,7490,7495,352241
2020-03-17,7000,7505,7000,7315,354480
2020-03-18,7350,7380,6940,6940,1037569
2020-03-19,6975,7090,6275,6410,1046125
2020-03-20,6610,6900,6480,6885,656502
2020-03-23,6455,6625,6355,6510,328221
2020-03-24,6725,7065,6630,7060,323388
2020-03-25,7300,7520,7255,7455,337547
2020-03-26,7500,7600,7345,7385,283798
2020-03-27,7700,7700,7265,7485,580592
2020-03-30,7360,7535,7240,7505,284644
2020-03-31,7540,7645,7475,7645,307201
2020-04-01,7645,7645,7290,7290,309158
2020-04-02,7330,7465,7210,7465,11320565
2020-04-03,7570,7570,7380,7465,10451042
2020-04-06,7515,7755,7515,7745,311613
2020-04-07,7970,7970,7735,7830,736262
2020-04-08,7790,7880,7765,7775,332098
2020-04-09,7860,7900,7790,7835,675055
2020-04-10,7870,7935,7815,7900,14547350
2020-04-13,8045,8045,7800,7825,13904262
2020-04-14,7975,7975,7850,7950,311316
2020-04-16,7955,7955,7805,7930,21692596
2020-04-17,8135,8255,8015,8200,563666
2020-04-20,8200,8220,8055,8065,457218
2020-04-21,8065,8065,7850,8005,6172622
2020-04-22,7790,8080,7790,8035,336000
2020-04-23,8200,8200,8060,8130,292457
2020-04-24,8135,8135,7980,8025,7330565
2020-04-27,8125,8180,7990,8160,467770
2020-04-28,8195,8220,8090,8190,360653
2020-04-29,8220,8310,8190,8270,713387
2020-05-04,8150,8150,7955,8025,339700
2020-05-06,8095,8150,8050,8145,563180
2020-05-07,8145,8195,8115,8130,628821
2020-05-08,8205,8250,8150,8205,583113
2020-05-11,8215,8280,8145,8160,284993
2020-05-12,8145,8150,8010,8100,477110
2020-05-13,8020,8160,7945,8160,851419
2020-05-14,8120,8120,8035,8095,412750
2020-05-15,8175,8175,8040,8100,531932
2020-05-18,8105,8170,8055,8155,22184
2020-05-19,8285,8375,8285,8340,23813
2020-05-20,8355,8395,8295,8370,6052
2020-05-21,8410,8455,8400,8400,15226
2020-05-22,8440,8440,8240,8270,16619
2020-05-25,8275,8380,8275,8380,12518
2020-05-26,8430,8515,8430,8515,16941
2020-05-27,8520,8595,8495,8550,13187
2020-05-28,8610,8665,8465,8570,21008
2020-05-29,8525,8605,8490,8585,5959
2020-06-01,8585,8740,8580,8705,20804
2020-06-02,8705,8830,8705,8790,14969
2020-06-03,8865,9195,8865,9130,39232
2020-06-04,9260,9355,9120,9165,23048
2020-06-05,9165,9315,9135,9300,15538
2020-06-08,9375,9430,9270,9310,8873
2020-06-09,9390,9415,9215,9270,5038
2020-06-10,9295,9355,9270,9320,12422
2020-06-11,9250,9340,9100,9220,10386
2020-06-12,8805,9045,8805,9000,15953
2020-06-15,8970,8970,8605,8605,11822
2020-06-16,8870,9060,8765,9020,24274
2020-06-17,9020,9105,8940,9040,29741
2020-06-18,9015,9045,8980,9035,3633
2020-06-19,9035,9100,8945,9100,761
2020-06-22,9000,9085,9000,9035,6174
2020-06-23,9130,9150,8985,9015,3266
2020-06-24,9160,9230,9155,9200,5725
2020-06-25,9075,9095,8985,8985,2158
2020-06-26,9070,9115,9020,9075,1021
2020-06-29,9010,9050,8910,8910,1467
2020-06-30,9115,9115,9000,9030,8660
2020-07-01,9110,9110,8945,8965,1439
2020-07-02,9065,9090,9020,9090,1696
2020-07-03,9100,9190,9085,9190,4071
2020-07-06,9225,9320,9200,9320,4145
2020-07-07,9390,9405,9200,9200,2839
2020-07-08,9200,9230,9140,9165,1459
2020-07-09,9225,9250,9200,9200,1620
2020-07-10,9170,9175,9060,9125,2671
2020-07-13,9200,9285,9160,9260,1295
2020-07-14,9235,9250,9145,9240,6980
2020-07-15,9390,9425,9310,9345,6899
2020-07-16,9345,9360,9240,9255,928
2020-07-17,9255,9345,9255,9340,2269
2020-07-20,9335,9335,9240,9315,659
2020-07-21,9380,9450,9350,9440,4487
2020-07-22,9385,9440,9360,9400,2521
2020-07-23,9345,9345,9275,9335,966
2020-07-24,9180,9335,9180,9260,1418
2020-07-27,9295,9415,9295,9355,13700
2020-07-28,9470,9610,9470,9570,4587
2020-07-29,9655,9700,9585,9640,32857
2020-07-30,9665,9715,9650,9655,8541
2020-07-31,9665,9710,9555,9605,7173
2020-08-03,9600,9600,9495,9545,371855
2020-08-04,9695,9715,9630,9640,388192
2020-08-05,9740,9780,9670,9780,467603
2020-08-06,9845,9965,9840,9950,367205
2020-08-07,9935,10005,9890,9955,428534
2020-08-10,10060,10120,9955,10065,397548
2020-08-11,10230,10270,10015,10250,968197
2020-08-12,10190,10255,10105,10255,417001
2020-08-13,10275,10405,10190,10290,1369676
2020-08-14,10275,10275,10075,10185,607949
2020-08-18,10195,10250,9950,9960,380813
2020-08-19,10040,10095,9985,9990,364598
2020-08-20,9920,9950,9580,9615,421951
2020-08-21,9700,9860,9650,9760,527478
2020-08-24,9730,9865,9675,9820,349190
2020-08-25,9915,9980,9885,9980,283494
2020-08-26,9985,10005,9865,9960,426444
2020-08-27,10015,10015,9905,9905,361812
2020-08-28,9965,10045,9900,9940,589439
2020-08-31,9995,10060,9760,9770,380213
2020-09-01,9735,9860,9735,9805,334363
2020-09-02,9885,9925,9785,9855,378228
2020-09-03,9950,10055,9940,9980,391295
2020-09-04,9750,9900,9710,9885,513473
2020-09-07,9925,9950,9835,9920,368961
2020-09-08,10015,10055,9980,10050,298611
2020-09-09,9940,10025,9920,9955,454663
2020-09-10,10100,10115,10035,10080,362663
2020-09-11,10045,10070,9960,10055,637905
2020-09-14,10175,10205,10125,10200,362179
2020-09-15,10290,10295,10210,10270,427090
2020-09-16,10300,10340,10230,10245,289075
2020-09-17,10250,10270,10100,10100,404966
2020-09-18,10185,10190,10100,10155,301763
2020-09-21,10130,10220,10045,10085,367527
2020-09-22,10055,10080,9810,9850,349119
2020-09-23,9935,9955,9690,9875,336561
2020-09-24,9750,9800,9640,9650,415343
2020-09-25,9730,9755,9640,9675,629137
2020-09-28,9820,9845,9740,9810,447981
2020-09-29,9930,9930,9860,9905,400447
2020-10-05,9905,10045,9875,10030,361541
2020-10-06,10100,10105,10010,10030,421835
2020-10-07,10015,10130,9970,10130,279733
2020-10-08,10245,10255,10130,10165,608694
2020-10-12,10215,10220,10165,10190,350081
2020-10-13,10285,10290,10150,10200,383602
2020-10-14,10250,10250,10100,10155,332343
2020-10-15,10145,10145,9995,10075,374534
2020-10-16,10080,10105,9940,9990,488548
2020-10-19,10060,10080,10010,10015,325781
2020-10-20,9980,10110,9940,10095,332582
2020-10-21,10140,10140,10070,10120,497874
2020-10-22,10060,10070,9975,10045,309259
2020-10-23,10105,10105,10005,10085,584284
2020-10-26,10105,10140,10040,10040,394688
2020-10-27,9975,10055,9955,9970,400568
2020-10-28,9955,10025,9915,10005,338389
2020-10-29,9880,9925,9820,9925,4784630
2020-10-30,9920,9920,9665,9680,758079
2020-11-02,9680,9805,9630,9805,361550
2020-11-03,9850,9995,9845,9995,322545
2020-11-04,10070,10070,9940,10045,392790
2020-11-05,10130,10285,10090,10285,283655
2020-11-06,10305,10360,10250,10310,784495
2020-11-09,10400,10470,10370,10420,316919
2020-11-10,10470,10470,10340,10420,406719
2020-11-11,10440,10570,10435,10570,297393
2020-11-12,10575,10575,10490,10545,276687
2020-11-13,10495,10655,10490,10655,556788
2020-11-16,10740,10905,10690,10905,324612
2020-11-17,10945,10960,10855,10885,425294
2020-11-18,10890,10935,10830,10885,305409
2020-11-19,10840,10880,10785,10880,314398
2020-11-20,10850,10910,10825,10890,617244
2020-11-23,10920,11165,10885,11165,4806932
2020-11-24,11235,11300,11155,11230,304658
2020-11-25,11330,11340,11085,11170,418140
2020-11-26,11165,11295,11110,11295,298468
2020-11-27,11305,11340,11260,11325,3142127
2020-11-30,11365,11385,11130,11130,435267
2020-12-01,11210,11330,11200,11325,337977
2020-12-02,11415,11545,11375,11545,292461
2020-12-03,11585,11665,11525,11665,282227
2020-12-04,11740,11925,11705,11875,497630
2020-12-07,11985,12005,11810,11985,323944
2020-12-08,11950,11955,11750,11750,330075
2020-12-09,11820,12000,11810,11990,13141205
2020-12-10,11860,12035,11815,11950,373876
2020-12-11,12035,12090,12000,12050,9459519
2020-12-14,12140,12140,11990,12040,318410
2020-12-15,12065,12070,11895,12015,4764349
2020-12-16,12110,12120,12015,12050,8760034
2020-12-17,12040,12040,11910,12020,310814
2020-12-18,12045,12045,11945,12000,686074
2020-12-21,12020,12020,11885,11990,414927
2020-12-22,11955,11990,11830,11845,302787
2020-12-23,11885,12020,11785,12020,17293936
2020-12-24,12070,12330,12060,12285,715949
2020-12-28,12405,12445,12245,12265,473969
2020-12-29,12525,12535,12400,12525,293479
2020-12-30,12510,12820,12440,12820,391508
2021-01-04,12835,13145,12755,13100,344891
2021-01-05,13010,13295,12955,13295,340125
2021-01-06,13340,13445,13130,13170,403242
2021-01-07,13320,13540,13255,13445,8802394
2021-01-08,13675,14135,13615,14130,604784
2021-01-11,14310,14820,14000,14245,352754
2021-01-12,14060,14230,13700,14120,373198
2021-01-13,14045,14215,14000,14190,319013
2021-01-14,14030,14195,14030,14115,401836
2021-01-15,14150,14305,13775,13820,653153
2021-01-18,13590,13755,13400,13400,8842201
2021-01-19,13565,13895,13400,13820,334925
2021-01-20,14105,14105,13755,13935,328769
2021-01-21,13975,14090,13920,14090,305939
2021-01-22,14115,14220,13985,14020,593127
2021-01-25,13980,14300,13935,14300,390806
2021-01-26,14255,14340,13960,13995,311099
2021-01-27,14045,14140,13880,13895,381387
2021-01-28,13600,13785,13550,13670,311537
