Date,Open,High,Low,Close,Volume
2020-03-12,11320,11990,11240,11580,8998
2020-03-13,11600,11985,11330,11425,21587
2020-03-16,11000,11400,10200,11400,9922
2020-03-17,11510,11580,11395,11580,29144
2020-03-18,11570,11570,11385,11540,5773
2020-03-19,10720,11790,10720,11675,6847
2020-03-20,11780,11780,11160,11180,12146
2020-03-23,11390,11455,11365,11365,6753
2020-03-24,11215,11305,11165,11230,752
2020-03-25,11195,11195,10880,10900,3845
2020-03-26,10900,11015,10895,11015,2115
2020-03-27,10960,11115,10950,11020,615
2020-03-30,11025,11300,11025,11210,2504
2020-03-31,11230,11230,11080,11100,783
2020-04-01,11185,11385,11185,11385,2903
2020-04-02,11405,11405,11285,11370,558
2020-04-03,11290,11305,11190,11260,663
2020-04-06,11260,11260,11090,11090,294
2020-04-07,11030,11125,11030,11035,1793
2020-04-08,11065,11120,11015,11015,507
2020-04-09,11020,11050,11005,11045,81
2020-04-10,11005,11125,10985,10985,1920
2020-04-13,11150,11160,11130,11160,499
2020-04-14,11105,11200,11105,11130,1315
2020-04-16,11285,11285,11180,11200,373
2020-04-17,11305,11305,11115,11115,1567
2020-04-20,11110,11210,11110,11195,197
2020-04-21,11130,11405,11130,11365,1333
2020-04-22,11365,11375,11265,11355,465
2020-04-23,11370,11370,11220,11220,806
2020-04-24,11230,11385,11230,11285,289
2020-04-27,11370,11370,11250,11340,616
2020-04-28,11245,11295,11225,11295,805
2020-04-29,11255,11290,11245,11255,1208
2020-05-04,11315,11425,11315,11405,255
2020-05-06,11405,11430,11315,11400,1438
2020-05-07,11385,11440,11365,11435,377
2020-05-08,11370,11380,11275,11275,149
2020-05-11,11315,11315,11205,11315,308
2020-05-12,11330,11330,11270,11270,45
2020-05-13,11350,11350,11270,11270,106
2020-05-14,11405,11405,11305,11385,148
2020-05-15,11365,11370,11310,11315,190
2020-05-18,11320,11395,11320,11345,1574
2020-05-19,11210,11290,11205,11235,3768
2020-05-20,11265,11270,11200,11265,1396
2020-05-21,11320,11320,11265,11315,2298
2020-05-22,11315,11400,11315,11350,178
2020-05-25,11445,11445,11340,11415,872
2020-05-26,11415,11415,11335,11360,51
2020-05-27,11360,11360,11305,11355,218
2020-05-28,11355,11355,11340,11355,798
2020-05-29,11345,11420,11345,11395,205
2020-06-01,11385,11385,11255,11310,4979
2020-06-02,11335,11335,11250,11300,19217
2020-06-03,11230,11230,11090,11090,546
2020-06-04,11050,11090,11050,11085,523
2020-06-05,11045,11045,10940,10940,834
2020-06-08,10890,10910,10880,10880,3238
2020-06-09,10915,10995,10910,10995,1901
2020-06-10,10995,11005,10970,10970,488
2020-06-11,10980,11060,10975,11060,214
2020-06-12,11145,11255,11145,11155,2039
2020-06-15,11105,11230,11105,11230,1313
2020-06-16,11145,11145,11115,11130,114
2020-06-17,11155,11240,11155,11165,22
2020-06-18,11305,11305,11200,11200,124
2020-06-19,11140,11200,11140,11200,1061
2020-06-22,11210,11215,11210,11215,13
2020-06-23,11215,11215,11145,11145,28
2020-06-24,11220,11220,11135,11135,42
2020-06-25,11175,11175,11140,11150,138
2020-06-26,11170,11170,11035,11035,203
2020-06-29,11065,11065,11065,11065,10
2020-06-30,11050,11075,10975,11010,401
2020-07-01,10980,11080,10930,11030,842
2020-07-02,11120,11120,10990,11000,13122
2020-07-03,11085,11085,11065,11065,726
2020-07-06,11090,11090,10965,11015,1871
2020-07-07,10950,11010,10950,10985,142
2020-07-08,10995,10995,10985,10985,28
2020-07-09,10965,11040,10965,11040,995
2020-07-10,11090,11145,11070,11140,749
2020-07-13,11040,11095,11040,11090,572
2020-07-14,11100,11150,11100,11150,6
2020-07-15,11020,11090,11015,11055,420
2020-07-16,11150,11180,11070,11180,678
2020-07-17,11140,11140,11140,11140,1
2020-07-20,11145,11145,11050,11055,101
2020-07-21,11080,11080,11060,11060,41
2020-07-22,11095,11095,11050,11050,18
2020-07-23,11110,11110,11035,11035,389
2020-07-24,11185,11190,11120,11190,427
2020-07-27,11190,11190,11165,11190,29
2020-07-28,11210,11245,11155,11200,481
2020-07-29,11235,11285,11235,11250,227
2020-07-30,11205,11245,11165,11245,218
2020-07-31,11210,11285,11210,11270,191
2020-08-03,11265,11265,11110,11120,503
2020-08-04,11155,11195,11155,11195,20322
2020-08-05,11190,11195,11125,11170,563
2020-08-06,11080,11140,11070,11135,227
2020-08-07,11135,11135,11105,11135,123
2020-08-10,11135,11135,11055,11055,47
2020-08-11,11100,11100,10975,10975,872
2020-08-12,11035,11040,10970,10970,121
2020-08-13,10995,11010,10955,11010,156
2020-08-14,10980,10985,10950,10950,24
2020-08-18,11040,11100,11040,11100,897
2020-08-19,11130,11130,11110,11110,35
2020-08-20,11015,11095,11015,11095,52
2020-08-21,11115,11155,11075,11155,1058
2020-08-24,11170,11170,11085,11150,228
2020-08-25,11045,11100,11035,11045,550
2020-08-26,11065,11065,11005,11055,452
2020-08-27,11115,11115,11045,11050,1049
2020-08-28,11020,11040,10965,11040,1412
2020-08-31,11075,11110,11055,11075,1923
2020-09-01,11075,11100,11045,11045,338
2020-09-02,11085,11095,11050,11050,11425
2020-09-03,11070,11075,11030,11030,990
2020-09-04,11080,11110,11065,11105,556
2020-09-07,11080,11080,11025,11025,43
2020-09-08,11070,11070,11035,11040,1010
2020-09-09,11115,11115,11115,11115,1
2020-09-10,11020,11050,11020,11050,11
2020-09-11,11050,11050,11050,11050,6
2020-09-14,11025,11055,11025,11055,536
2020-09-15,11055,11055,11055,11055,0
2020-09-16,11060,11075,11050,11050,66
2020-09-17,11070,11070,11025,11025,26
2020-09-18,11025,11025,10950,11000,156
2020-09-21,11000,11000,10975,10975,973
2020-09-22,10970,11025,10970,11010,492
2020-09-23,10970,10970,10880,10880,285
2020-09-24,11000,11020,10940,11020,224
2020-09-25,10980,11000,10945,11000,1003
2020-09-28,11000,11030,11000,11030,4
2020-09-29,10925,10925,10925,10925,96
2020-10-05,10915,10915,10865,10865,245
2020-10-06,10845,10845,10795,10795,40342
2020-10-07,10865,10925,10855,10855,306
2020-10-08,10815,10815,10755,10755,79
2020-10-12,10740,10745,10740,10740,8
2020-10-13,10750,10785,10750,10785,110
2020-10-14,10760,10760,10725,10725,551
2020-10-15,10690,10720,10690,10720,27
2020-10-16,10690,10750,10690,10700,41
2020-10-19,10660,10740,10660,10740,2
2020-10-20,10650,10650,10650,10650,7
2020-10-21,10630,10655,10600,10645,807
2020-10-22,10680,10730,10680,10730,13
2020-10-23,10710,10710,10680,10680,200
2020-10-26,10690,10690,10650,10650,69
2020-10-27,10620,10620,10610,10610,125
2020-10-28,10655,10720,10655,10720,1410
2020-10-29,10765,10765,10680,10710,1390
2020-10-30,10715,10740,10685,10740,139
2020-11-02,10690,10700,10680,10700,334
2020-11-03,10675,10720,10675,10705,4834
2020-11-04,10780,10780,10710,10730,103
2020-11-05,10700,10730,10700,10720,63
2020-11-06,10710,10710,10710,10710,4
2020-11-09,10735,10735,10650,10650,107
2020-11-10,10475,10530,10475,10510,504
2020-11-11,10500,10500,10440,10445,568
2020-11-12,10470,10470,10440,10455,31
2020-11-13,10455,10510,10455,10500,3042
