Date,Open,High,Low,Close,Volume
2022-03-22,10125,10180,9980,10010,502268
2022-03-23,10085,10200,9960,10025,550276
2022-03-24,10025,10080,9815,9985,294621
2022-03-25,10000,10060,9675,9750,221114
2022-03-28,9740,9760,9385,9395,709934
2022-03-29,9500,9640,9455,9490,202382
2022-03-30,9550,9880,9525,9880,142171
2022-03-31,9880,9950,9590,9740,174931
2022-04-01,9730,9960,9630,9805,148727
2022-04-04,9885,9915,9810,9905,132836
2022-04-05,9960,9970,9910,9940,353623
2022-04-06,9820,10030,9690,9695,329692
2022-04-07,9685,9695,9480,9610,124140
2022-04-08,9610,9740,9475,9570,82959
2022-04-11,9630,9630,8975,9010,139697
2022-04-12,8995,9110,8795,9015,129286
2022-04-13,9075,9165,8900,9040,84145
2022-04-14,9050,9175,8900,9020,168541
2022-04-15,8945,9010,8695,8835,204183
2022-04-18,8680,8960,8630,8925,207143
2022-04-19,9085,9175,8910,8980,144802
2022-04-20,9015,9015,8565,8565,200177
2022-04-21,8600,8600,8220,8245,157746
2022-04-22,8160,8280,8130,8185,122671
2022-04-25,8155,8165,7655,7740,184540
2022-04-26,7705,7745,7530,7565,213375
2022-04-27,7420,8120,7305,8110,95985
2022-04-28,8010,8345,8010,8155,66332
2022-04-29,8055,8445,8005,8445,300797
2022-05-02,8405,8405,8130,8340,103418
2022-05-03,8340,8360,8250,8335,46857
2022-05-04,8285,8450,8260,8290,37085
2022-05-06,8065,8330,8055,8190,31155
2022-05-09,8235,8235,7990,8040,18799
2022-05-10,7850,8270,7810,8220,34028
2022-05-11,8225,9020,8220,8885,561075
2022-05-12,8700,8850,8665,8755,88992
2022-05-13,8755,8865,8665,8845,59743
2022-05-16,8925,9050,8750,8750,31379
2022-05-17,8750,9215,8750,9190,149000
2022-05-18,9280,9310,9150,9300,91957
2022-05-19,9050,9420,9050,9385,89084
2022-05-20,9485,9630,9320,9575,268884
2022-05-23,9660,9660,9455,9620,76275
2022-05-24,9645,9645,9275,9275,60113
2022-05-25,9195,9290,9020,9160,55857
2022-05-26,9160,9275,8975,9170,88490
2022-05-27,9295,9340,9050,9050,37182
2022-05-30,9170,9300,9105,9160,36457
2022-05-31,9250,9420,9050,9420,59453
2022-06-02,9600,9770,9400,9730,220616
2022-06-03,9900,9900,9725,9795,191898
2022-06-07,10200,10490,10200,10410,171531
2022-06-08,10420,10495,10120,10400,157217
2022-06-09,10555,10555,10175,10250,65790
2022-06-10,10175,10655,10040,10655,100603
2022-06-13,10350,10985,10250,10740,176067
2022-06-14,10425,10740,10405,10700,93577
2022-06-15,10800,11060,10590,10855,92751
2022-06-16,10870,10940,10700,10750,88221
2022-06-17,10700,11190,10495,11110,122555
2022-06-20,11115,11630,11115,11510,152689
2022-06-21,11520,11650,11200,11375,166461
2022-06-22,11450,11695,11350,11555,146340
2022-06-23,11540,11870,11510,11820,103848
2022-06-24,12015,12105,11875,12075,94911
2022-06-27,12300,12370,12075,12285,73141
2022-06-28,12270,12385,12000,12385,76722
2022-06-29,12375,12465,11940,12010,98348
2022-06-30,11900,12185,11610,12150,94734
2022-07-01,12055,12065,11865,11940,73186
2022-07-04,11940,12210,11740,12040,148009
2022-07-05,12040,12260,11965,12000,97186
2022-07-06,12080,12300,12005,12005,99733
2022-07-07,12095,12550,12060,12545,239902
2022-07-08,12740,12740,12190,12300,117758
2022-07-11,12300,12345,11500,11570,171852
2022-07-12,11570,11800,11080,11350,209533
2022-07-13,11360,11570,10945,11435,175304
2022-07-14,11435,11950,11215,11860,68768
2022-07-15,11875,12310,11875,12025,134642
2022-07-18,11905,12060,11680,12020,86869
2022-07-19,11870,12015,11700,11770,67143
2022-07-20,11830,11830,11615,11640,65272
2022-07-21,11700,11705,11425,11480,49198
2022-07-22,11480,11630,11300,11550,36942
2022-07-25,11670,11670,11325,11375,25691
2022-07-26,11525,11595,11305,11450,35410
2022-07-27,11495,11600,11400,11485,15633
2022-07-28,11600,11600,11330,11350,22536
2022-07-29,11440,11440,11125,11340,43396
2022-08-01,11190,11600,11190,11600,40553
2022-08-02,11700,11700,11300,11395,39090
2022-08-03,11395,11540,11260,11260,36547
2022-08-04,11270,11665,11100,11205,53457
2022-08-05,11230,11355,11030,11200,56965
2022-08-08,11190,11200,11040,11140,17431
2022-08-09,11200,11370,11075,11270,60087
2022-08-10,11300,11400,11080,11100,28610
2022-08-11,11110,11215,11045,11205,32049
2022-08-12,11245,11325,11150,11160,17550
