Date,Open,High,Low,Close,Volume
2022-06-28,10020,10025,9955,9995,115957
2022-06-29,9860,9860,9780,9835,77109
2022-06-30,9830,9900,9800,9805,61185
2022-07-01,9805,9805,9710,9755,96033
2022-07-04,9840,9840,9750,9825,7335
2022-07-05,9870,9880,9800,9880,9295
2022-07-06,9930,9930,9795,9810,10305
2022-07-07,9985,9985,9880,9935,7627
2022-07-08,10095,10095,10025,10025,15223
2022-07-11,10190,10190,10030,10075,7407
2022-07-12,10025,10025,9955,10000,3161
2022-07-13,9945,9945,9850,9910,15746
2022-07-14,9905,9915,9810,9890,2820
2022-07-15,9965,10020,9930,10005,4311
2022-07-18,10150,10150,9800,10100,5727
2022-07-19,10085,10085,9970,9970,4019
2022-07-20,10500,10500,10115,10190,8856
2022-07-21,10200,10310,10200,10240,2281
2022-07-22,10330,10430,10280,10410,5775
2022-07-25,10405,10410,10315,10375,15600
2022-07-26,10370,10380,10300,10360,8339
2022-07-27,10370,10395,10330,10365,3907
2022-07-28,10370,10515,10370,10420,13785
2022-07-29,10620,10635,10515,10625,9719
2022-08-01,10690,10705,10565,10615,19419
2022-08-02,10785,10785,10660,10720,11679
2022-08-03,10800,10800,10700,10735,16127
2022-08-04,10895,10895,10720,10820,11988
2022-08-05,10850,10850,10740,10850,12395
2022-08-08,11055,11055,10700,10730,59765
2022-08-09,10730,10745,10665,10740,13050
2022-08-10,10700,10700,10620,10695,12947
2022-08-11,11055,11055,10755,10875,8517
2022-08-12,10850,10850,10720,10775,21186
