Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2013-12-10,10055,10110,10055,10110,20388,,,,,,,
2013-12-11,10095,10100,10065,10090,5183,,,,,,,
2013-12-12,10075,10075,9965,9980,106395,,,,,,,
2013-12-13,9920,9920,9900,9915,7637,,,,,,,
2013-12-16,9910,9910,9870,9875,67667,,,,,,,
2013-12-17,9895,9955,9895,9955,78154,,,,,,,
2013-12-18,9930,9950,9930,9945,5949,,,,,,,
2013-12-19,10030,10030,10015,10020,7555,,,,,,,
2013-12-20,10060,10085,10060,10075,208,,,,,,,
2013-12-23,10100,10130,10100,10115,127515,,,,,,,
2013-12-24,10145,10180,10145,10160,3198,,,,,,,
2013-12-26,10205,10205,10175,10185,6246,,,,,,,
2013-12-27,10220,10230,10195,10230,7813,,,,,,,
2013-12-30,10240,10295,10240,10240,155804,,,,,,,
2014-01-02,10285,10315,10285,10290,6463,,,,,,,
2014-01-03,10350,10350,10185,10190,4074,,,,,,,
2014-01-06,10195,10230,10175,10185,155868,,,,,,,
2014-01-07,10160,10175,10155,10155,2433,,,,,,,
2014-01-08,10210,10210,10190,10195,4122,,,,,,,
2014-01-09,10200,10205,10190,10205,4443,,,,,,,
2014-01-10,10230,10230,10170,10185,1096,,,,,,,
2014-01-13,10215,10265,10215,10255,3611,,,,,,,
2014-01-14,10195,10195,10175,10180,2767,,,,,,,
2014-01-15,10205,10230,10205,10230,4235,,,,,,,
2014-01-16,10300,10300,10280,10280,129,,,,,,,
2014-01-17,10375,10375,10270,10275,251,,,,,,,
2014-01-20,10245,10255,10235,10245,149,,,,,,,
2014-01-21,10255,10265,10255,10260,119,,,,,,,
2014-01-22,10255,10275,10255,10265,382,,,,,,,
2014-01-23,10310,10310,10265,10270,1557,,,,,,,
2014-01-24,10235,10235,10210,10210,1736,,,,,,,
2014-01-27,10020,10050,10000,10020,375,,,,,,,
2014-01-28,9965,9965,9920,9935,129,,,,,,,
2014-01-29,10010,10010,9985,9995,125,,,,,,,
2014-02-03,9915,9915,9885,9885,1874,,,,,,,
2014-02-04,9885,9885,9680,9700,5415,,,,,,,
2014-02-05,9775,9775,9710,9740,322,,,,,,,
2014-02-06,9755,9755,9710,9710,65,,,,,,,
2014-02-07,9710,9855,9710,9845,23658,,,,,,,
2014-02-10,9945,9975,9945,9975,114,,,,,,,
2014-02-11,9990,9990,9975,9990,220,,,,,,,
2014-02-12,10075,10105,10075,10105,8843,,,,,,,
2014-02-13,10140,10140,10105,10105,321,,,,,,,
2014-02-14,10135,10160,10135,10160,1106,,,,,,,
2014-02-17,10190,10225,10185,10225,1047,,,,,,,
2014-02-18,10235,10235,10235,10235,202,,,,,,,
2014-02-19,10245,10260,10245,10255,400,,,,,,,
2014-02-20,10220,10220,10195,10200,1096,,,,,,,
2014-02-21,10250,10255,10240,10255,29,,,,,,,
2014-02-24,10265,10265,10255,10255,36,,,,,,,
2014-02-25,10280,10300,10280,10300,350,,,,,,,
2014-02-26,10310,10315,10275,10315,7058,,,,,,,
2014-02-27,10290,10290,10285,10285,44,,,,,,,
2014-02-28,10345,10345,10290,10330,51,,,,,,,
2014-03-03,10325,10325,10310,10325,491,,,,,,,
2014-03-04,10230,10250,10210,10240,60,,,,,,,
2014-03-05,10350,10375,10350,10370,346,,,,,,,
2014-03-06,10360,10425,10360,10375,72,,,,,,,
2014-03-07,10425,10440,10415,10430,177,,,,,,,
2014-03-10,10400,10400,10365,10385,556,,,,,,,
2014-03-11,10380,10380,10350,10365,196,,,,,,,
2014-03-12,10380,10380,10295,10315,139,,,,,,,
2014-03-13,10305,10320,10305,10315,128,,,,,,,
2014-03-14,10210,10210,10130,10180,411,,,,,,,
2014-03-17,10145,10150,10135,10150,137,,,,,,,
2014-03-18,10230,10255,10230,10250,58,,,,,,,
2014-03-19,10280,10295,10270,10275,1816,,,,,,,
2014-03-20,10245,10245,10210,10210,56,,,,,,,
2014-03-21,10230,10235,10200,10200,116,,,,,,,
2014-03-24,10265,10265,10235,10245,134,,,,,,,
2014-03-25,10215,10215,10180,10205,4917,,,,,,,
2014-03-26,10250,10275,10250,10275,19055,,,,,,,
2014-03-27,10235,10260,10235,10260,57,,,,,,,
2014-03-28,10245,10265,10245,10265,66,,,,,,,
2014-03-31,10305,10335,10295,10335,115,,,,,,,
2014-04-01,10365,10390,10365,10390,79,,,,,,,
2014-04-02,10445,10470,10445,10470,65,,,,,,,
2014-04-03,10455,10480,10455,10460,71,,,,,,,
2014-04-04,10460,10460,10435,10455,39,,,,,,,
2014-04-07,10435,10435,10385,10430,176,,,,,,,
2014-04-08,10345,10345,10295,10335,1039,,,,,,,
2014-04-09,10380,10380,10325,10360,72,,,,,,,
2014-04-10,10420,10445,10415,10415,132,,,,,,,
2014-04-11,10345,10345,10300,10330,39,,,,,,,
2014-04-14,10245,10255,10245,10250,35,,,,,,,
2014-04-15,10285,10285,10275,10275,25,,,,,,,
2014-04-16,10280,10295,10245,10280,332,,,,,,,
2014-04-17,10345,10350,10345,10350,91,,,,,,,
2014-04-18,10370,10380,10370,10380,65,,,,,,,
2014-04-21,10415,10415,10405,10405,41,,,,,,,
2014-04-22,10390,10390,10385,10385,260,,,,,,,
2014-04-23,10450,10475,10445,10445,10047,,,,,,,
2014-04-24,10435,10445,10395,10435,2348,,,,,,,
2014-04-25,10450,10450,10425,10430,19,,,,,,,
2014-04-28,10390,10390,10340,10370,322,,,,,,,
2014-04-29,10395,10405,10365,10365,8415,,,,,,,
2014-04-30,10430,10460,10430,10460,296,,,,,,,
2014-05-02,10465,10495,10465,10495,10,,,,,,,
2014-05-07,10470,10470,10420,10435,23916,,,,,,,
2014-05-08,10480,10490,10480,10490,22,,,,,,,
2014-05-09,10450,10500,10450,10500,10018,,,,,,,
2014-05-12,10485,10485,10435,10485,519,,,,,,,
2014-05-13,10535,10570,10535,10570,30,,,,,,,
2014-05-14,10575,10585,10545,10585,419,,,,,,,
2014-05-15,10535,10565,10520,10545,443,,,,,,,
2014-05-16,10470,10490,10470,10480,48,,,,,,,
2014-05-19,10525,10525,10515,10515,260,,,,,,,
2014-05-20,10500,10505,10500,10500,113,,,,,,,
2014-05-21,10500,10500,10450,10500,92,,,,,,,
2014-05-22,10570,10585,10565,10565,38,,,,,,,
2014-05-23,10610,10610,10610,10610,66,,,,,,,
2014-05-26,10610,10630,10580,10590,96,,,,,,,
2014-05-27,10665,10665,10615,10645,16542,,,,,,,
2014-05-28,10610,10685,10610,10635,471,,,,,,,
2014-05-29,10665,10665,10645,10665,5,,,,,,,
2014-05-30,10710,10710,10665,10690,8,,,,,,,
2014-06-02,10695,10695,10655,10680,343,,,,,,,
2014-06-03,10700,10700,10665,10695,79,,,,,,,
2014-06-05,10670,10690,10670,10690,6,,,,,,,
2014-06-09,10790,10820,10785,10820,17,,,,,,,
2014-06-10,10825,10825,10825,10825,1,,,,,,,
2014-06-11,10795,10830,10795,10800,50,,,,,,,
2014-06-12,10810,10810,10810,10810,50,,,,,,,
2014-06-13,10790,10790,10770,10780,14,,,,,,,
2014-06-16,10795,10795,10785,10785,13,,,,,,,
2014-06-17,10790,10790,10775,10775,37,,,,,,,
2014-06-18,10795,10800,10780,10780,233,,,,,,,
2014-06-19,10815,10870,10815,10870,21,,,,,,,
2014-06-20,10900,10900,10860,10900,25,,,,,,,
2014-06-23,10910,10915,10880,10880,71,,,,,,,
2014-06-24,10875,10895,10855,10855,48,,,,,,,
2014-06-25,10850,10850,10845,10845,22,,,,,,,
2014-06-26,10855,10860,10855,10860,22,,,,,,,
2014-06-27,10855,10855,10800,10850,24,,,,,,,
2014-06-30,10850,10875,10820,10875,160,,,,,,,
2014-07-01,10890,10890,10850,10850,103,,,,,,,
2014-07-02,10955,10955,10955,10955,5,,,,,,,
2014-07-03,10900,10965,10900,10960,10,,,,,,,
2014-07-04,11015,11020,10985,11020,249,,,,,,,
2014-07-07,11005,11005,10995,11000,54,,,,,,,
2014-07-08,10950,10955,10950,10955,15,,,,,,,
2014-07-09,10880,10880,10840,10875,362,,,,,,,
2014-07-10,10875,10910,10875,10910,19,,,,,,,
2014-07-11,10840,10840,10800,10800,62,,,,,,,
2014-07-14,10810,10860,10810,10820,27,,,,,,,
2014-07-15,10885,10930,10885,10925,37,,,,,,,
2014-07-16,10890,10890,10885,10885,7,,,,,,,
2014-07-17,10940,10950,10940,10950,17,,,,,,,
2014-07-18,10835,10845,10835,10845,7,,,,,,,
2014-07-21,10900,10915,10900,10915,4,,,,,,,
2014-07-22,10885,10895,10885,10895,51,,,,,,,
2014-07-23,10955,10960,10955,10960,18,,,,,,,
2014-07-24,10975,10975,10930,10930,79,,,,,,,
2014-07-25,10995,10995,10950,10950,29,,,,,,,
2014-07-28,10900,10950,10900,10950,377,,,,,,,
2014-07-29,10950,10950,10935,10950,155,,,,,,,
2014-07-30,10925,10935,10925,10935,18,,,,,,,
2014-07-31,10905,10905,10895,10895,25,,,,,,,
2014-08-01,10745,10745,10580,10725,45974,,,,,,,
2014-08-04,10690,10690,10635,10680,36,,,,,,,
2014-08-05,10725,10725,10725,10725,1,,,,,,,
2014-08-06,10650,10650,10575,10635,177,,,,,,,
2014-08-07,10620,10620,10570,10570,18,,,,,,,
2014-08-08,10505,10545,10505,10530,42,,,,,,,
2014-08-11,10545,10605,10545,10605,59,,,,,,,
2014-08-12,10675,10675,10675,10675,50,,,,,,,
2014-08-13,10670,10670,10645,10665,29,,,,,,,
2014-08-14,10720,10720,10720,10720,1,,,,,,,
2014-08-18,10725,10760,10725,10760,35,,,,,,,
2014-08-19,10800,10805,10800,10805,158,,,,,,,
2014-08-20,10840,10880,10840,10840,23,,,,,,,
2014-08-21,10890,10890,10830,10830,95,,,,,,,
2014-08-22,10880,10925,10880,10925,5,,,,,,,
2014-08-25,10885,10885,10885,10885,3,,,,,,,
2014-08-26,10945,10950,10905,10905,152,,,,,,,
2014-08-27,10965,10965,10930,10930,2,,,,,,,
2014-08-28,10980,10980,10940,10945,24,,,,,,,
2014-08-29,10945,10945,10920,10920,20,,,,,,,
2014-09-01,10965,10965,10965,10965,1,,,,,,,
2014-09-02,10970,10970,10935,10935,33,,,,,,,
2014-09-03,10960,10960,10955,10955,5,,,,,,,
2014-09-04,11010,11010,11005,11005,21,,,,,,,
2014-09-05,10960,10970,10940,10965,590,,,,,,,
2014-09-11,10900,10900,10890,10890,27,,,,,,,
2014-09-12,10865,10885,10855,10880,529,,,,,,,
2014-09-15,10790,10835,10790,10830,30067,,,,,,,
2014-09-16,10820,10825,10780,10780,49,,,,,,,
2014-09-17,10835,10865,10835,10860,561,,,,,,,
2014-09-18,10875,10875,10870,10870,39,,,,,,,
2014-09-19,10910,10910,10910,10910,5,,,,,,,
2014-09-22,10895,10895,10885,10885,25,,,,,,,
2014-09-23,10800,10810,10800,10810,201,,,,,,,
2014-09-24,10730,10730,10725,10725,232,,,,,,,
2014-09-25,10780,10785,10775,10775,22,,,,,,,
2014-09-26,10660,10660,10610,10630,214,,,,,,,
2014-09-29,10680,10680,10650,10670,7,,,,,,,
2014-09-30,10585,10620,10580,10615,108,,,,,,,
2014-10-01,10605,10605,10565,10590,86,,,,,,,
2014-10-02,10455,10475,10440,10475,1249,,,,,,,
2014-10-06,10475,10475,10475,10475,6,,,,,,,
2014-10-07,10485,10495,10485,10485,5613,,,,,,,
2014-10-08,10370,10390,10360,10390,89,,,,,,,
2014-10-10,10395,10395,10295,10295,126,,,,,,,
2014-10-13,10180,10190,10095,10185,103,,,,,,,
2014-10-14,10095,10095,10065,10095,33,,,,,,,
