Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2014-12-17,13585,13595,13490,13550,364451,,,,,,,
2014-12-18,13650,13650,13320,13420,2909,,,,,,,
2014-12-19,13495,13515,13400,13425,1265,,,,,,,
2014-12-22,13420,13520,13420,13520,1530,,,,,,,
2014-12-23,13535,13535,13475,13475,1280,,,,,,,
2014-12-24,13520,13585,13480,13540,2000,,,,,,,
2014-12-26,13540,13610,13540,13585,1019,,,,,,,
2014-12-29,13700,13715,13645,13655,334,,,,,,,
2014-12-30,13625,13630,13500,13535,804,,,,,,,
2015-01-02,13435,13590,13425,13590,235,,,,,,,
2015-01-05,13595,13685,13570,13670,329,,,,,,,
2015-01-06,13560,13625,13485,13545,905,,,,,,,
2015-01-07,13485,13530,13470,13500,165,,,,,,,
2015-01-08,13545,13635,13540,13610,168,,,,,,,
2015-01-09,13665,13810,13665,13720,323,,,,,,,
2015-01-12,13850,13860,13795,13860,388,,,,,,,
2015-01-13,13875,13990,13860,13960,10371,,,,,,,
2015-01-14,13965,13965,13835,13915,6087,,,,,,,
2015-01-15,13860,13970,13855,13970,7638,,,,,,,
2015-01-16,13920,13920,13830,13910,5547,,,,,,,
2015-01-19,13955,14010,13925,13925,116,,,,,,,
2015-01-20,13980,14020,13955,14020,2620,,,,,,,
2015-01-21,14050,14160,14050,14145,1140,,,,,,,
2015-01-22,14175,14175,14075,14165,1096,,,,,,,
2015-01-23,14265,14265,14095,14110,20600,,,,,,,
2015-01-26,14150,14150,14050,14105,159,,,,,,,
2015-01-27,14125,14175,14100,14165,80,,,,,,,
2015-01-28,14165,14355,14165,14345,4912,,,,,,,
2015-01-29,14290,14310,14250,14310,43,,,,,,,
2015-01-30,14315,14365,14245,14365,773,,,,,,,
2015-02-02,14380,14385,14320,14385,1570,,,,,,,
2015-02-03,14395,14395,14240,14355,12282,,,,,,,
2015-02-04,14445,14480,14445,14475,33216,,,,,,,
2015-02-05,14480,14505,14385,14505,429,,,,,,,
