Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2016-05-13,10115,10180,10060,10065,14175,,,,,,,
2016-05-16,10035,10065,10010,10055,10902,,,,,,,
2016-05-17,10035,10040,9935,9965,5682,,,,,,,
2016-05-18,9910,9910,9825,9870,8405,,,,,,,
2016-05-19,9865,9865,9745,9785,6547,,,,,,,
2016-05-20,9790,9800,9745,9760,6692,,,,,,,
2016-05-23,9795,9795,9690,9735,244,,,,,,,
2016-05-24,9685,9715,9670,9670,66045,,,,,,,
2016-05-25,9745,9795,9740,9790,6977,,,,,,,
2016-05-26,9790,9810,9755,9770,9334,,,,,,,
2016-05-27,9770,9835,9765,9825,6002,,,,,,,
2016-05-30,9795,9825,9775,9795,4050,,,,,,,
2016-05-31,9800,9865,9790,9845,4001,,,,,,,
2016-06-01,9790,9795,9760,9790,1106,,,,,,,
2016-06-02,9715,9750,9715,9745,751,,,,,,,
2016-06-03,9715,9715,9665,9685,122481,,,,,,,
2016-06-07,9690,9810,9690,9810,2399,,,,,,,
2016-06-08,9820,9900,9820,9900,1506,,,,,,,
2016-06-09,9910,9920,9855,9865,601,,,,,,,
2016-06-10,9870,9870,9835,9835,208,,,,,,,
2016-06-13,9755,9755,9685,9685,155186,,,,,,,
2016-06-14,9660,9665,9580,9585,122901,,,,,,,
2016-06-15,9565,9625,9550,9580,509,,,,,,,
2016-06-16,9580,9580,9420,9445,614,,,,,,,
2016-06-17,9500,9505,9430,9475,943,,,,,,,
2016-06-20,9570,9570,9550,9555,121,,,,,,,
2016-06-21,9550,9550,9530,9530,114,,,,,,,
2016-06-22,9605,9610,9560,9580,309,,,,,,,
2016-06-23,9500,9520,9485,9515,306,,,,,,,
2016-06-24,9540,9540,9060,9150,1482,,,,,,,
2016-06-27,8990,9235,8990,9235,12,,,,,,,
2016-06-28,9135,9250,9135,9250,106,,,,,,,
2016-06-29,9295,9350,9295,9345,106,,,,,,,
2016-06-30,9365,9365,9310,9330,90195,,,,,,,
2016-07-01,9400,9415,9400,9415,8,,,,,,,
2016-07-04,9415,9455,9415,9455,349,,,,,,,
2016-07-05,9405,9405,9405,9405,2,,,,,,,
2016-07-06,9370,9370,9210,9260,41,,,,,,,
2016-07-07,9325,9360,9325,9360,2,,,,,,,
2016-07-08,9330,9330,9260,9290,7,,,,,,,
2016-07-11,9360,9390,9360,9390,101,,,,,,,
2016-07-12,9395,9395,9395,9395,30,,,,,,,
2016-07-13,9475,9510,9475,9480,70,,,,,,,
2016-07-14,9475,9475,9450,9450,9440,,,,,,,
2016-07-15,9490,9515,9490,9515,14,,,,,,,
2016-07-18,9515,9515,9495,9495,2,,,,,,,
2016-07-19,9530,9530,9485,9485,54,,,,,,,
2016-07-20,9470,9470,9470,9470,1,,,,,,,
2016-07-21,9520,9520,9485,9490,3,,,,,,,
2016-07-22,9465,9490,9465,9490,55,,,,,,,
2016-07-25,9500,9500,9500,9500,105,,,,,,,
2016-07-26,9510,9560,9510,9560,950,,,,,,,
2016-07-27,9570,9590,9570,9570,67,,,,,,,
2016-07-28,9570,9570,9570,9570,1,,,,,,,
2016-07-29,9485,9490,9485,9490,101,,,,,,,
2016-08-01,9490,9520,9470,9470,115,,,,,,,
2016-08-02,9480,9480,9425,9450,49,,,,,,,
2016-08-03,9400,9400,9360,9360,3,,,,,,,
2016-08-04,9375,9410,9375,9410,21,,,,,,,
2016-08-05,9465,9470,9445,9445,50,,,,,,,
2016-08-08,9455,9455,9455,9455,0,,,,,,,
2016-08-09,9525,9525,9525,9525,88,,,,,,,
2016-08-10,9525,9525,9525,9525,0,,,,,,,
2016-08-11,9505,9505,9505,9505,1,,,,,,,
2016-08-12,9600,9600,9600,9600,100,,,,,,,
2016-08-16,9605,9650,9605,9640,208,,,,,,,
2016-08-17,9620,9640,9600,9600,92,,,,,,,
2016-08-18,9600,9600,9600,9600,1,,,,,,,
2016-08-19,9600,9600,9550,9550,2,,,,,,,
2016-08-22,9495,9495,9455,9455,8,,,,,,,
