Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2018-07-24,9615,9670,9570,9605,1578,,,,,,,
2018-07-25,9700,9700,9585,9635,62,,,,,,,
2018-07-26,9705,9750,9705,9750,183,,,,,,,
2018-07-27,9755,9755,9660,9700,5,,,,,,,
2018-07-30,9680,9680,9545,9545,154,,,,,,,
2018-07-31,9500,9520,9445,9485,31,,,,,,,
2018-08-01,9535,9560,9520,9560,47,,,,,,,
2018-08-02,9500,9630,9500,9520,52,,,,,,,
2018-08-03,9550,9600,9550,9600,121,,,,,,,
2018-08-06,9640,9675,9590,9590,186,,,,,,,
2018-08-07,9585,9585,9485,9570,427,,,,,,,
2018-08-08,9585,9585,9445,9465,68,,,,,,,
2018-08-09,9440,9550,9440,9550,10,,,,,,,
2018-08-10,9565,9635,9555,9580,89,,,,,,,
2018-08-13,9480,9480,9180,9180,77,,,,,,,
2018-08-14,9330,9425,9330,9425,5,,,,,,,
2018-08-16,9195,9290,9140,9290,106,,,,,,,
2018-08-17,9365,9375,9350,9370,38,,,,,,,
2018-08-20,9420,9420,9295,9300,6,,,,,,,
2018-08-21,9370,9485,9370,9485,5,,,,,,,
2018-08-22,9485,9495,9440,9440,46,,,,,,,
2018-08-23,9515,9530,9480,9530,15,,,,,,,
2018-08-24,9515,9615,9515,9615,12,,,,,,,
2018-08-27,9630,9710,9630,9700,19,,,,,,,
2018-08-28,9685,9695,9555,9565,71,,,,,,,
2018-08-29,9620,9665,9600,9665,69,,,,,,,
2018-08-30,9675,9675,9610,9660,57,,,,,,,
2018-08-31,9540,9635,9540,9635,37,,,,,,,
2018-09-03,9560,9560,9440,9460,141,,,,,,,
2018-09-04,9515,9535,9485,9535,21,,,,,,,
2018-09-05,9540,9540,9415,9415,13,,,,,,,
2018-09-06,9390,9410,9325,9330,48,,,,,,,
2018-09-07,9435,9435,9325,9380,338,,,,,,,
2018-09-10,9415,9425,9415,9415,5,,,,,,,
2018-09-11,9390,9415,9375,9415,26,,,,,,,
2018-09-12,9455,9455,9370,9430,16,,,,,,,
2018-09-13,9420,9425,9410,9425,10,,,,,,,
2018-09-14,9415,9415,9350,9355,25,,,,,,,
2018-09-17,9350,9350,9300,9335,405,,,,,,,
2018-09-18,9330,9390,9330,9390,5,,,,,,,
2018-09-19,9410,9420,9375,9420,6,,,,,,,
2018-09-20,9400,9435,9335,9350,45,,,,,,,
2018-09-21,9470,9500,9455,9495,448,,,,,,,
2018-09-27,9485,9485,9400,9420,66,,,,,,,
2018-09-28,9415,9415,9380,9380,16,,,,,,,
2018-10-01,9425,9425,9335,9335,95,,,,,,,
2018-10-02,9390,9405,9245,9245,16,,,,,,,
2018-10-04,9275,9275,9100,9145,12,,,,,,,
2018-10-05,9095,9110,9010,9025,67,,,,,,,
2018-10-08,9010,9110,9010,9010,54,,,,,,,
2018-10-10,9060,9060,8800,8805,24,,,,,,,
2018-10-11,8450,8575,8375,8375,119,,,,,,,
2018-10-12,8410,8525,8410,8525,17,,,,,,,
2018-10-15,8510,8510,8370,8370,21,,,,,,,
2018-10-16,8445,8550,8445,8500,6,,,,,,,
2018-10-17,8615,8650,8505,8545,27,,,,,,,
2018-10-18,8570,8625,8545,8545,5,,,,,,,
2018-10-19,8505,8695,8505,8695,5,,,,,,,
2018-10-22,8670,8735,8625,8735,40,,,,,,,
2018-10-23,8750,8750,8610,8635,7,,,,,,,
2018-10-24,8720,8720,8490,8490,16,,,,,,,
2018-10-25,8275,8415,8270,8410,15,,,,,,,
2018-10-26,8425,8425,8000,8020,111,,,,,,,
2018-10-29,8045,8045,7570,7570,13,,,,,,,
2018-10-30,7545,7735,7460,7735,7,,,,,,,
2018-10-31,7765,7905,7725,7905,14,,,,,,,
2018-11-01,7890,8035,7890,7895,52,,,,,,,
2018-11-02,8055,8280,8055,8265,8,,,,,,,
2018-11-05,8210,8290,8180,8290,17,,,,,,,
2018-11-06,8290,8295,8230,8250,40,,,,,,,
2018-11-07,8250,8265,8070,8070,10580,,,,,,,
2018-11-08,8245,8255,8170,8180,6,,,,,,,
2018-11-09,8295,8295,8210,8230,5,,,,,,,
2018-11-12,8295,8310,8180,8180,135,,,,,,,
2018-11-13,8065,8190,8015,8165,83,,,,,,,
2018-11-14,8235,8300,8200,8240,343,,,,,,,
2018-11-15,8310,8365,8235,8365,6,,,,,,,
2018-11-16,8405,8455,8400,8430,8,,,,,,,
2018-11-19,8505,8610,8505,8610,25,,,,,,,
2018-11-20,8515,8590,8515,8555,161,,,,,,,
2018-11-21,8520,8570,8495,8570,48,,,,,,,
2018-11-22,8555,8565,8495,8495,248,,,,,,,
2018-11-23,8550,8580,8480,8500,6,,,,,,,
2018-11-26,8545,8650,8530,8650,206,,,,,,,
2018-11-27,8620,8735,8580,8705,175,,,,,,,
2018-11-28,8775,8895,8730,8895,76,,,,,,,
2018-11-29,8975,8975,8865,8865,81,,,,,,,
2018-11-30,8875,8875,8780,8825,19,,,,,,,
2018-12-03,8910,8910,8760,8830,131,,,,,,,
2018-12-04,8820,8820,8740,8785,13,,,,,,,
2018-12-05,8700,8770,8700,8725,9,,,,,,,
2018-12-06,8585,8625,8395,8455,53,,,,,,,
2018-12-07,8535,8535,8420,8480,15,,,,,,,
2018-12-10,8350,8350,8140,8170,105,,,,,,,
2018-12-11,8170,8170,8010,8075,21,,,,,,,
2018-12-12,8120,8265,8120,8230,24,,,,,,,
2018-12-13,8330,8370,8330,8360,10,,,,,,,
2018-12-14,8280,8280,8090,8125,233,,,,,,,
2018-12-17,8115,8115,8015,8095,6,,,,,,,
2018-12-18,8005,8030,7995,8015,36,,,,,,,
2018-12-19,8000,8180,7980,8175,42,,,,,,,
2018-12-20,8115,8190,8055,8100,142,,,,,,,
2018-12-21,8090,8420,8090,8385,6,,,,,,,
2018-12-24,8420,8550,8420,8480,254,,,,,,,
2018-12-26,8390,8395,8285,8330,14,,,,,,,
2018-12-27,8475,8485,8435,8440,28,,,,,,,
2018-12-28,8445,8495,8445,8495,381,,,,,,,
2019-01-02,8670,8695,8365,8405,426,,,,,,,
2019-01-03,8445,8575,8420,8420,20,,,,,,,
2019-01-04,8495,8630,8480,8580,32,,,,,,,
2019-01-07,8725,8805,8725,8790,96,,,,,,,
2019-01-08,8775,8775,8695,8700,10,,,,,,,
2019-01-09,8720,8805,8705,8800,119,,,,,,,
2019-01-10,8815,8815,8750,8785,71,,,,,,,
2019-01-11,8795,8810,8735,8740,624,,,,,,,
2019-01-14,8720,8720,8625,8625,157,,,,,,,
2019-01-15,8605,8755,8605,8710,190,,,,,,,
2019-01-16,8685,8695,8655,8660,49,,,,,,,
2019-01-17,8725,8725,8630,8630,29,,,,,,,
2019-01-18,8715,8755,8715,8755,9,,,,,,,
