Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2018-08-14,15010,15155,14965,15115,40106,,,,,,,
2018-08-16,14805,14890,14530,14810,54954,,,,,,,
2018-08-17,14840,14890,14760,14820,27000,,,,,,,
2018-08-20,14930,15055,14800,14845,20067,,,,,,,
2018-08-21,14830,15190,14760,15150,50096,,,,,,,
2018-08-22,15225,15335,15140,15260,24951,,,,,,,
2018-08-23,15420,15420,15220,15385,20062,,,,,,,
2018-08-24,15305,15565,15220,15520,27300,,,,,,,
2018-08-27,15605,15700,15520,15680,37204,,,,,,,
2018-08-28,15795,15865,15675,15680,30000,,,,,,,
2018-08-29,15695,15805,15690,15765,20000,,,,,,,
2018-08-30,15790,15965,15700,15785,39717,,,,,,,
2018-08-31,15650,15920,15650,15905,20000,,,,,,,
2018-09-03,15830,15880,15670,15720,20000,,,,,,,
2018-09-04,15720,15895,15670,15875,25054,,,,,,,
2018-09-05,15720,15795,15405,15450,20005,,,,,,,
2018-09-06,15340,15530,15330,15390,20007,,,,,,,
2018-09-07,15170,15330,15015,15240,44012,,,,,,,
2018-09-10,15130,15350,15130,15295,10003,,,,,,,
2018-09-11,15290,15410,15100,15200,10000,,,,,,,
2018-09-12,15250,15260,15040,15185,10003,,,,,,,
2018-09-13,15205,15285,15160,15230,10003,,,,,,,
2018-09-14,15495,15715,15490,15685,25042,,,,,,,
2018-09-17,15575,15610,15360,15450,30934,,,,,,,
2018-09-18,15245,15585,15245,15585,3206,,,,,,,
2018-09-19,15700,15700,15490,15615,1010,,,,,,,
2018-09-20,15700,16005,15660,15890,1011,,,,,,,
2018-09-21,15950,16035,15870,16035,1003,,,,,,,
2018-09-27,16045,16325,16020,16280,4002,,,,,,,
2018-09-28,16255,16270,16060,16090,2000,,,,,,,
2018-10-01,16205,16205,15945,16050,5919,,,,,,,
2018-10-02,16050,16120,15655,15665,1000,,,,,,,
2018-10-04,15610,15610,15115,15155,1007,,,,,,,
2018-10-05,15170,15225,14915,15120,13581,,,,,,,
2018-10-08,15035,15190,14965,14965,15048,,,,,,,
2018-10-10,14975,15000,14650,14745,58241,,,,,,,
2018-10-11,14230,14230,13505,13535,48584,,,,,,,
