Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2020-12-24,10025,10030,9980,9995,14476,,,,,,,
2020-12-28,10050,10050,9995,10005,5309,,,,,,,
2020-12-29,10095,10095,10050,10070,1520,,,,,,,
2020-12-30,10080,10170,9910,9945,5158,,,,,,,
2021-01-04,9975,9980,9940,9960,4145,,,,,,,
2021-01-05,9860,9865,9830,9860,2564,,,,,,,
2021-01-06,9965,9985,9890,9910,9766,,,,,,,
2021-01-07,10000,10050,9940,10035,1308,,,,,,,
2021-01-08,10235,10305,10190,10250,2327,,,,,,,
2021-01-11,10145,10165,10100,10120,3412,,,,,,,
2021-01-12,10120,10135,10075,10135,1424,,,,,,,
2021-01-13,10125,10145,10110,10145,845,,,,,,,
2021-01-14,10160,10205,10155,10190,2590,,,,,,,
2021-01-15,10125,10125,10055,10085,1007,,,,,,,
2021-01-18,10075,10075,10030,10070,2010,,,,,,,
2021-01-19,10225,10225,10170,10225,2529,,,,,,,
2021-01-20,10400,10400,10200,10210,2104,,,,,,,
2021-01-21,10255,10290,10200,10265,9495,,,,,,,
2021-01-22,10140,10165,10115,10145,1379,,,,,,,
2021-01-25,10145,10155,10130,10145,1491,,,,,,,
2021-01-26,10185,10185,10135,10170,10068,,,,,,,
2021-01-27,10190,10240,10180,10225,1350,,,,,,,
2021-01-28,10040,10145,10015,10130,1866,,,,,,,
2021-01-29,10325,10330,9850,10265,15703,,,,,,,
2021-02-01,10050,10150,10025,10130,3585,,,,,,,
2021-02-02,10305,10315,10240,10275,16769,,,,,,,
2021-02-03,10280,10280,10220,10275,383,,,,,,,
2021-02-04,10120,10175,10120,10160,563,,,,,,,
2021-02-05,10255,10350,10255,10350,536,,,,,,,
2021-02-08,10325,10325,10305,10325,1055,,,,,,,
2021-02-09,10360,10360,10290,10355,324,,,,,,,
2021-02-10,10280,10310,10240,10265,1592,,,,,,,
2021-02-15,10290,10300,10250,10290,1143,,,,,,,
2021-02-16,10225,10225,10190,10220,1940,,,,,,,
2021-02-17,10175,10215,10145,10190,523,,,,,,,
2021-02-18,10160,10160,10085,10155,925,,,,,,,
2021-02-19,10155,10180,10110,10170,868,,,,,,,
2021-02-22,10170,10190,10135,10190,183,,,,,,,
2021-02-23,10085,10115,10050,10105,1327,,,,,,,
2021-02-24,10075,10120,10060,10110,10540,,,,,,,
2021-02-25,10175,10245,10175,10200,589,,,,,,,
2021-02-26,9980,10030,9940,10020,984,,,,,,,
2021-03-02,10200,10300,10190,10280,16573,,,,,,,
2021-03-03,9910,10080,9910,10065,5143,,,,,,,
2021-03-04,9975,9990,9900,9965,43015,,,,,,,
2021-03-05,9900,9955,9890,9900,451,,,,,,,
2021-03-08,10125,10180,10110,10180,4925,,,,,,,
2021-03-09,10240,10300,10240,10300,780,,,,,,,
2021-03-10,10410,10500,10410,10455,686,,,,,,,
2021-03-11,10335,10440,10330,10435,4257,,,,,,,
2021-03-12,10500,10540,10500,10500,310,,,,,,,
2021-03-15,10465,10480,10400,10440,722,,,,,,,
2021-03-16,10510,10525,10455,10475,868,,,,,,,
2021-03-17,10500,10530,10480,10480,1270,,,,,,,
2021-03-18,10450,10530,10450,10495,1067,,,,,,,
2021-03-19,10360,10380,10325,10335,1327,,,,,,,
2021-03-22,10390,10445,10390,10430,80,,,,,,,
2021-03-23,10525,10525,10495,10515,1593,,,,,,,
2021-03-24,10460,10525,10460,10505,291,,,,,,,
2021-03-25,10500,10555,10495,10550,669,,,,,,,
2021-03-26,10640,10650,10600,10610,192,,,,,,,
2021-03-29,10710,10765,10690,10760,2339,,,,,,,
2021-03-30,10820,10875,10755,10860,1975,,,,,,,
2021-03-31,10880,10880,10815,10820,613,,,,,,,
2021-04-01,10765,10845,10760,10790,266,,,,,,,
2021-04-02,10810,10825,10725,10795,1173,,,,,,,
2021-04-05,10795,10795,10710,10765,1100,,,,,,,
2021-04-06,10770,10845,10750,10760,926,,,,,,,
2021-04-07,10770,10770,10680,10730,563,,,,,,,
2021-04-08,10750,10825,10750,10810,448,,,,,,,
2021-04-09,10715,10825,10710,10825,731,,,,,,,
2021-04-12,10820,10855,10750,10850,698,,,,,,,
2021-04-13,10840,10855,10830,10850,294,,,,,,,
2021-04-14,10820,10900,10820,10845,883,,,,,,,
2021-04-15,10770,10795,10770,10795,443,,,,,,,
2021-04-16,10855,10925,10855,10885,1576,,,,,,,
2021-04-19,10940,10965,10885,10940,120,,,,,,,
2021-04-20,10915,10915,10850,10885,698,,,,,,,
2021-04-21,10935,10955,10845,10955,1656,,,,,,,
2021-04-22,11000,11085,11000,11085,480,,,,,,,
2021-04-23,10995,11010,10970,10970,828,,,,,,,
2021-04-26,10965,11050,10955,10960,737,,,,,,,
2021-04-27,10900,10925,10880,10905,543,,,,,,,
2021-04-28,10820,10825,10800,10800,561,,,,,,,
2021-04-29,10775,10775,10675,10765,859,4,-0.46,,,,,
2021-04-30,10800,10800,10765,10790,346,,,,,,,
2021-05-03,10885,10890,10800,10880,264,,,,,,,
2021-05-04,11035,11035,10900,11035,617,,,,,,,
2021-05-06,11095,11100,11010,11100,315,,,,,,,
2021-05-07,11105,11235,11105,11160,2200,,,,,,,
2021-05-10,11160,11235,11120,11175,1545,,,,,,,
2021-05-11,11190,11235,11120,11235,1035,,,,,,,
2021-05-12,11150,11180,11055,11160,308,,,,,,,
2021-05-13,11005,11005,10915,10980,1319,,,,,,,
2021-05-14,11185,11230,11120,11220,1493,,,,,,,
2021-05-17,11220,11245,11210,11245,446,,,,,,,
2021-05-18,11220,11270,11190,11215,1753,,,,,,,
2021-05-20,11000,11070,11000,11050,635,,,,,,,
2021-05-21,11090,11180,11085,11170,627,,,,,,,
2021-05-24,11165,11210,11110,11185,554,,,,,,,
2021-05-25,11195,11195,11165,11165,675,,,,,,,
2021-05-26,11050,11070,11010,11015,1048,,,,,,,
2021-05-27,11015,11020,10935,11000,339,,,,,,,
2021-05-28,11005,11005,10950,10955,1559,,,,,,,
