Date,Open,High,Low,Close,Volume,Adjshareprice,Adjshareratio,Clsssmajind,Clsssminind,Stockinfo,Adjshareevnt,Prevdayclose
2022-07-29,9950,9985,9950,9975,13,,,,,,,
2022-08-01,10045,10050,10030,10030,3396,,,,,,,
2022-08-02,10085,10085,10045,10045,1658,,,,,,,
2022-08-03,10025,10030,10000,10030,263,,,,,,,
2022-08-04,10025,10050,10010,10050,101810,,,,,,,
2022-08-05,10015,10015,9945,9945,1015,,,,,,,
2022-08-08,9950,9950,9940,9950,156,,,,,,,
2022-08-09,9960,9975,9960,9970,50047,,,,,,,
2022-08-10,9965,9985,9965,9985,78,,,,,,,
2022-08-11,9930,9965,9930,9950,634,,,,,,,
2022-08-12,9965,9965,9935,9935,97,,,,,,,
2022-08-16,10040,10050,10030,10040,822,,,,,,,
2022-08-17,10030,10030,10015,10020,754,,,,,,,
