Date,Open,Close,High,Low,Volume
2016-12-27,9985,9900,9985,9900,534283
2016-12-28,9900,9855,9910,9855,373096
2016-12-29,9840,9885,9890,9840,341891
2017-01-02,9880,9880,9895,9845,478114
2017-01-03,9880,9955,9970,9820,773041
2017-01-04,9915,9900,9920,9865,516302
2017-01-05,10105,10235,10235,10085,484240
2017-01-06,10280,10120,10285,10120,566541
2017-01-09,10120,9865,10120,9850,512998
2017-01-10,9935,10085,10085,9935,525782
2017-01-11,9995,10060,10110,9975,498246
2017-01-12,10250,10260,10315,10250,522867
2017-01-13,10370,10400,10400,10315,428179
2017-01-16,10500,10290,10500,10270,448240
2017-01-17,10225,10425,10425,10200,461235
2017-01-18,10620,10555,10620,10540,499280
2017-01-19,10350,10375,10430,10335,426472
2017-01-20,10420,10520,10520,10365,507199
2017-01-23,10495,10585,10600,10495,455457
2017-01-24,10660,10585,10660,10570,448469
2017-01-25,10535,10580,10595,10525,476803
2017-01-26,10690,10705,10750,10690,456245
2017-01-31,10565,10660,10660,10510,402367
2017-02-01,10835,10715,10840,10715,409390
2017-02-02,10840,10925,10940,10785,355626
2017-02-03,10975,10905,10975,10895,342494
2017-02-06,11060,11105,11135,11055,314118
2017-02-07,11105,10950,11120,10945,307610
2017-02-08,10950,10915,11000,10900,237975
2017-02-09,10950,10950,10990,10905,256548
2017-02-10,10815,10860,10875,10785,242713
2017-02-13,10840,10820,10875,10790,250212
2017-02-14,10875,11090,11095,10850,266480
2017-02-15,11040,11015,11085,10950,270606
2017-02-16,11145,11010,11165,10990,270792
2017-02-17,10980,10940,10980,10910,239815
2017-02-20,10855,10905,10940,10855,205927
2017-02-21,10925,10920,10940,10885,208923
2017-02-22,10990,11000,11070,10985,207942
2017-02-23,11050,11080,11115,11010,231188
2017-02-24,11125,11215,11275,11125,338534
2017-02-27,11170,11165,11220,11155,275237
2017-02-28,11130,11220,11235,11130,264221
2017-03-02,10975,11005,11020,10950,239810
2017-03-03,10870,10730,10875,10730,270372
2017-03-06,10765,10700,10775,10680,263870
2017-03-07,10750,10905,10905,10700,253634
2017-03-08,10830,10915,10965,10815,366790
2017-03-09,10750,10680,10770,10675,257748
2017-03-10,10630,10700,10720,10625,287493
2017-03-13,10855,10915,10915,10800,237574
2017-03-14,10870,10850,10905,10840,207646
2017-03-15,10870,10950,10950,10830,234546
2017-03-16,11190,11150,11200,11125,232323
2017-03-17,11200,11150,11220,11140,247047
2017-03-20,11210,11385,11400,11195,337670
2017-03-21,11490,11405,11510,11400,206395
2017-03-22,11355,11330,11370,11275,223025
2017-03-23,11440,11365,11440,11365,216215
2017-03-24,11395,11355,11395,11315,187969
2017-03-27,11505,11555,11555,11490,192330
2017-03-28,11565,11550,11585,11530,210155
2017-03-29,11465,11505,11550,11465,209852
2017-03-30,11580,11450,11580,11425,208483
2017-03-31,11420,11435,11440,11370,214843
2017-04-03,11460,11490,11560,11460,245748
2017-04-04,11435,11370,11470,11365,203397
2017-04-05,11325,11320,11365,11260,217578
2017-04-06,11235,11135,11265,11110,232446
2017-04-07,11175,11110,11180,11005,228076
2017-04-10,11025,10960,11025,10935,233240
