Date,Open,Close,High,Low,Volume
2018-10-16,10185,10000,10185,10000,943453
2018-10-17,10110,10245,10350,10095,526033
2018-10-18,10180,10060,10215,10060,654693
2018-10-19,9880,10155,10155,9765,871549
2018-10-22,10065,10220,10220,9945,518461
2018-10-23,10030,9590,10030,9590,549037
2018-10-24,9755,9515,9810,9515,517731
2018-10-25,9210,9330,9330,9000,478492
2018-10-26,9245,8965,9250,8795,698820
2018-10-29,9010,8820,9135,8750,589634
2018-10-30,8735,8955,9020,8710,467559
2018-10-31,8950,8930,8950,8790,604661
2018-11-01,8920,8910,9185,8900,507534
2018-11-02,9065,9565,9590,9065,518677
2018-11-05,9400,9560,9560,9180,491896
2018-11-06,9480,9300,9540,9300,509355
2018-11-07,9475,9420,9675,9375,491907
2018-11-08,9670,9740,9820,9600,560959
2018-11-09,9540,9865,9865,9450,487961
2018-11-12,9875,9465,9875,9305,450138
2018-11-13,9160,9575,9575,8980,805881
2018-11-14,9345,9225,9345,9225,511802
2018-11-15,9255,9365,9465,9195,495035
2018-11-16,9535,9450,9620,9445,647566
2018-11-19,9580,9580,9660,9490,499298
2018-11-20,9390,9410,9470,9350,616070
2018-11-21,9150,9370,9370,9060,504724
2018-11-22,9330,9325,9355,9260,513819
2018-11-23,9305,9250,9320,9095,444816
2018-11-26,9270,9395,9420,9210,503929
2018-11-27,9435,9525,9595,9375,416889
2018-11-28,9590,9620,9630,9515,487104
2018-11-29,9700,9675,9920,9610,543868
2018-11-30,9300,9675,9735,9130,517783
2018-12-03,9700,9875,9875,9560,5074
2018-12-04,9880,9640,9880,9525,10752
2018-12-05,9395,9510,9570,9390,1282
2018-12-06,9340,9290,9345,9160,437
2018-12-07,9280,9270,9325,9180,1040
2018-12-10,9265,9155,9265,8960,14454
2018-12-11,9100,9005,9100,8990,5962
2018-12-12,9145,9300,9300,9145,2766
2018-12-13,9395,9350,9430,9265,1873
2018-12-14,9145,8955,9240,8950,23257
2018-12-17,9100,9125,9130,9035,13790
2018-12-18,9020,9025,9110,8930,24891
2018-12-19,9020,9205,9205,9020,12106
2018-12-20,8810,9000,9365,8810,19035
2018-12-21,8985,8980,9030,8945,8155
2018-12-24,8955,8985,9010,8955,16843
2018-12-26,8830,8770,8830,8690,231
2018-12-27,9005,8955,9005,8910,45554
2018-12-28,8950,9080,9145,8950,31645
2019-01-02,9155,8860,9215,8790,15349
2019-01-03,8765,8705,8830,8650,524
2019-01-04,8700,8800,8810,8595,5847
2019-01-07,9025,9025,9125,9010,7606
2019-01-08,9300,8955,9300,8880,2073
2019-01-09,8955,9215,9300,8955,1067
2019-01-10,9365,9295,9365,9225,579
2019-01-11,9305,9420,9450,9305,6506
2019-01-14,9380,9265,9380,9245,199
2019-01-15,9330,9590,9600,9330,2251
2019-01-16,9505,9690,9690,9505,2410
2019-01-17,9735,9705,9775,9645,4647
2019-01-18,9720,9840,9840,9720,966
2019-01-21,9930,9810,9930,9810,513
2019-01-22,9810,9725,9810,9725,114
2019-01-23,9725,9850,9855,9725,2596
2019-01-24,9855,10025,10030,9805,4167
2019-01-25,10155,10350,10390,10110,9769
2019-01-28,10400,10330,10490,10330,617
2019-01-29,10300,10485,10485,10300,10
2019-01-30,10550,10740,10740,10510,4693
2019-01-31,10790,10695,10915,10695,188
2019-02-01,10755,10660,10840,10660,85
2019-02-07,10695,10710,10770,10695,144
2019-02-08,10540,10440,10540,10345,165
2019-02-11,10425,10415,10425,10345,239
2019-02-12,10460,10575,10600,10460,1096
2019-02-13,10555,10685,10745,10555,24009
2019-02-14,10655,10690,10750,10615,265
2019-02-15,10690,10640,10690,10495,13
2019-02-18,10760,10705,10785,10695,8754
2019-02-19,10610,10610,10610,10610,55
2019-02-20,10765,10935,10935,10765,1635
2019-02-21,10835,10915,10925,10775,441
2019-02-22,10880,10945,10945,10805,1795
2019-02-25,10935,10970,10975,10910,2178
2019-02-26,10905,10890,10945,10810,594
2019-02-27,10895,10975,10975,10855,105
2019-02-28,10950,10610,10950,10610,311
2019-03-04,10670,10470,10680,10470,804
2019-03-05,10395,10345,10395,10345,210
2019-03-06,10285,10285,10285,10255,79
2019-03-07,10260,10195,10260,10195,128
2019-03-08,10160,10010,10160,10010,178
2019-03-11,9995,10005,10005,9920,1006
2019-03-12,10265,10250,10265,10200,3920
2019-03-13,10145,10100,10180,10005,1720
2019-03-14,10100,10100,10100,10100,190
2019-03-15,10230,10310,10310,10230,168
2019-03-18,10275,10320,10320,10275,104
2019-03-19,10365,10315,10380,10285,1000
2019-03-20,10280,10335,10335,10095,3536
2019-03-21,10415,10480,10605,10400,5141
2019-03-22,10550,10470,10550,10470,68
2019-03-25,10200,10100,10220,10060,326
2019-03-26,10170,10140,10170,10095,880
2019-03-27,9990,10075,10135,9990,144
2019-03-28,9950,9940,10030,9900,20144
2019-03-29,9960,10030,10045,9960,20041
2019-04-01,10280,10315,10350,10275,1035
2019-04-02,10415,10410,10475,10410,552
2019-04-03,10375,10695,10695,10375,2915
2019-04-04,10455,10720,10865,10455,557
2019-04-05,10770,10750,10770,10750,14
2019-04-08,10715,10700,10715,10700,4
2019-04-09,10720,10795,10800,10720,1034
2019-04-10,10690,10830,10830,10690,25
2019-04-11,10865,10825,10875,10825,636
2019-04-12,11440,10870,11440,10795,46
2019-04-15,10920,10990,11040,10920,104
2019-04-16,10990,11065,11065,10980,32
2019-04-17,11045,11070,11075,11035,14
2019-04-18,10785,10695,10785,10670,10
2019-04-19,10695,10705,10755,10695,1041
2019-04-22,10760,10745,10760,10620,9890
2019-04-23,10695,10735,10770,10695,643
2019-04-24,10600,10560,10600,10470,28
2019-04-25,10495,10525,10560,10470,4075
2019-04-26,10345,10375,10405,10345,672
2019-04-29,10375,10735,10735,10375,15325
2019-04-30,10500,10630,10670,10470,43
2019-05-02,10570,10675,10750,10570,34
2019-05-03,10600,10520,10600,10490,24014
2019-05-07,10520,10335,10520,10205,1307
2019-05-08,10120,10295,10340,10115,21099
2019-05-09,10200,9665,10200,9650,471
2019-05-10,9655,9620,9800,9520,6615
2019-05-13,9495,9425,9535,9390,3626
2019-05-14,9270,9375,9450,9220,4136
2019-05-15,9410,9500,9555,9410,7396
2019-05-16,9445,9270,9445,9235,4429
2019-05-17,9305,9150,9385,9100,760
2019-05-20,9305,9140,9315,9130,1140
2019-05-21,9180,9200,9360,9140,5786
2019-05-22,9235,9255,9255,9075,1414
2019-05-23,9200,9195,9235,9100,197
2019-05-24,9045,9085,9115,8990,513
2019-05-27,8990,9070,9070,8990,1757
2019-05-28,9040,9125,9160,8970,3616
2019-05-29,8895,8860,8920,8795,445
2019-05-30,8985,8995,9010,8900,1794
2019-05-31,8880,9010,9070,8880,1158
2019-06-03,8980,9260,9270,8980,7729
2019-06-04,9260,9275,9290,9205,1400
2019-06-05,9380,9285,9435,9260,2368
2019-06-07,9205,9280,9395,9205,955
2019-06-10,9345,9500,9570,9345,31444
2019-06-11,9505,9630,9645,9505,261
2019-06-12,9610,9550,9615,9550,163
2019-06-13,9505,9465,9530,9300,581
2019-06-14,9455,9425,9505,9375,9357
2019-06-17,9395,9420,9445,9375,690
2019-06-18,9425,9470,9490,9425,946
2019-06-19,9630,9735,9740,9630,3196
2019-06-20,9715,9795,9795,9660,853
2019-06-21,9740,9690,9760,9690,406
2019-06-24,9765,9710,9765,9710,499
2019-06-25,9760,9665,9835,9635,1237
2019-06-26,9700,9695,9785,9665,969
2019-06-27,9770,9870,9955,9745,8021
2019-06-28,9870,9825,9870,9825,369
2019-07-01,9825,9825,9825,9825,22
2019-07-02,9745,9775,9785,9745,164
2019-07-03,9625,9535,9665,9485,4133
2019-07-04,9540,9545,9545,9540,68
2019-07-05,9620,9620,9620,9620,1
2019-07-08,9370,9230,9370,9225,13461
2019-07-09,9285,9145,9295,9145,546
2019-07-10,9285,9230,9290,9220,653
2019-07-11,9255,9460,9495,9255,2053
2019-07-12,9470,9470,9470,9470,189
2019-07-15,9390,9470,9470,9355,590
2019-07-16,9525,9545,9560,9470,1991
2019-07-17,9330,9380,9380,9310,71
2019-07-18,9325,9255,9345,9255,3208
2019-07-19,9390,9555,9605,9390,325
2019-07-22,9600,9600,9600,9600,118
2019-07-23,9640,9665,9665,9640,72
2019-07-24,9615,9485,9635,9485,10
2019-07-25,9455,9445,9470,9350,1254
2019-07-26,9335,9385,9385,9305,2511
2019-07-29,9275,9060,9275,9030,3511
2019-07-30,9130,9125,9170,9075,7230
2019-07-31,8995,8985,9060,8890,6366
2019-08-01,8870,8890,8990,8850,386
2019-08-02,8795,8715,8795,8650,3694
2019-08-05,8615,8270,8615,8265,808
2019-08-06,7945,8020,8230,7755,7008
2019-08-07,8030,7940,8080,7895,12936
2019-08-08,7970,8040,8115,7945,25547
2019-08-09,8140,8125,8200,8105,2614
