Date,Open,Close,High,Low,Volume
2018-11-28,10075,10135,10145,10025,1703
2018-11-29,10220,10125,10225,10125,2607
2018-11-30,10215,10120,10215,10105,1004
2018-12-03,10275,10555,10560,10275,2915
2018-12-04,10600,10465,10600,10450,1144
2018-12-05,10335,10300,10360,10300,24
2018-12-06,10330,9995,10330,9995,2019
2018-12-07,9995,10065,10065,9995,133
2018-12-10,10000,9875,10200,9845,2079
2018-12-11,9900,9810,9995,9810,780
2018-12-12,9885,10010,10250,9885,1202
2018-12-13,10125,10140,10200,10125,502
2018-12-14,10000,9970,10000,9970,130
2018-12-17,9915,9955,9955,9915,51
2018-12-18,9875,9715,9875,9690,146
2018-12-19,9690,9650,9945,9650,20186
2018-12-20,9695,9485,9695,9465,251
2018-12-21,9385,9480,9715,9385,2263
2018-12-24,9825,9390,9825,9385,233
2018-12-26,9335,9280,9410,9280,610
2018-12-27,9420,9570,9585,9420,50132
2018-12-28,9450,9495,9495,9450,2517
2019-01-02,9580,9260,9670,9250,25706
2019-01-03,9315,9145,9540,9145,1614
2019-01-04,9190,9360,9385,9190,1749
2019-01-07,9400,9530,9550,9400,745
2019-01-08,9595,9590,9640,9590,927
2019-01-09,9650,9825,9825,9650,372
2019-01-10,9890,9890,9920,9875,244
2019-01-11,9935,9960,9960,9935,185
2019-01-14,10115,9800,10115,9800,945
2019-01-15,9850,9930,10000,9820,679
2019-01-16,9955,10030,10335,9940,23824
2019-01-17,10030,10040,10100,10030,103
2019-01-18,10100,10115,10175,10100,1204
2019-01-21,10250,10250,10250,10250,1
2019-01-22,10245,10075,10245,10075,92
2019-01-23,10105,10105,10105,10105,1
2019-01-24,10105,10105,10105,10105,10
2019-01-25,10220,10270,10275,10220,13
2019-01-28,10270,10300,10400,10270,1055
2019-01-29,10220,10320,10320,10220,22
2019-01-30,10285,10365,10365,10285,21
2019-01-31,10505,10600,10600,10505,11
2019-02-01,10550,10545,10625,10545,389
2019-02-07,10655,10655,10655,10655,16
2019-02-08,10410,10500,10740,10390,22021
2019-02-11,10550,10550,10550,10550,0
2019-02-12,10800,10600,10800,10600,41
2019-02-13,10705,10800,11300,10705,6023
2019-02-14,10710,10710,10710,10710,0
2019-02-15,10800,10505,10800,10505,3000
