Date,Open,Close,High,Low,Volume
2016-06-10,2045,2350,2350,2045,30020
2016-06-13,2700,2700,2700,2700,510
2016-06-14,3105,3105,3105,3105,860
2016-06-15,3570,3570,3570,3570,170
2016-06-16,4105,4105,4105,4105,71
2016-06-17,4720,4720,4720,4720,16507
2016-06-20,5400,4030,5400,4030,1579
2016-06-21,4040,4630,4630,4040,3509
2016-06-22,5000,4980,5000,4980,1017
2016-06-23,4500,4890,4900,4235,821
2016-06-24,5370,4890,5370,4160,2122
2016-06-27,4160,4890,4890,4160,50
2016-06-28,4200,4870,4870,4200,101
2016-06-29,4200,4790,4790,4200,802
2016-06-30,4250,4690,4690,4250,72
2016-07-01,4200,4695,4695,4200,1194
2016-07-04,4800,4780,4800,4780,160
2016-07-05,4250,4500,4500,4250,210
2016-07-06,4361,4361,4361,4193,831
2016-07-07,4178,4738,4748,4178,811
2016-07-08,4728,4728,4728,4728,0
2016-07-11,4560,4560,4560,4560,2340
2016-07-12,4560,4560,4560,4560,0
2016-07-13,4698,4560,4698,4560,203
2016-07-14,4758,4758,4758,4758,1
2016-07-15,4163,4738,4738,4064,115
2016-07-18,4708,4708,4708,4708,6
2016-07-19,4698,4698,4698,4698,0
2016-07-20,4173,4560,4560,4173,736
2016-07-21,4941,4941,4941,4941,5
2016-07-22,4560,4560,4560,4560,0
2016-07-25,5243,5243,5243,5243,8
2016-07-26,5947,5947,5947,5947,3
2016-07-27,5154,5917,6829,5144,1795
2016-07-28,5313,5501,5501,5055,1146
2016-07-29,4678,5253,5253,4678,1150
2016-08-01,4738,5154,5154,4470,935
2016-08-02,5927,5739,5927,4381,26
2016-08-03,4887,5947,5947,4887,22
2016-08-04,6839,6839,6839,6839,2
2016-08-05,7434,5818,7434,5818,174
2016-08-08,4946,4946,4946,4946,100
2016-08-09,4208,4758,4906,4208,699
2016-08-10,5471,4659,5471,4044,662
2016-08-11,3975,4361,4649,3975,1533
2016-08-12,4460,4262,4460,4064,329
2016-08-16,4837,4837,4837,4837,2
2016-08-17,4113,4837,4837,4113,437
2016-08-18,5293,4560,5293,4560,2
2016-08-19,3876,4450,4450,3876,27
2016-08-22,4064,4262,4262,4064,262
2016-08-23,3623,4852,4852,3623,16
2016-08-24,4128,4361,4361,4128,408
2016-08-25,3925,4262,4262,3925,307
2016-08-26,3623,4659,4659,3623,29
2016-08-29,4609,4609,4609,4609,90
2016-08-30,4550,4550,4550,4550,2
2016-08-31,3871,3871,3871,3871,262
2016-09-01,3484,3965,3965,3484,317
2016-09-02,4450,3965,4450,3469,70
2016-09-05,4163,4133,4163,4133,33
2016-09-06,3990,3990,3990,3990,0
2016-09-07,4163,4163,4163,4163,1
