Date,Open,Close,High,Low,Volume
2001-01-11,900,900,900,900,1800879
2001-01-12,1000,1000,1000,950,3517335
2001-01-15,1120,1120,1120,1120,65293
2001-01-16,1250,1250,1250,1250,14370
2001-01-17,1400,1400,1400,1400,579999
2001-01-18,1560,1560,1560,1560,116125
2001-01-19,1740,1740,1740,1620,4711406
2001-01-22,1940,1940,1940,1850,1817901
2001-01-26,2170,2170,2170,2170,91009
2001-01-29,2430,2430,2430,2300,1003575
2001-01-30,2720,2720,2720,2650,600791
2001-01-31,3040,2840,3040,2400,5231131
2001-02-01,2690,2500,2890,2500,2521650
2001-02-02,2400,2200,2460,2200,3043256
2001-02-05,2150,2420,2460,2000,3743343
2001-02-06,2400,2250,2500,2180,1732786
2001-02-07,2330,2120,2400,2100,1758213
2001-02-08,2100,2180,2260,2080,1838236
2001-02-09,2200,2200,2380,2150,2173768
2001-02-12,2100,2140,2230,2100,1038606
2001-02-13,2160,2170,2220,2140,1528348
2001-02-14,2210,2250,2290,2180,1545341
2001-02-15,2300,2210,2340,2190,1033497
2001-02-16,2190,2110,2190,2080,969920
2001-02-19,2070,2140,2150,2020,751441
2001-02-20,2150,2200,2280,2140,1609812
2001-02-21,2200,2110,2210,2110,510460
2001-02-22,2150,2080,2190,2020,716088
2001-02-23,2000,2060,2070,2000,338788
2001-02-26,2090,2100,2160,2040,1122904
2001-02-27,2130,2030,2150,2030,591033
2001-02-28,2030,1920,2090,1860,721991
2001-03-02,1880,1690,1890,1690,627463
2001-03-05,1570,1680,1680,1490,788525
2001-03-06,1750,1590,1770,1590,439569
2001-03-07,1610,1780,1780,1610,609301
2001-03-08,1880,1990,1990,1850,261864
2001-03-09,2080,1930,2080,1890,1482409
2001-03-12,1830,1720,1840,1710,507483
2001-03-13,1590,1740,1920,1520,1384478
2001-03-14,1800,1850,1880,1800,523423
2001-03-15,1700,1800,1830,1700,289990
2001-03-16,1750,1840,1840,1750,331865
2001-03-19,1800,1840,1920,1750,342317
2001-03-20,1900,1880,2050,1830,986652
2001-03-21,1800,1890,1960,1800,418974
2001-03-22,1920,1830,1940,1810,372485
2001-03-23,1850,1780,1860,1780,306333
2001-03-26,1790,1850,1860,1780,249929
2001-03-27,1850,1790,1850,1780,126776
2001-03-28,1810,1770,1840,1710,164693
2001-03-29,1720,1710,1760,1700,111386
2001-03-30,1700,1680,1740,1630,167992
2001-04-02,1640,1700,1710,1640,85541
2001-04-03,1690,1630,1700,1600,138240
2001-04-04,1600,1600,1650,1490,168451
2001-04-06,1650,1720,1760,1640,337304
2001-04-09,1720,1680,1790,1680,359224
2001-04-10,1750,1640,1750,1630,164855
2001-04-11,1700,1670,1730,1650,191360
2001-04-12,1740,1800,1860,1660,675329
2001-04-13,1840,1750,1850,1730,447241
2001-04-16,1760,1720,1790,1710,174837
2001-04-17,1730,1720,1750,1680,210043
2001-04-18,1750,1860,1870,1730,837541
2001-04-19,1920,1800,1940,1780,816614
2001-04-20,1830,1720,1830,1700,461134
2001-04-23,1730,1740,1800,1710,500368
2001-04-24,1710,1730,1750,1700,187703
2001-04-25,1730,1800,1810,1720,424191
2001-04-26,1800,1730,1830,1730,353990
2001-04-27,1750,1750,1750,1710,112772
2001-04-30,1780,1770,1780,1750,294504
2001-05-02,1780,1770,1780,1750,317142
2001-05-03,1780,1720,1790,1720,143445
2001-05-04,1730,1730,1760,1720,160697
2001-05-07,1750,1760,1790,1720,330832
2001-05-08,1780,1970,1970,1770,1070292
2001-05-09,2000,1850,2030,1830,1783321
2001-05-10,1850,2000,2070,1810,3482576
2001-05-11,1980,2000,2100,1980,1418036
2001-05-14,2120,2240,2240,2010,2667326
2001-05-15,2240,2000,2420,1980,4581164
2001-05-16,2060,2000,2140,1920,2051399
2001-05-17,2100,1980,2120,1950,1105770
2001-05-18,1960,1960,2010,1910,1195476
2001-05-21,1960,2010,2050,1950,884932
2001-05-22,2050,2050,2080,1970,907688
2001-05-23,2090,2100,2210,2060,2178174
2001-05-24,2060,2030,2120,1990,720883
2001-05-25,2050,2050,2070,1980,669215
2001-05-28,2000,2040,2100,2000,547029
2001-05-29,2040,2060,2110,2030,993710
2001-05-30,2090,2080,2160,2040,1213052
2001-05-31,2080,1980,2080,1980,630088
2001-06-01,2000,1920,2020,1890,551635
2001-06-04,1920,1930,2000,1900,610970
2001-06-05,1900,1860,1950,1860,401100
2001-06-07,1840,1800,1880,1780,364804
2001-06-08,1820,1810,1830,1800,372579
2001-06-11,1780,1790,1820,1780,153867
2001-06-12,1760,1800,1810,1760,252474
2001-06-13,1820,1840,1870,1790,292336
2001-06-14,1830,1810,1830,1800,143239
2001-06-15,1800,1830,1870,1780,272314
2001-06-18,1790,1810,1840,1790,194492
2001-06-19,1810,1800,1830,1780,176419
2001-06-20,1780,1740,1800,1730,160167
2001-06-21,1750,1760,1790,1740,159587
2001-06-22,1760,1750,1790,1730,145171
2001-06-25,1730,1720,1760,1720,149354
2001-06-26,1700,1660,1730,1650,158309
2001-06-27,1640,1630,1690,1630,130915
2001-06-28,1640,1660,1700,1640,88457
2001-06-29,1750,1780,1790,1680,187484
2001-07-02,1780,1780,1810,1720,90390
2001-07-03,1780,1740,1780,1710,116107
2001-07-04,1740,1720,1760,1710,81671
2001-07-05,1720,1740,1750,1670,238962
2001-07-06,1740,1640,1740,1630,136574
2001-07-09,1640,1540,1650,1520,180271
2001-07-10,1600,1650,1720,1550,299968
2001-07-11,1680,1610,1680,1540,165212
2001-07-12,1650,1680,1680,1620,147760
2001-07-13,1680,1620,1720,1610,148222
2001-07-16,1620,1640,1640,1610,81832
2001-07-18,1640,1630,1700,1610,137163
2001-07-19,1630,1700,1700,1580,119444
2001-07-20,1680,1640,1690,1620,42663
2001-07-23,1650,1600,1680,1590,139973
2001-07-24,1580,1540,1580,1510,70567
2001-07-25,1540,1550,1570,1530,145914
2001-07-26,1550,1580,1670,1550,264173
2001-07-27,1580,1600,1650,1580,121906
2001-07-30,1600,1590,1620,1570,54245
2001-07-31,1610,1630,1680,1600,126881
2001-08-01,1630,1680,1750,1630,309185
2001-08-02,1710,1670,1720,1660,102603
2001-08-03,1700,1670,1710,1640,108562
2001-08-06,1670,1660,1690,1620,78323
2001-08-07,1640,1670,1720,1640,142968
2001-08-08,1700,1720,1830,1670,979345
2001-08-09,1720,1700,1800,1650,411947
2001-08-10,1740,1700,1750,1670,179828
2001-08-13,1790,1790,1830,1740,924912
2001-08-14,1800,1750,1810,1730,261434
2001-08-16,1730,1630,1730,1630,219303
2001-08-17,1630,1640,1700,1630,234601
2001-08-20,1590,1600,1630,1580,125134
2001-08-21,1620,1590,1640,1550,212528
2001-08-22,1590,1580,1610,1560,168617
2001-08-23,1610,1560,1620,1550,101477
2001-08-24,1550,1560,1580,1530,68395
2001-08-27,1580,1580,1600,1570,72155
2001-08-28,1550,1570,1580,1550,59592
2001-08-29,1550,1540,1560,1520,43542
2001-08-30,1570,1540,1570,1510,84396
2001-08-31,1480,1480,1530,1440,89040
2001-09-03,1480,1480,1500,1460,95518
2001-09-04,1430,1530,1530,1430,59555
2001-09-05,1510,1470,1510,1460,48034
2001-09-06,1470,1560,1590,1470,267940
2001-09-07,1520,1530,1560,1500,53579
2001-09-10,1500,1530,1540,1500,49535
2001-09-11,1510,1490,1530,1460,92947
2001-09-12,1320,1320,1320,1320,4402
