Date,Open,Close,High,Low,Volume
2016-07-19,5910,5910,5940,5800,168670
2016-07-20,5950,5870,5950,5820,139397
2016-07-21,5870,5900,6130,5870,433787
2016-07-22,5930,5880,5980,5820,132310
2016-07-25,5880,5920,5930,5830,103128
2016-07-26,5880,6000,6050,5880,171814
2016-07-27,6000,6040,6130,5990,288379
2016-07-28,6040,6100,6180,5980,201505
2016-07-29,6100,5940,6160,5920,196330
2016-08-01,5950,6050,6090,5950,189763
2016-08-02,6050,6050,6120,6030,162337
2016-08-03,6010,6120,6150,5910,211340
2016-08-04,6120,6020,6230,6010,352550
2016-08-05,6030,6020,6100,6010,94442
2016-08-08,6020,6140,6150,6010,203170
2016-08-09,6120,6170,6220,6030,196682
2016-08-10,6230,6040,6240,6030,300278
2016-08-11,6060,5910,6100,5910,191825
2016-08-12,5920,5910,6020,5840,147993
2016-08-16,5860,5830,5920,5790,172907
2016-08-17,5800,5800,5900,5750,94800
2016-08-18,5770,5830,5890,5740,71870
2016-08-19,5840,5700,5900,5670,216730
2016-08-22,5700,5660,5750,5630,94215
2016-08-23,5650,5680,5760,5630,58541
2016-08-24,5650,5760,5760,5620,78866
2016-08-25,5720,5650,5750,5610,134672
2016-08-26,5610,5600,5690,5540,91116
2016-08-29,5630,5780,5820,5580,173495
2016-08-30,5800,5630,5800,5630,112228
2016-08-31,5620,5570,5730,5570,100226
2016-09-01,5580,5570,5650,5510,91352
2016-09-02,5570,5580,5630,5550,60633
2016-09-05,5620,5640,5710,5580,107737
2016-09-06,5650,5690,5720,5600,85603
2016-09-07,5690,5880,5880,5670,200634
2016-09-08,5770,5690,5820,5690,134418
2016-09-09,5690,5620,5720,5580,78691
2016-09-12,5560,5670,5690,5530,46118
2016-09-13,5670,5630,5820,5580,121227
2016-09-19,5630,5590,5670,5550,47712
2016-09-20,5580,5650,5650,5560,65711
2016-09-21,5630,5640,5640,5550,83617
2016-09-22,5660,5800,5820,5610,191384
2016-09-23,5830,5740,5830,5720,54760
2016-09-26,5820,5690,5820,5690,53854
2016-09-27,5720,5700,5730,5640,39657
2016-09-28,5730,5780,5800,5700,91610
2016-09-29,5790,5770,5810,5700,80662
2016-09-30,5770,5640,5770,5640,92667
2016-10-04,5720,5740,5740,5650,58926
2016-10-05,5740,5820,5840,5700,141062
2016-10-06,5870,5710,5970,5710,148854
2016-10-07,5790,5860,6000,5740,318996
2016-10-10,5830,6030,6030,5830,490493
2016-10-11,6070,5950,6070,5870,257244
