Date,Open,Close,High,Low,Volume
2015-12-11,12472,12472,12472,12472,0
2015-12-14,12472,12472,12472,12472,0
2015-12-15,12472,12472,12472,12472,0
2015-12-16,10190,8810,10508,8783,622685
2015-12-17,8810,8783,9181,8492,325025
2015-12-18,8810,8438,8890,8438,176331
2015-12-21,7802,7563,7961,7218,437448
2015-12-22,7669,7483,7881,7297,223741
2015-12-23,7457,7350,7563,7218,188827
2015-12-24,7457,7271,7563,7244,91962
2015-12-28,7271,7165,7430,7059,64702
2015-12-29,7138,7112,7244,7032,97458
2015-12-30,7350,9235,9235,7271,1395052
2016-01-04,9022,10747,11835,8412,1818594
2016-01-05,9394,9500,10323,8943,699752
2016-01-06,9500,9447,10349,9049,465551
2016-01-07,9288,9128,9420,8598,169358
2016-01-08,8783,9579,10269,8545,486592
2016-01-11,9818,9208,9871,8969,111204
2016-01-12,9288,8545,9579,8279,213296
2016-01-13,8518,8757,8757,8067,92212
2016-01-14,8757,9845,10323,8677,665011
2016-01-15,10137,9845,10455,9420,202893
2016-01-18,10163,9978,10721,9712,327030
2016-01-19,9898,9633,10031,9261,158802
2016-01-20,9447,9341,9633,9022,84488
2016-01-21,9473,9367,9473,8969,69680
2016-01-22,9473,8545,9500,8545,96546
2016-01-25,8757,8226,8836,8014,98409
2016-01-26,8253,8253,8438,8120,47066
2016-01-27,8253,8704,10190,8226,462599
2016-01-28,8545,8783,8863,8412,65379
2016-01-29,8916,8704,8916,8571,57153
2016-02-01,8677,9022,9818,8518,212140
2016-02-02,9049,8916,9235,8598,65210
2016-02-03,8836,9473,9526,8757,96259
2016-02-04,9394,9633,9659,9235,55498
2016-02-05,9633,9792,9871,9473,70941
2016-02-11,9792,10243,10243,9341,128989
2016-02-12,10667,10110,11357,9022,380724
2016-02-15,10137,10349,10535,9579,104332
2016-02-16,10561,11278,11994,10455,272564
2016-02-17,12207,10774,13427,10641,481589
2016-02-18,10774,9792,10800,9712,195478
2016-02-19,9818,10084,10376,9526,109244
2016-02-22,10084,10084,10269,9871,89825
2016-02-23,10004,9871,10084,9633,58583
2016-02-24,9978,10827,11543,9553,333984
2016-02-25,10933,11490,12180,10667,235716
2016-02-26,11278,11729,12578,11278,300083
2016-02-29,12047,11623,12472,11570,147857
2016-03-02,12100,11623,12180,11198,112856
2016-03-03,11941,11649,11941,11331,122716
2016-03-04,11570,10880,11570,10853,191780
2016-03-07,10376,10429,10774,10296,130066
2016-03-08,10508,10323,10561,10031,83519
2016-03-09,10323,10376,10508,10137,80322
2016-03-10,10402,10588,11437,10349,177611
2016-03-11,10455,9898,10774,9659,244635
2016-03-14,9633,9633,9659,8969,155465
2016-03-15,9765,10057,10402,9447,170956
2016-03-16,10349,9500,10349,9394,120649
2016-03-17,9022,9924,10137,9022,126376
2016-03-18,9898,9712,10190,9712,47927
2016-03-21,9633,9447,9686,9235,85296
2016-03-22,9633,9686,9792,9420,64843
2016-03-23,9686,10482,11145,9659,212704
2016-03-24,10508,11304,11729,10508,284372
2016-03-25,11941,11278,11994,10827,185968
2016-03-28,11278,10774,11357,10323,125484
2016-03-29,10614,10535,11092,10349,80580
2016-03-30,10588,10641,11092,10402,82001
2016-03-31,10588,10482,10800,10296,49137
2016-04-01,10482,11172,11172,9898,174880
2016-04-04,11092,13799,14383,11039,813919
2016-04-05,13374,12472,13533,11994,483001
2016-04-06,12366,12260,12419,11676,267968
2016-04-07,12180,12445,13029,12021,296881
2016-04-08,12472,11437,12472,11172,281797
2016-04-11,11464,11649,12578,11464,222352
2016-04-12,11809,11357,11809,11304,68134
2016-04-14,11357,11357,11676,11198,92230
2016-04-15,11304,11410,11410,10774,123517
2016-04-18,11464,11225,11782,11145,100416
2016-04-19,11304,12366,12445,11251,315642
2016-04-20,12525,13268,13401,12074,279184
2016-04-21,13029,12923,13321,12472,145901
2016-04-22,12976,13586,14250,12870,347451
2016-04-25,13029,13586,13586,12127,173221
2016-04-26,13799,13480,14064,12764,125223
2016-04-27,13480,13772,14144,13188,151793
2016-04-28,13746,14383,14621,13401,179728
2016-04-29,14595,13799,14595,13135,264292
2016-05-02,13772,13533,14117,13427,125780
2016-05-03,13321,13135,13533,12498,156344
2016-05-04,13109,12896,13215,12366,122165
2016-05-09,12737,12313,12817,12021,82954
2016-05-10,11915,13003,13082,11835,114809
2016-05-11,13003,13056,13666,12950,145556
2016-05-12,13348,12790,13348,12127,126550
2016-05-13,12790,12684,13321,12658,119644
2016-05-16,12684,13215,13533,12419,123974
2016-05-17,13215,12896,13693,12127,153984
2016-05-18,12950,13746,13746,12525,181121
2016-05-19,14117,12737,14515,12737,156433
2016-05-20,12313,13560,13666,12313,116331
2016-05-23,13533,13321,14144,13268,103536
2016-05-24,13321,13003,13905,13003,92404
2016-05-25,13082,12631,13321,12631,84514
2016-05-26,12658,12843,12896,11994,92309
2016-05-27,12896,12313,12896,12207,87079
2016-05-30,12339,12658,12843,12047,84062
2016-05-31,12631,12339,12843,12286,38917
2016-06-01,12498,12445,12525,12047,62802
2016-06-02,12498,12260,12552,12047,52668
2016-06-03,12260,11809,12445,11809,75089
2016-06-07,11888,12313,12339,11835,45608
2016-06-08,12525,12339,13533,12339,303471
2016-06-09,12525,12472,12684,12233,58595
2016-06-10,12525,12127,12711,11968,83727
2016-06-13,12419,11835,12419,11835,67273
2016-06-14,11782,11437,12047,11251,87662
2016-06-15,11304,12074,12870,10614,338389
2016-06-16,12207,11994,12684,11835,133734
2016-06-17,12260,12445,13056,12153,186612
2016-06-20,13109,15179,15630,12737,976595
2016-06-21,15364,15550,17726,14170,769602
2016-06-22,16240,15948,16744,15364,381745
2016-06-23,15895,15975,16081,14754,144165
2016-06-24,15975,15311,16399,13321,205505
2016-06-27,14860,15126,15709,14117,164552
2016-06-28,14860,14356,14860,13533,279942
2016-06-29,14648,15417,16399,14621,494244
2016-06-30,15232,16426,17248,15232,542087
2016-07-01,16744,17355,17514,16558,336575
2016-07-04,17434,17806,18416,17434,287134
2016-07-05,17832,15683,18787,15683,390820
2016-07-06,17408,16293,18575,15683,606490
2016-07-07,16452,16160,16903,15072,361773
2016-07-08,16903,15762,16903,15630,159007
2016-07-11,16612,16320,16612,15444,145435
2016-07-12,16267,16187,16612,15869,68760
2016-07-13,16001,16107,16426,15895,71147
2016-07-14,16107,15630,16107,15391,93576
2016-07-15,15497,14807,15603,14542,138379
2016-07-18,14807,14648,15099,14117,93768
2016-07-19,14462,15736,16320,14170,200576
2016-07-20,15656,14860,16187,14595,189320
2016-07-21,14913,14489,15126,14064,108592
2016-07-22,14462,14356,14754,14144,48732
2016-07-25,14383,14727,15285,13693,122300
2016-07-26,14727,14727,15019,14595,38227
2016-07-27,14781,14568,14993,14515,56454
2016-07-28,14568,14568,14860,14329,46383
2016-07-29,14595,15099,15364,14329,119601
2016-08-01,15577,15126,15603,15099,72012
2016-08-02,14966,15232,15364,14860,34283
2016-08-03,15232,14781,15232,14542,39853
2016-08-04,15311,14648,15311,14595,18582
2016-08-05,14966,14595,15285,14595,71625
2016-08-08,14648,15524,15603,14648,143573
2016-08-09,15577,15709,16134,15577,133191
2016-08-10,15656,15550,16134,15550,125524
2016-08-11,15285,14940,15285,14329,230121
2016-08-12,14436,13852,14595,13825,259976
2016-08-16,13852,13162,14223,13029,160542
2016-08-17,12631,13109,13215,11649,189964
2016-08-18,13003,12817,13188,12631,60765
2016-08-19,12817,13374,13666,12817,62125
2016-08-22,13135,12843,13640,12764,49400
2016-08-23,12790,10959,12790,10880,505136
2016-08-24,10508,9022,10588,8306,2210756
2016-08-25,9261,8545,9447,8279,777279
2016-08-26,8545,9420,9898,7961,1512683
2016-08-29,10031,9208,10296,8969,754228
2016-08-30,9208,8996,9288,8704,212325
2016-08-31,8996,8624,8996,8518,137604
2016-09-01,8651,9181,9181,8465,133153
2016-09-02,9181,9128,9288,8890,98238
2016-09-05,9102,9075,9102,8757,62705
2016-09-06,9075,9022,9420,8757,135581
2016-09-07,9022,8863,9155,8651,79217
2016-09-08,8863,8571,8969,8385,108808
2016-09-09,8492,8147,8571,7908,170825
2016-09-12,7881,7642,8067,7430,108722
2016-09-13,7775,7934,8147,7669,85980
2016-09-19,8014,7749,8093,7722,44227
2016-09-20,7881,7828,8147,7722,77873
2016-09-21,7218,8093,8359,7112,186996
2016-09-22,8147,8093,8465,7961,69089
2016-09-23,8120,8200,8359,8014,39055
2016-09-26,8067,8200,8279,7961,45408
2016-09-27,8200,7961,8200,7908,39865
2016-09-28,7961,8014,8147,7749,36581
2016-09-29,8014,8014,8067,7881,33758
2016-09-30,7961,7881,8014,7722,34557
2016-10-04,7934,7510,7934,7510,42076
2016-10-05,7616,7483,7802,7324,39503
2016-10-06,7536,7775,7775,7510,23761
2016-10-07,7802,7749,7802,7430,35924
2016-10-10,7749,7722,7775,7536,27572
2016-10-11,7855,7695,7855,7563,17970
2016-10-12,7563,7802,7855,7510,32715
2016-10-13,7961,7749,7961,7589,15270
2016-10-14,7616,7589,7828,7483,18757
2016-10-17,7589,7669,7855,7563,14029
2016-10-18,7616,7218,7802,7165,30376
2016-10-19,7218,7563,7616,6899,80632
2016-10-20,7536,7218,7563,7191,32160
2016-10-21,7244,7191,7430,7006,31535
2016-10-24,7085,6740,7191,6714,51927
2016-10-25,6820,6899,6899,6634,30005
2016-10-26,6793,6793,7006,6581,29344
2016-10-27,6793,6899,6979,6687,21612
2016-10-28,7006,7218,7589,6899,55508
2016-10-31,7059,7483,7695,6979,51162
2016-11-01,7457,7483,7695,7244,19824
2016-11-02,7483,6952,7642,6952,27848
2016-11-03,6687,7112,7165,6687,19893
2016-11-04,7059,7085,7377,6767,15847
2016-11-07,6846,6714,7165,6607,41465
2016-11-08,7218,6740,7271,6607,44896
2016-11-09,6714,6528,6952,5944,61035
2016-11-10,6448,6528,6740,6422,18968
2016-11-11,6528,6316,6634,6262,43386
2016-11-14,6316,6369,6607,6262,42553
2016-11-15,6369,6262,6528,6262,19363
2016-11-16,6369,6554,6554,6262,42178
2016-11-17,6607,6528,6661,6369,24039
2016-11-18,6448,6501,6687,6342,17771
2016-11-21,6369,6103,6528,5971,55371
2016-11-22,6209,5838,6209,5838,30419
2016-11-23,6050,5626,6050,5466,26523
2016-11-24,5466,5864,5944,5413,37549
2016-11-25,5758,5838,5971,5519,13994
2016-11-28,5944,5811,5944,5732,9480
2016-11-29,5811,5732,5811,5573,21792
2016-11-30,5785,5626,5811,5466,19400
2016-12-01,5546,5652,5758,5360,55856
2016-12-02,5652,5546,5918,5546,36870
2016-12-05,5573,5599,5758,5387,23516
2016-12-06,5785,5732,5944,5573,36036
2016-12-07,5599,5997,5997,5599,37626
2016-12-08,6050,6209,6448,6024,82038
2016-12-09,6369,6475,7059,6209,220027
2016-12-12,6528,6369,7669,6342,388983
2016-12-13,6369,6475,6661,6130,60045
2016-12-14,6740,7059,7536,6528,250009
2016-12-15,7059,7059,7218,6767,46806
2016-12-16,7165,7218,7589,6952,80734
2016-12-19,7059,7244,7616,7032,74982
2016-12-20,7510,7191,7510,7112,14614
2016-12-21,7191,6979,7218,6554,67595
2016-12-22,7165,7032,7165,6634,36220
2016-12-23,7191,7165,7430,6846,137434
2016-12-26,7165,7510,7510,7059,90549
2016-12-27,7669,7483,7828,7350,109101
2016-12-28,7457,7404,7695,7032,74496
2016-12-29,7563,7059,7563,7059,41240
2017-01-02,7218,7138,7350,7059,15508
2017-01-03,7218,7112,7218,6952,28251
2017-01-04,7112,7032,7112,6873,20916
2017-01-05,7191,7138,7218,6979,21533
2017-01-06,7218,7165,7430,7059,32614
2017-01-09,7165,7218,7297,7112,13436
2017-01-10,7324,7112,7324,7059,15266
2017-01-11,7271,7085,7271,7059,9653
2017-01-12,6926,6873,7191,6661,41200
2017-01-13,6767,6979,7006,6767,21321
2017-01-16,7059,7112,7112,6899,22126
2017-01-17,6979,7006,7191,6979,16765
2017-01-18,7059,6979,7112,6820,12226
2017-01-19,6979,7218,7218,6846,29957
2017-01-20,7324,7191,7324,7006,25793
2017-01-23,7244,6952,7271,6899,17589
2017-01-24,6952,7032,7165,6793,26527
2017-01-25,7059,7244,7589,7059,37960
2017-01-26,7271,7642,8226,7112,157716
2017-01-31,7908,7881,8200,7563,124576
2017-02-01,7881,8040,8651,7589,164286
2017-02-02,7934,7802,8040,7695,39363
2017-02-03,7802,8120,8438,7802,99210
2017-02-06,8385,7828,8385,7828,31981
2017-02-07,7828,7855,8332,7775,56981
2017-02-08,7908,7669,7908,7483,45620
2017-02-09,7749,7669,7855,7510,18856
2017-02-10,7536,7828,7908,7430,17400
2017-02-13,7589,7828,7855,7589,19562
2017-02-14,7722,7642,7802,7589,18134
2017-02-15,7669,7722,7828,7483,15016
2017-02-16,7881,7695,7881,7616,6678
2017-02-17,7802,7589,7802,7510,16303
2017-02-20,7642,7510,7642,7324,28970
2017-02-21,7404,7350,7510,7112,24726
2017-02-22,7377,7032,7404,6873,69285
2017-02-23,7059,7006,7085,6634,34770
2017-02-24,6899,6979,7138,6793,25557
2017-02-27,7006,7006,7218,6979,7124
2017-02-28,7112,6793,7112,6767,19454
2017-03-02,5918,6740,7165,5705,109554
2017-03-03,6767,6740,6952,6634,34275
2017-03-06,6793,6687,6793,6501,29686
2017-03-07,6687,7006,7138,6661,24707
2017-03-08,7006,6952,7006,6687,13020
2017-03-09,6979,6899,7006,6767,8853
2017-03-10,7006,6899,7006,6714,10516
2017-03-13,6873,7059,7085,6873,7876
2017-03-14,7138,7165,7536,7032,41327
2017-03-15,7006,7112,7165,6793,12094
2017-03-16,7059,6952,7059,6740,16184
2017-03-17,7191,6767,7191,6581,16716
2017-03-20,6767,6873,6873,6528,12134
2017-03-21,7218,6873,7218,6581,16265
2017-03-22,6793,6767,6899,6554,16533
2017-03-23,6740,6607,6767,6262,26023
2017-03-24,6528,6607,6607,6130,33725
2017-03-27,6767,6926,6952,6528,29522
2017-03-28,7165,6873,7165,6846,16542
2017-03-29,6899,6687,6979,6687,12487
2017-03-30,6846,6820,6873,6661,10854
2017-03-31,6846,6793,6873,6767,6492
2017-04-03,6793,6952,6952,6767,18658
2017-04-04,6979,7085,7085,6899,23709
2017-04-05,7085,7350,7536,7006,54902
2017-04-06,7218,7244,7430,6979,17972
