Date,Open,Close,High,Low,Volume
2006-10-20,9630,8290,10300,8190,2289035
2006-10-23,8000,7810,8500,7200,1280791
2006-10-24,7810,7520,8090,7420,762936
2006-10-25,7700,7270,7810,7260,692151
2006-10-26,7320,7100,7380,7060,652685
2006-10-27,6970,6600,6980,6530,720573
2006-10-30,6690,6420,6790,6340,622321
2006-10-31,6530,6630,6950,6400,1246351
2006-11-01,6680,6590,6890,6500,991947
2006-11-02,6520,6580,6650,6450,632741
2006-11-03,6530,6550,6720,6390,768624
2006-11-06,6630,6800,6800,6480,902474
2006-11-07,6850,6300,6950,6300,647069
2006-11-08,6230,6230,6500,6070,898995
2006-11-09,6280,6070,6350,6070,342921
2006-11-10,6050,5970,6240,5970,547494
2006-11-13,6000,5810,6050,5740,411707
2006-11-14,5820,5680,5930,5660,529268
2006-11-15,5710,5500,5750,5370,657370
2006-11-16,5510,5580,5710,5440,685877
2006-11-17,5600,5420,5650,5420,480259
2006-11-20,5420,5040,5430,5030,638834
2006-11-21,5100,5150,5290,5030,628813
2006-11-22,5150,5250,5310,5080,437143
2006-11-23,5210,5070,5240,5010,433024
2006-11-24,5120,5500,5830,5080,2270351
2006-11-27,5590,5430,5620,5360,566037
2006-11-28,5350,5140,5420,5100,483931
2006-11-29,5110,5200,5240,5070,332461
2006-11-30,5220,5110,5290,5110,325485
2006-12-01,5110,4990,5170,4985,381618
2006-12-04,4940,4890,5020,4890,314398
2006-12-05,4920,4710,4940,4685,530139
2006-12-06,4690,4565,4750,4530,330688
2006-12-07,4505,4650,4815,4505,556825
2006-12-08,4605,4715,4750,4535,267703
2006-12-11,4810,4670,5040,4670,534498
2006-12-12,4700,4645,4740,4615,162602
2006-12-13,4660,4520,4735,4505,202193
2006-12-14,4520,4580,4615,4505,139678
2006-12-15,4580,4775,4830,4580,268242
2006-12-18,4790,4735,4840,4735,160730
2006-12-19,4735,4940,5070,4660,633890
2006-12-20,4900,5100,5110,4790,443488
2006-12-21,5080,4800,5140,4800,470490
2006-12-22,4800,4550,4835,4545,396702
2006-12-26,4550,4105,4580,4095,457896
2006-12-27,4130,4065,4180,4050,195505
2006-12-28,4085,4130,4175,4070,194741
2007-01-02,4135,4165,4165,4080,167858
2007-01-03,4185,4260,4315,4155,169719
2007-01-04,4330,4220,4330,4165,115405
2007-01-05,4215,4115,4260,4015,192026
2007-01-08,4120,4000,4120,3975,165491
2007-01-09,4020,4105,4130,3975,215975
2007-01-10,4215,4145,4585,4145,1040920
2007-01-11,4170,4120,4220,4030,285254
2007-01-12,4150,4300,4360,4110,497897
2007-01-15,4410,4300,4500,4300,477951
2007-01-16,4300,4180,4300,4135,277216
2007-01-17,4185,4150,4185,4075,231733
2007-01-18,4170,4290,4420,4130,583090
2007-01-19,4305,4520,4520,4210,641986
2007-01-22,4540,4490,4570,4380,345916
2007-01-23,4510,4235,4655,4235,613444
2007-01-24,4200,4295,4295,4125,329028
2007-01-25,4350,3990,4350,3990,400407
2007-01-26,3950,4045,4060,3820,297315
2007-01-29,4035,4025,4090,3900,308781
2007-01-30,4000,3920,4075,3900,297285
2007-01-31,3990,3790,3990,3750,269988
2007-02-01,3800,3755,3850,3755,190052
2007-02-02,3795,3900,3940,3765,226918
2007-02-05,3960,3905,4045,3885,269009
2007-02-06,3980,3970,4005,3900,193551
2007-02-07,3970,4010,4035,3910,172379
2007-02-08,4010,3850,4045,3850,208585
2007-02-09,3810,3960,3960,3805,189622
2007-02-12,3915,4150,4185,3860,416800
2007-02-13,4210,4125,4230,4095,304484
2007-02-14,4180,4190,4260,4150,324464
2007-02-15,4280,4150,4360,4150,506876
2007-02-16,4150,4280,4280,4065,308387
2007-02-20,4380,4920,4920,4350,1611161
2007-02-21,5220,5210,5490,4980,3794514
2007-02-22,5180,5430,5810,5090,4256603
2007-02-23,5420,5600,6120,5300,3921927
2007-02-26,5610,5050,5970,4770,1805152
2007-02-27,5080,4930,5260,4800,1270343
2007-02-28,4450,4655,4790,4440,803870
2007-03-02,4655,4805,5000,4655,909195
2007-03-05,4720,4335,4780,4270,829455
2007-03-06,4330,4025,4430,3950,934420
2007-03-07,4150,4050,4275,4020,627301
2007-03-08,4000,4000,4035,3900,491602
2007-03-09,4085,4000,4160,4000,417992
2007-03-12,4045,4005,4110,3960,285350
2007-03-13,4060,4240,4435,4035,1004490
2007-03-14,4180,4165,4260,4110,339668
2007-03-15,4255,4370,4420,4210,520407
2007-03-16,4370,4100,4370,4045,683270
2007-03-19,4150,4235,4290,4090,385173
2007-03-20,4280,4130,4280,4130,389520
2007-03-21,4130,4030,4185,4000,421855
2007-03-22,4095,4010,4105,4000,203779
2007-03-23,4015,4160,4175,3980,470869
2007-03-26,4195,4310,4420,4170,775451
2007-03-27,4400,4315,4400,4240,264927
2007-03-28,4320,4170,4440,4165,489718
2007-03-29,4135,4200,4260,4135,219919
2007-03-30,4200,4285,4365,4200,302098
2007-04-02,4415,4575,4840,4365,994278
2007-04-03,4500,4575,4585,4410,363631
2007-04-04,4650,4480,4780,4480,544100
2007-04-05,4450,4480,4570,4405,290255
2007-04-06,4500,4410,4570,4410,248090
