Date,Open,Close,High,Low,Volume
2006-12-13,5088,5840,5840,5088,990419
2006-12-14,6141,4988,6567,4988,2755098
2006-12-15,4737,4241,4762,4241,740377
2006-12-18,4331,4080,4331,4005,694208
2006-12-19,4045,4080,4236,4045,691070
2006-12-20,4100,3905,4156,3905,460260
2006-12-21,3910,3734,3945,3734,350627
2006-12-22,3750,3539,3780,3479,315658
2006-12-26,3534,3439,3624,3389,265892
2006-12-27,3434,3384,3504,3313,144095
2006-12-28,3409,3434,3589,3409,180114
2007-01-02,3434,3474,3524,3409,100305
2007-01-03,3434,3338,3529,3328,123484
2007-01-04,3353,3333,3404,3303,62223
2007-01-05,3338,3208,3384,3153,109274
2007-01-08,3168,3303,3449,3168,267733
2007-01-09,3333,3278,3353,3258,88377
2007-01-10,3308,3153,3308,3143,181999
2007-01-11,3143,3113,3238,3033,180772
2007-01-12,3113,3409,3534,3108,486751
2007-01-15,3454,3409,3484,3283,461014
2007-01-16,3474,3359,3474,3348,285680
2007-01-17,3389,3599,3664,3283,668483
2007-01-18,3694,3719,3825,3579,1350199
2007-01-19,3734,3599,3800,3554,379410
2007-01-22,3634,3850,3960,3614,630605
2007-01-23,3845,3765,3925,3750,421958
2007-01-24,3810,3659,3855,3594,561609
2007-01-25,3709,3659,3805,3629,311225
2007-01-26,3609,3589,3649,3564,173419
2007-01-29,3750,3684,3880,3669,294643
2007-01-30,3684,3574,3724,3549,170103
2007-01-31,3579,3559,3654,3544,100113
2007-02-01,3569,3514,3609,3504,113894
2007-02-02,3519,3519,3599,3509,154732
2007-02-05,3534,3654,3654,3519,124435
2007-02-06,3704,3614,3704,3609,115849
2007-02-07,3609,3719,3785,3609,210995
2007-02-08,3790,4065,4201,3770,879216
2007-02-09,4010,4110,4110,3935,321583
2007-02-12,4110,4065,4236,4010,311877
2007-02-13,4015,3905,4105,3815,342156
2007-02-14,3885,4000,4000,3835,287840
2007-02-15,4055,3935,4085,3915,175567
2007-02-16,3935,3860,4005,3805,164119
2007-02-20,3870,4085,4085,3870,296468
2007-02-21,4110,4241,4246,4070,514552
2007-02-22,4346,4206,4436,4206,718706
2007-02-23,4196,4336,4637,4161,1397344
2007-02-26,4281,4206,4391,4135,529893
2007-02-27,4246,4085,4246,4080,353697
2007-02-28,3709,3970,3985,3709,253312
2007-03-02,3975,4125,4125,3910,241123
2007-03-05,4085,3960,4206,3860,295148
2007-03-06,3975,4181,4181,3950,275296
2007-03-07,4226,4146,4236,4085,229983
2007-03-08,4146,4271,4316,4110,495132
2007-03-09,4276,4226,4276,4156,297065
2007-03-12,4386,4261,4411,4261,545536
2007-03-13,4251,4146,4286,4140,259442
2007-03-14,4025,4070,4146,3995,213439
2007-03-15,4060,4055,4135,4050,187567
2007-03-16,4055,4125,4151,3990,346828
2007-03-19,4166,4286,4291,4156,499888
2007-03-20,4326,4186,4386,4176,430586
2007-03-21,4186,4306,4386,4060,891640
2007-03-22,4381,4301,4587,4301,1769530
2007-03-23,4261,4943,4943,4176,4430310
2007-03-26,5263,4993,5389,4862,3216259
2007-03-27,4938,5063,5639,4832,5438738
2007-03-28,5113,5163,5439,4978,2921795
2007-03-29,5263,5088,5364,5013,2196475
2007-03-30,5038,5063,5238,4927,1374162
2007-04-02,5113,5364,5389,4963,1701441
2007-04-03,5464,5313,5589,5213,1744212
2007-04-04,5389,5439,5514,5238,1046918
2007-04-05,5414,5188,5514,5163,1236789
2007-04-06,5238,5013,5288,4998,1089426
2007-04-09,5038,5038,5088,4902,822245
2007-04-10,5163,5113,5213,5063,1020742
2007-04-11,5113,5013,5138,4983,819599
2007-04-12,5013,5313,5313,4963,1332644
2007-04-13,5364,5339,5414,5213,984095
2007-04-16,5389,5514,5589,5263,1296965
2007-04-17,5514,5263,5514,5238,893444
2007-04-18,5263,5414,5414,5213,769969
2007-04-19,5514,5414,5689,5364,2422577
2007-04-20,5564,5514,5765,5439,1853060
2007-04-23,5589,5389,5664,5263,1101114
2007-04-24,5489,5339,5514,5313,846954
2007-04-25,5364,5013,5414,5008,964934
2007-04-26,5088,4772,5113,4772,761078
2007-04-27,4697,4792,4897,4697,375412
2007-04-30,4802,4612,4867,4587,344468
2007-05-02,4662,4862,4862,4637,281185
2007-05-03,4963,4852,4963,4747,219951
2007-05-04,4872,4963,4983,4852,325169
2007-05-07,5088,5088,5213,5038,477305
2007-05-08,5188,5113,5188,5063,251802
2007-05-09,5063,4973,5138,4912,251313
2007-05-10,4988,4867,5088,4862,242791
2007-05-11,4867,4892,4932,4722,148225
