Date,Open,Close,High,Low,Volume
2007-10-01,13422,11408,14128,11408,3498309
2007-10-02,11585,11267,11744,10667,1270973
2007-10-04,11408,10773,11691,10614,581766
2007-10-05,10260,9166,10561,9166,1822474
2007-10-08,8918,9166,9219,8441,906763
2007-10-09,9166,9254,9678,8848,581325
2007-10-10,9395,9183,9642,8759,433765
2007-10-11,9042,8212,9289,8053,614430
2007-10-12,8212,7347,8336,7205,711095
2007-10-15,7417,7912,8441,7205,1038972
2007-10-16,7647,6923,7770,6923,753284
2007-10-17,6887,6958,7170,6711,458493
2007-10-18,7117,7523,7611,7064,457689
2007-10-19,7682,7770,8300,7417,469295
2007-10-22,7294,7152,7400,7064,340959
2007-10-23,7276,6870,7417,6781,300297
2007-10-24,7117,6305,7117,6305,320240
2007-10-25,6464,6146,6887,6093,948001
2007-10-26,6216,6146,6411,6040,660753
2007-10-29,6358,6393,6693,6216,883185
2007-10-30,6393,6022,6464,6022,499374
2007-10-31,6075,6022,6128,5863,509065
2007-11-01,6075,5792,6128,5651,584077
2007-11-02,5598,5545,5740,5475,583122
2007-11-05,5651,5598,6057,5598,722174
2007-11-06,5616,5881,6022,5563,877633
2007-11-07,5881,5616,5916,5616,376058
2007-11-08,5457,5510,5634,5439,328539
2007-11-09,5616,5475,5775,5475,308490
2007-11-12,5369,5598,5810,5369,325138
2007-11-13,5669,5722,5898,5528,325271
2007-11-14,5810,5757,5951,5651,266166
2007-11-15,5810,5651,5810,5616,152420
2007-11-16,5634,5581,5634,5439,204527
2007-11-19,5651,5757,5951,5598,242604
2007-11-20,5687,5722,5757,5457,198425
2007-11-21,5757,5545,5792,5510,259411
2007-11-22,5475,5863,6040,5439,473578
2007-11-23,5916,5475,5934,5369,366644
2007-11-26,5545,5422,5634,5404,268063
2007-11-27,5369,5104,5369,4945,350900
2007-11-28,5192,5121,5280,5121,197913
2007-11-29,5192,5245,5298,5139,199173
2007-11-30,5245,5280,5404,5192,150818
2007-12-03,5280,5174,5404,5157,90082
2007-12-04,5227,5475,5687,5192,721053
2007-12-05,5563,5722,5828,5439,191401
2007-12-06,5740,5669,5757,5545,135461
2007-12-07,5792,5687,5898,5598,149866
2007-12-10,5669,5616,5792,5581,81627
2007-12-11,5616,5528,5863,5439,488867
2007-12-12,5492,5422,5545,5386,148179
2007-12-13,5475,5510,5651,5351,124142
2007-12-14,5510,5422,5616,5369,153139
2007-12-17,5422,5192,5439,5139,120365
2007-12-18,5192,5139,5298,4998,180467
2007-12-20,5139,5068,5210,4962,150792
2007-12-21,5068,4768,5086,4733,287797
2007-12-24,4768,4768,4821,4680,252729
2007-12-26,4804,4733,4804,4662,296577
2007-12-27,4733,4662,4733,4592,217777
2007-12-28,4645,5033,5033,4592,264139
2008-01-02,5227,5227,5333,5139,333751
2008-01-03,5210,5157,5210,5033,133032
2008-01-04,5192,5157,5263,5068,102502
2008-01-07,5121,4927,5121,4927,126945
2008-01-08,4909,4980,5015,4874,56596
2008-01-09,4909,4945,4962,4733,180271
2008-01-10,5051,5192,5616,5015,1583298
2008-01-11,5316,5581,5598,5210,895900
2008-01-14,5581,5581,5845,5422,1146885
2008-01-15,5616,5651,5792,5404,709878
2008-01-16,5545,5475,5881,5263,790348
2008-01-17,5492,5369,5634,5263,433799
2008-01-18,5280,5651,5651,5210,466285
2008-01-21,5669,5634,5722,5422,711862
2008-01-22,5439,4962,5457,4804,840099
2008-01-23,5051,4927,5210,4804,619215
2008-01-24,4998,5068,5157,4945,360600
2008-01-25,5121,5068,5139,4927,335988
2008-01-28,5015,4821,5068,4821,245433
2008-01-29,4945,4733,4962,4574,464292
2008-01-30,4733,4503,4733,4309,501477
2008-01-31,4415,4592,4592,4274,233952
2008-02-01,4592,4556,4645,4450,259515
2008-02-04,4592,4556,4751,4521,356121
2008-02-05,4627,4698,4715,4503,175150
2008-02-11,4627,4768,4839,4556,314629
2008-02-12,4857,4874,4874,4768,147930
2008-02-13,4874,4962,5086,4839,331879
2008-02-14,5033,5227,5227,4874,353522
2008-02-15,5121,5492,5598,5068,440135
2008-02-18,5510,5422,5722,5280,397995
2008-02-19,5422,5581,5581,5316,279688
2008-02-20,5651,5651,5757,5475,449688
2008-02-21,5722,5351,5740,5333,328111
2008-02-22,5245,5351,5439,5245,133524
2008-02-25,5404,5528,5545,5263,210413
2008-02-26,5475,5492,5616,5386,209340
2008-02-27,5492,5333,5492,5263,269892
2008-02-28,5333,5280,5333,5192,185945
2008-02-29,5298,5192,5298,5104,178284
2008-03-03,5051,5174,5174,4945,135084
2008-03-04,5139,5121,5245,5121,143315
2008-03-05,5068,5068,5157,4962,138369
2008-03-06,5104,5227,5316,5104,306571
2008-03-07,5086,5086,5192,5051,194600
2008-03-10,4998,4786,5015,4627,323901
2008-03-11,4768,4786,4874,4627,113406
2008-03-12,4962,4839,4998,4839,205934
2008-03-13,4839,4627,4839,4609,132953
2008-03-14,4733,4680,4768,4627,135138
2008-03-17,4680,4539,4680,4450,150583
2008-03-18,4539,4715,4768,4539,113326
2008-03-19,4821,5280,5422,4768,1102590
2008-03-20,5174,5192,5280,5015,464677
2008-03-21,5280,5351,5492,5210,692958
