Date,Open,Close,High,Low,Volume
2010-09-30,8681,8681,8681,8681,6
2010-10-01,9444,9444,9444,9444,3
2010-10-04,9921,12259,12259,9826,31
2010-10-05,13500,13500,13500,13500,9
2010-10-06,17550,17550,17550,17550,4
2010-10-07,22788,22788,22788,22788,4
2010-10-08,22788,22788,22788,22788,0
2010-10-11,22788,22788,22788,22788,0
2010-10-12,22788,22788,22788,22788,0
2010-10-13,22788,22788,22788,22788,0
2010-10-14,22788,22788,22788,22788,0
2010-10-15,22788,22788,22788,22788,0
2010-10-18,22788,22788,22788,22788,0
2010-10-19,22788,22788,22788,22788,0
2010-10-20,22788,22788,22788,22788,0
2010-10-21,22788,22788,22788,22788,0
2010-10-22,22788,22788,22788,22788,0
2010-10-25,22788,22788,22788,22788,0
2010-10-26,22788,22788,22788,22788,0
2010-10-27,22788,22788,22788,22788,0
2010-10-28,22788,22788,22788,22788,0
2010-10-29,22788,22788,22788,22788,0
2010-11-01,22788,22788,22788,22788,0
2010-11-02,22788,22788,22788,22788,0
2010-11-03,22788,22788,22788,22788,0
2010-11-04,22788,22788,22788,22788,0
2010-11-05,22788,22788,22788,22788,0
2010-11-08,22788,22788,22788,22788,0
2010-11-09,22788,22788,22788,22788,0
2010-11-10,22788,22788,22788,22788,0
2010-11-11,22788,22788,22788,22788,0
2010-11-12,22788,22788,22788,22788,0
2010-11-15,15984,15984,15984,15984,0
2010-11-16,15984,15984,15984,15984,8
2010-11-17,15984,15984,15984,15984,0
2010-11-18,15984,15984,15984,15984,0
2010-11-19,15984,15984,15984,15984,0
2010-11-22,15984,15984,15984,15984,0
2010-11-23,15984,15984,15984,15984,0
2010-11-24,15984,15984,15984,15984,0
2010-11-25,15984,15984,15984,15984,0
2010-11-26,15984,15984,15984,15984,0
2010-11-29,15984,15984,15984,15984,0
2010-11-30,15984,15984,15984,15984,0
2010-12-01,15984,15984,15984,15984,0
2010-12-02,15984,15984,15984,15930,231
2010-12-03,15984,15984,15984,15984,0
2010-12-06,15984,15984,15984,15984,0
2010-12-07,15984,15984,15984,15984,0
2010-12-08,15984,15984,15984,15984,0
2010-12-09,15984,15984,15984,15984,0
2010-12-10,15984,15984,15984,15984,0
2010-12-13,15768,15768,15768,15768,87
2010-12-14,15768,15768,15768,15768,0
2010-12-15,15768,15768,15768,15768,0
2010-12-16,15768,15768,15768,15768,0
2010-12-17,15768,15768,15768,15768,0
2010-12-20,15768,15768,15768,15768,0
2010-12-21,15768,15768,15768,15768,0
2010-12-22,15768,15768,15768,15768,0
2010-12-23,15768,15768,15768,15768,0
2010-12-24,15768,15768,15768,15768,0
2010-12-27,15768,15768,15768,15768,0
2010-12-28,15768,15768,15768,15768,0
2010-12-29,15768,15768,15768,15768,0
2010-12-30,15768,15768,15768,15768,0
2011-01-03,15768,15768,15768,15768,0
2011-01-04,15768,15768,15768,15768,0
2011-01-05,15768,15768,15768,15768,0
2011-01-06,15768,15768,15768,15768,0
2011-01-07,15768,15768,15768,15768,0
2011-01-10,15768,15768,15768,15768,0
2011-01-11,15768,15768,15768,15768,0
2011-01-12,15768,15768,15768,15768,0
2011-01-13,15768,15768,15768,15768,0
2011-01-14,15768,15768,15768,15768,0
2011-01-17,15768,15768,15768,15768,0
2011-01-18,15768,15768,15768,15768,0
2011-01-19,15768,15768,15768,15768,0
2011-01-20,15768,15768,15768,15768,0
2011-01-21,15768,15768,15768,15768,0
2011-01-24,15768,15768,15768,15768,0
2011-01-25,15768,15768,15768,15768,0
2011-01-26,15768,15768,15768,15768,0
2011-01-27,15768,15768,15768,15768,0
2011-01-28,15768,15768,15768,15768,0
2011-01-31,15768,15768,15768,15768,0
2011-02-01,15768,15768,15768,15768,0
2011-02-07,15768,15768,15768,15768,0
2011-02-08,15768,15768,15768,15768,0
2011-02-09,15768,15768,15768,15768,0
2011-02-10,15768,15768,15768,15768,0
2011-02-11,15768,15768,15768,15768,0
2011-02-14,15768,15768,15768,15768,0
2011-02-15,15768,15768,15768,15768,0
2011-02-16,15768,15768,15768,15768,0
2011-02-17,15768,15768,15768,15768,0
2011-02-18,15768,15768,15768,15768,0
2011-02-21,15768,15768,15768,15768,0
2011-02-22,15768,15768,15768,15768,0
2011-02-23,15768,15768,15768,15768,0
2011-02-24,15768,15768,15768,15768,0
2011-02-25,15120,15120,15120,15120,12
2011-02-28,15120,15120,15120,15120,0
2011-03-02,15120,15120,15120,15120,0
2011-03-03,15120,15120,15120,15120,0
2011-03-04,15120,15120,15120,15120,0
2011-03-07,15120,15120,15120,15120,0
2011-03-08,15120,15120,15120,15120,0
2011-03-09,15120,15120,15120,15120,0
2011-03-10,15120,15120,15120,15120,0
2011-03-11,15120,15120,15120,15120,0
2011-03-14,15120,15120,15120,15120,0
2011-03-15,15120,15120,15120,15120,0
2011-03-16,15120,15120,15120,15120,0
2011-03-17,15120,15120,15120,15120,0
2011-03-18,14580,14580,14580,14580,92
2011-03-21,14580,14580,14580,14580,0
2011-03-22,14580,14580,14580,14580,0
2011-03-23,14580,14040,14580,14040,12
2011-03-24,14040,14040,14040,14040,0
2011-03-25,14359,14359,14359,14359,282
2011-03-28,14359,14359,14359,14359,4
2011-03-29,14253,14519,14519,14253,564
2011-03-30,14519,14679,14679,14519,468
2011-03-31,14679,14679,14679,14679,0
2011-04-01,14464,14464,14464,14464,13
2011-04-04,14464,14464,14464,14464,0
2011-04-05,14464,13929,14464,13929,13
2011-04-06,14245,14245,14245,14245,4
2011-04-07,14245,14245,14245,14245,9
2011-04-08,14245,14245,14245,14245,10
2011-04-11,14245,14245,14245,14245,0
2011-04-12,14245,14245,14245,14245,0
2011-04-13,14298,14245,14773,14245,113
2011-04-14,14245,14245,14245,14245,0
2011-04-15,14245,14245,14245,14245,0
2011-04-18,14245,14245,14245,14245,0
2011-04-19,14245,14245,14245,14245,0
2011-04-20,14245,14245,14245,14245,0
2011-04-21,14245,14245,14245,14245,0
2011-04-22,14140,13617,14140,13617,28
2011-04-25,13260,13260,13260,13260,9
2011-04-26,13260,13260,13260,13260,0
2011-04-27,13260,13260,13260,13260,9
2011-04-28,13260,13260,13260,13260,0
2011-04-29,13260,13260,13260,13260,0
2011-05-02,13260,13260,13260,13260,0
2011-05-03,13260,13260,13260,13260,0
2011-05-04,13260,13260,13260,13260,0
2011-05-06,13260,13260,13260,13260,0
2011-05-09,13260,13260,13260,13260,0
2011-05-11,13260,13260,13260,13260,0
2011-05-12,13260,13260,13260,13260,0
2011-05-13,13260,13260,13260,13260,0
2011-05-16,13260,13260,13260,13260,0
2011-05-17,13260,13260,13260,13260,9
2011-05-18,13260,13260,13260,13260,0
2011-05-19,13260,12750,13260,12750,39
2011-05-20,12750,12750,12750,12750,0
2011-05-23,12750,12750,12750,12750,0
2011-05-24,12750,12750,12750,12750,0
2011-05-25,12750,12750,12750,12750,0
2011-05-26,12750,12750,12750,12750,0
2011-05-27,12750,12750,12750,12750,0
2011-05-30,12750,12750,12750,12750,0
2011-05-31,12750,12750,12750,12750,0
2011-06-01,12750,12750,12750,12750,0
2011-06-02,12750,12750,12750,12750,0
2011-06-03,12750,12750,12750,12750,0
2011-06-07,12750,12750,12750,12750,0
2011-06-08,12750,12750,12750,12750,0
2011-06-09,12750,12750,12750,12750,0
2011-06-10,12750,12750,12750,12750,0
2011-06-13,12750,12750,12750,12750,0
2011-06-14,12750,12750,12750,12750,0
2011-06-15,12750,12750,12750,12750,0
2011-06-16,12750,12750,12750,12750,0
2011-06-17,12750,12750,12750,12750,0
2011-06-20,12750,12750,12750,12750,0
2011-06-21,12750,12750,12750,12750,0
2011-06-22,12750,12750,12750,12750,0
2011-06-23,12750,12750,12750,12750,0
2011-06-24,12750,12750,12750,12750,0
2011-06-27,12750,12750,12750,12750,0
2011-06-28,12750,12750,12750,12750,0
2011-06-29,12750,12750,12750,12750,0
2011-06-30,12750,12750,12750,12750,0
2011-07-01,12750,12750,12750,12750,0
2011-07-04,12750,12750,12750,12750,0
2011-07-05,12750,12750,12750,12750,0
2011-07-06,12750,12750,12750,12750,0
2011-07-07,12750,12750,12750,12750,0
2011-07-08,12750,12750,12750,12750,0
2011-07-11,12750,12750,12750,12750,0
2011-07-12,12750,12750,12750,12750,0
2011-07-13,12750,12750,12750,12750,0
2011-07-14,12750,12750,12750,12750,0
2011-07-15,12750,12750,12750,12750,0
2011-07-18,12750,12750,12750,12750,0
2011-07-19,12750,12750,12750,12750,0
2011-07-20,12750,12750,12750,12750,0
2011-07-21,12750,12750,12750,12750,0
2011-07-22,12750,12750,12750,12750,0
2011-07-25,12750,12750,12750,12750,0
2011-07-26,12750,12750,12750,12750,0
2011-07-27,12750,12750,12750,12750,0
2011-07-28,12750,12750,12750,12750,0
2011-07-29,12750,12750,12750,12750,0
2011-08-01,12750,12750,12750,12750,0
