Date,Open,Close,High,Low,Volume
2014-05-08,2090,2065,2100,2030,709907
2014-05-09,2045,2050,2055,2045,152994
2014-05-12,2050,2055,2055,2045,90885
2014-05-13,2050,2050,2055,2050,100302
2014-05-14,2035,2050,2055,2035,118138
2014-05-15,2050,2055,2060,2050,70566
2014-05-16,2050,2050,2055,2050,57468
2014-05-19,2050,2050,2055,2050,45920
2014-05-20,2050,2060,2060,2050,41249
2014-05-21,2060,2055,2060,2055,17954
2014-05-22,2060,2060,2060,2055,22816
2014-05-23,2060,2080,2090,2060,54081
2014-05-26,2090,2100,2115,2065,38176
2014-05-27,2120,2110,2120,2100,35779
2014-05-28,2120,2195,2205,2120,178753
2014-05-29,2195,2160,2195,2160,36511
2014-05-30,2185,2265,2275,2185,126055
2014-06-02,2265,2285,2320,2250,90476
2014-06-03,2265,2270,2300,2250,46879
2014-06-05,2230,2250,2285,2230,18636
2014-06-09,2250,2240,2270,2235,24791
2014-06-10,2265,2260,2270,2220,68386
2014-06-11,2240,2220,2255,2220,45310
2014-06-12,2200,2210,2220,2200,16722
2014-06-13,2205,2200,2205,2190,30378
2014-06-16,2190,2190,2190,2170,33838
2014-06-17,2180,2220,2220,2180,2416
2014-06-18,2245,2200,2245,2160,16817
2014-06-19,2175,2190,2195,2170,6379
2014-06-20,2170,2215,2220,2170,36332
2014-06-23,2180,2210,2220,2180,30004
2014-06-24,2205,2200,2205,2190,1011
2014-06-25,2200,2195,2200,2185,12767
2014-06-26,2195,2200,2205,2195,17156
2014-06-27,2200,2200,2200,2200,0
2014-06-30,2210,2190,2210,2190,2260
2014-07-01,2190,2185,2190,2180,1180
2014-07-02,2180,2150,2180,2140,35918
2014-07-03,2135,2155,2155,2135,34582
2014-07-04,2145,2135,2155,2125,29674
2014-07-07,2170,2130,2170,2130,36798
2014-07-08,2130,2125,2130,2120,13422
2014-07-09,2120,2140,2140,2110,16179
2014-07-10,2130,2140,2140,2130,9485
2014-07-11,2150,2130,2150,2120,26700
2014-07-14,2130,2140,2140,2115,13247
2014-07-15,2115,2120,2125,2115,12073
2014-07-16,2135,2130,2155,2115,33728
2014-07-17,2130,2155,2180,2130,14489
2014-07-18,2155,2150,2155,2130,29501
2014-07-21,2120,2130,2130,2120,22594
2014-07-22,2120,2120,2125,2120,38658
2014-07-23,2115,2115,2130,2090,91518
2014-07-24,2105,2130,2130,2090,46159
2014-07-25,2135,2150,2150,2125,39663
2014-07-28,2105,2125,2150,2100,42875
2014-07-29,2130,2120,2135,2090,101727
2014-07-30,2120,2110,2120,2100,14674
2014-07-31,2110,2115,2115,2110,7093
2014-08-01,2120,2130,2130,2120,111
2014-08-04,2110,2135,2135,2100,97808
2014-08-05,2130,2130,2130,2100,12402
2014-08-06,2125,2125,2130,2120,12306
2014-08-07,2120,2130,2130,2110,4398
2014-08-08,2100,2130,2130,2100,10350
