Date,Open,Close,High,Low,Volume
2016-12-06,13500,12850,15050,12400,13725568
2016-12-07,12750,11800,13150,11750,4291145
2016-12-08,11850,11200,12300,10900,4501845
2016-12-09,11350,11900,12300,11250,3958017
2016-12-12,12150,11550,12300,11450,1711610
2016-12-13,11550,13300,13800,11400,6621075
2016-12-14,13050,12950,13700,12850,3493116
2016-12-15,12800,13600,14350,12700,5434936
2016-12-16,13750,13750,14150,13400,1815132
2016-12-19,13800,13600,14250,13500,1981956
2016-12-20,13700,12950,13850,12900,1749314
2016-12-21,12950,12450,13000,12250,1583932
2016-12-22,12350,12600,12600,12150,975439
2016-12-23,12600,12600,12950,12400,1327045
2016-12-26,12650,12650,12850,12500,890647
2016-12-27,12700,12800,13000,12600,1151746
2016-12-28,12850,13200,13400,12800,1455124
2016-12-29,13050,13250,13300,12900,588591
2017-01-02,13250,12950,13250,12900,497396
2017-01-03,13000,12750,13150,12700,540369
2017-01-04,12800,12850,12900,12650,399112
2017-01-05,12950,13200,13550,12800,1159516
2017-01-06,13250,13050,13250,12950,385308
2017-01-09,13000,12800,13100,12800,404520
2017-01-10,12800,12500,12900,12450,491422
2017-01-11,12600,12450,12800,12450,459544
2017-01-12,12350,12150,12500,12100,496991
2017-01-13,12200,12100,12350,11850,612247
2017-01-16,12050,11700,12200,11650,546945
2017-01-17,11500,11450,11600,11250,748532
2017-01-18,11400,11500,11850,11150,649156
2017-01-19,11500,11500,11800,11500,300342
2017-01-20,11500,11200,11550,11150,475914
2017-01-23,11100,10500,11150,10400,914339
2017-01-24,10400,10000,10400,9980,971277
2017-01-25,10100,10100,10350,9980,489739
2017-01-26,10100,10600,10850,10100,789656
2017-01-31,10650,10500,10850,10350,359750
2017-02-01,10500,10600,10700,10450,311870
2017-02-02,10450,10200,10500,10200,457227
2017-02-03,10400,10200,10400,10050,325456
2017-02-06,10250,10400,10600,10100,366412
2017-02-07,10450,10600,10700,10300,365127
2017-02-08,10700,10550,10750,10450,265728
2017-02-09,10250,10200,10400,10150,455731
2017-02-10,10250,10200,10400,10150,249618
2017-02-13,10200,10050,10250,10000,334122
2017-02-14,10100,10150,10300,10000,380490
2017-02-15,10100,10150,10300,10050,367330
2017-02-16,10150,9790,10150,9790,733536
2017-02-17,9790,9200,9790,8940,1447684
2017-02-20,9160,9050,9190,8900,874109
2017-02-21,9000,10050,11450,8990,7600340
2017-02-22,9940,10100,10150,9670,1674711
2017-02-23,10100,10350,11000,9960,2475921
2017-02-24,10400,10550,10800,10350,899518
2017-02-27,10750,10650,10950,10550,762281
2017-02-28,10650,10500,10750,10350,397511
2017-03-02,10550,10650,10900,10450,540662
2017-03-03,10950,11350,12600,10850,5581222
2017-03-06,11450,11450,11550,11150,943593
2017-03-07,11850,11650,11950,11500,1325335
