Date,Open,Close,High,Low,Volume
2015-08-13,16900,19400,19400,16900,26600
2015-08-17,22300,22300,22300,22300,7500
2015-08-18,25600,25600,25600,25600,10000
2015-08-19,29400,26900,29400,25900,7335
2015-08-20,26900,26900,27900,26900,1332
2015-08-21,25000,26500,26500,25000,1506
2015-08-24,26500,26500,26500,26500,0
2015-08-25,27000,26500,27000,24000,522
2015-08-26,27000,26500,27000,25000,778
2015-08-27,25000,25000,25000,25000,44
2015-08-28,23000,25000,25000,23000,1601
2015-08-31,24500,24500,24500,24500,0
2015-09-01,22500,24400,24500,22500,1003
2015-09-02,23200,23800,23900,22000,1275
2015-09-03,26400,23000,26400,23000,1278
2015-09-04,23000,25900,25900,23000,201
2015-09-07,29750,27000,29750,27000,852
2015-09-08,24900,25000,25000,24300,999
2015-09-09,28000,26000,28000,24100,4
2015-09-10,29850,25000,29850,25000,401
2015-09-11,28650,28750,28750,28650,195
2015-09-14,26500,28700,28750,26500,1029
2015-09-15,25750,25700,28700,25000,1300
2015-09-16,28000,25700,28000,25500,1350
2015-09-17,23000,23500,27000,23000,1403
2015-09-18,25000,24000,25000,24000,2599
2015-09-21,25000,25500,25500,24900,1294
2015-09-22,25000,25000,26000,25000,2525
2015-09-23,25000,25000,25950,24900,2674
2015-09-24,25000,25000,26000,24500,530
2015-09-25,25000,24950,26500,24950,328
2015-09-30,26450,24950,26450,24500,820
2015-10-01,25000,24500,25000,24500,68
2015-10-02,24500,21000,24500,21000,2396
2015-10-05,20600,24100,24100,20600,16
2015-10-06,24500,22100,24500,22100,731
2015-10-07,24500,22100,24500,22100,940
2015-10-08,25400,25000,25400,23000,12
2015-10-12,23500,24900,24900,23000,1201
2015-10-13,24850,22000,24850,22000,2932
2015-10-14,24000,23950,24000,22000,1083
2015-10-15,23950,23950,23950,21500,32
2015-10-16,22000,22100,23000,21900,2654
2015-10-19,25400,21000,25400,21000,2974
2015-10-20,24000,22000,24000,21000,1682
2015-10-21,24000,21900,24000,21000,1567
2015-10-22,25000,25000,25000,25000,1
2015-10-23,22000,21250,24000,21250,862
2015-10-26,24000,22000,24000,22000,31
2015-10-27,21950,21000,21950,21000,259
2015-10-28,22950,21000,22950,21000,12
2015-10-29,23850,21000,23850,20000,1346
2015-10-30,23350,23000,23350,19000,502
2015-11-02,19550,24000,26000,19550,323
2015-11-03,23500,23500,23500,23500,1
2015-11-04,23500,20000,24000,20000,544
2015-11-05,21000,21500,21950,21000,20
2015-11-06,24700,19950,24700,18300,3761
2015-11-09,20000,20000,20000,20000,4
2015-11-10,19950,19850,19950,19850,174
2015-11-11,22500,21500,22500,21500,6
2015-11-12,24650,19900,24650,18300,2828
2015-11-13,21500,19000,21500,16950,459
2015-11-16,19500,18500,19500,18500,40
2015-11-17,20000,16500,20000,16500,24
2015-11-18,18950,18900,18950,15100,10
2015-11-19,21700,19500,21700,16100,9
2015-11-20,22400,19500,22400,16600,310
2015-11-23,21900,19000,21900,17000,104
2015-11-24,19900,19000,19900,18000,533
2015-11-25,18950,18950,18950,18750,613
2015-11-26,18900,18750,18900,16150,1012
2015-11-27,20000,19000,20000,18900,3110
2015-11-30,18950,18650,18950,18650,729
2015-12-01,18650,18850,20000,18000,1860
2015-12-02,18850,18450,18850,18450,1202
2015-12-03,19450,18850,19450,18850,501
2015-12-04,18500,19100,19450,17900,2132
2015-12-07,19100,19100,19100,18500,403
2015-12-08,19900,19300,19900,19000,2506
2015-12-09,21000,19300,21000,19300,602
2015-12-10,20000,19200,20000,19200,508
2015-12-11,19300,19200,19300,19200,1300
2015-12-14,20000,19200,20000,19000,1208
2015-12-15,20000,19500,20000,19500,18
2015-12-16,20500,19500,20500,19500,3
2015-12-17,20500,19500,20500,19500,28
2015-12-18,19800,20000,20000,19000,1311
2015-12-21,21000,19000,21000,19000,560
2015-12-22,19000,19000,21500,19000,2211
2015-12-23,21500,19000,21500,19000,14
2015-12-24,21000,20000,21000,20000,43
2015-12-28,21000,20000,21000,19950,34
2015-12-29,20900,19100,20900,19100,470
2015-12-30,20500,19000,20500,19000,459
2016-01-04,21000,21000,21000,21000,2
2016-01-05,21000,21000,21000,21000,0
2016-01-06,19100,19100,19100,19100,175
2016-01-07,21000,21000,21000,21000,1
2016-01-08,23000,20000,23000,19500,155
2016-01-11,20000,20000,20000,20000,0
2016-01-12,18500,19000,19000,18500,588
2016-01-13,21500,21500,21500,21500,1
2016-01-14,22000,22000,22000,22000,1
2016-01-15,20000,20000,20000,18800,595
2016-01-18,23000,18800,23000,18500,175
2016-01-19,18800,19000,19000,18500,215
2016-01-20,21750,19500,21750,19500,18
2016-01-21,20000,20000,20000,20000,1
2016-01-22,22500,19300,22500,19100,1003
2016-01-25,20000,20000,20000,20000,5
2016-01-26,19400,19400,19400,19400,100
2016-01-27,19500,19000,19500,18000,103
2016-01-28,19000,18950,19000,18950,6
2016-01-29,19000,18950,19000,18200,434
2016-02-01,19100,19100,19100,19050,5
2016-02-02,19050,19200,19500,19050,306
2016-02-03,19200,21000,21000,19200,201
2016-02-04,19200,19100,19200,19100,443
2016-02-05,21950,19200,21950,19000,1229
2016-02-11,22050,20500,22050,20000,271
2016-02-12,22000,22000,22000,22000,1
2016-02-15,20000,20000,20000,20000,10
2016-02-16,20000,20000,20000,20000,11
2016-02-17,20000,20000,20000,20000,2
2016-02-18,19500,20000,20000,19000,203
2016-02-19,20000,20000,20000,20000,25
2016-02-22,22000,20500,22000,17000,2025
2016-02-23,21500,22500,22500,21500,20
2016-02-24,20500,20500,20500,20500,36
2016-02-25,21900,20000,21900,19000,62
2016-02-26,22000,22000,22000,22000,1
2016-02-29,23500,23500,23500,23500,12
2016-03-02,23500,20000,23500,20000,288
2016-03-03,21500,17000,21500,17000,303
2016-03-04,19000,19500,19550,17000,426
2016-03-07,22000,19000,22000,17000,152
2016-03-08,21000,21000,21000,17000,304
2016-03-09,21000,20500,21000,20500,3
2016-03-10,22000,22000,22000,22000,1
2016-03-11,25000,25000,25000,25000,2
2016-03-14,26700,25000,26700,25000,1001
2016-03-15,24000,24000,24000,24000,100
2016-03-16,26000,22550,26000,20400,1102
2016-03-17,23000,21000,23900,19200,2509
2016-03-18,24000,23000,24000,18500,314
2016-03-21,22400,24000,24000,19550,2144
2016-03-22,22400,22400,22400,22400,100
2016-03-23,21950,21950,21950,21950,5
2016-03-24,21950,18700,21950,18700,202
2016-03-25,21000,21000,21000,19000,1422
2016-03-28,24000,21750,24000,19000,2922
2016-03-29,22450,21950,22450,19000,72
2016-03-30,19000,21950,21950,19000,39
2016-03-31,19400,22450,22450,19000,1867
2016-04-01,22900,19100,22900,19100,12058
2016-04-04,21300,21500,21500,21000,234
2016-04-05,20900,21300,21300,19000,631
2016-04-06,23900,21950,23900,19000,805
2016-04-07,20000,21450,21450,20000,429
2016-04-08,19100,21000,21000,19000,557
