Date,Open,Close,High,Low,Volume
2015-12-23,16000,13250,20250,13250,4700216
2015-12-24,12950,12850,14300,12000,950620
2015-12-28,12900,12150,13350,12150,179607
2015-12-29,12150,12550,13000,11700,311976
2015-12-30,12650,13650,15250,12600,759426
2016-01-04,13650,13300,14500,13300,272143
2016-01-05,13300,14400,14550,13000,471569
2016-01-06,15500,18700,18700,15300,2133901
2016-01-07,18950,18350,19200,16700,1604310
2016-01-08,17650,17650,19000,17350,820257
2016-01-11,18400,19900,20200,17700,813751
2016-01-12,19400,17850,19950,17700,612312
2016-01-13,21200,23200,23200,20150,2178126
2016-01-14,23450,23200,24400,22200,1338324
2016-01-15,23600,25500,29300,21800,1746964
2016-01-18,25250,26700,30850,24500,1641250
2016-01-19,27400,26600,29800,26450,535599
2016-01-20,27250,24800,27600,24300,323018
2016-01-21,24600,24000,25100,23150,212769
2016-01-22,24350,26350,29750,24050,988911
2016-01-25,27300,26900,28950,26500,354296
2016-01-26,25750,25550,26200,25000,166988
2016-01-27,25900,24850,26100,23900,138451
2016-01-28,24450,25250,25250,24200,98533
2016-01-29,25250,24850,25250,24250,57608
2016-02-01,24600,23950,24850,23750,86252
2016-02-02,23950,24850,25600,23950,116996
2016-02-03,24350,24400,24400,23800,64286
2016-02-04,24750,25500,25950,24150,153438
2016-02-05,25700,26350,26850,25400,103256
2016-02-11,25500,23950,25650,23250,98936
2016-02-12,23300,21000,24850,18600,194005
2016-02-15,21100,22850,24700,21100,160788
2016-02-16,23100,23650,23900,23000,71938
2016-02-17,23800,22700,23850,21700,74547
2016-02-18,23250,22800,23400,22350,47827
2016-02-19,22300,22350,23900,22300,75727
2016-02-22,22500,21900,22900,21900,76188
2016-02-23,22200,21150,22350,20150,110290
2016-02-24,21050,20700,21400,20450,55329
2016-02-25,20700,20800,21050,20600,55876
2016-02-26,20900,20250,21050,20100,29409
2016-02-29,20550,19500,20550,19000,45106
2016-03-02,19600,19650,20350,19400,37458
2016-03-03,19550,19950,19950,18650,97106
2016-03-04,20200,22100,25050,19850,825463
2016-03-07,22400,23400,25350,22400,376348
2016-03-08,24000,23500,24750,22350,172391
2016-03-09,23400,24100,24500,23050,113246
2016-03-10,24600,25050,27300,23750,339387
2016-03-11,25400,26300,26900,25350,181837
2016-03-14,27000,25500,27700,25450,139927
2016-03-15,25600,25150,26450,24900,90600
2016-03-16,25300,24950,26250,24600,98643
2016-03-17,25000,25000,25550,24400,58616
2016-03-18,25250,24000,25350,23800,71034
2016-03-21,24000,24100,24350,23700,29810
2016-03-22,24150,25500,25850,24150,139130
2016-03-23,25200,24300,25350,24250,77413
2016-03-24,24000,23800,24300,23550,47443
2016-03-25,23600,23350,24050,23100,45022
2016-03-28,23450,24000,24350,22700,74130
2016-03-29,23600,23600,24150,23400,42804
2016-03-30,23950,23650,24050,23450,38578
2016-03-31,23800,22900,23800,22800,47241
2016-04-01,22900,23600,23950,22800,59107
2016-04-04,23700,24700,26500,23700,214819
2016-04-05,25300,24350,25600,24150,75750
2016-04-06,24400,24900,25100,24100,54072
2016-04-07,24900,24500,24900,24050,44378
2016-04-08,24750,24700,26200,24550,111630
2016-04-11,24900,23950,25050,23950,60313
2016-04-12,23750,23300,24150,22900,81797
2016-04-14,23300,22900,23500,22800,47779
2016-04-15,22950,23000,23250,22800,27013
2016-04-18,23200,22850,23250,22850,20188
2016-04-19,22900,23150,23350,22850,34438
2016-04-20,23400,23000,23400,22900,22928
2016-04-21,23000,22400,23100,22300,43418
2016-04-22,22400,22350,22800,22350,20161
2016-04-25,22700,22500,22700,22350,14946
2016-04-26,22500,22000,22550,21950,34599
2016-04-27,22700,23050,23950,22500,117525
2016-04-28,23300,22650,23350,22350,32662
2016-04-29,22850,22200,22850,22100,19988
2016-05-02,22350,22100,22650,22100,13896
2016-05-03,22300,21950,22300,21600,27716
2016-05-04,22000,21500,22000,21250,31867
2016-05-09,21550,21050,21800,21050,22403
2016-05-10,21150,21300,21650,21150,12766
2016-05-11,21550,21650,21900,21250,23249
2016-05-12,21650,21450,21850,21350,11736
2016-05-13,21800,22250,22400,21600,40773
2016-05-16,22200,22300,22400,21700,16815
2016-05-17,22050,21600,22150,21600,20792
2016-05-18,21600,21100,21600,20850,20663
2016-05-19,20750,20500,21150,20300,27015
2016-05-20,20250,20100,20450,19900,18739
2016-05-23,20000,20300,20450,20000,12160
2016-05-24,20000,19450,20150,19400,31389
2016-05-25,19700,19800,19950,19000,25492
2016-05-26,19500,19000,19700,18850,32860
2016-05-27,19000,19000,19200,18850,22050
2016-05-30,19000,18150,19000,18100,34887
2016-05-31,18000,18350,18550,17700,35760
2016-06-01,18350,18800,18950,18100,18487
2016-06-02,19000,18400,19000,18100,28630
2016-06-03,18550,17900,18550,17700,42334
2016-06-07,17750,18000,18150,17600,17445
2016-06-08,18100,18050,18100,17700,16037
2016-06-09,17850,18550,19150,17850,57179
2016-06-10,18450,18650,18750,18300,16756
2016-06-13,18500,17850,18550,17850,18425
2016-06-14,17700,18000,18350,17600,15103
2016-06-15,18000,17850,18150,17650,13594
2016-06-16,18300,18950,21150,18050,276666
2016-06-17,18900,17950,19300,17900,48212
2016-06-20,18150,18600,19200,18000,42063
2016-06-21,18800,18250,18800,18150,21282
2016-06-22,18350,18250,18550,18250,20579
2016-06-23,18300,17650,18300,17200,43006
2016-06-24,17950,16450,18050,16300,45455
2016-06-27,15300,16050,16350,15300,41804
2016-06-28,15800,16950,17000,15800,28808
2016-06-29,17050,17550,17600,17050,18961
2016-06-30,17650,17400,17650,16850,10374
2016-07-01,17450,17250,17650,16350,24450
2016-07-04,17100,17050,17500,16900,15550
2016-07-05,17200,17050,17200,16800,13457
2016-07-06,17250,16950,17250,16500,20437
2016-07-07,17200,17400,17400,16700,23106
2016-07-08,17400,16850,17400,16800,15847
2016-07-11,17350,16900,17350,16850,7500
2016-07-12,17050,17000,17050,16700,17867
2016-07-13,17300,17300,17900,17000,33165
2016-07-14,17300,17200,17400,17000,16838
2016-07-15,17100,16900,17250,16700,13909
2016-07-18,16750,16850,17000,16550,7806
2016-07-19,16800,16850,17000,16650,8251
2016-07-20,16700,17050,17050,16700,11667
2016-07-21,17100,16450,17400,16250,29907
2016-07-22,16500,16750,16800,16300,7538
2016-07-25,16550,16750,16900,16550,8050
2016-07-26,16950,16950,17000,16650,7185
2016-07-27,17100,17300,18250,16850,83405
2016-07-28,17250,18450,18800,17250,87026
2016-07-29,18450,17700,18700,17500,48385
2016-08-01,18050,17800,18200,17550,27151
2016-08-02,18000,17250,18000,17100,23867
2016-08-03,17050,16850,17200,16700,20072
2016-08-04,16950,17050,17350,16800,17765
2016-08-05,17050,16850,17250,16750,13896
2016-08-08,16700,16400,17000,16400,19797
2016-08-09,16400,16250,16700,16000,26764
2016-08-10,16450,16200,16450,16100,15495
2016-08-11,16300,15900,16300,15850,20484
2016-08-12,16250,16400,17000,16100,53489
2016-08-16,16450,16100,16550,16100,12562
2016-08-17,16100,16100,16200,15800,10027
2016-08-18,16250,16200,16250,15900,16755
2016-08-19,16300,16200,16400,15950,9161
2016-08-22,16350,21050,21050,16350,1174165
2016-08-23,22200,20850,22550,20100,1443735
2016-08-24,21500,21450,21550,20300,569560
2016-08-25,21600,20550,21600,20550,266479
2016-08-26,19900,19450,20250,18950,288224
2016-08-29,19150,18000,19400,17900,166685
2016-08-30,18100,18650,18950,17950,188454
2016-08-31,18450,18700,18800,18100,86932
2016-09-01,18550,18950,19150,18400,98123
2016-09-02,19050,18950,19150,18450,78049
2016-09-05,18500,18900,19000,18500,39996
2016-09-06,19100,18500,19100,18400,38231
2016-09-07,18800,18200,18850,18200,42865
2016-09-08,18100,17300,18400,16700,91377
2016-09-09,17500,17100,17500,16850,45809
2016-09-12,16850,16800,17200,16650,20962
2016-09-13,16950,17050,17400,16950,17231
2016-09-19,17150,17150,17450,17050,15255
2016-09-20,17300,17250,17300,16950,19318
2016-09-21,17450,17300,17550,17150,21637
2016-09-22,17500,18250,18250,17350,73595
2016-09-23,18250,17800,18250,17500,44730
2016-09-26,17950,17600,18150,17600,20600
2016-09-27,17400,17450,17700,17300,24201
2016-09-28,17500,17550,17850,17350,19242
2016-09-29,17550,17700,17800,17450,25822
2016-09-30,17700,16950,17800,16950,32982
2016-10-04,16950,17050,17250,16950,12118
2016-10-05,16800,16900,17100,16800,12813
2016-10-06,17000,17000,17100,16900,7499
2016-10-07,17050,16650,17150,16650,27100
2016-10-10,16500,16400,16750,16400,16894
