Date,Open,Close,High,Low,Volume
2017-06-08,2020,1970,2020,1960,336276
2017-06-09,1980,1960,1980,1955,38956
2017-06-12,2000,1965,2000,1960,15838
2017-06-13,2000,1970,2000,1960,21680
2017-06-14,1970,1965,1970,1960,13632
2017-06-15,1965,1970,1990,1955,37849
2017-06-16,1980,1955,1980,1950,54691
2017-06-19,1955,1955,1965,1950,27213
2017-06-20,1950,1950,1965,1945,26295
2017-06-21,1965,1945,1965,1940,42429
2017-06-22,1940,1945,1955,1940,612
2017-06-23,1950,1960,1965,1950,12865
2017-06-26,1960,1960,1960,1955,4764
2017-06-27,1980,1960,1980,1955,16018
2017-06-28,1955,1960,1990,1955,25599
2017-06-29,1950,1955,1990,1950,58479
2017-06-30,1960,1995,2005,1955,98425
2017-07-03,2015,1990,2020,1980,26063
2017-07-04,1990,1995,2000,1990,16159
2017-07-05,2015,1995,2015,1985,13379
2017-07-06,1980,1995,1995,1980,18004
2017-07-07,1990,2005,2005,1990,28915
2017-07-10,1990,2000,2000,1990,21475
2017-07-11,2005,2010,2010,2000,45829
2017-07-12,2015,2005,2030,2000,83002
2017-07-13,2005,2010,2015,2000,30412
2017-07-14,2010,2010,2035,2005,17619
2017-07-17,2020,2020,2020,2005,1636
2017-07-18,2010,2005,2015,2005,13666
2017-07-19,2005,2020,2020,2000,13143
2017-07-20,2010,2010,2010,2005,620
2017-07-21,1995,1995,1995,1995,100
2017-07-24,1995,2000,2000,1995,26101
2017-07-25,2000,2000,2020,2000,1228
2017-07-26,2000,2000,2000,2000,3502
2017-07-27,2000,1995,2010,1995,2660
2017-07-28,1995,1995,2000,1995,3627
2017-07-31,1990,2000,2000,1990,2100
2017-08-01,1995,1985,1995,1985,50000
2017-08-02,1990,1990,1990,1990,100
2017-08-03,1995,1995,2000,1995,8102
2017-08-04,1995,1995,1995,1995,1025
2017-08-07,1995,1995,1995,1995,1200
2017-08-08,1995,1995,2000,1995,1012
2017-08-09,1995,1995,2000,1995,647
2017-08-10,1995,2000,2000,1995,3110
2017-08-11,2000,1995,2000,1995,24709
2017-08-14,2000,1995,2000,1995,2105
2017-08-16,1995,1995,2000,1995,617
2017-08-17,1995,2000,2000,1995,2875
2017-08-18,2000,2000,2000,2000,4693
2017-08-21,2000,2000,2000,1995,9189
2017-08-22,2000,2000,2000,1995,4606
2017-08-23,2000,2000,2000,2000,4403
2017-08-24,2005,2000,2005,2000,731
2017-08-25,2010,2005,2020,2005,81641
2017-08-28,2010,2015,2015,2010,2911
2017-08-29,2015,2015,2015,2015,10000
2017-08-30,2015,2015,2015,2015,0
2017-08-31,2030,2020,2030,2015,2012
2017-09-01,2005,2010,2015,2005,10401
2017-09-04,2005,2005,2010,2005,10173
2017-09-05,2010,2005,2095,2000,45251
2017-09-06,2005,2005,2005,2005,2152
2017-09-07,2005,2005,2005,2005,4
2017-09-08,2005,2005,2005,2005,150
2017-09-11,2005,2005,2005,2005,181
2017-09-12,2005,2005,2005,2005,200
2017-09-13,2005,2005,2005,2005,7512
2017-09-14,2005,2005,2005,2000,4883
2017-09-15,2025,2015,2025,2005,202
2017-09-18,2015,2020,2020,2015,26084
2017-09-19,2005,2005,2005,2005,926
2017-09-20,2005,2005,2005,2005,2344
2017-09-21,2005,2005,2005,2005,600
2017-09-22,2005,2005,2005,2005,0
2017-09-25,2010,2010,2010,2010,2510
2017-09-26,2010,2010,2010,2010,1200
2017-09-27,2040,2010,2040,2010,1101
2017-09-28,2015,2010,2015,2010,5340
2017-09-29,2005,2005,2005,2000,1626
2017-10-10,2010,2010,2010,2010,8391
2017-10-11,2005,2015,2015,2000,7100
2017-10-12,2015,2000,2015,2000,1001
2017-10-13,2005,2005,2005,2005,0
2017-10-16,2015,2010,2015,2010,3201
2017-10-17,2015,2000,2015,2000,80965
2017-10-18,2015,2010,2015,2005,8102
2017-10-19,2015,2005,2015,2005,10536
2017-10-20,2000,2005,2015,2000,10807
2017-10-23,2015,2005,2015,2005,10930
2017-10-24,2015,2000,2015,2000,31588
2017-10-25,2000,2010,2015,2000,2615
2017-10-26,2015,2015,2015,2015,2599
2017-10-27,2000,1995,2010,1995,42245
2017-10-30,1995,2005,2010,1995,2522
2017-10-31,2010,2010,2010,2010,1791
2017-11-01,2010,2015,2015,2010,2001
2017-11-02,2010,2010,2010,2010,1571
2017-11-03,2010,2010,2010,2010,50
2017-11-06,2000,2000,2000,1995,9565
2017-11-07,1995,1995,2000,1995,5416
2017-11-08,2010,1990,2010,1990,32014
2017-11-09,2000,1995,2000,1995,59022
2017-11-10,1990,1995,2010,1990,16394
2017-11-13,2000,1990,2000,1990,10070
2017-11-14,1995,1995,2000,1995,23134
2017-11-15,2000,1995,2000,1995,11791
2017-11-16,1995,1990,2000,1990,10381
