Date,Open,Close,High,Low,Volume
2017-06-05,94000,85200,94400,83000,1272854
2017-06-07,86600,84600,86800,83100,295881
2017-06-08,85700,84300,87600,84300,190654
2017-06-09,83600,84600,84900,82100,238136
2017-06-12,83800,82500,84600,82200,92004
2017-06-13,82600,84800,87100,82600,314946
2017-06-14,84200,83700,85500,83100,99410
2017-06-15,83300,81300,83400,80300,152177
2017-06-16,80900,81400,82300,80100,65487
2017-06-19,82500,82600,83200,81800,49739
2017-06-20,83000,82900,83100,81600,36948
2017-06-21,82900,80500,82900,80500,68046
2017-06-22,80700,77800,80700,77800,88089
2017-06-23,77900,78200,79100,77200,51878
2017-06-26,77800,80200,80200,77000,49069
2017-06-27,80200,78500,80200,78200,36431
2017-06-28,78500,77000,79300,76800,56672
2017-06-29,77000,75400,77300,74500,90243
2017-06-30,76000,74700,76000,74300,44390
2017-07-03,74500,75000,75700,73900,28311
2017-07-04,75100,77000,78600,74700,55812
2017-07-05,77800,78300,78800,77500,33424
2017-07-06,77200,76800,77500,75600,31592
2017-07-07,76800,75200,76800,74700,35395
2017-07-10,75200,73500,75200,73000,29775
2017-07-11,74000,73500,74300,72600,29365
2017-07-12,73500,73500,74800,72100,21412
2017-07-13,73300,72400,73600,72100,41933
2017-07-14,72400,72400,73300,71400,37553
2017-07-17,73900,76200,76600,72700,78169
2017-07-18,78500,76900,78900,76400,75611
2017-07-19,76900,76000,78300,75000,51425
2017-07-20,76300,76400,77500,75400,31715
2017-07-21,77000,76400,78700,76400,54794
2017-07-24,77900,78800,79000,76700,60745
2017-07-25,78600,77600,79600,77400,46339
2017-07-26,78000,77700,78400,76700,24673
2017-07-27,77800,77900,78000,76800,18225
2017-07-28,78000,76500,78000,76200,18955
2017-07-31,76700,75400,76900,75300,11709
2017-08-01,75800,75900,76700,74900,28043
2017-08-02,75900,76700,76700,75400,16578
2017-08-03,76700,76800,77400,75200,16196
2017-08-04,76800,75800,76900,75600,16358
2017-08-07,76100,75900,76700,75400,16788
2017-08-08,76500,75900,76500,75400,16792
2017-08-09,75900,75400,76400,75200,14679
2017-08-10,75400,77500,77500,74800,18356
2017-08-11,76700,78000,78100,76100,22836
2017-08-14,78000,76600,78300,76600,22275
2017-08-16,78500,74300,79900,73700,110924
2017-08-17,75900,73400,76200,72500,106146
2017-08-18,73400,73200,73700,72500,41681
2017-08-21,73200,74500,74700,72800,22307
2017-08-22,74700,73000,74800,72500,44549
2017-08-23,72800,70200,72800,69900,102718
2017-08-24,70300,70600,71300,69600,48565
2017-08-25,71100,72700,73500,70200,47402
2017-08-28,73100,72900,73400,72400,23507
2017-08-29,72900,73800,74200,72000,28802
2017-08-30,74100,73400,74100,72500,22039
2017-08-31,73400,72300,73600,71700,28576
2017-09-01,72100,72500,73500,71400,22833
2017-09-04,71100,71800,72900,70900,39726
2017-09-05,71900,70500,71900,69900,60616
2017-09-06,70500,71600,72100,69900,28110
2017-09-07,71600,72200,72200,70600,32607
2017-09-08,72400,71800,72500,71100,16248
2017-09-11,71800,71100,72000,70400,30141
2017-09-12,71200,71100,71200,70300,13898
2017-09-13,70700,70600,71200,69800,48883
2017-09-14,70300,69900,70600,68700,46663
2017-09-15,69700,71100,71100,69000,35989
2017-09-18,70200,70300,71200,70200,25963
2017-09-19,70000,68400,70000,68200,49615
2017-09-20,68400,66500,68900,66500,54114
2017-09-21,66500,65100,67900,65100,67708
2017-09-22,65900,64000,65900,62300,84862
2017-09-25,64000,63300,64700,62800,36625
2017-09-26,62400,64000,65100,62300,33163
2017-09-27,64000,65800,65800,63500,36369
2017-09-28,65500,67700,68300,65200,23746
2017-09-29,67800,68200,68300,66800,13480
2017-10-10,68600,67200,68700,66900,11580
2017-10-11,68200,66500,68200,64900,39121
2017-10-12,66200,68600,68700,65500,20776
2017-10-13,68900,68500,69600,67200,22802
2017-10-16,68500,68200,69000,66400,22343
2017-10-17,68200,67000,68300,66100,28253
2017-10-18,67000,66100,67500,66000,15763
2017-10-19,66100,65000,66700,64700,43586
2017-10-20,65500,66100,67100,65000,20026
2017-10-23,66900,66500,67000,65800,20199
2017-10-24,67000,69500,69700,66800,37022
2017-10-25,69500,70800,71300,69300,42512
2017-10-26,71200,71700,73300,69200,62464
2017-10-27,72800,73000,73000,71000,32240
2017-10-30,73000,73400,73800,72000,39025
2017-10-31,73500,70000,73500,70000,44901
2017-11-01,70000,71600,72100,70000,30301
2017-11-02,72300,71000,73400,70500,35131
2017-11-03,71000,72300,73200,70600,32386
2017-11-06,72600,75300,75400,72200,71561
2017-11-07,76300,76400,76600,74100,60685
2017-11-08,76400,75300,76500,74600,26544
2017-11-09,75400,74900,75400,73300,35145
2017-11-10,74700,74700,76100,73700,33582
2017-11-13,75500,76900,76900,74100,49463
2017-11-14,76900,76700,76900,75000,24251
2017-11-15,76600,73900,76600,72600,60831
2017-11-16,74100,71200,74500,70600,73139
2017-11-17,71300,71700,73000,71200,55896
2017-11-20,72300,71400,73100,71100,37817
2017-11-21,71800,71300,71800,70500,39384
2017-11-22,71300,69200,72000,68100,70804
2017-11-23,69200,69100,69700,68500,43324
2017-11-24,69500,66900,69500,66800,84852
2017-11-27,69600,71900,74300,69600,175659
2017-11-28,72000,73100,74500,70700,75147
2017-11-29,73300,73500,74100,71900,49884
2017-11-30,74000,74500,74800,71200,50096
2017-12-01,73600,71100,73600,70700,52372
2017-12-04,71400,70000,71500,69100,35699
2017-12-05,70000,69000,70600,68400,54864
2017-12-06,69300,67600,69300,67000,54475
2017-12-07,67900,66900,68200,66400,50389
