Date,Open,Close,High,Low,Volume
2018-06-08,2000,2000,2010,2000,489453
2018-06-11,2005,2005,2010,2000,38115
2018-06-12,2010,2005,2010,2005,22833
2018-06-14,2005,2005,2010,2000,19463
2018-06-15,2005,2000,2005,2000,28483
2018-06-18,2010,2005,2010,2005,364
2018-06-19,2005,2005,2010,2005,11285
2018-06-20,2005,2005,2010,2005,21500
2018-06-21,2010,2005,2010,2005,43769
2018-06-22,2005,2005,2010,2005,12410
2018-06-25,2005,2010,2010,2005,36288
2018-06-26,2010,2005,2010,2005,21994
2018-06-27,2010,2040,2040,2005,71083
2018-06-28,2040,2035,2045,2025,906
2018-06-29,2040,2040,2040,2040,41
2018-07-02,2035,2040,2045,2015,1273
2018-07-03,2015,2040,2040,2005,52671
2018-07-04,2010,2035,2040,2010,6
2018-07-05,2015,2035,2040,2015,3
2018-07-06,2020,2030,2035,2020,53
2018-07-09,2025,2020,2040,2020,155
2018-07-10,2030,2040,2040,2020,754
2018-07-11,2025,2035,2035,2020,18277
2018-07-12,2030,2035,2035,2015,36731
2018-07-13,2025,2035,2035,2025,2
2018-07-16,2030,2040,2040,2030,3503
2018-07-17,2035,2045,2045,2035,7501
2018-07-18,2045,2040,2045,2040,3002
2018-07-19,2040,2040,2040,2040,1195
2018-07-20,2035,2035,2035,2035,1
2018-07-23,2050,2045,2050,2025,2121
2018-07-24,2035,2045,2045,2035,2
2018-07-25,2045,2040,2060,2020,61812
2018-07-26,2030,2040,2040,2025,73
2018-07-27,2025,2040,2040,2025,5003
2018-07-30,2025,2035,2040,2025,24022
2018-07-31,2025,2040,2040,2020,12727
2018-08-01,2040,2045,2070,2020,5280
2018-08-02,2030,2040,2040,2020,3028
2018-08-03,2030,2040,2040,2030,297
2018-08-06,2040,2040,2040,2040,48
2018-08-07,2035,2035,2035,2025,638
2018-08-08,2040,2040,2040,2040,1
2018-08-09,2040,2080,2080,2040,1737
2018-08-10,2050,2050,2050,2045,12
2018-08-13,2040,2050,2080,2040,13724
2018-08-14,2050,2050,2050,2045,2300
2018-08-16,2075,2065,2080,2040,113
2018-08-17,2075,2075,2080,2035,14
2018-08-20,2050,2070,2080,2050,3400
2018-08-21,2045,2045,2065,2045,16605
2018-08-22,2050,2065,2070,2050,7399
2018-08-23,2070,2070,2070,2040,6234
2018-08-24,2070,2070,2070,2060,1867
2018-08-27,2060,2090,2090,2060,2001
2018-08-28,2050,2085,2085,2050,8794
2018-08-29,2080,2080,2080,2045,401
2018-08-30,2040,2045,2090,2040,12559
2018-08-31,2080,2075,2080,2050,704
2018-09-03,2080,2080,2080,2050,7767
2018-09-04,2050,2080,2080,2050,13505
2018-09-05,2090,2110,2180,2090,32388
2018-09-06,2125,2135,2135,2105,10382
2018-09-07,2135,2120,2135,2100,11715
2018-09-10,2120,2115,2120,2050,60007
2018-09-11,2105,2110,2110,2105,9
2018-09-12,2105,2105,2105,2105,1
2018-09-13,2065,2090,2090,2045,61904
2018-09-14,2090,2080,2090,2055,6695
2018-09-17,2055,2050,2075,2050,26804
2018-09-18,2055,2070,2075,2050,5005
2018-09-19,2060,2070,2070,2055,1586
2018-09-20,2070,2075,2075,2070,3041
2018-09-21,2055,2075,2075,2055,2
2018-09-27,2045,2060,2075,2010,127922
2018-09-28,2040,2060,2060,2035,113
2018-10-01,2035,2050,2060,2035,4421
2018-10-02,2055,2050,2055,2040,266
2018-10-04,2055,2070,2070,2050,4041
2018-10-05,2045,2055,2055,2045,2503
2018-10-08,2055,2055,2055,2050,3501
2018-10-10,2045,2045,2055,2025,13373
2018-10-11,2040,2070,2070,2030,13408
2018-10-12,2055,2055,2055,2050,8190
2018-10-15,2070,2055,2070,2055,6
2018-10-16,2040,2045,2045,2035,7501
2018-10-17,2040,2045,2045,2040,7901
2018-10-18,2050,2050,2060,2045,7089
2018-10-19,2045,2045,2045,2040,6576
2018-10-22,2065,2055,2065,2035,3874
2018-10-23,2035,2045,2055,2035,24365
2018-10-24,2050,2050,2050,2045,2301
2018-10-25,2050,2050,2065,2050,2303
2018-10-26,2055,2045,2055,2035,1814
2018-10-29,2055,2045,2055,2035,2261
2018-10-30,2050,2050,2050,2050,10
2018-10-31,2050,2050,2060,2045,50278
2018-11-01,2060,2050,2060,2040,1828
2018-11-02,2050,2050,2055,2040,1002
2018-11-05,2060,2060,2060,2060,1501
2018-11-06,2045,2060,2060,2040,503
2018-11-07,2045,2060,2060,2045,3838
2018-11-08,2060,2040,2060,2040,5150
2018-11-09,2060,2050,2060,2025,13773
2018-11-12,2030,2050,2055,2030,2157
2018-11-13,2050,2050,2060,2050,6301
2018-11-14,2050,2050,2050,2045,1362
2018-11-15,2060,2050,2060,2035,1303
2018-11-16,2050,2045,2060,2035,1532
2018-11-19,2035,2045,2060,2035,3457
2018-11-20,2060,2050,2060,2050,21001
2018-11-21,2030,2055,2060,2030,9904
2018-11-22,2035,2055,2055,2035,12500
2018-11-23,2035,2055,2060,2035,10640
2018-11-26,2060,2055,2060,2050,3004
2018-11-27,2050,2055,2055,2050,7503
2018-11-28,2060,2045,2060,2035,64003
2018-11-29,2050,2050,2050,2050,1701
2018-11-30,2055,2055,2055,2050,11701
2018-12-03,2060,2055,2060,2035,27270
2018-12-04,2055,2055,2055,2050,2000
2018-12-05,2050,2050,2050,2050,2000
2018-12-06,2055,2055,2055,2055,1
2018-12-07,2055,2055,2055,2030,24795
2018-12-10,2040,2050,2050,2040,2102
2018-12-11,2035,2055,2055,2020,44841
2018-12-12,2055,2055,2055,2050,2500
2018-12-13,2055,2055,2060,2055,8501
2018-12-14,2040,2050,2050,2040,2
2018-12-17,2035,2045,2045,2035,2
2018-12-18,2045,2045,2045,2045,1
2018-12-19,2050,2050,2050,2050,1
2018-12-20,2030,2030,2030,2030,300
2018-12-21,2050,2040,2050,2025,1647
2018-12-24,2050,2040,2050,2030,1002
2018-12-26,2040,2040,2040,2040,1
2018-12-27,2035,2035,2035,2035,200
2018-12-28,2035,2035,2035,2030,1002
