Date,Open,Close,High,Low,Volume
2010-04-23,4500,3825,4500,3825,6399130
2010-04-26,3655,3860,4055,3650,4312630
2010-04-27,3885,3750,3930,3745,1385013
2010-04-28,3700,3700,3970,3660,1422838
2010-04-29,3700,3460,3740,3430,1170700
2010-04-30,3500,3300,3525,3215,837836
2010-05-03,3300,3200,3350,3150,633152
2010-05-04,3250,3300,3410,3155,764775
2010-05-06,3250,2995,3285,2965,773070
2010-05-07,2805,2740,2875,2720,567735
2010-05-10,2790,2760,2830,2740,354343
2010-05-11,2805,2830,2895,2790,318174
2010-05-12,2880,2955,3070,2880,377785
2010-05-13,3000,2960,3010,2930,178672
2010-05-14,2910,2865,2975,2850,86933
2010-05-17,2865,2575,2865,2555,429224
2010-05-18,2580,2565,2650,2560,198385
2010-05-19,2850,2640,2945,2600,3877557
2010-05-20,2645,3035,3035,2555,1656072
2010-05-24,3295,3120,3430,2900,3436773
2010-05-25,3150,3390,3585,3020,4482908
2010-05-26,3625,3120,3895,3100,6656240
2010-05-27,3130,3300,3500,3120,2627007
2010-05-28,3350,3400,3455,3250,1434627
2010-05-31,3400,3400,3570,3350,859953
2010-06-01,3400,3395,3400,3250,642237
2010-06-03,3395,3700,3900,3395,3054472
2010-06-04,3700,3640,3810,3615,789415
2010-06-07,3500,3645,3745,3435,583704
2010-06-08,3665,3875,3955,3665,1034262
2010-06-09,3875,3845,4070,3800,1245368
2010-06-10,3970,4420,4420,3880,3023104
2010-06-11,4540,4465,4600,4260,2488727
2010-06-14,4570,4550,4890,4355,2463854
2010-06-15,4600,4450,4690,4410,1168276
2010-06-16,4540,4210,4655,4190,1109634
2010-06-17,4315,4840,4840,4235,2281666
2010-06-18,4730,4635,4940,4600,1636734
2010-06-21,4750,4800,4995,4610,1487908
2010-06-22,4770,4870,4890,4660,864471
2010-06-23,4950,4665,4990,4665,1081907
2010-06-24,4700,4670,4730,4430,582227
2010-06-25,4700,4600,4850,4600,468214
2010-06-28,4565,4600,4600,4440,407850
2010-06-29,4600,4330,4690,4330,347127
2010-06-30,4175,4295,4325,4115,328391
2010-07-01,4335,4275,4405,4255,209930
2010-07-02,4210,4020,4550,3695,855652
2010-07-05,4090,4305,4600,4075,476367
2010-07-06,4385,4270,4390,4180,116512
2010-07-07,4230,4105,4320,4105,196874
2010-07-08,4120,4130,4220,4115,118948
2010-07-09,4165,4130,4180,4020,116837
2010-07-12,4130,4080,4170,4060,86871
2010-07-13,4100,4050,4160,4050,109043
2010-07-14,4095,4000,4110,4000,200550
2010-07-15,4050,4075,4145,3970,163485
2010-07-16,4090,4070,4320,4040,157846
2010-07-19,4050,4170,4225,4000,97611
2010-07-20,4195,4170,4230,4100,59785
2010-07-21,4175,4040,4315,4040,149232
2010-07-22,4150,4060,4340,3970,195520
2010-07-23,4100,3995,4140,3995,111563
2010-07-26,4035,3925,4050,3910,104316
2010-07-27,3930,4000,4050,3920,83146
2010-07-28,4010,4075,4130,3990,103433
2010-07-29,4050,4100,4230,4045,142278
2010-07-30,4100,3955,4120,3560,74517
2010-08-02,3990,3960,4145,3870,94823
2010-08-03,3960,3990,4085,3960,43937
2010-08-04,4000,4000,4040,3970,68258
2010-08-05,3990,3960,3990,3910,35071
2010-08-06,3960,3870,3960,3835,47781
2010-08-09,3870,3930,3950,3870,27851
2010-08-10,3940,3890,3940,3870,19359
2010-08-11,3860,3850,3910,3810,29424
2010-08-12,3880,3925,3925,3665,27042
2010-08-13,3950,4040,4095,3950,71695
2010-08-16,4125,4075,4140,4000,40048
2010-08-17,4100,3940,4125,3880,67547
2010-08-18,3975,4020,4040,3955,36837
2010-08-19,4020,3920,4020,3880,78946
2010-08-20,3860,3780,3965,3745,130919
2010-08-23,3780,3700,3810,3700,68765
2010-08-24,3800,3650,3800,3570,71682
2010-08-25,3525,3500,3615,3450,118513
2010-08-26,3550,3385,3580,3350,135402
2010-08-27,3410,3370,3450,3230,108775
2010-08-30,3370,3655,3730,3370,118436
2010-08-31,3605,3610,3725,3530,84351
2010-09-01,3650,3540,3650,3500,73486
2010-09-02,3600,3600,3695,3580,261914
2010-09-03,3710,3830,3880,3640,134638
2010-09-06,3910,3880,3925,3810,82180
2010-09-07,3940,3905,3940,3820,79466
2010-09-08,3905,3900,3945,3880,41293
2010-09-09,3980,4180,4290,3920,147666
2010-09-10,4270,4235,4270,4130,73460
2010-09-13,4235,4240,4295,4210,64032
2010-09-14,4280,4140,4280,4050,231123
2010-09-15,4180,4205,4225,4055,85016
2010-09-16,4280,4210,4300,4180,65523
2010-09-17,4190,4200,4250,4135,67355
2010-09-20,4160,4125,4280,4065,36395
