Date,Open,Close,High,Low,Volume
2016-09-13,14600,14150,14600,14100,150914
2016-09-19,14000,14200,14450,13800,136373
2016-09-20,14000,14050,14050,13850,88856
2016-09-21,14000,14150,14300,13850,98020
2016-09-22,14200,14150,14400,14100,99304
2016-09-23,14450,14750,14800,14150,327829
2016-09-26,14800,14650,14850,14600,141034
2016-09-27,14750,15000,15000,14750,222918
2016-09-28,15100,15000,15100,14750,94973
2016-09-29,15050,14700,15100,14650,133072
2016-09-30,14550,14800,14850,14550,98603
2016-10-04,14750,14600,14850,14550,97365
2016-10-05,14450,14350,14700,14300,161138
2016-10-06,14350,14100,14450,14000,189243
2016-10-07,14050,14350,14450,14050,91608
2016-10-10,14500,14850,15000,14500,209628
2016-10-11,15050,14950,15100,14850,135140
2016-10-12,15000,14900,15000,14800,79227
2016-10-13,14750,14500,14900,14400,108939
2016-10-14,14500,14250,14800,14200,142005
2016-10-17,14400,14250,14400,14050,132928
2016-10-18,14350,13950,14350,13950,89438
2016-10-19,14000,13800,14050,13700,161211
2016-10-20,13750,13900,13900,13650,157127
2016-10-21,13800,13600,14000,13600,123585
2016-10-24,13600,13250,13750,13250,215419
2016-10-25,13250,13450,13450,13200,150685
2016-10-26,13450,13300,13500,13100,142215
2016-10-27,13350,13450,13550,13200,115294
2016-10-28,13250,13500,13550,13250,78901
2016-10-31,13350,13150,13500,13100,103161
2016-11-01,13250,13250,13500,13100,119720
2016-11-02,13250,13450,13600,13100,167871
2016-11-03,13450,13650,14000,13350,236567
2016-11-04,13850,14100,14100,13850,221921
2016-11-07,14250,14300,14400,13850,138644
2016-11-08,14400,14350,14450,14150,93818
2016-11-09,14450,14350,14450,13800,168531
2016-11-10,14400,13650,14450,13400,300491
2016-11-11,13650,13750,13850,13350,211083
2016-11-14,13750,13650,13850,13450,153375
2016-11-15,13550,13250,13750,13150,212260
2016-11-16,13400,13550,13750,13400,266158
2016-11-17,13550,13400,13700,13400,170365
2016-11-18,13350,13500,13500,13300,155949
2016-11-21,13550,13000,13550,12850,252300
2016-11-22,13050,13050,13250,12850,286343
2016-11-23,12950,12850,13150,12800,207184
2016-11-24,12900,12800,13000,12700,168780
2016-11-25,12800,12650,12900,12550,215381
2016-11-28,12550,12900,13000,12550,142848
2016-11-29,12950,13100,13200,12850,117479
2016-11-30,13150,13300,13300,12850,142045
2016-12-01,13300,13550,13550,13100,234520
2016-12-02,13550,13650,13750,13400,167814
2016-12-05,13650,13600,13700,13450,109152
2016-12-06,13800,13650,13900,13550,165407
2016-12-07,13650,13650,13750,13300,177135
2016-12-08,13700,14050,14050,13450,265069
2016-12-09,14050,13800,14050,13600,138107
2016-12-12,13800,13400,13850,13350,125553
2016-12-13,13500,13600,13700,13400,173373
2016-12-14,13700,13550,13750,13450,120242
2016-12-15,13400,13700,13750,13400,110579
2016-12-16,13600,13450,13650,13300,228723
2016-12-19,13450,13450,13500,13350,92389
2016-12-20,13500,13500,13550,13450,73035
2016-12-21,13500,13300,13550,13200,163270
2016-12-22,13250,13100,13300,13050,139492
2016-12-23,13100,13400,13500,13050,171600
2016-12-26,13200,13350,13400,13150,76930
2016-12-27,13350,13350,13500,13250,47428
2016-12-28,13200,13100,13350,13100,79253
2016-12-29,13200,13000,13200,13000,93794
2017-01-02,12950,13050,13350,12950,75727
2017-01-03,13150,13500,13600,13050,233816
2017-01-04,13450,13350,13450,13150,231613
2017-01-05,13300,13450,13500,13100,240379
2017-01-06,13500,13650,13750,13400,176518
2017-01-09,13650,13500,13800,13500,97045
2017-01-10,13500,14150,14300,13500,386547
2017-01-11,14200,14500,14600,14200,372958
2017-01-12,14400,14250,14500,14050,217737
2017-01-13,14200,14400,14450,14100,159460
2017-01-16,14450,14450,14500,14100,137425
2017-01-17,14500,14700,14750,14500,184661
2017-01-18,14750,14550,15000,14300,300212
2017-01-19,14400,14350,14650,14350,97120
2017-01-20,14250,13400,14300,13250,731087
2017-01-23,13350,13500,13750,13200,254858
2017-01-24,13550,13550,13650,13300,111664
2017-01-25,13600,13250,13600,13200,124302
2017-01-26,13300,13150,13400,13100,118224
2017-01-31,13250,13150,13300,13000,70307
2017-02-01,13200,13200,13550,13050,212683
2017-02-02,13200,13550,13700,13150,201429
2017-02-03,13550,13300,13650,13300,144159
2017-02-06,13600,13150,13600,13100,119434
2017-02-07,13250,13200,13350,13150,61290
2017-02-08,13250,13600,13600,13250,134277
2017-02-09,13450,13350,13500,13250,67328
2017-02-10,13400,13550,13650,13350,117426
2017-02-13,13650,13500,13700,13400,108150
2017-02-14,13550,14250,14450,13500,389670
2017-02-15,14250,14350,14500,14250,212778
2017-02-16,14300,14350,14450,14000,160513
2017-02-17,14250,14200,14500,14100,143517
2017-02-20,14100,13800,14200,13750,165236
2017-02-21,13900,14050,14250,13900,105697
2017-02-22,14050,14100,14200,13800,99841
2017-02-23,14350,14350,14400,14050,132919
2017-02-24,14350,14000,14450,13950,134660
2017-02-27,14250,14250,14450,14150,142161
2017-02-28,14350,14100,14450,14100,110231
2017-03-02,14400,13850,14400,13850,122456
2017-03-03,13850,13650,14000,13550,136921
2017-03-06,13550,13650,13850,13500,74150
2017-03-07,13850,13750,13900,13650,59458
2017-03-08,13700,13900,14000,13550,121703
2017-03-09,14050,13850,14100,13800,151601
2017-03-10,14050,13900,14050,13600,126145
2017-03-13,14000,14000,14200,13900,91231
2017-03-14,13950,13750,14150,13750,81840
2017-03-15,13750,13600,13850,13550,96506
2017-03-16,13700,13550,13800,13400,191686
2017-03-17,13700,13750,13800,13600,113110
2017-03-20,13750,13800,13850,13550,89562
2017-03-21,13950,13600,14000,13600,142546
2017-03-22,13600,13700,13900,13550,88296
2017-03-23,13650,13700,13950,13600,104589
2017-03-24,13850,14000,14250,13700,157099
2017-03-27,14000,14100,14150,13800,156026
2017-03-28,14100,13950,14100,13850,110582
2017-03-29,13850,13750,13900,13600,165504
2017-03-30,13750,13700,13900,13650,77532
2017-03-31,13700,14000,14000,13650,87276
2017-04-03,14050,13850,14050,13800,58600
2017-04-04,13800,14000,14000,13700,61919
2017-04-05,14050,13650,14050,13600,122895
2017-04-06,13600,13650,13750,13600,55983
2017-04-07,13650,13600,13750,13600,74640
2017-04-10,13550,13250,13600,13200,173114
2017-04-11,13200,13350,13450,13200,149974
2017-04-12,13300,13600,13600,13250,140732
2017-04-13,13600,13550,13600,13350,147295
2017-04-14,13550,13200,13600,13200,173407
2017-04-17,13250,13150,13350,13150,148566
2017-04-18,13250,13300,13400,13050,213963
2017-04-19,13350,13400,13500,13150,120546
2017-04-20,13350,13600,13600,13300,183350
2017-04-21,13600,13550,13600,13350,80476
2017-04-24,13450,13650,13700,13450,97294
2017-04-25,13600,13800,13900,13550,120041
2017-04-26,13750,13850,13950,13700,67090
2017-04-27,13950,13900,13950,13650,68195
2017-04-28,13700,13650,13800,13600,76260
2017-05-02,13650,13850,13900,13500,101761
2017-05-04,13650,13900,13950,13650,146250
2017-05-08,13900,13950,14000,13550,141893
2017-05-10,14000,13700,14450,13700,327496
2017-05-11,13800,13950,13950,13700,125076
2017-05-12,13850,13750,13950,13700,129850
2017-05-15,13850,13950,14050,13800,71580
2017-05-16,14100,13900,14100,13800,109487
2017-05-17,13800,13650,13900,13550,114143
2017-05-18,13600,13700,13950,13500,99001
2017-05-19,13700,13650,13850,13600,83968
2017-05-22,13850,13600,13850,13500,169671
2017-05-23,13600,13650,13800,13550,116565
2017-05-24,13700,13700,13750,13650,35081
2017-05-25,13700,13700,13750,13600,91261
2017-05-26,13650,13550,13700,13500,132717
2017-05-29,13650,13650,13700,13500,74360
2017-05-30,13650,13550,13650,13500,102929
