Date,Open,Close,High,Low,Volume
2016-10-17,35450,34450,35600,33150,7347
2016-10-18,35050,34450,35050,33500,4446
2016-10-19,34400,35000,35800,34400,2271
2016-10-20,35450,35000,35450,34750,4897
2016-10-21,35000,34900,35700,34000,7134
2016-10-24,33900,34550,34900,33850,5280
2016-10-25,34550,32100,34700,32100,11618
2016-10-26,32100,30900,32200,28900,17143
2016-10-27,30950,30200,30950,29800,4550
2016-10-28,29650,29900,30700,29650,6888
2016-10-31,29500,28900,30000,28550,3554
2016-11-01,28750,29300,29400,28750,2392
2016-11-02,29200,28000,29600,28000,4131
2016-11-03,27150,28200,29750,26500,4134
2016-11-04,28900,28600,28950,28300,899
2016-11-07,28600,30000,31000,28550,4788
2016-11-08,31000,29650,31000,28550,8476
2016-11-09,30250,27750,30250,27250,8154
2016-11-10,28900,29250,29500,28150,2961
2016-11-11,29500,29350,30000,28600,2078
2016-11-14,30450,30800,31100,29300,5249
2016-11-15,31700,30950,31800,29900,5232
2016-11-16,31500,31000,31500,30050,3598
2016-11-17,31100,30800,31350,30000,2291
2016-11-18,31350,30400,31350,29800,3160
2016-11-21,30500,29200,30500,28400,4517
2016-11-22,30000,28650,30100,28100,1327
2016-11-23,29350,28050,29350,27900,3453
2016-11-24,27250,27000,28100,26500,5296
2016-11-25,28000,27100,28000,26050,2867
2016-11-28,26400,26500,27000,25350,5279
2016-11-29,27000,26100,27500,25950,2855
2016-11-30,25850,25700,26650,25650,2297
2016-12-01,25150,24450,26650,24450,5156
2016-12-02,24050,24050,25500,23900,2874
2016-12-05,24050,23800,24200,23500,4216
2016-12-06,24350,23900,24350,23750,1365
2016-12-07,24350,23800,24450,22850,3445
2016-12-08,24400,26600,26950,23300,16343
2016-12-09,26250,26300,26850,25000,10713
2016-12-12,26300,27700,27950,25750,5295
2016-12-13,28000,28800,28900,26550,5500
2016-12-14,28650,28800,28950,28050,2909
2016-12-15,29000,27550,29150,27050,9175
2016-12-16,27500,26450,27500,26350,4057
2016-12-19,25750,25400,26650,24950,6373
2016-12-20,25400,25650,25950,25000,4510
2016-12-21,26000,25800,26050,25450,2507
2016-12-22,26100,25000,26150,25000,3368
2016-12-23,24900,25150,25450,24800,5176
2016-12-26,27650,27400,32500,27200,183842
2016-12-27,27350,26050,27700,25900,37988
2016-12-28,26050,26400,26750,25700,8173
2016-12-29,26250,27600,27700,26000,7950
2017-01-02,27600,27200,27700,26750,3809
2017-01-03,26850,27200,27750,26750,5831
2017-01-04,27000,28100,28350,27000,6708
2017-01-05,28100,29000,29600,28100,10433
2017-01-06,30000,29500,30000,29250,5603
2017-01-09,28500,29400,29950,28500,7232
2017-01-10,29400,29450,29850,29050,4388
2017-01-11,29300,29950,29950,29000,5406
2017-01-12,30000,30000,30250,29500,3925
2017-01-13,29150,30250,30400,29150,5427
2017-01-16,29700,30200,30700,29700,3503
2017-01-17,30200,29850,30350,29700,1679
2017-01-18,30700,29650,30750,29100,3782
2017-01-19,29850,29350,29850,29300,1401
2017-01-20,28550,29200,29800,28550,1589
2017-01-23,29200,28400,29500,28400,1860
2017-01-24,28400,27800,29000,27800,2352
2017-01-25,27400,27900,27950,26100,2750
2017-01-26,28600,27950,28600,26850,1008
2017-01-31,27950,28400,28800,27950,2155
2017-02-01,28600,27700,29250,27700,2589
2017-02-02,27800,28550,30000,27400,8147
2017-02-03,28200,29500,29500,28200,6026
2017-02-06,29600,29300,29650,28950,2531
2017-02-07,29000,29600,29950,29000,6294
2017-02-08,29950,29700,30000,29150,2236
2017-02-09,30000,29300,30000,28000,3436
2017-02-10,29700,28750,29700,28300,4620
2017-02-13,28050,29600,29750,28050,9110
2017-02-14,30100,29500,31250,28600,26368
2017-02-15,29500,29500,29800,27750,15472
2017-02-16,28950,29000,29500,28700,3246
2017-02-17,30000,27950,30000,27650,20939
2017-02-20,28000,27200,29000,27050,8852
2017-02-21,27200,26200,27200,26050,13925
2017-02-22,26950,26500,26950,25500,6172
2017-02-23,26500,26050,27050,26050,6689
2017-02-24,26800,25750,26800,25500,8488
2017-02-27,25750,25450,26300,25300,2935
2017-02-28,25700,24750,25800,24750,4654
2017-03-02,24750,24900,25350,24550,4641
2017-03-03,24500,23850,25500,23550,7162
2017-03-06,23200,23200,23850,23000,6367
2017-03-07,23300,23800,24350,23250,3668
2017-03-08,23300,24200,24400,23300,4890
2017-03-09,24200,23900,24650,23900,3139
2017-03-10,23900,24150,24200,23500,3420
2017-03-13,24800,23950,24800,23750,2293
2017-03-14,24750,24150,24750,23650,5788
2017-03-15,23750,23150,24150,22950,9847
2017-03-16,23150,22450,23350,21650,5435
2017-03-17,22450,21850,22850,21100,10208
2017-03-20,21900,22250,22900,21900,4925
2017-03-21,22300,22550,23600,22300,2857
2017-03-22,22550,20650,22750,20650,10293
2017-03-23,20550,21500,21950,20550,5855
2017-03-24,21550,22150,22200,21550,4180
2017-03-27,22150,22150,22150,21550,2809
2017-03-28,23200,22000,23200,22000,2067
2017-03-29,22050,21950,22300,21550,2610
2017-03-30,21950,21550,22150,21500,1961
2017-03-31,21200,21250,21450,20900,7309
2017-04-03,21900,21650,22200,21500,6451
2017-04-04,21700,21100,22150,20950,8803
2017-04-05,21200,20750,21300,20700,6833
2017-04-06,20850,20450,20950,20400,7514
2017-04-07,20450,20550,20800,20000,9569
2017-04-10,20600,20400,20600,20100,12215
2017-04-11,20750,20600,20750,20400,4479
2017-04-12,20600,20650,21400,20550,3522
2017-04-13,20950,21050,21100,20500,3381
2017-04-14,21100,21000,21700,20600,9705
2017-04-17,21200,21000,21400,20950,4261
2017-04-18,20850,21300,21350,20850,2809
2017-04-19,21750,21650,21800,21000,8209
2017-04-20,21800,21500,21800,21400,6268
2017-04-21,21500,21600,21800,21150,8660
2017-04-24,21850,21650,21850,21400,3788
2017-04-25,21650,21450,21700,21400,5704
2017-04-26,21500,21250,21750,21250,6787
2017-04-27,21250,21550,21600,20900,3407
2017-04-28,21750,21000,21750,21000,3485
2017-05-02,21000,21000,21050,20500,2289
2017-05-04,21000,20900,21000,20700,4062
2017-05-08,21350,21250,21350,20750,3792
2017-05-10,21250,20850,21250,20850,4717
2017-05-11,20800,21100,21400,20700,3774
2017-05-12,21300,21150,21350,20900,3051
2017-05-15,21400,21150,21500,21100,991
2017-05-16,21000,21000,21200,20800,2667
2017-05-17,21000,20550,21050,20500,3755
2017-05-18,20550,20600,21250,20200,2951
2017-05-19,21250,21000,21300,20700,3838
2017-05-22,21800,21100,21800,20900,3034
2017-05-23,21450,20850,21700,20850,4993
2017-05-24,20850,20750,20950,20600,3659
2017-05-25,20750,21050,21150,20500,5147
2017-05-26,21100,21000,21250,20450,4392
2017-05-29,21050,21150,21400,20800,3787
2017-05-30,21500,21150,21500,20950,5977
2017-05-31,21150,20950,21250,20750,2916
2017-06-01,20800,20950,20950,20450,7840
2017-06-02,20950,20600,20950,20500,3393
2017-06-05,20600,20600,20650,20450,2395
2017-06-07,20550,20350,20550,20250,5265
2017-06-08,20450,20250,20450,19800,9007
2017-06-09,20300,19650,20300,19500,9244
2017-06-12,19650,18950,19650,18750,19204
2017-06-13,19200,19100,19200,18800,5690
2017-06-14,19250,18900,19300,18850,5964
2017-06-15,19200,18850,19200,18750,4468
2017-06-16,18750,18650,18900,18450,15304
2017-06-19,18700,18900,18900,18650,3232
2017-06-20,19200,18750,19200,18600,2948
2017-06-21,19000,18500,19000,18450,2682
2017-06-22,18750,18450,18750,18300,6484
2017-06-23,18500,18650,18700,17600,9666
2017-06-26,18650,18100,18650,17900,3426
2017-06-27,18550,18100,18550,18000,4704
2017-06-28,18300,18100,18300,18000,2401
2017-06-29,17950,18100,18100,17950,2055
2017-06-30,18300,18100,18300,17900,1743
2017-07-03,18150,17050,18150,17000,16413
2017-07-04,17100,17100,17500,16900,6605
2017-07-05,17400,17150,17400,17050,1903
2017-07-06,17350,16700,17350,16450,8622
2017-07-07,16700,19400,21700,16700,274590
2017-07-10,19850,22700,24500,19450,398735
2017-07-11,23450,21550,24850,20900,177356
2017-07-12,21500,21000,21500,20300,84260
2017-07-13,20650,21000,21700,19800,81583
2017-07-14,21650,27300,27300,21050,895832
2017-07-17,30500,31800,34500,28550,1012535
2017-07-18,30600,28000,31250,27800,600375
2017-07-19,27050,26300,27250,25750,242090
2017-07-20,26750,28350,33400,25850,1079564
2017-07-21,28750,28500,32300,28150,385388
2017-07-24,28150,27000,28300,26700,127858
2017-07-25,26900,27050,29500,26850,133674
2017-07-26,27850,26000,27950,25800,73876
2017-07-27,25800,25500,26200,24800,70884
2017-07-28,25500,24500,25500,24050,50254
2017-07-31,24250,24800,26450,24200,71581
2017-08-01,24900,23350,24900,23250,61236
2017-08-02,23400,23350,24100,22500,53745
2017-08-03,23350,22350,24200,22000,47327
2017-08-04,22450,21800,22750,21600,17317
2017-08-07,22500,22300,22500,22000,16489
2017-08-08,22000,22500,22500,21500,16256
2017-08-09,22300,21500,22500,21300,30837
2017-08-10,21500,20600,21500,20600,24270
2017-08-11,20000,22800,25950,20000,494228
2017-08-14,23050,21800,24150,21800,69743
2017-08-16,21900,21800,22300,21450,24822
2017-08-17,21950,21900,22000,21250,35136
2017-08-18,24600,28450,28450,23100,880477
2017-08-21,30300,26300,30950,26300,397947
2017-08-22,26800,25500,27450,24800,160312
2017-08-23,25450,25550,25600,24500,86990
2017-08-24,25300,26650,29600,25100,546547
2017-08-25,27000,26500,27550,25800,91465
2017-08-28,26800,26150,27000,25800,37572
2017-08-29,26300,26450,29200,25550,288064
2017-08-30,26750,26800,27100,26200,40642
2017-08-31,27400,26650,27850,26600,44872
2017-09-01,26600,26100,26800,26100,26850
2017-09-04,24500,26100,26450,24500,29600
2017-09-05,26600,25800,26600,25700,20527
2017-09-06,26000,25250,26300,25200,18584
2017-09-07,25250,25750,27150,25250,37841
2017-09-08,25750,25500,26200,25500,15128
2017-09-11,25550,25200,26100,24900,17864
2017-09-12,25650,24950,25650,24750,10355
2017-09-13,25000,24350,25050,24050,22246
2017-09-14,24550,24300,24750,23650,16663
2017-09-15,24350,24950,24950,23700,23433
2017-09-18,24600,25100,25350,24600,13399
2017-09-19,25200,25000,25250,24550,13803
2017-09-20,24700,24800,25200,24350,12168
2017-09-21,24600,24450,24800,24000,9043
2017-09-22,24400,23400,24400,23400,9197
2017-09-25,22500,22700,23600,22500,9701
2017-09-26,22550,22900,23000,22350,7892
2017-09-27,23350,23000,23350,22500,5842
2017-09-28,22700,23700,25900,22700,54995
2017-09-29,23550,23400,24300,23300,12499
2017-10-10,23900,23350,23900,23200,9122
2017-10-11,23050,23050,23400,23000,8310
2017-10-12,23500,21750,23500,19900,299147
2017-10-13,21850,21000,22000,20750,53055
2017-10-16,21050,18500,21050,17850,217446
2017-10-17,18450,18650,19150,18350,52677
2017-10-18,18500,19000,19150,18400,35157
2017-10-19,19000,18650,19000,18400,37743
2017-10-20,18750,18650,19100,18550,15343
2017-10-23,18500,18450,18900,18350,16158
2017-10-24,18450,18200,18600,18050,32857
2017-10-25,18450,18200,18450,18100,17049
2017-10-26,18250,18050,18350,18000,17780
2017-10-27,18100,18050,18150,18000,15115
2017-10-30,18200,17750,18200,17750,22853
2017-10-31,17950,17600,18000,17550,18051
2017-11-01,17650,17800,17900,17600,11224
2017-11-02,18000,18550,19000,17800,52520
2017-11-03,18550,18350,18750,18150,17291
2017-11-06,19000,18700,19200,18000,37192
2017-11-07,18700,18450,19000,18200,19978
2017-11-08,18450,18600,18750,18300,15151
2017-11-09,18850,18350,18850,18200,16507
2017-11-10,18450,19000,19700,18200,79010
2017-11-13,19100,18400,19100,18300,21362
2017-11-14,18400,18700,19150,18200,28554
2017-11-15,18700,18600,19100,18300,26593
2017-11-16,18650,18550,19050,18300,25751
