Date,Open,Close,High,Low,Volume
2016-10-17,698,697,710,693,3323609
2016-10-18,698,701,701,689,1975976
2016-10-19,703,711,724,700,7428763
2016-10-20,716,699,717,695,3153844
2016-10-21,696,691,707,690,2340621
2016-10-24,693,694,700,688,1287663
2016-10-25,694,691,697,686,1559685
2016-10-26,690,680,691,677,2630593
2016-10-27,680,680,687,679,1394316
2016-10-28,683,681,684,675,1441348
2016-10-31,674,665,679,665,2303870
2016-11-01,654,661,669,654,1663214
2016-11-02,664,640,666,638,2681582
2016-11-03,634,651,655,633,2525783
2016-11-04,645,647,651,639,2072517
2016-11-07,650,654,657,646,2306585
2016-11-08,661,659,668,653,1704929
2016-11-09,660,632,663,595,5527179
2016-11-10,639,657,660,639,2438026
2016-11-11,664,697,697,650,5619088
2016-11-14,704,684,725,682,12397764
2016-11-15,682,665,683,664,3845860
2016-11-16,667,666,677,664,2477714
2016-11-17,666,662,667,658,1807006
2016-11-18,664,659,666,654,1704402
2016-11-21,673,649,679,649,2920275
2016-11-22,653,652,656,646,1607954
2016-11-23,653,633,655,629,5742620
2016-11-24,637,618,637,611,3150536
2016-11-25,615,625,634,615,2454494
2016-11-28,618,623,630,618,1250400
2016-11-29,622,618,627,615,1998348
2016-11-30,621,619,621,615,1132965
2016-12-01,620,612,621,611,1573368
2016-12-02,614,616,619,612,826647
2016-12-05,614,598,615,596,1719525
2016-12-06,598,613,618,598,1607192
2016-12-07,614,600,614,598,1082644
2016-12-08,604,613,614,601,1264119
2016-12-09,613,610,615,604,981097
2016-12-12,612,621,623,610,1619245
2016-12-13,618,635,636,617,2501811
2016-12-14,636,625,637,624,1431108
2016-12-15,635,629,635,621,983170
2016-12-16,634,635,642,630,1323640
2016-12-19,637,638,659,598,3119892
2016-12-20,644,629,645,625,1132691
2016-12-21,627,644,649,625,3275575
2016-12-22,647,647,657,639,2277191
2016-12-23,650,654,655,640,2441756
2016-12-26,653,650,658,644,2040365
2016-12-27,645,637,650,637,1656398
2016-12-28,639,645,654,636,2064181
2016-12-29,646,664,666,645,3752192
2017-01-02,658,655,664,651,1894739
2017-01-03,664,671,683,660,5682864
2017-01-04,677,672,687,662,2600661
2017-01-05,675,672,679,669,1779687
2017-01-06,674,679,682,663,2399514
2017-01-09,677,678,691,674,2598367
2017-01-10,681,662,681,650,3090852
2017-01-11,662,666,674,660,1627436
2017-01-12,666,652,667,651,2901514
2017-01-13,658,652,666,651,2608555
2017-01-16,652,655,660,649,1291373
2017-01-17,656,667,670,653,2461362
2017-01-18,668,668,670,660,1290975
2017-01-19,671,661,671,659,1372140
2017-01-20,660,655,664,652,1103841
2017-01-23,654,638,660,635,2321613
2017-01-24,636,633,643,631,1530593
