Date,Open,Close,High,Low,Volume
2016-10-17,1500,1465,1515,1460,3374195
2016-10-18,1465,1470,1505,1425,2280044
2016-10-19,1480,1485,1520,1460,1797920
2016-10-20,1480,1440,1490,1435,2134038
2016-10-21,1440,1405,1450,1405,1816416
2016-10-24,1405,1380,1420,1370,1833784
2016-10-25,1360,1370,1415,1260,5820217
2016-10-26,1365,1340,1390,1300,3024992
2016-10-27,1340,1325,1380,1320,1416221
2016-10-28,1325,1245,1355,1240,2676663
2016-10-31,1265,1210,1285,1195,2327901
2016-11-01,1200,1235,1275,1200,2385249
2016-11-02,1230,1160,1245,1145,2008961
2016-11-03,1150,1180,1210,1150,1496075
2016-11-04,1190,1175,1215,1165,1315264
2016-11-07,1160,1195,1215,1160,1615636
2016-11-08,1195,1200,1235,1180,1607464
2016-11-09,1195,1110,1215,1030,6243041
2016-11-10,1130,1155,1155,1125,1930917
2016-11-11,1150,1190,1225,1135,2741147
2016-11-14,1180,1190,1205,1180,1073544
2016-11-15,1180,1145,1190,1140,1474043
2016-11-16,1130,1170,1180,1130,1122193
2016-11-17,1155,1160,1170,1140,1012325
2016-11-18,1170,1155,1200,1145,1424139
2016-11-21,1135,1050,1150,1040,2942905
2016-11-22,1025,1060,1065,1025,1643058
2016-11-23,1060,961,1060,959,3648633
2016-11-24,1000,1060,1160,997,14204375
2016-11-25,1070,1160,1175,1010,8111610
2016-11-28,1190,1170,1240,1160,5448164
2016-11-29,1160,1160,1180,1115,2616100
2016-11-30,1150,1140,1180,1135,1430407
2016-12-01,1125,1095,1145,1095,1779903
2016-12-02,1080,1060,1095,1030,1466312
2016-12-05,1040,1010,1060,1000,1414749
2016-12-06,1015,1080,1100,1000,2099061
2016-12-07,1080,1015,1080,1005,1614085
2016-12-08,1020,1035,1045,1005,1277223
2016-12-09,1020,1055,1070,1020,1100115
2016-12-12,1075,1070,1080,1020,1383847
2016-12-13,1070,1130,1130,1045,2305300
2016-12-14,1150,1125,1155,1115,1666668
2016-12-15,1105,1125,1130,1100,1211851
2016-12-16,1140,1130,1215,1130,7417563
2016-12-19,1135,1130,1145,1110,1577047
2016-12-20,1130,1115,1140,1105,1855484
2016-12-21,1110,1130,1130,1105,1379333
2016-12-22,1140,1115,1140,1110,937032
2016-12-23,1110,1085,1135,1085,1439897
2016-12-26,1085,1070,1105,1055,1173911
2016-12-27,1055,1050,1085,1040,1007143
2016-12-28,1045,1045,1060,1030,1083791
2016-12-29,1055,1090,1110,1045,1265620
2017-01-02,1095,1095,1110,1090,602315
2017-01-03,1100,1125,1130,1095,1384284
2017-01-04,1130,1150,1150,1120,986495
2017-01-05,1160,1120,1160,1120,1144294
2017-01-06,1115,1120,1135,1105,1369653
2017-01-09,1120,1110,1145,1110,1062848
2017-01-10,1115,1105,1120,1095,740579
2017-01-11,1105,1095,1110,1070,1015837
2017-01-12,1080,1070,1085,1065,1043275
2017-01-13,1070,1130,1200,1050,12730076
