Date,Open,Close,High,Low,Volume
2016-10-17,98100,97100,98100,95600,55662
2016-10-18,97200,98800,100500,96600,100912
2016-10-19,98800,98300,99000,97900,39275
2016-10-20,98300,98300,99000,97500,34009
2016-10-21,98300,94600,98400,93500,187039
2016-10-24,94500,95900,96700,94500,65865
2016-10-25,96500,96300,96500,94600,56412
2016-10-26,96300,95100,96300,94200,43834
2016-10-27,95100,93600,95300,91500,75811
2016-10-28,92600,94600,94900,92400,34465
2016-10-31,93300,92500,94700,91700,63113
2016-11-01,92900,92000,93200,91900,33824
2016-11-02,92100,91900,92400,89900,47817
2016-11-03,92400,94600,95000,91700,58926
2016-11-04,95200,95200,96100,93600,47397
2016-11-07,96700,95300,96700,94200,37432
2016-11-08,95700,96700,97300,95700,42264
2016-11-09,96500,93600,97900,92600,81164
2016-11-10,94700,94500,95700,92700,76200
2016-11-11,94500,92800,94700,92800,61245
2016-11-14,93100,91500,93700,90800,55676
2016-11-15,90200,90000,91400,89800,66108
2016-11-16,90000,90000,90800,89400,87089
2016-11-17,90100,90800,91600,89700,79386
2016-11-18,91100,90700,91700,89700,89199
2016-11-21,91300,90900,91500,90400,67442
2016-11-22,91600,93700,94600,91300,84247
2016-11-23,93200,93800,95000,92600,62985
2016-11-24,93800,94300,94600,92100,51656
2016-11-25,94500,92200,94500,92000,49540
2016-11-28,92200,94200,95000,91900,79410
2016-11-29,94100,96600,96900,93700,52143
2016-11-30,96800,94900,96800,93100,162509
2016-12-01,94900,93300,95700,93100,44898
2016-12-02,92800,93200,93900,92000,41352
2016-12-05,93200,93500,93500,92200,30684
2016-12-06,94400,94600,95700,93400,59834
2016-12-07,95300,93800,95300,92100,62259
2016-12-08,93800,95500,95500,92600,76121
2016-12-09,94000,93300,94800,92700,46211
2016-12-12,94600,94100,94600,93000,31056
2016-12-13,94300,93900,95100,93600,50999
2016-12-14,94400,94100,95100,93700,36932
2016-12-15,93400,93900,94700,92800,34155
2016-12-16,93500,91800,94400,91800,80571
2016-12-19,91900,91900,92700,91200,28680
2016-12-20,91900,92700,93300,91900,20812
2016-12-21,92800,90500,92800,90100,91297
2016-12-22,90700,89600,91000,89600,48938
2016-12-23,89700,89100,90300,88400,64125
2016-12-26,89100,89400,90200,88400,48192
2016-12-27,89600,88800,89600,88500,31162
2016-12-28,87200,88000,88700,87100,35234
2016-12-29,88300,87700,88300,87000,39593
2017-01-02,88400,89700,89900,88000,42101
2017-01-03,89400,89000,89500,88400,46815
2017-01-04,88500,88600,89100,87300,64435
2017-01-05,88400,90100,90100,88300,63674
2017-01-06,90000,91100,91600,89300,62401
2017-01-09,91200,89700,91700,89600,39949
2017-01-10,89400,90400,91100,89400,52232
2017-01-11,89200,89500,90300,89000,57876
2017-01-12,89600,89900,89900,88700,52182
2017-01-13,89800,89600,90100,89200,49181
2017-01-16,89800,88800,90000,88300,62891
2017-01-17,89100,88600,89400,88000,43563
2017-01-18,88900,88300,89200,88200,41594
2017-01-19,88100,87600,88900,87600,41155
2017-01-20,87300,87800,88500,87300,43553
2017-01-23,88000,88500,89200,87900,32165
2017-01-24,88500,87900,88600,87500,31517
