Date,Open,Close,High,Low,Volume
2016-09-13,3705,3540,3705,3535,80020
2016-09-19,3620,3565,3630,3500,49457
2016-09-20,3595,3570,3650,3505,35604
2016-09-21,3580,3570,3580,3530,48552
2016-09-22,3580,3590,3615,3580,40359
2016-09-23,3615,3635,3640,3595,38294
2016-09-26,3650,3600,3650,3590,24973
2016-09-27,3600,3590,3625,3560,23252
2016-09-28,3630,3525,3630,3465,111028
2016-09-29,3535,3425,3540,3420,197594
2016-09-30,3425,3400,3460,3385,83175
2016-10-04,3410,3420,3440,3370,34996
2016-10-05,3480,3415,3480,3390,31278
2016-10-06,3495,3425,3495,3390,26452
2016-10-07,3455,3415,3455,3370,49474
2016-10-10,3415,3415,3440,3395,35802
2016-10-11,3420,3430,3445,3390,43957
2016-10-12,3420,3430,3480,3400,13073
2016-10-13,3430,3410,3430,3400,23429
2016-10-14,3410,3465,3470,3410,43975
2016-10-17,3470,3425,3490,3410,43347
2016-10-18,3450,3450,3460,3420,10215
2016-10-19,3460,3430,3475,3420,10924
2016-10-20,3465,3445,3465,3415,59507
2016-10-21,3460,3445,3470,3420,38014
2016-10-24,3445,3465,3470,3440,52891
2016-10-25,3475,3450,3485,3425,46095
2016-10-26,3460,3410,3460,3370,45964
2016-10-27,3450,3410,3450,3380,25061
2016-10-28,3430,3365,3430,3365,38662
2016-10-31,3365,3320,3425,3300,45498
2016-11-01,3320,3290,3480,3255,70447
2016-11-02,3290,3240,3305,3240,58716
2016-11-03,3160,3235,3460,3160,35710
2016-11-04,3340,3290,3350,3240,13349
2016-11-07,3345,3315,3345,3280,10648
2016-11-08,3375,3320,3375,3300,12497
2016-11-09,3360,3220,3360,3160,51937
2016-11-10,3260,3315,3315,3250,37587
2016-11-11,3315,3400,3435,3270,27734
2016-11-14,3400,3460,3480,3385,38606
2016-11-15,3380,3340,3380,3320,43384
2016-11-16,3370,3365,3380,3310,24718
2016-11-17,3370,3395,3395,3320,17080
2016-11-18,3390,3300,3405,3280,47280
2016-11-21,3300,3270,3305,3230,46997
2016-11-22,3265,3250,3275,3230,19293
2016-11-23,3250,3215,3285,3215,29209
2016-11-24,3215,3180,3245,3180,26326
2016-11-25,3180,3195,3210,3165,18761
2016-11-28,3195,3195,3230,3165,29892
2016-11-29,3195,3210,3210,3165,32713
2016-11-30,3210,3210,3235,3185,28615
2016-12-01,3210,3230,3235,3170,24662
2016-12-02,3230,3200,3230,3190,20335
2016-12-05,3200,3130,3250,3125,38752
2016-12-06,3135,3155,3200,3115,45938
2016-12-07,3155,3155,3175,3130,18225
2016-12-08,3155,3210,3225,3155,23970
2016-12-09,3210,3230,3245,3190,20315
2016-12-12,3240,3250,3260,3225,28513
2016-12-13,3250,3250,3260,3210,17740
2016-12-14,3265,3270,3300,3220,10937
2016-12-15,3265,3300,3345,3210,32556
2016-12-16,3310,3290,3365,3250,12947
2016-12-19,3290,3280,3295,3240,11783
2016-12-20,3280,3280,3310,3250,23367
2016-12-21,3280,3280,3320,3250,24501
2016-12-22,3255,3310,3340,3255,27050
2016-12-23,3290,3310,3340,3280,25298
2016-12-26,3310,3330,3350,3250,39818
2016-12-27,3330,3335,3360,3295,6837
2016-12-28,3325,3350,3350,3290,11302
2016-12-29,3350,3240,3350,3240,16882
2017-01-02,3265,3285,3315,3250,17573
2017-01-03,3285,3315,3335,3240,21743
2017-01-04,3315,3405,3410,3310,33194
2017-01-05,3405,3455,3465,3405,48593
2017-01-06,3455,3475,3485,3445,36322
2017-01-09,3470,3450,3490,3420,15619
2017-01-10,3420,3420,3450,3390,12463
2017-01-11,3420,3515,3520,3420,89961
2017-01-12,3525,3525,3530,3490,47544
2017-01-13,3525,3550,3555,3500,39833
2017-01-16,3550,3510,3560,3470,15822
2017-01-17,3515,3570,3630,3495,76504
2017-01-18,3585,3600,3600,3480,43126
2017-01-19,3600,3585,3630,3480,21897
