Date,Open,Close,High,Low,Volume
2016-10-17,65000,63900,65300,63000,83443
2016-10-18,64500,63500,64500,63400,72679
2016-10-19,64000,63400,64400,63100,52610
2016-10-20,63700,62900,64000,62000,55928
2016-10-21,63200,63900,64300,62100,68579
2016-10-24,63800,63200,64700,62900,72951
2016-10-25,63200,61500,63200,59100,166217
2016-10-26,61100,59800,61200,58500,183213
2016-10-27,59200,60200,61100,59200,105413
2016-10-28,60300,59400,60900,59000,88010
2016-10-31,58600,56000,58600,56000,208138
2016-11-01,56000,57600,58200,55900,109825
2016-11-02,57600,53600,58000,53100,210798
2016-11-03,53400,55000,56500,53400,108814
2016-11-04,56000,56000,56500,55200,64285
2016-11-07,57000,57700,58600,56200,89218
2016-11-08,58500,57700,58500,57600,55583
2016-11-09,57200,58000,59900,55400,180871
2016-11-10,58900,60500,60900,58900,155323
2016-11-11,61000,62200,63100,59300,149228
2016-11-14,62800,63000,63700,61000,102388
2016-11-15,63400,65100,65400,63000,190942
2016-11-16,65100,64300,65600,63300,126908
2016-11-17,63800,64200,65100,63600,61822
2016-11-18,64700,63300,64700,62100,97361
2016-11-21,63300,62100,63300,61300,80569
2016-11-22,62300,62900,63700,62100,67996
2016-11-23,62400,63400,63600,61900,82968
2016-11-24,63400,63200,64300,62900,48494
2016-11-25,63600,61900,63600,60600,90901
2016-11-28,61800,61000,61800,60500,49830
2016-11-29,60300,60300,61600,59500,80480
2016-11-30,60300,57800,60300,57800,145899
2016-12-01,58300,59500,59800,57800,81408
2016-12-02,58400,58000,59500,57800,97093
2016-12-05,58100,57900,59000,57000,60724
2016-12-06,57900,57900,59500,57800,64912
2016-12-07,58300,57100,58700,56700,81306
2016-12-08,57200,58200,58600,56700,109154
2016-12-09,57700,57000,57900,56800,101168
2016-12-12,56800,57200,57800,56700,98664
2016-12-13,57300,58100,58800,57200,117113
2016-12-14,58500,57200,59000,57200,114096
2016-12-15,57200,58000,58300,56600,80950
2016-12-16,58000,57100,58000,57000,91795
2016-12-19,57200,56500,57300,56300,78790
2016-12-20,56600,56000,56700,55800,90666
2016-12-21,56100,56100,57000,55900,139453
2016-12-22,56300,55800,56500,55500,112242
2016-12-23,55800,55200,56200,55000,128591
2016-12-26,54600,52800,55100,52400,266629
2016-12-27,53200,52800,53600,52500,135772
2016-12-28,52600,52900,53300,52100,107409
2016-12-29,55000,57400,58700,54500,489098
2017-01-02,57400,57500,59300,56700,184775
2017-01-03,57600,57200,58900,56800,175173
2017-01-04,57900,57200,57900,56600,107031
2017-01-05,57000,57800,58100,56700,102400
