Date,Open,Close,High,Low,Volume
2016-10-17,20200,19650,20200,19500,2815
2016-10-18,19500,19850,19950,19400,1571
2016-10-19,19850,19700,19850,19600,2406
2016-10-20,19550,18500,19700,18250,22066
2016-10-21,18700,18700,18900,18550,3961
2016-10-24,18800,18700,18950,18600,2977
2016-10-25,18800,18800,18900,18400,7838
2016-10-26,18900,18750,18950,18750,4135
2016-10-27,19150,18750,19150,18450,2103
2016-10-28,18750,18950,19200,18550,1611
2016-10-31,18850,18950,19200,18750,2597
2016-11-01,18700,18650,18850,18500,3952
2016-11-02,18450,18700,18700,18400,4041
2016-11-03,18700,18450,18700,18000,2837
2016-11-04,18350,18600,18600,18250,2459
2016-11-07,18600,18650,18800,18500,2627
2016-11-08,18600,18400,18650,18300,5674
2016-11-09,18300,18450,18700,18000,14165
2016-11-10,18850,18150,18850,18000,7740
2016-11-11,18100,18150,18300,18100,9700
2016-11-14,18200,18100,18250,18000,4724
2016-11-15,17800,17550,17850,16900,27565
2016-11-16,17700,17950,18150,17700,8255
2016-11-17,18050,18000,18200,18000,6871
2016-11-18,18100,17950,18150,17850,4524
2016-11-21,17600,17600,18000,17600,7915
2016-11-22,17600,17700,17900,17600,8176
2016-11-23,18000,17900,18000,17850,4690
2016-11-24,18050,17850,18050,17700,3477
2016-11-25,17950,18000,18100,17950,6714
2016-11-28,17950,18000,18150,17900,2682
2016-11-29,18100,18000,18150,18000,1622
2016-11-30,17600,18000,18100,17600,1387
2016-12-01,18000,18000,18150,17750,2496
2016-12-02,18000,18050,18100,18000,4908
2016-12-05,18150,17250,18150,17250,5315
2016-12-06,17050,16350,17600,16250,42765
2016-12-07,16350,15900,16400,15900,12679
2016-12-08,16100,16100,16250,15950,4945
2016-12-09,16100,16300,16450,16100,4744
2016-12-12,16400,16800,16800,16300,7349
2016-12-13,16800,16800,17100,16550,6295
2016-12-14,16850,16850,17100,16250,4824
2016-12-15,16800,17000,17200,16800,5117
2016-12-16,16850,16850,17000,16800,4130
2016-12-19,16850,17200,17200,16700,7610
2016-12-20,17150,17250,17300,17000,3827
2016-12-21,17250,17600,17600,17250,3888
2016-12-22,17500,17700,17900,17450,3253
2016-12-23,17600,17850,17950,17600,1455
2016-12-26,17850,17850,17950,17600,1194
2016-12-27,17800,18000,18000,17450,9247
2016-12-28,17950,17350,17950,17250,2869
2016-12-29,17400,17650,17750,17250,1623
2017-01-02,17700,17700,17750,17100,1365
2017-01-03,17850,17850,17950,17800,4192
2017-01-04,17900,18150,18250,17900,4892
2017-01-05,18200,18200,18250,17950,765
2017-01-06,18100,17850,18150,17750,2146
2017-01-09,17850,17800,17950,17650,1681
2017-01-10,17850,17250,17850,17150,2889
2017-01-11,17600,17600,17700,17150,5098
2017-01-12,17600,17650,17800,17200,2844
2017-01-13,17550,17950,18000,17400,1881
2017-01-16,17900,17700,18100,17550,1185
2017-01-17,17650,18050,18150,17650,3112
2017-01-18,18000,18000,18050,17650,871
2017-01-19,18000,17400,18000,17400,1427
