Date,Open,Close,High,Low,Volume
2016-10-17,11000,10600,11000,10550,43431
2016-10-18,10600,10700,10750,10600,10759
2016-10-19,10900,10850,10900,10600,9750
2016-10-20,10850,10600,10900,10500,21131
2016-10-21,10600,10100,10650,10100,42823
2016-10-24,10100,10050,10150,9980,42755
2016-10-25,10050,10600,10900,9970,68295
2016-10-26,10650,10550,10650,10050,26251
2016-10-27,10550,10750,10800,10450,22670
2016-10-28,10700,10550,10700,10550,9827
2016-10-31,10550,10300,10550,10200,6527
2016-11-01,10200,10550,11000,10050,40988
2016-11-02,10550,10100,10600,10100,16538
2016-11-03,10000,10150,10300,10000,9902
2016-11-04,10250,10050,10250,10050,8739
2016-11-07,10050,10200,10250,10050,6423
2016-11-08,10200,10150,10400,10100,10869
2016-11-09,10150,10000,10400,9710,26405
2016-11-10,10000,9750,10150,9680,45938
2016-11-11,9750,10300,10300,9740,35805
2016-11-14,10250,9910,10300,9860,41236
2016-11-15,9920,9750,9950,9710,28170
2016-11-16,9750,9760,9880,9710,30656
2016-11-17,9710,9660,9750,9660,23914
2016-11-18,9750,9600,9750,9600,17457
2016-11-21,9500,9510,9660,9410,19795
2016-11-22,9610,9440,9610,9360,15629
2016-11-23,9480,9470,9580,9340,20362
2016-11-24,9470,9300,9490,9200,27002
2016-11-25,9380,9170,9380,9130,17262
2016-11-28,9280,9080,9280,9080,12372
2016-11-29,9150,9350,9350,9060,14032
2016-11-30,9260,9560,9560,9260,63142
2016-12-01,9560,9400,9560,9380,14444
2016-12-02,9280,9180,9500,9150,28099
2016-12-05,9200,9150,9300,9120,9290
2016-12-06,9150,9460,9480,9150,8602
2016-12-07,9450,9290,9450,9150,23551
2016-12-08,9250,9530,9530,9240,24500
2016-12-09,9530,9480,9620,9400,14717
2016-12-12,9570,9600,9650,9530,9592
2016-12-13,9600,9700,9740,9560,16499
2016-12-14,9620,9690,9750,9600,19141
2016-12-15,9680,9850,9850,9610,19586
2016-12-16,9850,9770,9850,9750,8468
2016-12-19,9720,9750,9840,9620,8864
2016-12-20,9840,9790,9840,9700,10966
2016-12-21,9790,9700,9790,9660,4284
2016-12-22,9750,9670,9860,9540,37315
2016-12-23,9650,9600,9750,9500,18067
2016-12-26,9760,9600,9760,9490,43586
2016-12-27,9600,9370,9680,9340,215578
2016-12-28,9320,9350,9350,9300,20094
2016-12-29,9270,9470,9480,9240,50249
2017-01-02,9490,9730,9820,9430,45318
2017-01-03,9740,10450,10450,9700,180321
2017-01-04,10500,10800,11250,10300,264738
2017-01-05,10950,10900,11150,10750,107824
2017-01-06,11100,11000,11100,10800,42989
2017-01-09,11000,11000,11150,10800,46992
2017-01-10,11000,11000,11350,10900,69401
2017-01-11,11000,11150,11350,10850,68548
2017-01-12,11200,10850,11300,10850,22462
2017-01-13,10750,10850,11000,10750,16900
2017-01-16,11000,10950,11150,10650,41862
2017-01-17,10950,10800,11150,10750,12074
2017-01-18,10750,10600,11100,10600,88062
2017-01-19,10650,10650,10800,10400,76815
2017-01-20,10550,10500,10600,10400,22157
2017-01-23,10500,10250,10700,10100,55158
2017-01-24,10300,10000,10400,9950,52194
2017-01-25,10050,10050,10300,9940,33532
2017-01-26,10100,10000,10250,10000,23960
2017-01-31,10000,9980,10000,9700,54813
2017-02-01,10050,10100,10100,9760,45658
2017-02-02,10050,9510,10050,9510,111926
2017-02-03,9590,9350,9660,9250,86701
2017-02-06,9310,9550,9620,9310,30268
2017-02-07,9580,9580,9640,9430,21739
2017-02-08,9620,9620,9620,9430,10955
2017-02-09,9560,9670,9680,9530,9983
2017-02-10,9630,9790,9860,9570,15647
