Date,Open,Close,High,Low,Volume
2016-09-13,12658,12658,12706,12513,129953
2016-09-19,12754,12802,13043,12609,165098
2016-09-20,12802,12995,12995,12561,190665
2016-09-21,13091,12754,13139,12754,178789
2016-09-22,12898,13428,13572,12802,408605
2016-09-23,13524,14535,14679,13380,1242322
2016-09-26,14920,15593,15593,14631,1064946
2016-09-27,15834,16748,18770,15257,3954349
2016-09-28,17134,16797,17422,16412,1036528
2016-09-29,16893,16845,17422,16748,537286
2016-09-30,16941,15882,16989,15257,1114508
2016-10-04,15016,14679,15882,13668,2020360
2016-10-05,15016,14390,15208,13861,1403592
2016-10-06,14438,15882,15978,14150,1232020
2016-10-07,15786,14679,15978,14246,1247664
2016-10-10,14583,14872,15160,14583,593658
2016-10-11,14920,14438,15064,14438,505468
2016-10-12,14246,15208,15305,14101,559962
2016-10-13,15305,14535,15449,14342,613906
2016-10-14,14631,14390,14775,13957,582313
2016-10-17,15112,14583,15160,14053,730644
2016-10-18,14631,14150,14631,14101,415451
2016-10-19,14198,14294,14535,13813,546087
2016-10-20,14294,13283,14390,13235,987862
2016-10-21,13235,13331,13572,12754,801906
2016-10-24,13476,13139,13620,12995,372829
2016-10-25,13139,12369,13235,12032,1077445
2016-10-26,12224,13139,13139,12080,995570
2016-10-27,12995,12224,13043,11743,2502434
2016-10-28,11984,9818,12128,9626,3645283
2016-10-31,9818,9597,10011,9443,1725169
2016-11-01,9481,9202,9722,9202,1349042
2016-11-02,9385,8586,9500,8586,1370797
2016-11-03,8538,8875,8990,8490,1024401
2016-11-04,8856,8605,8875,8374,642991
2016-11-07,8711,8856,8856,8605,411706
2016-11-08,8942,8856,9135,8827,539874
2016-11-09,8913,8124,8913,7633,1435239
2016-11-10,8625,9010,9087,8480,1216924
2016-11-11,9048,8923,9491,8769,1551464
2016-11-14,8990,8865,9019,8740,412646
2016-11-15,8933,8634,8933,8557,486918
2016-11-16,8663,8759,8788,8519,308733
2016-11-17,8711,8644,8769,8586,218577
2016-11-18,8663,8538,8692,8471,246636
2016-11-21,8471,8307,8528,8182,214794
2016-11-22,8326,8230,8480,8182,159848
2016-11-23,8230,7758,8259,7749,456092
2016-11-24,7710,7883,8057,7681,335791
2016-11-25,7845,8124,8201,7826,204967
2016-11-28,8220,7970,8297,7951,157267
2016-11-29,7970,8124,8355,7854,217651
2016-11-30,8134,8268,8268,8018,164472
2016-12-01,8297,8105,8307,8057,146533
2016-12-02,8085,8057,8172,7903,106138
2016-12-05,7980,7797,8057,7720,140229
2016-12-06,7826,7960,8201,7826,195499
2016-12-07,8018,7489,8018,7171,584280
2016-12-08,7518,7238,7595,7229,390335
2016-12-09,7258,7267,7392,7229,339911
2016-12-12,7392,8057,8114,7392,743394
2016-12-13,8057,8307,8538,7931,510770
2016-12-14,8471,8365,8519,8239,244193
2016-12-15,8365,8596,8644,8230,288674
2016-12-16,8596,8432,8596,8413,159766
2016-12-19,8442,8268,8451,8230,138190
2016-12-20,8268,8143,8413,8134,188582
2016-12-21,8201,8037,8230,8018,127533
2016-12-22,8047,8162,8268,7903,251230
2016-12-23,8278,8239,8374,8047,265603
2016-12-26,8345,8153,8365,8124,189044
2016-12-27,8085,7922,8134,7922,329357
2016-12-28,7931,8548,8576,7845,426986
2016-12-29,8355,8548,8576,8326,352475
2017-01-02,8586,8384,8586,8278,208416
2017-01-03,8393,8442,8557,8365,204254
2017-01-04,8442,8548,8557,8393,278098
