Date,Open,Close,High,Low,Volume
2016-10-17,1215,1215,1215,1200,3143
2016-10-18,1220,1240,1250,1220,3031
2016-10-19,1260,1235,1260,1235,10
2016-10-20,1250,1245,1250,1245,501
2016-10-21,1250,1250,1250,1250,1
2016-10-24,1250,1250,1250,1250,1
2016-10-25,1250,1215,1260,1210,4357
2016-10-26,1275,1255,1275,1220,516
2016-10-27,1285,1260,1285,1260,4
2016-10-28,1295,1295,1295,1295,1
2016-10-31,1295,1295,1295,1295,1
2016-11-01,1295,1275,1295,1265,4
2016-11-02,1275,1275,1275,1270,1608
2016-11-03,1300,1300,1300,1300,1
2016-11-04,1300,1280,1300,1280,986
2016-11-07,1300,1235,1300,1235,2001
2016-11-08,1295,1300,1300,1250,655
2016-11-09,1300,1295,1300,1250,1131
2016-11-10,1340,1305,1340,1305,17
2016-11-11,1345,1345,1345,1345,1
2016-11-14,1310,1310,1310,1310,0
2016-11-15,1330,1330,1330,1330,1
2016-11-16,1350,1310,1350,1275,733
2016-11-17,1280,1305,1310,1280,14443
2016-11-18,1340,1325,1340,1325,143
2016-11-21,1270,1335,1340,1270,163
2016-11-22,1380,1370,1380,1295,3721
2016-11-23,1415,1370,1415,1370,92
2016-11-24,1490,1265,1490,1260,15775
2016-11-25,1300,1295,1340,1260,473
2016-11-28,1295,1360,1375,1295,401
2016-11-29,1370,1300,1380,1275,460
2016-11-30,1385,1295,1385,1265,168
2016-12-01,1395,1265,1395,1265,415
2016-12-02,1370,1260,1370,1240,2107
2016-12-05,1320,1265,1320,1240,2109
2016-12-06,1325,1285,1325,1270,1555
2016-12-07,1300,1265,1300,1265,13
2016-12-08,1315,1290,1315,1260,1516
2016-12-09,1290,1290,1290,1290,2444
2016-12-12,1295,1290,1295,1275,1891
2016-12-13,1295,1280,1295,1280,2667
2016-12-14,1385,1300,1385,1275,2608
2016-12-15,1380,1305,1380,1295,415
2016-12-16,1370,1315,1380,1300,25514
2016-12-19,1355,1315,1355,1305,305
2016-12-20,1355,1355,1355,1310,20
2016-12-21,1320,1345,1390,1320,1331
2016-12-22,1410,1340,1410,1300,6
2016-12-23,1405,1390,1405,1310,6
2016-12-26,1380,1390,1390,1380,3
2016-12-27,1385,1385,1390,1330,10893
2016-12-28,1435,1395,1435,1260,10
2016-12-29,1350,1355,1390,1350,9
2017-01-02,1390,1390,1390,1325,14
2017-01-03,1385,1380,1385,1350,1087
2017-01-04,1395,1380,1395,1360,4442
2017-01-05,1390,1365,1390,1365,22
2017-01-06,1375,1375,1375,1375,1
2017-01-09,1380,1370,1380,1360,102
2017-01-10,1370,1380,1380,1370,32
2017-01-11,1380,1365,1380,1365,31
2017-01-12,1380,1375,1380,1365,123
2017-01-13,1380,1380,1380,1380,1
2017-01-16,1380,1380,1380,1380,50
2017-01-17,1380,1380,1380,1380,1
2017-01-18,1380,1380,1380,1380,1
2017-01-19,1365,1370,1380,1360,9
2017-01-20,1380,1375,1380,1375,4
2017-01-23,1380,1330,1380,1315,3557
2017-01-24,1380,1315,1380,1315,3051
2017-01-25,1365,1350,1365,1350,1015
2017-01-26,1380,1380,1380,1330,102
2017-01-31,1380,1380,1380,1380,1
2017-02-01,1380,1370,1380,1360,7
2017-02-02,1380,1375,1380,1375,2
2017-02-03,1380,1395,1395,1380,998
