Date,Open,Close,High,Low,Volume
2016-10-17,7490,7210,7520,7190,170277
2016-10-18,6380,6420,6530,6310,2010655
2016-10-19,6390,6570,6800,6330,842233
2016-10-20,6570,6470,6730,6440,904496
2016-10-21,6480,6670,6680,6480,481680
2016-10-24,6700,6530,6780,6490,300970
2016-10-25,6600,6460,6600,6280,378675
2016-10-26,6420,6440,6650,6320,294855
2016-10-27,6450,6390,6480,6380,243985
2016-10-28,6400,6080,6470,5950,561565
2016-10-31,5970,5530,6050,5520,468671
2016-11-01,5500,5410,5660,5400,346180
2016-11-02,5350,5170,5450,5140,378411
2016-11-03,5170,5350,5390,5160,264196
2016-11-04,5390,5330,5470,5180,422741
2016-11-07,5550,5860,5860,5420,528527
2016-11-08,5890,5700,5890,5550,493850
2016-11-09,5740,4910,5810,4600,1410741
2016-11-10,5050,4895,5050,4865,481405
2016-11-11,4910,4900,5110,4850,514982
2016-11-14,4900,4825,4950,4720,309672
2016-11-15,4830,4825,4885,4750,172857
2016-11-16,4845,4930,5020,4845,250396
2016-11-17,4920,4940,4940,4880,81307
2016-11-18,4975,4810,4975,4810,136390
2016-11-21,4795,4735,4835,4670,114905
2016-11-22,4745,4735,4805,4695,201932
2016-11-23,4785,4565,4785,4535,230408
2016-11-24,4525,4340,4585,4335,251949
2016-11-25,4340,4330,4430,4330,144071
2016-11-28,4350,4225,4360,4205,234423
2016-11-29,4225,4160,4250,4040,314324
2016-11-30,4160,4155,4200,4100,128357
2016-12-01,4170,4240,4570,4170,371451
2016-12-02,4285,4120,4285,4120,108443
2016-12-05,4120,3925,4150,3925,202028
2016-12-06,4105,3965,4105,3930,148574
2016-12-07,3965,3885,4005,3860,107977
2016-12-08,3890,3880,3950,3840,123923
2016-12-09,4195,4070,4520,4010,1092780
2016-12-12,4080,4310,4335,4070,331253
2016-12-13,4320,4340,4385,4220,144750
2016-12-14,4340,4260,4390,4260,159201
2016-12-15,4210,4470,4530,4205,307757
2016-12-16,4480,4450,4540,4315,163458
2016-12-19,4440,4500,4510,4370,117586
2016-12-20,4550,4395,4550,4385,102607
2016-12-21,4395,4400,4555,4395,132558
2016-12-22,4410,4385,4500,4365,90664
2016-12-23,4370,4510,4525,4335,146807
2016-12-26,4510,4520,4600,4450,148345
2016-12-27,4660,4590,5000,4500,407845
2016-12-28,4540,4710,4775,4540,192460
2016-12-29,4690,4735,4735,4650,122690
2017-01-02,4695,4640,4755,4615,103766
2017-01-03,4740,4655,4740,4640,86714
2017-01-04,4700,4705,4730,4655,85135
2017-01-05,4680,4720,4740,4665,89296
2017-01-06,4750,4795,4810,4705,147786
2017-01-09,4880,4930,5070,4795,254463
2017-01-10,4970,4930,5020,4870,184355
2017-01-11,4875,4935,5000,4875,93789
2017-01-12,4945,4900,4990,4865,110611
2017-01-13,4910,4915,4935,4845,103603
2017-01-16,4875,4800,4915,4750,138190
2017-01-17,4810,4945,5010,4760,181437
2017-01-18,4975,4950,4980,4885,116519
2017-01-19,4965,4940,4970,4900,68711
2017-01-20,4900,5110,5160,4900,419418
2017-01-23,5110,5180,5200,5040,246762
2017-01-24,5180,5080,5210,5080,193252
2017-01-25,5100,5060,5150,5030,123424
2017-01-26,5060,5000,5090,4970,142489
2017-01-31,5020,4990,5040,4925,83490
2017-02-01,5030,5070,5070,4945,69336
2017-02-02,5020,4900,5040,4885,199733
2017-02-03,4880,4725,4910,4710,191457
2017-02-06,4720,4680,4785,4650,109344
2017-02-07,4680,4685,4735,4625,97096
2017-02-08,4670,4700,4885,4665,94918
2017-02-09,4670,4800,4845,4655,88252
2017-02-10,4850,4800,4850,4745,69995
2017-02-13,4505,4790,4790,4480,281258
2017-02-14,4840,4810,4865,4755,97007
2017-02-15,4800,4835,4875,4800,45213
2017-02-16,4825,4860,4865,4790,65580
2017-02-17,4880,4840,4880,4750,62259
2017-02-20,4875,4765,4875,4710,57594
2017-02-21,4765,4765,4810,4740,67135
2017-02-22,4780,4680,4790,4680,112801
2017-02-23,4680,4680,4730,4655,54756
2017-02-24,4660,4695,4750,4650,89275
2017-02-27,4665,4800,4800,4665,65029
2017-02-28,4810,4995,5030,4765,184939
2017-03-02,5000,5110,5180,4995,255251
2017-03-03,5110,4975,5180,4955,159869
2017-03-06,5040,5110,5550,4910,2177571
2017-03-07,5250,5070,5250,4870,604032
2017-03-08,5070,5070,5170,5010,130446
2017-03-09,5060,4975,5090,4940,143940
2017-03-10,4975,4945,5000,4870,105442
2017-03-13,5000,4970,5040,4930,118358
2017-03-14,4960,4955,4990,4930,65248
2017-03-15,4975,4835,4975,4835,84099
2017-03-16,4830,4940,4965,4830,107105
2017-03-17,4940,4950,4950,4870,78457
2017-03-20,4980,4920,4980,4920,75078
2017-03-21,4900,4875,4935,4865,75288
2017-03-22,4875,4860,5020,4805,168306
2017-03-23,4935,4890,4935,4860,87498
2017-03-24,4900,4935,4935,4845,56627
2017-03-27,4940,4925,4980,4905,99814
2017-03-28,4925,4975,4985,4860,90811
2017-03-29,4990,5030,5030,4935,68848
2017-03-30,5030,5190,5350,5020,331493
2017-03-31,5180,5200,5320,5150,239789
2017-04-03,5210,5280,5290,5180,126523
2017-04-04,5300,5260,5300,5230,94862
2017-04-05,5260,5360,5440,5240,231023
2017-04-06,5360,5340,5410,5280,96467
2017-04-07,5340,5330,5350,5260,82415
2017-04-10,5330,5120,5330,5010,110743
2017-04-11,5100,5090,5140,4980,65135
2017-04-12,5060,5050,5100,5010,52630
2017-04-13,5040,5090,5130,5040,28077
2017-04-14,5070,4970,5080,4920,99918
2017-04-17,4970,4995,5020,4960,38117
2017-04-18,4995,5040,5070,4955,65076
2017-04-19,5040,5100,5110,4980,66443
2017-04-20,5100,5080,5100,5030,47903
2017-04-21,5080,5050,5100,4985,57541
2017-04-24,5050,4985,5050,4910,89192
2017-04-25,4965,4975,4985,4955,54034
2017-04-26,4980,5120,5120,4980,118422
2017-04-27,5120,5090,5150,5070,62278
2017-04-28,5080,5030,5090,5030,47421
2017-05-02,5060,5060,5110,5030,75851
2017-05-04,5060,5140,5160,5030,116859
2017-05-08,5160,5170,5280,5120,116467
2017-05-10,5130,5200,5210,5130,87036
2017-05-11,5130,5210,5230,5130,62533
2017-05-12,5220,5240,5240,5130,89970
