Date,Open,Close,High,Low,Volume
2016-09-13,32049,32416,32416,31416,48956
2016-09-19,32383,32149,32750,31816,22931
2016-09-20,31916,32350,32516,31783,14193
2016-09-21,32483,32149,32483,31883,19265
2016-09-22,32083,32149,32616,32016,19857
2016-09-23,32483,32650,32683,32083,12328
2016-09-26,32816,32716,32950,32316,8319
2016-09-27,32750,32550,32883,32216,14067
2016-09-28,32550,32583,32816,32216,13884
2016-09-29,32550,32283,32683,32216,14944
2016-09-30,32216,31549,32216,31516,18703
2016-10-04,31549,31649,32083,31549,7619
2016-10-05,31949,31016,31949,30549,37929
2016-10-06,31016,30782,31549,29815,42412
2016-10-07,30715,29281,30715,29181,57239
2016-10-10,29315,28881,29648,28548,31703
2016-10-11,28914,29081,29148,28414,36938
2016-10-12,28748,29248,29715,28748,20488
2016-10-13,29181,29215,29481,28681,11643
2016-10-14,29048,29448,29648,28948,5814
2016-10-17,29682,28914,29682,28848,11973
2016-10-18,28681,28548,28914,28448,14538
2016-10-19,28481,27681,28648,27614,29661
2016-10-20,27447,27180,27747,26680,45499
2016-10-21,26813,26680,27547,26680,12797
2016-10-24,27180,28147,28881,26880,32622
2016-10-25,28448,30048,30182,28448,48037
2016-10-26,30082,30215,30349,29315,24167
2016-10-27,30015,30482,30682,29581,14409
2016-10-28,30282,30682,30882,30282,11895
2016-10-31,31016,30815,31082,30315,13572
2016-11-01,30015,30749,30982,29882,12748
2016-11-02,30349,30349,30815,30282,9863
2016-11-03,30349,30315,30682,30015,12419
2016-11-04,30048,29982,30649,29815,7016
2016-11-07,30482,30315,30715,29982,10467
2016-11-08,30382,30515,30615,29982,2686
2016-11-09,30515,30449,30615,27814,23604
2016-11-10,30682,30349,31149,30048,28617
2016-11-11,30082,30549,30915,30082,15358
2016-11-14,30315,30515,30615,30115,10104
2016-11-15,30082,30349,30349,29548,12070
2016-11-16,30148,29882,30415,29682,7185
2016-11-17,30048,29748,30048,29581,3404
2016-11-18,30082,28814,30182,28814,17763
2016-11-21,28381,28348,29081,28047,9710
2016-11-22,28181,28047,28681,27614,16026
2016-11-23,28147,27814,28214,27747,6611
2016-11-24,27847,26947,27881,26913,25764
2016-11-25,27380,27214,27947,27014,14317
2016-11-28,27614,28514,29148,27614,31353
2016-11-29,28414,30148,30148,28414,20704
2016-11-30,30015,30849,30849,29815,11985
2016-12-01,30349,31182,31382,30015,17460
2016-12-02,30715,31316,31449,30715,7190
2016-12-05,31582,31282,31649,31049,8673
2016-12-06,31182,31016,31282,30549,9872
2016-12-07,31883,30982,31916,30949,18475
2016-12-08,31616,30615,31616,30015,22124
2016-12-09,30615,30382,30749,30182,16076
2016-12-12,30482,30682,30715,29882,15236
2016-12-13,30682,30148,30882,30115,20962
2016-12-14,30182,31182,31516,30182,49268
2016-12-15,31382,30915,31382,30515,23703
2016-12-16,30915,30915,31249,30315,17694
2016-12-19,30882,30715,31316,30582,19208
2016-12-20,30782,30148,30782,30115,18263
2016-12-21,30248,30115,30615,29548,30760
2016-12-22,30215,29948,30215,29848,11950
2016-12-23,29948,29882,30082,29815,8812
2016-12-26,29815,29281,29982,29281,20286
2016-12-27,29381,29148,29782,29081,21098
2016-12-28,29315,29581,29682,29181,7986
2016-12-29,29748,29448,29882,29115,12157
2017-01-02,29448,29682,29815,29448,6206
2017-01-03,29982,29281,29982,29215,9397
2017-01-04,29381,28514,29448,28514,19955
2017-01-05,28681,28314,28948,28181,16067
2017-01-06,28414,27781,28414,27781,21358
2017-01-09,27947,27547,27947,27380,13148
2017-01-10,27781,27914,28448,27447,14182
2017-01-11,28147,28214,28481,27914,11151
2017-01-12,28114,27747,28381,27714,9692
2017-01-13,27747,27747,27981,27547,9737
2017-01-16,27714,27614,28047,27414,9746
2017-01-17,27414,27614,27714,27280,16059
2017-01-18,27714,27480,27714,27280,10094
2017-01-19,27580,27147,27614,27147,12346
2017-01-20,27647,28114,28848,27280,22031
2017-01-23,28014,27247,28014,27247,19349
2017-01-24,27614,27080,27614,27014,12529
2017-01-25,27080,26780,27214,26413,22074
2017-01-26,26880,26313,26947,26180,28970
2017-01-31,26347,26413,26547,25746,16619
2017-02-01,26413,26847,26980,26413,11052
2017-02-02,26413,27180,27280,26413,13524
2017-02-03,27080,27280,27547,26947,9728
2017-02-06,27114,26880,27347,26580,10464
2017-02-07,26980,26613,27014,26480,14644
2017-02-08,26680,26046,26680,25980,18035
2017-02-09,26280,26013,27314,25846,76148
2017-02-10,26013,26580,26647,25946,43964
