Date,Open,Close,High,Low,Volume
2016-10-17,88600,90000,90000,88600,309
2016-10-18,90100,91700,91700,89700,1877
2016-10-19,90600,92000,92200,90600,1067
2016-10-20,92000,92100,92500,91100,1325
2016-10-21,92500,91900,92500,91500,384
2016-10-24,92300,92000,92600,90400,1228
2016-10-25,92000,92200,92500,91500,618
2016-10-26,92600,91900,92600,91300,216
2016-10-27,91000,90700,92600,90700,400
2016-10-28,90400,91500,92600,90400,136
2016-10-31,92800,92000,92800,91000,1161
2016-11-01,92500,92100,92500,91500,89
2016-11-02,92600,87600,92600,87600,854
2016-11-03,87800,89200,90900,87800,1037
2016-11-04,90000,90900,91000,88300,886
2016-11-07,90200,90800,91100,89600,558
2016-11-08,89600,88300,90800,87700,1764
2016-11-09,88300,87900,89700,87200,776
2016-11-10,87500,88800,90000,87500,842
2016-11-11,88800,88500,88900,88100,409
2016-11-14,88300,88800,88900,88000,954
2016-11-15,88800,90300,90300,88300,493
2016-11-16,90300,90000,90300,89200,248
2016-11-17,90000,89300,90000,88800,697
2016-11-18,89400,88300,89500,88300,665
2016-11-21,89000,88600,89000,87700,324
2016-11-22,88600,87100,88600,86900,1494
2016-11-23,86900,86000,88000,85900,1796
2016-11-24,86000,85300,86000,84800,1569
2016-11-25,85700,85300,85700,85000,743
2016-11-28,85300,85200,85800,84300,732
2016-11-29,85400,85500,85500,84800,631
2016-11-30,85500,86100,86100,85300,795
2016-12-01,86100,86500,86900,85500,707
2016-12-02,86600,88000,88000,86400,865
2016-12-05,88000,87400,88100,86800,1114
2016-12-06,87400,87900,88100,87200,271
2016-12-07,88400,87000,88400,86800,661
2016-12-08,86700,88000,88100,86700,388
2016-12-09,88300,87900,88300,87500,561
2016-12-12,88500,88000,88500,87400,997
2016-12-13,88000,87500,88100,87200,1097
2016-12-14,87400,87600,87800,86800,1056
2016-12-15,87500,87500,87600,86500,659
2016-12-16,87500,87000,87700,86900,832
2016-12-19,87400,87000,87600,86300,416
2016-12-20,87400,88100,88100,87400,944
2016-12-21,88100,88000,88300,87300,951
2016-12-22,88100,88100,88200,87400,610
2016-12-23,88100,88200,88400,87700,823
2016-12-26,88200,88200,88500,87800,2240
2016-12-27,88200,88800,88900,88100,2198
2016-12-28,86800,85800,87400,85300,1757
2016-12-29,85900,85700,86400,85300,1312
2017-01-02,85700,85600,85700,84700,1112
2017-01-03,85600,85500,85900,85300,882
2017-01-04,86200,85200,86200,85100,644
2017-01-05,86600,84700,86600,84500,1151
2017-01-06,84700,85200,85200,84700,334
2017-01-09,85700,85600,85700,85200,1047
2017-01-10,84900,85800,86400,84900,2195
2017-01-11,85900,86500,86500,85500,700
2017-01-12,86600,86400,86700,86000,545
2017-01-13,86800,85500,86800,85400,523
2017-01-16,86100,85300,86500,85100,754
2017-01-17,85100,85000,85600,85000,433
2017-01-18,85700,85500,85700,85000,93
2017-01-19,85500,84800,85700,84800,537
2017-01-20,85500,84800,85500,84800,667
2017-01-23,86400,85700,86400,84900,354
2017-01-24,85900,85400,85900,85100,238
2017-01-25,85400,85900,85900,85400,511
2017-01-26,85900,86700,86700,85700,475
2017-01-31,86700,86300,86700,85700,213
2017-02-01,86300,85500,86300,85300,40
2017-02-02,85200,85000,86700,84900,832
2017-02-03,86200,85200,86200,84900,447
2017-02-06,84800,85600,86000,84800,200
2017-02-07,85600,85600,85700,84700,211
2017-02-08,85900,85300,85900,84200,395
2017-02-09,85800,85400,85800,84500,252
2017-02-10,85600,85500,85600,84700,464
2017-02-13,85500,85500,85800,84700,173
2017-02-14,85400,85200,85800,84500,937
2017-02-15,85500,85100,85700,84700,299
2017-02-16,85500,85200,85500,84600,509
2017-02-17,85300,85800,85800,84500,947
2017-02-20,85700,84900,85800,84600,420
2017-02-21,85600,85300,85700,84800,439
2017-02-22,85600,85700,85700,85000,222
2017-02-23,85700,85700,86300,85200,983
2017-02-24,86000,86300,86300,85300,775
2017-02-27,86400,86100,86400,85900,80
2017-02-28,86100,85700,86200,85300,114
2017-03-02,86000,85900,86300,85400,32
2017-03-03,86300,86100,86300,85500,180
2017-03-06,85800,85900,86300,85200,281
2017-03-07,86100,85800,86100,85200,271
2017-03-08,85900,85700,86100,85300,48
2017-03-09,86100,85500,86100,85000,403
2017-03-10,85700,85500,85700,85000,368
2017-03-13,85100,85100,85500,84900,1136
2017-03-14,85100,85300,86000,84900,1306
2017-03-15,85900,85100,85900,84900,1047
2017-03-16,85700,85700,85700,85000,250
2017-03-17,85900,85900,86000,85100,109
2017-03-20,85900,85300,86000,81500,1199
2017-03-21,85600,85400,85600,85000,181
2017-03-22,85400,85100,85600,84100,2527
2017-03-23,85000,85400,85500,84600,982
2017-03-24,85400,85500,85500,84800,371
2017-03-27,85900,85400,85900,85100,857
2017-03-28,85500,85800,85800,85400,1353
2017-03-29,85800,85900,86200,85700,1269
2017-03-30,86100,85800,86100,85800,1061
2017-03-31,86100,86200,86200,85800,859
2017-04-03,86400,86800,86900,86300,910
2017-04-04,87000,87800,87900,86900,1068
2017-04-05,88000,87500,88000,87300,616
2017-04-06,86200,86900,87900,86200,479
2017-04-07,87400,86900,87800,86800,1126
2017-04-10,86900,85700,87800,85100,1667
2017-04-11,85500,86900,87000,85500,1272
2017-04-12,87500,87200,87500,87000,1423
2017-04-13,87700,87300,87700,86800,673
2017-04-14,87700,87300,87700,87300,1167
2017-04-17,88100,87500,88100,87100,546
2017-04-18,88100,87500,88100,87200,182
2017-04-19,88000,87300,88000,87100,282
2017-04-20,87000,86900,87400,86400,5050
2017-04-21,87000,87400,88000,86900,946
2017-04-24,88000,87800,88000,86000,761
2017-04-25,87800,87300,87900,87000,231
2017-04-26,87400,87700,87700,87200,3558
2017-04-27,87700,88000,88000,86800,1325
2017-04-28,87900,88100,88100,87300,1719
2017-05-02,88100,87700,88100,87300,1057
2017-05-04,88400,89400,89400,87900,1463
2017-05-08,89400,89200,89400,88400,363
2017-05-10,88700,89000,89200,86500,1193
2017-05-11,89000,89000,89400,88500,656
2017-05-12,89000,89800,90000,89000,1576
2017-05-15,89800,89900,90000,88500,401
2017-05-16,89800,88200,89800,88000,729
2017-05-17,88200,88600,88900,88100,479
2017-05-18,88300,87900,88600,86900,1525
2017-05-19,87900,88700,89400,87900,727
2017-05-22,88300,89300,89400,88300,554
2017-05-23,89300,89400,90000,89000,444
2017-05-24,89400,89900,90100,89000,1088
2017-05-25,89700,89800,90100,89500,1378
2017-05-26,89600,89600,89800,89200,353
2017-05-29,89400,89500,89500,88900,907
2017-05-30,89500,90800,90800,89400,1608
2017-05-31,90100,90600,90800,90100,575
2017-06-01,90100,90500,90600,89600,735
2017-06-02,90300,90800,91400,90300,1039
2017-06-05,90800,91100,91400,90400,581
2017-06-07,91100,90100,91200,90100,351
2017-06-08,90100,90400,90400,89900,819
2017-06-09,90400,90900,90900,89900,752
2017-06-12,90900,90500,90900,89900,696
2017-06-13,90000,90700,90700,89700,436
2017-06-14,90700,90300,90700,90100,379
2017-06-15,90000,90300,90700,89800,366
2017-06-16,89700,89800,90200,89000,958
2017-06-19,89700,90000,90200,89500,397
2017-06-20,90000,90000,90400,88900,590
2017-06-21,89300,89600,89700,88800,505
2017-06-22,89600,88900,89600,88200,392
2017-06-23,88800,88800,88900,88400,455
2017-06-26,88500,89000,89900,88200,541
2017-06-27,89000,89000,89200,88600,1183
2017-06-28,89100,89400,89400,88900,1423
2017-06-29,89000,90400,90700,88400,1683
2017-06-30,89700,89700,89900,88800,424
2017-07-03,89700,90000,90100,89600,475
2017-07-04,90900,89100,90900,88600,540
2017-07-05,89100,88600,89200,88600,278
2017-07-06,88600,89600,89800,88300,765
2017-07-07,90500,89600,90800,88200,947
2017-07-10,89200,89400,89400,88100,555
2017-07-11,89400,88900,89400,88400,296
2017-07-12,88900,89500,89700,88400,401
2017-07-13,89200,89300,89300,88600,236
2017-07-14,89000,89500,89600,88800,424
2017-07-17,89500,89500,89500,88300,244
2017-07-18,89500,89400,89500,88700,438
2017-07-19,89000,89300,89300,88800,65
2017-07-20,89900,88900,89900,88600,713
2017-07-21,89000,89700,89700,88900,55
2017-07-24,89700,89800,89800,89000,326
2017-07-25,89800,89600,90000,89000,367
2017-07-26,89600,89600,89800,89000,466
2017-07-27,89900,89600,89900,89500,613
2017-07-28,89000,89000,89600,89000,384
2017-07-31,89000,89400,89500,88400,443
2017-08-01,89400,89400,89500,89200,303
2017-08-02,89400,89300,89500,89200,484
2017-08-03,89000,89800,89800,89000,337
2017-08-04,89300,89400,89500,89200,70
2017-08-07,89100,89200,89400,89000,249
2017-08-08,89200,89200,89300,88500,296
2017-08-09,89000,89500,89500,89000,271
2017-08-10,89500,89200,89600,89000,337
2017-08-11,89600,89000,89600,88700,676
2017-08-14,89000,88100,89000,86100,1174
2017-08-16,87300,88200,88200,87300,796
2017-08-17,88200,88300,88800,87600,458
2017-08-18,88800,88700,88800,88200,155
2017-08-21,89300,88800,89300,88200,741
2017-08-22,88800,88900,89300,88300,453
2017-08-23,88600,88800,89000,88400,467
2017-08-24,89400,88500,89400,88200,239
2017-08-25,87400,88600,89000,87400,325
2017-08-28,89000,88200,89000,88000,156
2017-08-29,88700,89100,89200,88500,673
2017-08-30,88300,89300,89400,88300,195
2017-08-31,89300,89500,89500,89100,789
2017-09-01,89400,89600,89600,89300,340
2017-09-04,88700,89400,89400,88400,519
2017-09-05,89600,89200,89600,88400,701
2017-09-06,89400,88300,89400,87700,518
2017-09-07,88300,88200,88400,87600,346
2017-09-08,88400,88600,88600,87800,353
2017-09-11,88800,88800,88800,87700,645
2017-09-12,88800,88800,88800,88200,126
2017-09-13,88700,89100,89200,88500,915
2017-09-14,88200,88900,89000,88200,471
2017-09-15,88900,88300,88900,88300,1154
2017-09-18,87900,87800,88100,87600,435
2017-09-19,87800,88000,88000,87500,190
2017-09-20,87500,87900,88400,87500,79
2017-09-21,87500,88700,88800,87500,686
2017-09-22,87800,88700,88700,87700,515
2017-09-25,88300,88400,88400,87000,275
2017-09-26,87300,88000,88400,87300,732
2017-09-27,88100,87500,88500,87300,1205
2017-09-28,87600,87300,88300,87200,142
2017-09-29,87500,87600,87700,86700,177
2017-10-10,87400,87900,88000,87400,710
2017-10-11,87900,88100,88100,87600,263
2017-10-12,88300,88200,88300,87600,178
2017-10-13,87500,87900,88100,87300,212
2017-10-16,87300,87400,87900,87300,286
2017-10-17,87400,87500,87800,87300,306
2017-10-18,87600,87800,87800,87300,362
2017-10-19,87900,87500,87900,87100,346
2017-10-20,87000,87600,88300,86800,620
2017-10-23,86800,86800,87500,82000,860
2017-10-24,86800,86700,86800,86300,88
2017-10-25,86700,86700,86700,86300,444
2017-10-26,86700,86700,87000,86600,117
2017-10-27,86500,86900,87000,86500,69
2017-10-30,86300,87300,87400,86300,279
2017-10-31,87100,86900,87500,86400,555
2017-11-01,86800,87400,87800,86500,1119
2017-11-02,87500,87600,87600,87000,329
2017-11-03,87400,87500,87600,87000,533
2017-11-06,86900,87600,87700,86900,236
2017-11-07,86900,87100,87300,86900,73
2017-11-08,87400,87100,87400,86900,409
2017-11-09,87900,88000,88000,87100,306
2017-11-10,87100,88200,88200,87100,93
2017-11-13,87100,88000,88000,87100,129
2017-11-14,88000,87300,88200,87100,549
2017-11-15,88100,87100,88100,86800,1703
2017-11-16,87600,87700,87700,87000,260
2017-11-17,87700,87900,87900,87300,338
2017-11-20,87800,87700,87800,87000,299
2017-11-21,88000,87800,88000,87500,369
2017-11-22,88300,88300,88300,88000,3240
2017-11-23,88300,88600,88600,88100,291
2017-11-24,88600,88700,88700,88300,77
2017-11-27,88900,88500,88900,88100,96
2017-11-28,88000,88000,88400,88000,624
2017-11-29,88000,88600,88800,88000,127
2017-11-30,88000,88500,88700,88000,849
2017-12-01,88500,88300,88500,88000,291
2017-12-04,88000,88000,88800,87000,1292
2017-12-05,87700,87300,87900,86900,1829
2017-12-06,87400,86800,87400,86800,896
2017-12-07,86600,86500,87300,86500,334
2017-12-08,86600,86900,86900,86300,276
2017-12-11,86900,86800,87100,86600,1557
2017-12-12,87500,87900,88300,86100,2134
2017-12-13,87500,87800,88800,87500,2052
2017-12-14,87500,87600,87900,87000,1483
2017-12-15,88000,87000,88100,87000,1007
2017-12-18,87700,87200,87800,87100,457
2017-12-19,88400,87700,88400,87000,1986
2017-12-20,87400,87800,88200,87400,380
2017-12-21,87200,87700,88400,87200,1221
2017-12-22,87100,88200,88400,87100,1482
2017-12-26,88600,88900,89000,88300,4638
2017-12-27,85000,87300,87300,84900,2657
2017-12-28,86700,87100,87300,86200,182
2018-01-02,87100,86100,87100,85600,648
2018-01-03,86200,85700,86200,85700,501
2018-01-04,85700,85600,85800,85200,668
2018-01-05,85700,85600,85700,85200,462
2018-01-08,85400,85900,86000,85100,570
2018-01-09,85300,86000,86000,85200,254
2018-01-10,85900,85000,85900,85000,689
2018-01-11,85000,85300,85500,84900,308
2018-01-12,85000,85400,85600,85000,204
2018-01-15,85300,85700,85800,85300,455
2018-01-16,86200,85000,86200,85000,456
2018-01-17,85000,85700,85700,85000,302
2018-01-18,86000,85700,86000,85000,231
2018-01-19,85400,86000,86000,85300,202
2018-01-22,86000,85700,86000,85700,49
2018-01-23,85600,85900,85900,85300,64
2018-01-24,85900,86300,86300,85500,611
2018-01-25,86400,86500,87500,86200,934
2018-01-26,86500,86700,86700,86400,538
2018-01-29,87100,86500,87100,86000,992
2018-01-30,86800,86400,86800,85900,721
2018-01-31,86700,86800,87000,86400,2046
2018-02-01,87000,86800,87000,86700,1517
2018-02-02,86800,86300,86900,86200,1776
2018-02-05,86100,86100,86600,85500,883
2018-02-06,85200,84800,86100,84800,1634
2018-02-07,85600,84700,86100,84600,388
2018-02-08,85400,85000,85400,84200,188
2018-02-09,85000,84800,85000,84300,433
2018-02-12,84800,84600,85700,84500,430
2018-02-13,84600,85200,85300,84300,354
2018-02-14,84700,85400,85400,83900,1108
2018-02-19,85000,85700,86000,84500,1048
2018-02-20,85500,85000,85700,85000,183
2018-02-21,85000,85300,85700,84600,224
2018-02-22,85300,85000,85700,84700,198
2018-02-23,85200,85200,85800,84500,405
2018-02-26,85600,84600,85600,82300,1896
2018-02-27,84200,84400,84600,83700,302
2018-02-28,84400,84100,85400,84000,556
2018-03-02,84100,84100,85000,83900,1138
2018-03-05,84100,84400,85000,83600,336
2018-03-06,84500,84500,84500,84200,151
2018-03-07,84500,84600,84700,83900,549
2018-03-08,84700,85300,85300,82300,3565
2018-03-09,84500,84400,85100,83900,261
2018-03-12,84400,84100,84400,83500,332
2018-03-13,84100,84200,84900,83700,1234
2018-03-14,84200,84400,84700,84100,414
2018-03-15,84400,84100,84500,83000,448
2018-03-16,84100,84000,84200,83100,1150
2018-03-19,84000,83700,84500,83100,899
2018-03-20,83700,83600,83800,83400,284
2018-03-21,83400,83700,83700,83400,133
2018-03-22,83600,84000,84600,83600,501
2018-03-23,82800,82900,83400,82800,850
2018-03-26,82900,83300,83600,82000,425
2018-03-27,83300,83400,84300,83300,690
2018-03-28,83900,83500,84800,83300,464
2018-03-29,84100,84100,84200,84100,66
2018-03-30,84200,84800,85000,84200,325
2018-04-02,84200,84100,84300,84100,31
2018-04-03,84500,83700,84500,83600,120
2018-04-04,83700,83900,83900,83100,309
2018-04-05,83800,84800,84900,83800,1084
2018-04-06,84100,84600,84600,84100,34
2018-04-09,83900,84800,84800,83900,15
2018-04-10,84800,84400,84800,83500,729
2018-04-11,84300,83600,84300,83600,207
2018-04-12,84200,85000,85100,83200,1076
2018-04-13,85300,83900,85300,83700,304
2018-04-16,84500,83900,84500,83000,1815
2018-04-17,83600,84400,84500,83500,149
2018-04-18,83200,84200,84400,83200,195
2018-04-19,84100,84100,84200,83700,466
2018-04-20,84100,84100,84200,83600,231
2018-04-23,84100,83900,84500,83500,753
2018-04-24,84900,84100,84900,83600,370
2018-04-25,84100,83100,84100,83000,2006
2018-04-26,83800,83100,84200,83000,871
2018-04-27,83400,83300,83400,82700,500
2018-04-30,82900,83400,83800,82900,41
2018-05-02,83900,83800,83900,83100,645
2018-05-03,83700,84300,84400,83700,530
2018-05-04,84600,84500,85800,83900,1878
2018-05-08,84500,84600,85600,84000,449
2018-05-09,85300,85100,85300,84200,1202
2018-05-10,85600,84500,85600,83100,1485
2018-05-11,84200,85400,85600,83900,3912
2018-05-14,85900,85200,86000,84600,947
2018-05-15,86400,86300,87000,85100,2895
2018-05-16,86200,85800,86200,84200,2248
2018-05-17,84800,84800,85800,84600,755
2018-05-18,84800,85300,85700,84300,370
2018-05-21,84600,84400,85100,84200,1020
2018-05-23,84300,84500,84600,83700,1210
2018-05-24,85000,85100,85600,84300,668
2018-05-25,84300,85200,85300,84200,735
2018-05-28,85400,89500,89700,85400,9437
2018-05-29,89000,88300,89500,87600,806
2018-05-30,87800,88400,89000,87400,5830
2018-05-31,87800,89800,90000,87800,1990
2018-06-01,89900,89700,90000,88400,1773
2018-06-04,89400,88000,89400,88000,373
2018-06-05,87800,88200,88700,87800,953
2018-06-07,88200,88200,88200,87800,799
2018-06-08,87900,88200,89000,87800,557
2018-06-11,87800,88900,89000,87800,1172
2018-06-12,89000,89800,89800,89000,1561
2018-06-14,89000,87900,89400,87800,657
2018-06-15,87900,87900,88800,87800,213
2018-06-18,89200,87900,89200,87800,2027
2018-06-19,88600,88400,88700,87900,899
2018-06-20,89000,88300,89000,87700,405
2018-06-21,88300,88400,88600,85600,1299
2018-06-22,88300,88600,88600,85600,598
2018-06-25,88000,85800,88000,85800,879
2018-06-26,85800,85100,86300,84700,571
2018-06-27,84600,85300,86200,84600,502
2018-06-28,84500,86200,86900,84500,845
2018-06-29,85600,86400,86400,85500,730
2018-07-02,85600,85300,86700,85300,512
2018-07-03,86900,83500,86900,82300,1049
2018-07-04,83500,83800,84400,83500,196
2018-07-05,83800,84000,84400,83800,158
2018-07-06,84000,84900,84900,84000,209
2018-07-09,84900,85300,85500,84900,168
2018-07-10,85900,84200,85900,84100,102
2018-07-11,84200,85000,85800,83600,156
2018-07-12,84300,85100,85400,84300,38
2018-07-13,84900,84400,85200,84400,212
2018-07-16,84400,84000,84400,83600,228
2018-07-17,85000,83400,85000,83000,431
2018-07-18,83600,83600,83600,83200,190
2018-07-19,83800,83600,83900,83100,593
2018-07-20,83600,81900,84000,81100,822
2018-07-23,83000,81100,83000,80600,409
2018-07-24,81100,81900,82000,80500,677
2018-07-25,81900,81900,81900,81400,471
2018-07-26,82000,82800,82800,81500,640
2018-07-27,82000,83800,84300,82000,286
2018-07-30,83800,84300,84600,83600,409
2018-07-31,83200,84600,85100,83200,610
2018-08-01,84600,84700,84900,84600,74
2018-08-02,84800,84500,85600,83600,744
2018-08-03,84900,83600,84900,83600,116
2018-08-06,83800,85000,85400,83800,978
2018-08-07,86200,85400,86200,85100,569
2018-08-08,85400,85500,85500,83800,300
2018-08-09,86200,85300,86200,84200,176
2018-08-10,85700,83100,86000,83100,239
2018-08-13,83000,83000,83000,80900,619
2018-08-14,83000,83200,83200,82800,216
2018-08-16,83200,84200,84200,83200,670
2018-08-17,84200,85000,85000,83700,376
2018-08-20,85000,84200,85000,83600,63
2018-08-21,84900,84000,84900,82700,965
2018-08-22,83900,83900,83900,83700,12
2018-08-23,83900,83000,84200,83000,535
2018-08-24,83800,83400,84300,83000,312
2018-08-27,84000,83200,84000,82400,175
2018-08-28,83200,83100,83200,82800,99
2018-08-29,83100,83000,83200,83000,77
2018-08-30,83100,84000,84900,83000,666
2018-08-31,84000,83400,84500,83400,285
2018-09-03,84100,83600,84400,83400,351
2018-09-04,87200,83600,87200,83600,581
2018-09-05,83700,83700,84000,83700,187
2018-09-06,83000,83600,86600,83000,688
2018-09-07,84100,83500,84200,83500,305
2018-09-10,83500,84500,84900,83400,273
2018-09-11,84000,84800,87700,83600,2767
2018-09-12,85000,84800,85000,83500,1067
2018-09-13,83900,84400,84600,83700,231
2018-09-14,83900,84500,84600,83900,618
2018-09-17,83600,84600,84600,83600,140
2018-09-18,84500,83700,84500,83600,354
2018-09-19,83900,83900,84100,83000,326
2018-09-20,83900,83700,84000,83100,368
2018-09-21,83400,83100,83500,81500,1015
2018-09-27,83100,84100,84100,83100,309
2018-09-28,84000,83800,84000,83700,99
2018-10-01,84000,83600,84000,83400,13
2018-10-02,83900,83200,84000,83100,294
2018-10-04,84000,83600,84600,83000,606
2018-10-05,83400,84900,85000,83300,1238
2018-10-08,84900,84500,85000,83700,486
2018-10-10,84600,83400,84600,82000,760
2018-10-11,82000,82100,83100,81200,518
2018-10-12,81000,82100,82800,81000,277
