Date,Open,Close,High,Low,Volume
2016-09-13,2005,2030,2035,1980,3226490
2016-09-19,2100,2030,2105,2025,885168
2016-09-20,2030,2030,2040,2005,524350
2016-09-21,2040,2065,2105,2020,1391660
2016-09-22,2065,2035,2070,2030,995975
2016-09-23,2035,2055,2080,2025,552005
2016-09-26,2055,2030,2065,2025,552636
2016-09-27,2030,2065,2080,2020,1120717
2016-09-28,2070,2040,2105,2025,1483248
2016-09-29,2045,2030,2050,2025,991620
2016-09-30,2020,1995,2020,1990,934504
2016-10-04,1960,1980,1985,1940,973932
2016-10-05,1975,2010,2015,1965,961029
2016-10-06,2015,2015,2035,2005,997157
2016-10-07,2015,1990,2020,1985,634872
2016-10-10,1960,1990,2010,1960,297370
2016-10-11,2010,2025,2035,1990,986103
2016-10-12,2005,2015,2025,1995,456245
2016-10-13,2020,2000,2025,1995,444794
2016-10-14,2000,2005,2025,1995,529964
2016-10-17,2010,1965,2025,1900,689450
2016-10-18,1945,1970,2000,1940,587197
2016-10-19,1955,1930,1980,1915,683583
2016-10-20,1930,1965,1990,1930,430030
2016-10-21,1965,1965,1980,1940,189279
2016-10-24,1960,1955,1980,1940,217082
2016-10-25,1940,1930,1960,1925,402224
2016-10-26,1930,1930,1950,1900,413410
2016-10-27,1910,1950,1960,1910,279134
2016-10-28,1930,1930,1945,1915,269628
2016-10-31,1930,1890,1930,1880,612880
2016-11-01,1870,1895,1900,1860,252483
2016-11-02,1865,1830,1880,1815,524637
2016-11-03,1810,1905,2030,1810,1402516
2016-11-04,1900,1900,1925,1860,371813
2016-11-07,1935,1905,1935,1885,230167
2016-11-08,1905,1930,1940,1885,406554
2016-11-09,1920,1835,1935,1810,1010500
2016-11-10,1880,1915,1925,1860,424231
2016-11-11,1925,2050,2075,1895,2478679
2016-11-14,2065,2000,2070,1990,1237892
2016-11-15,2010,1915,2010,1905,1252785
2016-11-16,1925,1930,1980,1915,709599
2016-11-17,1945,1930,2005,1930,1213576
2016-11-18,1980,1920,1985,1910,790226
2016-11-21,1945,1870,1945,1860,639979
2016-11-22,1890,1870,1895,1860,335636
2016-11-23,1880,1840,1880,1835,434735
2016-11-24,1850,1845,1850,1810,286752
2016-11-25,1835,1840,1855,1820,248228
2016-11-28,1840,1860,1870,1835,214685
2016-11-29,1865,1835,1870,1835,309921
2016-11-30,1830,1840,1855,1820,182678
2016-12-01,1860,1900,1915,1835,519904
2016-12-02,1910,1905,1950,1890,473779
2016-12-05,1905,1880,1940,1870,464323
2016-12-06,1920,1900,1920,1880,266615
2016-12-07,1885,1860,1935,1855,264024
2016-12-08,1865,1845,1875,1840,397850
2016-12-09,1845,1860,1860,1840,153722
2016-12-12,1875,1855,1880,1850,308780
2016-12-13,1855,1875,1875,1850,288021
2016-12-14,1880,1900,1915,1870,422061
2016-12-15,1895,1895,1910,1885,250616
2016-12-16,1900,1905,1910,1885,246773
2016-12-19,1910,1880,1910,1875,232842
2016-12-20,1880,1860,1895,1850,368670
2016-12-21,1870,1850,1870,1845,293323
2016-12-22,1855,1840,1855,1825,406947
2016-12-23,1840,1850,1855,1835,226662
2016-12-26,1840,1840,1850,1830,222381
2016-12-27,1840,1840,1850,1835,246891
2016-12-28,1840,1850,1850,1835,192497
2016-12-29,1855,1855,1860,1840,136230
2017-01-02,1840,1870,1885,1835,322694
2017-01-03,1880,1885,1885,1855,174614
2017-01-04,1885,1870,1890,1865,333723
2017-01-05,1875,1905,1950,1860,851124
2017-01-06,1905,1920,1930,1885,331336
2017-01-09,1920,1940,1950,1905,595303
2017-01-10,1940,1925,1945,1905,336782
2017-01-11,1930,1860,1935,1850,864206
2017-01-12,1865,1905,1910,1855,568443
2017-01-13,1900,1950,1995,1900,1553487
2017-01-16,1950,1930,1965,1910,340172
2017-01-17,1935,1915,1940,1900,246094
2017-01-18,1915,1930,1935,1900,180913
2017-01-19,1990,2010,2185,1985,4320585
2017-01-20,2010,1965,2030,1960,996551
2017-01-23,1960,1930,1980,1910,667175
2017-01-24,1930,1995,2020,1910,1411757
2017-01-25,2000,1985,2010,1965,497158
2017-01-26,1995,1970,2010,1960,445017
2017-01-31,1960,1920,1960,1915,465194
2017-02-01,1930,1960,1965,1915,335411
2017-02-02,1955,1965,1975,1935,387787
2017-02-03,1960,1935,2000,1920,587625
2017-02-06,1950,1910,1950,1900,455001
2017-02-07,1915,1910,1930,1900,216564
2017-02-08,1905,1880,1915,1865,424927
2017-02-09,1870,1880,1895,1860,297333
2017-02-10,1890,1900,1910,1880,242379
2017-02-13,1905,1880,1905,1865,333909
2017-02-14,1885,1875,1885,1860,467557
2017-02-15,1885,1890,1895,1865,443647
2017-02-16,1900,1880,1905,1875,253945
2017-02-17,1880,1880,1885,1870,199777
2017-02-20,1880,1880,1890,1870,280999
2017-02-21,1885,1890,1900,1875,380452
2017-02-22,1900,1890,1910,1885,599666
2017-02-23,2010,1945,2045,1920,5602956
2017-02-24,1945,1890,1945,1880,1258454
2017-02-27,1880,1855,1900,1855,970797
2017-02-28,1865,1845,1875,1830,927384
2017-03-02,1845,1830,1855,1825,689039
2017-03-03,1825,1790,1830,1780,1124750
2017-03-06,1775,1760,1775,1735,850304
2017-03-07,1760,1770,1790,1745,912485
2017-03-08,1765,1780,1790,1760,578972
2017-03-09,1795,1770,1795,1770,369890
2017-03-10,1760,1795,1805,1740,1155713
2017-03-13,1785,1805,1840,1785,1030144
2017-03-14,1810,1775,1810,1775,716146
2017-03-15,1760,1780,1790,1760,587648
2017-03-16,1790,1780,1795,1775,561867
2017-03-17,1785,1820,1820,1775,1550172
2017-03-20,1830,1790,1830,1785,408178
2017-03-21,1800,1800,1805,1780,601526
2017-03-22,1780,1805,1815,1780,594116
2017-03-23,1805,1815,1820,1800,615943
2017-03-24,1815,1775,1815,1760,931949
2017-03-27,1780,1750,1780,1745,731744
2017-03-28,1750,1740,1760,1735,665699
2017-03-29,1745,1720,1745,1705,1034305
2017-03-30,1710,1720,1740,1710,517677
2017-03-31,1720,1715,1725,1710,461659
2017-04-03,1710,1715,1720,1705,419753
2017-04-04,1720,1715,1735,1710,620754
2017-04-05,1715,1720,1730,1710,888385
2017-04-06,1725,1725,1750,1715,838192
