Date,Open,Close,High,Low,Volume
2016-05-24,28600,27500,28600,26300,1472
2016-05-25,27000,27700,28000,26850,826
2016-05-26,27700,28300,28400,27350,514
2016-05-27,27700,27900,28400,26500,1015
2016-05-30,28350,27900,28550,27750,1000
2016-05-31,27700,27450,28300,26400,5351
2016-06-01,27450,26250,27700,25750,2829
2016-06-02,26250,26450,27100,25750,1906
2016-06-03,26200,26700,27100,26200,587
2016-06-07,27100,26700,27100,26100,498
2016-06-08,26100,26500,26700,25950,1077
2016-06-09,26700,25750,26700,25400,987
2016-06-10,25800,26200,26500,25400,472
2016-06-13,26100,24850,26100,24800,1628
2016-06-14,24800,25950,26000,24750,2925
2016-06-15,26100,25300,26100,25000,919
2016-06-16,25250,24650,25250,24100,1038
2016-06-17,24800,24650,24850,24100,1990
2016-06-20,24650,25150,25200,24500,203
2016-06-21,25150,25000,25200,23800,961
2016-06-22,24850,24300,24950,23900,1201
2016-06-23,24000,23700,24450,23300,1420
2016-06-24,23850,22500,23950,20750,2020
2016-06-27,22500,23750,27400,22200,9681
2016-06-28,23700,23200,24000,22600,2002
2016-06-29,23200,23150,23750,22350,2723
2016-06-30,23500,23100,23500,22500,1418
2016-07-01,22650,23150,23350,22650,1109
2016-07-04,23150,23300,23350,22200,1446
2016-07-05,22700,22800,23300,22600,785
2016-07-06,23100,22650,23100,22300,260
2016-07-07,22850,22900,23200,22500,538
2016-07-08,23150,23250,23250,22550,639
2016-07-11,23300,23300,23300,22750,237
2016-07-12,23350,23300,23350,22750,165
2016-07-13,22850,23500,23900,22600,1769
2016-07-14,23600,22550,23600,22500,1281
2016-07-15,22800,23600,23650,22100,1740
2016-07-18,22800,22950,23300,22600,246
2016-07-19,23200,22900,23200,22800,139
2016-07-20,23100,22900,23100,22700,357
2016-07-21,22700,22700,22800,22100,953
2016-07-22,22500,22700,22800,22500,55
2016-07-25,22950,21500,22950,21500,1155
2016-07-26,21300,27950,27950,20650,43312
2016-07-27,29200,24750,31200,24700,50726
2016-07-28,24950,25650,25950,23850,16082
2016-07-29,25900,25400,25950,24800,5247
2016-08-01,24700,23800,25000,23800,4474
2016-08-02,23800,21850,24900,21850,6193
2016-08-03,22250,21950,23050,21500,3984
2016-08-04,21700,22150,22550,21650,1851
2016-08-05,22300,22300,22650,21650,4080
2016-08-08,27450,28950,28950,25700,26609
2016-08-09,27300,24950,28300,24950,25356
2016-08-10,24900,28200,32000,24300,50491
2016-08-11,26900,26300,28200,25800,10742
2016-08-12,26050,27900,29800,25700,18688
2016-08-16,28300,26800,28700,26700,6212
2016-08-17,26900,26500,28900,26200,9873
2016-08-18,26850,25900,26850,25350,4186
2016-08-19,25100,25600,25900,24950,3682
2016-08-22,25350,26650,26650,24850,3435
2016-08-23,27000,25350,27400,25250,5858
2016-08-24,25200,26050,26700,25000,3279
2016-08-25,26200,25600,26300,25200,4350
2016-08-26,25500,26650,30700,25000,13888
2016-08-29,26350,25650,26700,25050,4109
2016-08-30,25700,25500,26200,25300,2659
2016-08-31,26100,26000,27800,25450,6759
2016-09-01,26450,33800,33800,26450,136315
2016-09-02,33000,31400,33000,30400,15506
2016-09-05,30150,28450,30150,28450,12592
2016-09-06,29000,28250,30000,28200,7064
2016-09-07,29300,28400,29300,28300,3687
2016-09-08,27800,27550,27800,27100,6537
2016-09-09,27500,27900,28500,27350,3802
2016-09-12,27300,27300,28150,27300,4627
2016-09-13,27000,27900,27900,27000,2066
2016-09-19,27750,28500,28500,27450,2429
2016-09-20,28700,29300,30000,28700,3502
2016-09-21,29300,28600,30550,28100,5340
2016-09-22,28550,27550,29100,27550,6121
2016-09-23,27550,27650,28050,26950,4330
2016-09-26,27400,27450,28350,27200,2942
2016-09-27,27400,27250,27450,26400,2627
2016-09-28,27100,27200,27400,26750,1276
2016-09-29,26900,26950,27200,26650,968
2016-09-30,26950,27400,27800,26800,3941
2016-10-04,27500,29250,29300,26300,10924
2016-10-05,29050,29000,29600,28350,2987
2016-10-06,29250,29900,31050,28500,9724
2016-10-07,29800,28000,29950,28000,4549
2016-10-10,27850,28350,28400,27550,2651
2016-10-11,27600,28350,28450,27400,1168
2016-10-12,27800,28450,28450,27750,501
2016-10-13,28200,27850,28400,27100,1534
2016-10-14,27600,28200,28200,27200,1656
2016-10-17,28150,28300,28600,28000,534
2016-10-18,28250,28000,28750,27650,3365
2016-10-19,27500,28000,28200,27500,590
2016-10-20,27700,29700,30450,27550,10495
2016-10-21,29450,28100,29450,28000,4252
2016-10-24,28000,28500,28750,27800,1671
2016-10-25,28250,28000,28500,27500,3886
2016-10-26,26000,26800,27900,26000,1741
