Date,Open,Close,High,Low,Volume
2016-10-17,13750,14050,14050,13550,20466
2016-10-18,14050,13900,14150,13800,20380
2016-10-19,13750,13750,14000,13400,15689
2016-10-20,13700,13650,13700,13400,18164
2016-10-21,13750,14000,14250,13500,28061
2016-10-24,13950,13700,14000,13600,17436
2016-10-25,13750,13400,13750,13200,10423
2016-10-26,13400,13400,13500,13100,5733
2016-10-27,13400,13450,13800,13200,9569
2016-10-28,13500,13350,13550,13200,4703
2016-10-31,13350,13300,13500,12700,5874
2016-11-01,13000,13150,13350,12950,3185
2016-11-02,13300,12950,13300,12550,9046
2016-11-03,12550,12900,12950,12550,2271
2016-11-04,13100,12900,13100,12750,4129
2016-11-07,12900,12900,13200,12850,7231
2016-11-08,13500,13000,13500,13000,9069
2016-11-09,13050,12300,13150,12000,22953
2016-11-10,12500,12550,12850,12300,9149
2016-11-11,12550,12600,12700,12250,6811
2016-11-14,12300,12600,12800,12300,17048
2016-11-15,12650,12600,12750,12550,4196
2016-11-16,12600,12800,12950,12600,16466
2016-11-17,13200,13400,13550,13000,44043
2016-11-18,13500,13350,13500,12950,18122
2016-11-21,13450,13050,13450,12950,7839
2016-11-22,13000,12750,13150,12650,16673
2016-11-23,12850,12550,12950,12500,10760
2016-11-24,12450,12500,12650,12450,9766
2016-11-25,12500,12600,12650,12450,6217
2016-11-28,12600,12450,12750,12400,9880
2016-11-29,12450,12400,12550,12200,12213
2016-11-30,12200,12200,12450,12150,11396
2016-12-01,12150,12200,12400,12050,7231
2016-12-02,12200,12400,12450,11950,15826
2016-12-05,12400,12350,12600,12050,16886
2016-12-06,12350,12650,12650,12350,12874
2016-12-07,12800,12500,12800,12500,25234
2016-12-08,12900,13650,14300,12900,480212
2016-12-09,13750,13400,14000,13100,123282
2016-12-12,13750,13000,13750,12850,100207
2016-12-13,13100,12850,13200,12700,81960
2016-12-14,12850,12400,13050,12350,93884
2016-12-15,12400,12550,12700,12300,29857
2016-12-16,12650,12400,12650,12300,44544
2016-12-19,12400,12650,12700,12400,43292
2016-12-20,12650,12600,12700,12500,23396
2016-12-21,12600,12550,12650,12400,22022
2016-12-22,12550,12350,12550,12350,20272
2016-12-23,12400,12350,12550,12300,27296
2016-12-26,12350,12300,12450,12200,20982
2016-12-27,12250,12350,12400,12150,18158
2016-12-28,12400,12350,12400,12200,11842
2016-12-29,12400,12500,12700,12200,14163
2017-01-02,12550,12650,12750,12500,18621
2017-01-03,12700,12650,12800,12600,39246
2017-01-04,12650,13000,13200,12650,39231
2017-01-05,13150,13000,13150,12900,21658
2017-01-06,13100,13000,13700,12850,120937
2017-01-09,13100,12950,13150,12800,17600
2017-01-10,12850,13200,13200,12850,24088
2017-01-11,13200,13000,13350,13000,19740
2017-01-12,13050,13000,13050,12750,22934
2017-01-13,12900,12950,13100,12800,23125
2017-01-16,13100,12950,13200,12800,22428
2017-01-17,13100,13000,13150,12900,15566
2017-01-18,13100,13000,13100,12800,23559
2017-01-19,13000,13300,13350,12900,48149
2017-01-20,13400,13250,13450,13050,28054
2017-01-23,13300,13250,13450,13200,26355
2017-01-24,13250,13150,13350,12950,20817
2017-01-25,13150,12850,13150,12850,23190
2017-01-26,12700,12900,12950,12650,14590
2017-01-31,12750,12900,12950,12750,5605
2017-02-01,12900,12900,12950,12800,4954
2017-02-02,12800,12750,12800,12600,24682
2017-02-03,12650,12250,12650,12150,48241
2017-02-06,12300,12500,12550,12150,16779
2017-02-07,12450,12500,12500,12200,16739
2017-02-08,12500,12500,12500,12350,8697
2017-02-09,12350,12500,12550,12350,5829
2017-02-10,12400,12400,12600,12350,15073
2017-02-13,12400,12450,12450,12200,10956
2017-02-14,12350,12500,12500,12350,5221
2017-02-15,12400,12400,12600,12250,24299
2017-02-16,12400,12600,12600,12300,8573
2017-02-17,12450,12600,12750,12450,22803
2017-02-20,12550,12850,12950,12550,24919
2017-02-21,12900,12600,12900,12600,11501
2017-02-22,12700,12650,12800,12550,6771
2017-02-23,12750,12550,12850,12550,11692
2017-02-24,12450,12600,12650,12400,10210
2017-02-27,12700,12400,12700,12400,12743
2017-02-28,12400,12450,12500,12350,19355
2017-03-02,12550,12550,12650,12500,7518
2017-03-03,12450,12600,12600,12350,16936
2017-03-06,12500,12600,12600,12400,6757
2017-03-07,12600,12450,12600,12300,18534
2017-03-08,12350,12450,12500,12300,6534
2017-03-09,12500,12450,12500,12300,10269
2017-03-10,12350,12400,12500,12200,9731
2017-03-13,12400,12650,12650,12300,22080
2017-03-14,12650,12800,13000,12650,30030
2017-03-15,12650,12900,12950,12650,20408
2017-03-16,12900,13550,13800,12900,92909
2017-03-17,13550,13600,13600,13300,19374
2017-03-20,13600,13850,13950,13450,31471
2017-03-21,13900,13300,13900,13050,33388
2017-03-22,13050,13200,13300,12900,11055
2017-03-23,13100,13000,13250,12900,14688
2017-03-24,13000,13000,13150,12900,18222
2017-03-27,13150,12850,13150,12800,21062
2017-03-28,12800,13050,13250,12700,45545
2017-03-29,13000,13100,13350,13000,13040
2017-03-30,13050,13050,13250,13050,9149
2017-03-31,13050,13000,13150,13000,9750
2017-04-03,12950,12950,13050,12900,15334
2017-04-04,12900,13150,13150,12900,16947
2017-04-05,13050,12950,13150,12900,29504
2017-04-06,13100,12950,13100,12850,11065
2017-04-07,12950,12800,13000,12750,18373
2017-04-10,12850,12450,12850,12400,26138
2017-04-11,12500,12400,12550,12300,17673
2017-04-12,12400,12350,12450,12200,10719
2017-04-13,12450,12650,12700,12400,25987
2017-04-14,12650,12450,12750,12350,19359
2017-04-17,12400,12600,12650,12400,11687
