Date,Open,Close,High,Low,Volume
2016-09-13,13166,13206,13327,13146,15948
2016-09-19,13246,13006,13387,12866,8937
2016-09-20,12846,12986,13006,12846,6447
2016-09-21,12986,12886,13126,12846,10548
2016-09-22,12926,12826,13226,12765,22400
2016-09-23,12685,12705,12786,12565,13627
2016-09-26,12705,12665,12866,12525,7475
2016-09-27,12786,12986,13006,12545,6761
2016-09-28,12966,12946,13026,12725,12714
2016-09-29,13166,13327,13327,12846,14600
2016-09-30,13226,12625,13266,12565,36826
2016-10-04,12625,12705,12765,12385,21052
2016-10-05,12645,12565,12645,12365,19500
2016-10-06,12505,12445,12605,12425,5059
2016-10-07,12445,12345,12525,12325,7285
2016-10-10,12385,12605,12685,12305,10678
2016-10-11,12585,12685,12786,12565,6736
2016-10-12,12765,12725,12806,12605,5918
2016-10-13,12765,12745,12786,12665,6087
2016-10-14,12745,12745,12806,12665,3792
2016-10-17,12725,12806,12806,12525,9166
2016-10-18,12806,12585,12806,12545,6746
2016-10-19,12585,12745,12745,12525,9321
2016-10-20,12665,12585,12786,12545,11556
2016-10-21,12585,12385,12685,12305,29665
2016-10-24,12325,12325,12545,12104,22355
2016-10-25,12405,12505,12585,12244,2694
2016-10-26,12325,12425,12545,12325,6107
2016-10-27,12505,12585,12585,12425,6946
2016-10-28,12565,12365,12625,12365,5758
2016-10-31,12365,12325,12465,12224,11447
2016-11-01,12385,12425,12505,12144,12035
2016-11-02,12425,12305,12485,12064,10553
2016-11-03,12204,12365,12405,12204,4725
2016-11-04,12285,12405,12405,12285,1591
2016-11-07,12405,12425,12425,12325,3517
2016-11-08,12425,12465,12645,12405,6292
2016-11-09,12545,12285,12605,11984,20464
2016-11-10,12445,12405,12445,12224,7694
2016-11-11,12405,12705,12745,12385,19895
2016-11-14,12806,12826,13026,12525,19336
2016-11-15,12685,12866,13026,12685,13138
2016-11-16,12786,12705,12906,12545,14426
2016-11-17,12565,12906,12926,12465,11467
2016-11-18,12786,12665,12846,12665,10998
2016-11-21,12565,12485,12645,12445,7115
2016-11-22,12525,12565,12605,12365,9046
2016-11-23,12645,12365,12645,12345,8717
2016-11-24,12385,12144,12385,12024,21377
2016-11-25,12084,12084,12305,12064,5558
2016-11-28,12064,12084,12224,12024,2435
2016-11-29,12084,12565,12645,11984,32804
2016-11-30,12565,12164,12565,12164,16107
2016-12-01,12285,12224,12325,12184,2859
2016-12-02,12305,12144,12305,12044,7689
2016-12-05,12044,11964,12084,11964,14500
2016-12-06,11984,12365,12365,11984,16327
2016-12-07,12305,12244,12365,12124,18453
2016-12-08,12244,12425,12906,12244,24835
2016-12-09,12405,12565,12565,12365,14645
2016-12-12,12445,12745,12786,12445,18218
2016-12-13,12565,12906,12906,12565,17684
2016-12-14,12745,12605,12866,12565,17140
2016-12-15,12625,12705,12745,12465,15523
2016-12-16,12525,12485,12685,12325,12554
2016-12-19,12485,12244,12485,12244,16511
2016-12-20,12244,12285,12285,12024,24595
2016-12-21,12285,12184,12285,12124,10948
2016-12-22,12184,12244,12305,12144,6811
2016-12-23,12204,12184,12264,12124,6297
2016-12-26,12224,12264,12285,12204,5444
2016-12-27,12224,12224,12325,12144,10224
2016-12-28,12184,12164,12184,12084,4925
2016-12-29,12184,12264,12264,12124,2999
2017-01-02,12264,12224,12264,12124,9665
2017-01-03,12264,12164,12264,12084,8078
2017-01-04,12224,12224,12244,12024,18218
2017-01-05,12204,12124,12204,12064,12490
2017-01-06,12144,12084,12164,11944,18063
2017-01-09,12124,12084,12124,11984,12440
2017-01-10,12084,12024,12204,11964,9980
2017-01-11,12064,12104,12224,11944,17185
2017-01-12,12164,12184,12204,12044,3907
2017-01-13,12184,12124,12224,12064,3223
2017-01-16,12124,12004,12204,12004,7549
2017-01-17,12064,12024,12204,12004,2734
2017-01-18,12064,12084,12084,11984,4925
2017-01-19,12024,12084,12104,11984,6352
2017-01-20,12064,12064,12084,11964,3607
2017-01-23,12064,12104,12104,11984,7260
2017-01-24,12104,12004,12104,11984,7799
2017-01-25,12084,11984,12084,11944,4366
