Date,Open,Close,High,Low,Volume
2016-05-24,79800,77900,79800,77800,6401
2016-05-25,78700,79000,79400,77800,6632
2016-05-26,78000,76600,78700,76600,7556
2016-05-27,78500,77500,78500,77100,4566
2016-05-30,77100,77300,77600,76000,9260
2016-05-31,77200,79500,79800,76500,19270
2016-06-01,79200,80800,80800,78600,11923
2016-06-02,80700,83000,83600,79400,13261
2016-06-03,82500,82000,83400,80900,10729
2016-06-07,82400,82900,83500,82000,10136
2016-06-08,82600,82900,83500,81500,6978
2016-06-09,82200,83200,83400,82100,12304
2016-06-10,82500,82000,83300,80400,6142
2016-06-13,81500,80900,81500,79500,4193
2016-06-14,79800,80200,80800,79700,2185
2016-06-15,79500,79900,80600,79300,3190
2016-06-16,80000,79100,80300,78700,2942
2016-06-17,79100,78900,79200,77800,3808
2016-06-20,78900,78000,79500,78000,1840
2016-06-21,78400,78100,78900,77900,3203
2016-06-22,77700,78100,78900,77700,1169
2016-06-23,78100,77000,78500,77000,4654
2016-06-24,77000,74200,77900,73300,11015
2016-06-27,73100,75000,75100,72500,5003
2016-06-28,75000,76500,76800,74100,5541
2016-06-29,76500,78000,80200,75800,12665
2016-06-30,78400,78100,79700,78000,6587
2016-07-01,78300,78900,79000,77700,5803
2016-07-04,79000,78900,79800,78500,9142
2016-07-05,78900,78900,80000,78100,11060
2016-07-06,79000,78900,79200,78100,10269
2016-07-07,79000,80300,80900,79000,7605
2016-07-08,80200,78000,80400,76500,24605
2016-07-11,78500,76900,78500,75100,7785
2016-07-12,76900,75500,76900,75100,4026
2016-07-13,75400,75000,75900,73300,16790
2016-07-14,75000,73900,75500,73100,11149
2016-07-15,73600,73900,75500,73000,14104
2016-07-18,74700,74200,75000,73600,5999
2016-07-19,74600,74200,75400,73200,10761
2016-07-20,74400,73600,74400,73200,2839
2016-07-21,73600,71300,74000,71000,14698
2016-07-22,71400,71100,71900,70700,2121
2016-07-25,71300,69900,72000,69900,6621
2016-07-26,69700,70100,70300,69600,2445
2016-07-27,70300,67700,70300,67400,15866
2016-07-28,68000,66900,68700,66500,9903
2016-07-29,66500,65500,67600,64800,9753
2016-08-01,65500,65000,65900,61000,41271
2016-08-02,65100,67400,67900,64500,11155
2016-08-03,67400,67300,67500,65600,13216
2016-08-04,67300,66700,67300,65700,11574
2016-08-05,66800,62500,66800,62200,34716
2016-08-08,63300,64000,64800,61600,29228
2016-08-09,63600,65200,65500,63600,17982
2016-08-10,65400,67500,67500,64800,25217
2016-08-11,67900,67800,68000,66300,1991
2016-08-12,68000,67200,68000,66700,4990
2016-08-16,67200,67200,67400,66100,8024
2016-08-17,67200,66900,67200,66200,3239
2016-08-18,66500,66800,66900,65800,10126
2016-08-19,65800,66400,66800,65500,18362
2016-08-22,66600,65700,66600,65400,17682
2016-08-23,65600,67100,67500,65500,5882
2016-08-24,67200,67300,67500,66700,5073
2016-08-25,67500,67400,67500,66800,4460
2016-08-26,67700,67600,67700,66400,10605
2016-08-29,67600,67100,67600,66700,4749
2016-08-30,67000,66800,67400,66400,5399
2016-08-31,67000,66800,67000,66000,9549
2016-09-01,67000,67100,67700,66300,4243
2016-09-02,67000,68000,68200,66700,7767
2016-09-05,68400,67600,68800,66700,8006
2016-09-06,67500,67900,67900,67000,9233
2016-09-07,68000,67800,68100,66400,11543
2016-09-08,67500,65400,67600,64800,12858
2016-09-09,65600,65800,65900,64400,6668
2016-09-12,65700,66000,66300,64700,4326
2016-09-13,66000,66100,66400,65000,3364
2016-09-19,66000,67100,67300,66000,9503
2016-09-20,67100,67200,67400,65900,9014
2016-09-21,67300,66600,67800,65900,9653
2016-09-22,66800,66700,67200,66300,5612
2016-09-23,66800,67800,67800,66500,8786
2016-09-26,67800,68100,68100,67300,6952
2016-09-27,67700,68100,68300,66400,9653
2016-09-28,67700,68100,68100,67200,6560
2016-09-29,67500,67100,67900,66800,5430
2016-09-30,66400,68300,69000,66000,16822
2016-10-04,69200,71300,71300,68900,25695
2016-10-05,71300,71300,71600,70000,15111
2016-10-06,71300,70700,71300,69900,12494
2016-10-07,70300,67700,70300,67100,14758
2016-10-10,67400,67300,67700,66000,13430
2016-10-11,67000,67900,68200,67000,5107
2016-10-12,68200,69300,69300,67900,11890
2016-10-13,69700,69100,69700,68200,10098
2016-10-14,69500,69500,69600,68400,5799
2016-10-17,69800,69000,69800,68400,4028
2016-10-18,69600,69000,69600,68400,7235
2016-10-19,69400,69100,69900,68200,8265
2016-10-20,69400,69600,69700,68200,5489
2016-10-21,69600,69700,69700,68600,16189
2016-10-24,69700,69200,69700,68100,9296
2016-10-25,68000,67000,68000,63200,27199
2016-10-26,66000,66600,67500,63400,10055
2016-10-27,67000,66900,67500,66400,7444
