Date,Open,Close,High,Low,Volume
1985-01-04,6010,6270,6270,6010,960
1985-01-05,6320,6670,6670,6320,12520
1985-01-07,6910,6870,7170,6870,24650
1985-01-08,6800,6680,6800,6450,13200
1985-01-09,6690,6500,6690,6500,2500
1985-01-10,6350,6220,6350,6200,5160
1985-01-11,6100,6050,6190,6010,4420
1985-01-12,6050,6190,6190,6050,2850
1985-01-14,6200,6150,6280,6150,5080
1985-01-15,6200,6100,6200,6100,1840
1985-01-16,6290,6200,6290,6200,1200
1985-01-17,6020,6020,6020,6020,1900
1985-01-18,6140,6100,6140,6100,110
1985-01-19,6100,6150,6150,6100,2040
1985-01-21,6150,6300,6450,6150,11820
1985-01-22,6400,6280,6400,6110,1170
1985-01-23,6430,6420,6450,6420,2890
1985-01-24,6200,6100,6200,6100,1020
1985-01-25,6200,6200,6200,6200,10
1985-01-26,6150,6150,6150,6150,0
1985-01-28,6100,6100,6100,6100,110
1985-01-29,6050,6000,6050,6000,350
1985-01-30,5900,5800,5900,5800,280
1985-01-31,5920,6090,6090,5910,2090
1985-02-01,5890,5900,5900,5890,5410
1985-02-02,5900,6000,6000,5900,60
1985-02-04,6000,6000,6000,6000,0
1985-02-05,5990,5990,5990,5990,0
1985-02-06,5990,5990,5990,5990,0
1985-02-07,5930,5600,5930,5600,270
1985-02-08,5730,5730,5730,5730,200
1985-02-09,5700,5650,5700,5650,550
1985-02-11,5650,5680,5700,5650,380
1985-02-13,5650,5650,5650,5650,50
1985-02-14,5640,5640,5640,5640,0
1985-02-15,5600,5600,5600,5600,50
1985-02-16,5400,5600,5600,5400,140
1985-02-18,5500,5500,5500,5500,0
1985-02-19,5500,5500,5500,5500,0
1985-02-21,5500,5500,5500,5500,0
1985-02-22,5500,5500,5500,5500,20
1985-02-23,5300,5450,5450,5300,1590
1985-02-25,5450,5450,5450,5450,0
1985-02-26,5400,5400,5400,5350,1020
1985-02-27,5390,5390,5390,5390,0
1985-02-28,5250,5250,5250,5240,1130
1985-03-02,5260,5250,5260,5250,3000
1985-03-04,5270,5300,5300,5270,1390
1985-03-05,5370,5400,5400,5370,3070
1985-03-06,5400,5350,5400,5350,1450
1985-03-07,5350,5350,5350,5350,400
1985-03-08,5290,5290,5290,5290,50
1985-03-09,5320,5320,5320,5320,100
1985-03-11,5330,5300,5330,5300,1600
1985-03-12,5300,5300,5300,5300,550
1985-03-13,5280,5280,5280,5280,200
1985-03-14,5200,5200,5200,5200,0
1985-03-15,5030,5030,5030,5030,470
1985-03-16,5030,4850,5030,4850,3060
1985-03-18,4960,4970,5000,4960,1260
1985-03-19,4980,4900,4980,4720,780
1985-03-20,4900,4980,4980,4900,1530
1985-03-21,4910,4910,4910,4910,500
1985-03-22,4810,4820,4820,4810,180
1985-03-23,4900,4940,4940,4900,1220
1985-03-25,4950,5170,5170,4950,1350
1985-03-26,5250,5220,5250,5210,6020
1985-03-27,5150,5150,5200,5150,350
1985-03-28,5160,5160,5200,5160,2450
1985-03-29,5170,5200,5200,5170,1430
1985-03-30,5210,5200,5210,5190,2000
1985-04-01,5190,5150,5190,5150,1800
1985-04-02,5200,5350,5350,5190,5400
1985-04-03,5370,5690,5790,5370,17170
1985-04-04,5600,5600,5600,5530,10380
1985-04-06,5600,5600,5600,5600,100
1985-04-08,5200,5220,5400,5200,2530
1985-04-09,5220,5450,5450,5220,490
1985-04-10,5400,5250,5400,5250,4500
1985-04-11,5200,5250,5250,5150,7900
1985-04-12,5260,5210,5350,5210,3960
1985-04-13,5210,5300,5300,5210,970
1985-04-15,5290,5220,5290,5220,1940
1985-04-16,5200,5210,5210,5200,1050
1985-04-17,5200,5200,5200,5160,1850
1985-04-18,5180,5180,5180,5180,0
1985-04-19,5180,5200,5200,5180,550
1985-04-20,5200,5200,5200,5200,350
1985-04-22,5010,5190,5190,5010,80
1985-04-23,5190,5050,5190,5050,4200
1985-04-24,5050,5050,5050,5050,270
1985-04-25,5050,5000,5060,5000,2700
1985-04-26,5000,5010,5010,5000,60
1985-04-27,5010,5010,5010,5010,100
1985-04-29,5000,5000,5000,5000,300
1985-04-30,5010,5010,5010,5010,0
1985-05-01,5020,5020,5020,5020,200
1985-05-02,5020,4990,5020,4990,2340
1985-05-03,4990,4910,4990,4910,500
1985-05-04,4910,4910,4910,4910,120
1985-05-06,4910,5150,5150,4910,230
1985-05-07,5100,5100,5100,5100,0
1985-05-08,5000,5000,5000,5000,0
1985-05-09,4910,4970,4970,4910,290
1985-05-10,4970,4970,4970,4970,410
1985-05-11,4930,4930,4930,4930,20
1985-05-13,4930,4930,4930,4930,0
1985-05-14,4950,4950,4950,4950,20
1985-05-15,4950,4970,4970,4950,580
1985-05-16,4950,5020,5090,4950,1970
1985-05-17,5020,4940,5020,4940,870
1985-05-18,4950,4980,4980,4950,50
1985-05-20,4910,4900,4910,4900,370
1985-05-21,4950,5050,5050,4950,1040
1985-05-22,5050,5190,5190,5050,2630
1985-05-23,5180,5110,5250,5110,4360
1985-05-24,5100,5610,5610,5100,8360
1985-05-25,5550,5540,5750,5500,17810
1985-05-28,5490,5600,5690,5480,13740
1985-05-29,5600,5500,5600,5420,3670
1985-05-30,5500,5600,5600,5430,6630
1985-05-31,5660,5600,5660,5510,4200
1985-06-01,5550,5540,5550,5540,450
1985-06-03,5500,5450,5500,5450,800
1985-06-04,5400,5300,5400,5300,2450
1985-06-05,5350,5530,5530,5310,730
1985-06-07,5490,5490,5490,5490,400
1985-06-08,5390,5390,5390,5390,0
1985-06-10,5500,5400,5500,5390,1630
1985-06-11,5410,5420,5500,5410,7830
1985-06-12,5550,5550,5650,5550,21030
1985-06-13,5640,5560,5640,5560,3750
1985-06-14,5560,5500,5600,5500,1960
1985-06-15,5400,5400,5400,5400,200
1985-06-17,5520,5620,5690,5520,18970
1985-06-18,5620,5590,5620,5590,5160
1985-06-19,5600,5750,5760,5600,10100
1985-06-20,5860,5800,5990,5770,21570
1985-06-21,5800,5800,5900,5750,8260
1985-06-22,5900,5830,5900,5810,10070
1985-06-24,5850,5830,5850,5810,2030
1985-06-25,5820,5780,5820,5750,520
1985-06-26,5770,5770,5770,5770,700
1985-06-27,5770,5700,5770,5700,600
1985-06-28,5500,5500,5500,5500,600
1985-06-29,5550,5490,5600,5490,1350
1985-07-01,5410,5410,5410,5410,2100
1985-07-02,5500,5450,5500,5410,2050
1985-07-03,5310,5450,5450,5310,800
1985-07-04,5360,5310,5360,5310,1010
1985-07-05,5250,5250,5250,5250,150
1985-07-06,5320,5320,5320,5320,200
1985-07-08,5300,5300,5310,5300,670
1985-07-09,5270,5270,5270,5270,500
1985-07-10,5240,5210,5240,5210,60
1985-07-11,5600,5600,5600,5600,100
1985-07-12,5400,5400,5400,5400,0
1985-07-13,5450,5450,5450,5450,70
1985-07-15,5390,5390,5390,5390,0
1985-07-16,5200,5200,5200,5180,510
1985-07-18,5200,5200,5200,5200,400
1985-07-19,5400,5250,5400,5250,500
1985-07-20,5250,5250,5300,5250,1140
1985-07-22,5260,5200,5260,5200,1180
1985-07-23,5250,5260,5300,5250,1170
1985-07-24,5300,5300,5430,5300,1300
1985-07-25,5310,5310,5350,5300,1320
1985-07-26,5550,5550,5550,5550,50
1985-07-27,5450,5450,5450,5450,0
1985-07-29,5350,5350,5350,5350,0
1985-07-30,5350,5300,5350,5300,1200
1985-07-31,5350,5250,5350,5210,580
1985-08-01,5250,5250,5250,5250,10
1985-08-02,5400,5500,5600,5400,5760
1985-08-03,5570,5700,5730,5570,7110
1985-08-05,5690,5690,5700,5690,1740
1985-08-06,5590,5570,5590,5400,670
1985-08-07,5510,5410,5510,5410,1960
1985-08-08,5300,5270,5300,5270,1690
1985-08-09,5270,5270,5350,5270,1610
1985-08-10,5300,5300,5300,5300,240
1985-08-12,5310,5250,5310,5250,790
1985-08-13,5250,5250,5250,5210,2120
1985-08-14,5250,5320,5400,5250,2800
1985-08-16,5150,5270,5270,5150,1330
1985-08-17,5200,5260,5260,5200,1040
1985-08-19,5250,5250,5300,5250,1550
1985-08-20,5250,5250,5250,5250,2390
1985-08-21,5250,5260,5260,5250,1010
1985-08-22,5300,5500,5500,5300,2810
1985-08-23,5400,5310,5400,5300,1130
1985-08-24,5260,5300,5300,5260,400
1985-08-26,5260,5260,5260,5260,300
1985-08-27,5260,5250,5260,5250,1160
1985-08-28,5250,5210,5250,5210,1020
1985-08-29,5200,5160,5200,5150,1160
1985-08-30,5170,5160,5400,5160,4500
1985-08-31,5170,5200,5200,5160,330
1985-09-02,5200,5100,5200,5100,1770
1985-09-03,5110,5390,5390,5110,1910
1985-09-04,5370,5350,5370,5350,600
1985-09-05,5240,5240,5240,5240,0
1985-09-06,5240,5240,5240,5240,500
1985-09-07,5250,5250,5250,5250,490
1985-09-09,5260,5260,5260,5260,20
1985-09-10,5260,5260,5260,5260,0
1985-09-11,5260,5220,5260,5210,2260
1985-09-12,5300,5300,5300,5300,1510
1985-09-13,5250,5250,5250,5250,330
1985-09-14,5250,5250,5250,5250,0
1985-09-16,5230,5230,5230,5230,120
1985-09-17,5100,5100,5100,5100,290
1985-09-18,5100,5110,5110,5100,430
1985-09-19,5100,5100,5110,5100,2480
1985-09-20,5110,5110,5110,5110,20
1985-09-21,5120,5120,5120,5120,380
1985-09-23,5120,5120,5120,5120,380
1985-09-24,5100,5100,5100,5100,150
1985-09-25,5120,5150,5150,5120,570
1985-09-26,5160,5160,5160,5160,10
1985-09-27,5220,5180,5220,5180,550
1985-09-28,5180,5180,5180,5180,0
1985-09-30,5180,5180,5180,5180,0
1985-10-02,5150,5240,5270,5150,6730
1985-10-04,5200,5180,5200,5180,7870
1985-10-05,5280,5350,5350,5250,1820
1985-10-07,5300,5230,5300,5230,80
1985-10-08,5230,5230,5230,5230,180
1985-10-10,5260,5230,5260,5230,700
1985-10-11,5200,5200,5200,5200,750
1985-10-12,5180,5180,5180,5180,300
1985-10-14,5180,5180,5180,5180,0
1985-10-15,5180,5180,5250,5180,550
1985-10-16,5170,5200,5200,5170,950
1985-10-17,5150,5150,5150,5130,1820
1985-10-18,5140,5100,5140,5100,4360
1985-10-19,5100,5100,5100,5100,1080
1985-10-21,5110,5130,5150,5110,2170
1985-10-22,5150,5200,5200,5150,1350
1985-10-23,5200,5150,5200,5150,1330
1985-10-24,5200,5200,5210,5200,3080
1985-10-25,5250,5300,5300,5220,6940
1985-10-26,5260,5270,5280,5260,1680
1985-10-28,5280,5270,5280,5220,3170
1985-10-29,5230,5230,5230,5230,1000
1985-10-30,5160,5230,5230,5110,2920
1985-10-31,5160,5160,5160,5160,960
1985-11-01,5150,5150,5150,5150,40
1985-11-02,5140,5140,5140,5140,40
1985-11-04,5140,5140,5140,5140,0
1985-11-05,5100,5100,5100,5100,800
1985-11-06,5100,5100,5100,5000,760
1985-11-07,5100,5100,5100,5100,1190
1985-11-08,5110,5120,5120,5100,2520
1985-11-09,5160,5180,5180,5150,1800
1985-11-11,5250,5300,5330,5250,3070
1985-11-12,5330,5300,5380,5300,2650
1985-11-13,5270,5240,5270,5210,1570
1985-11-14,5190,5150,5190,5150,480
1985-11-15,5140,5050,5140,5050,950
1985-11-16,5040,4960,5040,4960,1120
1985-11-18,4960,4900,5000,4900,2360
1985-11-19,4890,4900,5000,4870,4700
1985-11-20,4850,4850,4850,4850,360
1985-11-21,4850,4850,4870,4830,7400
1985-11-22,4850,4850,4850,4850,300
1985-11-23,4910,4900,4930,4900,1970
1985-11-25,4950,4900,4950,4900,2210
1985-11-26,4950,4910,4950,4910,820
1985-11-27,4950,4900,4950,4900,1650
1985-11-28,4950,5060,5150,4950,13430
1985-11-29,5160,5190,5200,5160,10740
1985-11-30,5190,5210,5230,5190,2490
1985-12-02,5160,5160,5160,5160,1100
1985-12-03,5070,5070,5070,5070,0
1985-12-04,5100,5050,5100,5050,1210
1985-12-05,5000,4900,5000,4900,330
1985-12-06,4900,4850,4900,4800,1970
1985-12-07,4900,4900,4900,4900,560
1985-12-09,5000,4900,5000,4820,2660
1985-12-10,4900,4900,4900,4880,5020
1985-12-11,4910,5000,5000,4910,1700
1985-12-12,5060,5160,5250,5060,14620
1985-12-13,5200,5330,5350,5200,7130
1985-12-14,5350,5340,5350,5340,2620
1985-12-16,5300,5100,5300,5100,870
1985-12-17,4950,5020,5020,4950,2190
1985-12-18,5000,5000,5000,5000,850
1985-12-19,5010,5050,5050,5010,460
1985-12-20,5060,5060,5100,5060,1320
1985-12-21,5100,5290,5290,5100,990
1985-12-23,5280,5200,5280,5200,5240
1985-12-24,5700,5700,5700,5700,30950
1985-12-26,6200,6200,6200,6200,55540
1986-01-04,6880,7200,7380,6720,80040
1986-01-06,7700,7450,7700,7220,106080
1986-01-07,7390,6950,7450,6950,23600
1986-01-08,6500,6900,7150,6500,69900
1986-01-09,7000,6610,7100,6400,36840
1986-01-10,6610,6290,6610,6290,20770
1986-01-11,6250,6100,6250,6090,19320
1986-01-13,6160,6200,6300,6100,23190
1986-01-14,6250,6000,6300,5950,10930
1986-01-15,6050,6000,6100,5900,12770
1986-01-16,6210,6180,6210,6020,9700
1986-01-17,6200,6300,6300,6100,10340
1986-01-18,6330,6200,6330,6200,4010
1986-01-20,6100,6140,6300,6100,8580
1986-01-21,6100,5950,6100,5900,5300
