Date,Open,Close,High,Low,Volume
2018-03-14,4960,4820,4960,4730,4876018
2018-03-15,4800,4770,4845,4745,3150422
2018-03-16,4780,4760,4800,4760,1089407
2018-03-19,4765,4570,4775,4545,2876897
2018-03-20,4545,4625,4625,4535,812984
2018-03-21,4635,4650,4675,4575,450289
2018-03-22,4655,4655,4760,4645,1145049
2018-03-23,4565,4505,4600,4505,881354
2018-03-26,4485,4570,4570,4475,386169
2018-03-27,4595,4530,4610,4520,708441
2018-03-28,4505,4510,4520,4485,422567
2018-03-29,4500,4505,4540,4495,311717
2018-03-30,4515,4600,4640,4515,367468
2018-04-02,4600,4540,4660,4525,283488
2018-04-03,4520,4520,4570,4500,314338
2018-04-04,4530,4485,4530,4475,385407
2018-04-05,4510,4500,4510,4485,251213
2018-04-06,4520,4510,4520,4460,582661
2018-04-09,4490,4500,4500,4460,328758
2018-04-10,4500,4485,4505,4455,460236
2018-04-11,4500,4455,4505,4455,431708
2018-04-12,4490,4490,4495,4455,307314
2018-04-13,4500,4515,4535,4470,399794
2018-04-16,4515,4520,4525,4505,208750
2018-04-17,4535,4525,4540,4510,175080
2018-04-18,4530,4605,4615,4530,652894
2018-04-19,4650,4610,4650,4575,473715
2018-04-20,4615,4645,4650,4585,251694
2018-04-23,4635,4600,4635,4590,323165
2018-04-24,4600,4665,4675,4585,398529
2018-04-25,4620,4615,4650,4595,444550
2018-04-26,4615,4620,4660,4600,371903
2018-04-27,4640,4630,4680,4610,448973
2018-04-30,4645,4615,4645,4580,445350
2018-05-02,4615,4555,4615,4550,568697
2018-05-03,4555,4535,4570,4530,384644
2018-05-04,4535,4550,4565,4530,516741
2018-05-08,4555,4550,4580,4525,252149
2018-05-09,4555,4510,4555,4500,311994
2018-05-10,4515,4525,4545,4510,187102
2018-05-11,4535,4645,4685,4535,606200
2018-05-14,4680,4695,4715,4665,578269
2018-05-15,4690,4680,4695,4640,152994
2018-05-16,4655,4630,4690,4620,267796
2018-05-17,4640,4630,4670,4625,267106
2018-05-18,4660,4615,4660,4605,233944
