Date,Open,Close,High,Low,Volume
2006-02-01,3200,3680,3680,3200,1491972
2006-02-02,4230,4230,4230,4230,494181
2006-02-03,4860,4860,4860,4860,489223
2006-02-06,5580,5580,5580,5580,42697
2006-02-07,6410,6410,6410,5660,2469162
2006-02-08,6670,6200,7240,5880,2239561
2006-02-09,6320,5600,6600,5560,890373
2006-02-10,5250,4930,5440,4800,1121772
2006-02-13,5050,4550,5270,4455,703410
2006-02-14,4430,4505,5100,4370,1056470
2006-02-15,4620,4500,4790,4370,586483
2006-02-16,4505,4670,4685,4455,413342
2006-02-17,4770,5370,5370,4715,2265409
2006-02-20,5500,4930,5570,4865,956309
2006-02-21,5000,4830,5210,4730,708567
2006-02-22,4740,4535,4760,4510,413669
2006-02-23,4680,4450,4680,4450,309049
2006-02-24,4560,4490,4560,4405,191733
2006-02-27,4400,4375,4450,4350,206988
2006-02-28,4335,4190,4400,4150,290150
2006-03-02,4200,4050,4245,3980,366774
2006-03-03,3965,3795,4090,3720,418584
2006-03-06,3750,3640,3785,3600,334789
2006-03-07,3605,3660,4160,3600,902213
2006-03-08,3510,3310,3660,3270,500229
2006-03-09,3300,3310,3470,3270,311286
2006-03-10,3310,3805,3805,3310,1282163
2006-03-13,3840,3845,4190,3685,1594300
2006-03-14,3870,3810,3955,3720,373833
2006-03-15,3850,3400,3865,3400,555485
2006-03-16,3250,3325,3460,3205,315823
2006-03-17,3310,3230,3465,3230,220469
2006-03-20,3225,3370,3565,3225,345083
2006-03-21,3390,3290,3500,3275,267008
2006-03-22,3290,3265,3340,3230,190911
2006-03-23,3295,3130,3360,3100,268157
2006-03-24,3110,2910,3170,2870,274952
2006-03-27,2905,2905,3065,2830,483415
2006-03-28,2940,2800,2960,2785,271217
2006-03-29,2760,2845,2880,2750,228487
2006-03-30,2845,2980,3200,2845,738813
2006-03-31,2985,3000,3065,2935,240681
2006-04-03,3040,3180,3180,3010,366275
2006-04-04,3250,3085,3360,3080,385423
2006-04-05,3080,3050,3195,3000,217947
2006-04-06,3055,3000,3065,2980,198419
2006-04-07,3000,3170,3390,3000,959085
2006-04-10,3115,2995,3205,2990,324427
2006-04-11,3000,2920,3020,2880,231529
2006-04-12,2900,2980,2985,2895,205450
2006-04-13,3060,3000,3090,2960,216909
2006-04-14,2970,3110,3190,2970,386558
2006-04-17,3170,3135,3175,3055,301624
2006-04-18,3145,3005,3145,2985,422582
2006-04-19,3010,2910,3030,2870,395029
2006-04-20,2865,2840,2910,2825,176735
2006-04-21,2845,2945,2945,2840,268228
2006-04-24,2875,2900,3170,2875,607267
2006-04-25,2900,2810,2945,2780,189611
2006-04-26,2810,2800,2930,2790,148720
2006-04-27,2825,2725,2860,2720,149222
2006-04-28,2710,2625,2745,2615,172118
2006-05-02,2640,2600,2720,2570,145043
2006-05-03,2575,2600,2660,2545,193736
2006-05-04,2570,2625,2690,2570,148994
2006-05-08,2705,2630,2740,2615,158894
2006-05-09,2625,2505,2675,2505,147825
2006-05-10,2505,2500,2550,2475,161907
2006-05-11,2520,2480,2520,2430,131313
2006-05-12,2400,2405,2490,2390,224598
2006-05-15,2380,2300,2395,2280,135768
2006-05-16,2295,2135,2345,2110,170221
2006-05-17,2150,2220,2255,2145,145657
2006-05-18,2185,2040,2185,2000,147248
2006-05-19,2100,2345,2345,2040,277117
2006-05-22,2410,2695,2695,2410,1555636
2006-05-23,2720,2610,3045,2460,1762664
2006-05-24,2620,3000,3000,2545,1554587
