Date,Open,Close,High,Low,Volume
1997-11-10,4800,4800,4800,4800,7720
1997-11-11,4810,4800,4810,4800,2600
1997-11-12,4800,4800,4800,4800,5300
1997-11-13,4810,4800,4810,4800,3000
1997-11-14,5180,5180,5180,5180,10
1997-11-15,4830,4830,4830,4830,0
1997-11-17,4800,4800,4800,4800,2600
1997-11-18,4800,4800,4800,4800,5000
1997-11-19,4800,4800,4800,4800,2400
1997-11-20,4800,4800,4800,4800,5230
1997-11-21,4800,4800,4800,4800,10210
1997-11-22,4800,4800,4800,4800,0
1997-11-24,4800,4800,4800,4800,27170
1997-11-25,4800,4800,4800,4800,44090
1997-11-26,4800,4800,4800,4800,21960
1997-11-27,4800,4800,4800,4800,500
1997-11-28,4800,4800,4800,4800,11900
1997-11-29,4800,4800,4800,4800,0
1997-12-01,4800,4800,4800,4800,5370
1997-12-02,4800,4800,4800,4800,5400
1997-12-03,4800,4800,4800,4800,15030
1997-12-04,5180,4800,5180,4800,3810
1997-12-05,5180,5180,5180,4800,2650
1997-12-06,5180,5590,5590,5180,2000
1997-12-08,5600,6030,6030,5600,1800
1997-12-09,5550,5550,5550,5550,0
1997-12-10,5990,5990,5990,5990,100
1997-12-11,6460,6460,6460,6460,100
1997-12-12,6460,6460,6460,6460,0
1997-12-13,6460,6460,6460,6460,0
1997-12-15,6970,6970,6970,6970,0
1997-12-16,7300,7300,7300,7300,0
1997-12-17,6720,6720,6720,6720,0
1997-12-19,6190,6190,6190,6190,0
1997-12-20,5800,5800,5800,5800,0
1997-12-22,5340,5340,5340,5340,0
1997-12-23,4920,4920,4920,4920,0
1997-12-24,5310,5310,5310,5310,10
1997-12-26,5730,5730,5730,5730,10
1997-12-27,5600,5600,5600,5600,0
1998-01-03,5880,5880,5880,5880,10
1998-01-05,5880,5880,5880,5880,10
1998-01-06,5880,5880,5880,5880,0
1998-01-07,5800,5800,5800,5800,10
1998-01-08,5800,5800,5800,5800,10
1998-01-09,5800,5800,5800,5800,10
1998-01-10,5800,5800,5800,5800,10
1998-01-12,5800,5800,5800,5800,10
1998-01-13,5800,5800,5800,5800,10
1998-01-14,5600,5600,5600,5600,10
1998-01-15,5600,5600,5600,5600,10
1998-01-16,5500,5500,5500,5500,10
1998-01-17,5500,5500,5500,5500,10
1998-01-19,5500,5500,5500,5500,10
1998-01-20,5060,5060,5060,5060,0
1998-01-21,5460,5460,5460,5460,10
1998-01-22,5500,5500,5500,5500,10
1998-01-23,5100,5100,5100,5100,10
1998-01-24,5500,5500,5500,5500,10
1998-01-26,5060,5060,5060,5060,10
1998-01-30,5460,5460,5460,5460,10
1998-01-31,5500,5500,5500,5500,10
1998-02-02,5500,5500,5500,5500,10
1998-02-03,5500,5500,5500,5500,10
1998-02-04,5500,5500,5500,5500,10
1998-02-05,5100,5100,5100,5100,10
1998-02-06,5400,5400,5400,5400,10
1998-02-07,5500,5500,5500,5500,10
1998-02-09,5500,5500,5500,5500,10
1998-02-10,5500,5300,5500,5060,1010
1998-02-11,5000,4880,5000,4880,310
1998-02-12,5000,5000,5000,5000,10
1998-02-13,5400,5400,5400,5400,10
1998-02-14,5200,5200,5200,5200,10
1998-02-16,4790,4790,4790,4790,10
1998-02-17,5000,5000,5000,5000,10
1998-02-18,5100,5100,5100,5100,10
1998-02-19,5100,5100,5100,5100,10
1998-02-20,4700,4700,4700,4700,10
1998-02-21,5000,5000,5000,5000,10
1998-02-23,5100,5100,5100,5100,10
1998-02-24,4800,4800,4800,4800,10
1998-02-25,4800,4800,4800,4800,10
1998-02-26,4900,4900,4900,4900,10
1998-02-27,5290,5290,5290,5290,10
1998-02-28,5290,5290,5290,5290,10
1998-03-02,5290,5290,5290,5290,10
1998-03-03,4870,4870,4870,4870,10
1998-03-04,4850,4850,4850,4850,0
1998-03-05,4880,4900,4900,4880,2000
1998-03-06,4800,4800,4800,4800,0
1998-03-07,4800,4800,4800,4800,0
1998-03-09,4420,4420,4420,4420,0
1998-03-10,4420,4420,4420,4420,0
1998-03-11,4420,4420,4420,4420,0
1998-03-12,4420,4420,4420,4420,0
1998-03-13,4770,4770,4770,4770,1920
1998-03-14,4700,4700,4700,4700,20
1998-03-16,5070,5070,5070,5070,10
1998-03-17,4800,4800,4800,4800,0
1998-03-18,4800,4800,4800,4800,10
1998-03-19,5180,5180,5180,5180,10
1998-03-20,5500,4810,5500,4810,4910
1998-03-21,4800,4800,4800,4800,0
1998-03-23,4790,4790,4790,4790,0
1998-03-24,4790,4790,4790,4790,0
1998-03-25,4790,4790,4790,4790,0
1998-03-26,5170,4790,5170,4790,1210
1998-03-27,5170,5170,5170,5170,10
1998-03-28,5500,5500,5500,5500,10
1998-03-30,5600,5600,5600,5600,10
1998-03-31,5500,5500,5500,5500,10
1998-04-01,5060,5060,5060,5060,0
1998-04-02,4660,4660,4660,4660,0
1998-04-03,4600,4600,4600,4600,0
1998-04-04,4600,4600,4600,4600,0
1998-04-06,4600,4600,4600,4600,0
1998-04-07,4600,4600,4600,4600,0
1998-04-08,4640,4640,4640,4640,1250
1998-04-09,5010,5010,5010,5010,10
1998-04-10,4750,4800,4800,4750,1420
1998-04-11,5180,5180,5180,5180,10
1998-04-13,5400,5400,5400,5400,10
1998-04-14,5400,5400,5400,5400,10
1998-04-15,5400,5000,5400,5000,60
1998-04-16,4800,4800,4800,4800,0
1998-04-17,5180,5180,5180,5180,10
