Date,Open,Close,High,Low,Volume
2000-12-26,1350,1350,1350,1350,238852
2001-01-02,1510,1510,1510,1330,1697530
2001-01-03,1530,1520,1660,1420,2299733
2001-01-04,1630,1700,1700,1610,618017
2001-01-05,1900,1900,1900,1750,1355764
2001-01-08,1900,1910,2110,1800,1734980
2001-01-09,1980,2130,2130,1960,1300997
2001-01-10,2350,1940,2380,1890,1750804
2001-01-11,2010,2140,2140,1800,1055348
2001-01-12,2220,2120,2290,2100,1108823
2001-01-15,2300,2370,2370,2200,1114256
2001-01-16,2450,2500,2600,2210,1414644
2001-01-17,2550,2800,2800,2550,1000587
2001-01-18,3090,3130,3130,2950,189031
2001-01-19,3500,3500,3500,3430,119555
2001-01-22,3600,3920,3920,3290,1565508
2001-01-26,4110,4390,4390,4000,621966
2001-01-29,4610,4910,4910,4600,55408
2001-01-30,5490,5490,5490,5300,125279
2001-01-31,5800,6140,6140,4840,603008
2001-02-01,6140,5410,6200,5410,1809624
2001-02-02,4770,4770,5150,4770,677179
2001-02-05,4200,4200,4300,4200,149504
2001-02-06,4250,4320,4590,4070,1760212
2001-02-07,4030,3820,4420,3810,1127617
2001-02-08,3950,4270,4270,3820,2581670
2001-02-09,4000,4050,4440,4000,1173468
2001-02-12,4050,3890,4080,3830,737204
2001-02-13,3980,4240,4340,3960,1270380
2001-02-14,4240,4350,4680,4100,1353555
2001-02-15,4350,4200,4440,4150,541401
2001-02-16,4200,3910,4210,3850,516743
2001-02-19,3820,4370,4370,3790,741626
2001-02-20,4670,4200,4730,4070,1139175
2001-02-21,4030,4080,4140,4000,336568
2001-02-22,4000,3600,4100,3600,319270
2001-02-23,3490,3490,3700,3230,195713
2001-02-26,3580,3900,3900,3580,364801
2001-02-27,3950,3520,3960,3510,311576
2001-02-28,3320,3600,3700,3300,119287
2001-03-02,3630,3200,3630,3200,135667
2001-03-05,2940,3250,3480,2940,213220
2001-03-06,3250,3250,3530,3240,289859
2001-03-07,3310,3400,3480,3310,182598
2001-03-08,3520,3520,3680,3380,377827
2001-03-09,3530,3440,3550,3400,181189
2001-03-12,3300,3050,3350,3030,162003
2001-03-13,2760,2760,2940,2720,117303
2001-03-14,3010,2950,3010,2870,102297
2001-03-15,2700,2900,2900,2660,164318
2001-03-16,2930,2900,3030,2800,149080
2001-03-19,2850,2940,3020,2800,143820
2001-03-20,3100,3290,3290,3080,195440
2001-03-21,3410,3680,3680,3360,452112
2001-03-22,3810,3980,4060,3800,763173
2001-03-23,3930,4060,4100,3800,370536
2001-03-26,4110,4060,4340,3800,475481
2001-03-27,4020,4130,4540,4000,796748
2001-03-28,4160,4080,4450,3920,486440
2001-03-29,4020,3760,4110,3720,190250
2001-03-30,3610,3340,3770,3310,909683
2001-04-02,3310,3280,3430,3020,356024
2001-04-03,3210,3670,3670,3210,256247
2001-04-04,3760,3240,3920,3230,1147151
2001-04-06,3400,3620,3620,3250,347593
2001-04-09,3810,3640,4050,3580,1247950
2001-04-10,3670,3900,4070,3670,1404284
2001-04-11,4050,3930,4150,3850,885608
2001-04-12,4070,4400,4400,3860,1171118
2001-04-13,4710,4200,4740,3950,1861123
2001-04-16,4190,4000,4340,3960,641457
2001-04-17,3910,4000,4240,3910,867543
2001-04-18,4050,4080,4140,4010,486054
2001-04-19,4210,4060,4350,4060,751962
2001-04-20,4020,3780,4100,3720,426942
2001-04-23,3780,3800,3940,3760,321773
2001-04-24,3730,3700,3920,3660,392092
2001-04-25,3700,4100,4140,3700,922583
2001-04-26,4020,3800,4050,3800,437487
2001-04-27,3830,3730,3930,3720,262289
2001-04-30,3700,3820,3900,3700,283047
2001-05-02,3910,3960,4120,3910,474914
2001-05-03,4010,4150,4390,3950,1024673
2001-05-04,4180,4100,4250,4010,295438
2001-05-07,4590,4590,4590,4590,415841
2001-05-08,4790,5140,5140,4700,1341996
2001-05-09,5140,4530,5450,4530,961938
2001-05-10,4540,5070,5070,4350,1009603
2001-05-11,5090,5450,5670,4910,1622882
2001-05-14,5450,5420,5880,5260,1016580
2001-05-15,5400,4780,5630,4770,703241
2001-05-16,4850,4670,5040,4530,446161
2001-05-17,4920,5230,5230,4750,613232
2001-05-18,5390,4920,5450,4900,577214
2001-05-21,4920,4880,5090,4840,319045
2001-05-22,4900,4920,5130,4850,446980
2001-05-23,4860,4770,4970,4760,265542
2001-05-24,4800,4920,5170,4800,536254
2001-05-25,4950,5250,5370,4930,653622
2001-05-28,5400,5000,5400,4960,311646
2001-05-29,5060,5040,5180,4950,266137
2001-05-30,4980,5020,5160,4970,199328
2001-05-31,4820,4780,4990,4700,274399
2001-06-01,4650,4680,4900,4410,187747
2001-06-04,4690,4540,4800,4540,127824
2001-06-05,4510,4370,4600,4310,187398
2001-06-07,4210,4440,4520,4210,163981
2001-06-08,4410,4630,4680,4410,271259
2001-06-11,4530,4460,4750,4430,110387
2001-06-12,4350,4400,4530,4350,101720
2001-06-13,4450,4450,4550,4370,82498
2001-06-14,4560,4980,4980,4500,567996
2001-06-15,4920,4980,5170,4800,596845
2001-06-18,4950,5150,5150,4860,304664
2001-06-19,5200,5020,5370,4950,504931
2001-06-20,4950,4670,5050,4460,261143
2001-06-21,4680,4510,4760,4500,122670
2001-06-22,4500,4490,4630,4490,95395
2001-06-25,4210,4390,4500,4210,93243
2001-06-26,4320,4110,4490,4050,86374
2001-06-27,3850,4100,4200,3850,68249
2001-06-28,4270,4180,4290,4080,64902
2001-06-29,4210,4250,4290,4160,57874
2001-07-02,4250,4210,4370,4170,72811
2001-07-03,4260,4400,4510,4260,121860
2001-07-04,4300,4400,4400,4230,66176
2001-07-05,4400,4270,4400,4270,56915
2001-07-06,4010,4040,4280,3900,69848
2001-07-09,3980,3680,3980,3600,74347
2001-07-10,3760,3760,3860,3660,66779
2001-07-11,3650,3550,3700,3500,58430
2001-07-12,3610,3700,3800,3610,91028
2001-07-13,3840,3620,3840,3620,79352
2001-07-16,3650,3560,3690,3560,23700
2001-07-18,3570,3400,3640,3400,37507
2001-07-19,3390,3270,3490,3120,37207
2001-07-20,3300,3160,3350,3150,35270
2001-07-23,2930,2940,3080,2910,69281
2001-07-24,2890,3030,3050,2700,53646
2001-07-25,2950,3020,3050,2910,41749
2001-07-26,3080,3110,3150,3050,56247
2001-07-27,3200,3390,3440,3160,114421
2001-07-30,3330,3210,3350,3200,58767
2001-07-31,3230,3340,3340,3230,44127
2001-08-01,3310,3390,3440,3310,70032
2001-08-02,3400,3400,3480,3330,52936
2001-08-03,3400,3360,3470,3350,44498
2001-08-06,3360,3380,3410,3320,22831
2001-08-07,3320,3550,3590,3320,125578
2001-08-08,3600,3460,3780,3440,104226
