Date,Open,Close,High,Low,Volume
2000-06-09,19000,19000,19000,19000,53
2000-06-12,21250,21250,21250,21250,72
2000-06-13,23800,23800,23800,23800,2
2000-06-14,26650,26650,26650,26650,753
2000-06-15,29800,29800,29800,27150,3187674
2000-06-16,28900,29500,31850,27650,2941979
2000-06-19,30100,28400,31950,28250,2231670
2000-06-20,30000,30000,31000,27550,2357499
2000-06-21,30900,28750,31900,27500,2678443
2000-06-22,28200,27000,29500,26600,1133074
2000-06-23,26100,27800,29500,26100,1279782
2000-06-26,27000,26900,27700,26500,988861
2000-06-27,27200,25800,28000,25500,779421
2000-06-28,26600,28850,28850,25600,1564992
2000-06-29,29600,28850,30500,27900,2655252
2000-06-30,28500,25900,28850,25600,870199
2000-07-03,26000,25500,26850,25350,555520
2000-07-04,25100,24000,25950,23000,806198
2000-07-05,23600,21150,24400,21150,1103722
2000-07-06,20000,19400,20700,19300,939887
2000-07-07,20500,21700,21700,20400,317497
2000-07-10,22900,22000,24000,21750,1875361
2000-07-11,22300,19750,22350,19400,1066842
2000-07-12,20150,20300,20700,18800,1218308
2000-07-13,20000,19100,20200,19100,603277
2000-07-14,19400,19750,21000,18900,1779233
2000-07-18,19700,18700,20500,18500,979268
2000-07-19,18700,16500,18700,16500,799194
2000-07-20,15300,15850,16700,14550,1260445
2000-07-21,16100,14800,16300,14700,822171
2000-07-24,14400,13100,15300,13050,930441
2000-07-25,12500,12900,13300,11650,1333000
2000-07-26,13200,13900,14400,12950,2605812
2000-07-27,14000,13700,14650,13600,1669818
2000-07-28,13300,12350,13600,12200,1007876
2000-07-31,12200,12200,12450,11550,764984
2000-08-01,12450,13650,13650,12300,1455560
2000-08-02,13650,13800,14450,13250,1585046
2000-08-03,14200,14600,15200,14000,1607358
2000-08-04,15000,14150,15150,14000,976245
2000-08-07,14100,13700,14550,13600,585105
2000-08-08,13900,15300,15300,13600,1424024
2000-08-09,15500,14300,16150,13900,2479734
2000-08-10,14500,14600,15500,13900,1579888
2000-08-11,14500,13700,15100,13600,1107396
2000-08-14,13400,12850,13900,12650,850953
2000-08-16,12950,13450,14050,12900,918060
2000-08-17,13400,12900,13400,12700,638777
2000-08-18,12700,12800,13400,12550,651076
2000-08-21,12650,11900,12800,11800,413251
2000-08-22,12050,12350,12400,11900,487029
2000-08-23,12400,11600,12450,11500,352470
2000-08-24,11600,11000,12000,10600,621965
2000-08-25,11000,11100,11350,10450,606498
2000-08-28,11300,12400,12400,11100,946978
2000-08-29,12400,11800,12400,11600,554732
2000-08-30,12200,12150,12750,11850,973611
2000-08-31,12000,11400,12200,10900,556782
2000-09-01,11450,11350,11800,11100,397378
2000-09-04,11200,11200,11400,11000,307752
2000-09-05,11050,11050,11300,10700,347400
2000-09-06,10950,11050,11300,10850,337695
2000-09-07,10850,10050,10850,9950,331220
2000-09-08,10100,10300,10650,9600,612646
2000-09-14,9810,9370,9940,9150,546885
2000-09-15,9400,8560,9590,8510,801784
2000-09-18,7830,7540,7830,7540,430067
2000-09-19,7020,6640,7540,6640,750973
2000-09-20,6910,7000,7160,6800,863914
2000-09-21,6950,6160,6950,6160,531612
2000-09-22,5600,5470,5690,5430,683655
2000-09-25,5570,5530,5970,5300,1256206
2000-09-26,5500,6040,6140,5350,1443336
2000-09-27,6200,6760,6760,6110,1591429
2000-09-28,6960,7300,7540,6750,2385573
2000-09-29,7250,7250,7500,6900,1827309
2000-10-02,6930,6900,7130,6630,864665
2000-10-04,6510,6880,7160,6350,960593
2000-10-05,6980,7040,7380,6980,1760680
2000-10-06,7020,6930,7150,6600,1045988
2000-10-09,6950,7450,7760,6820,2644276
2000-10-10,7500,7290,7630,7050,1191045
2000-10-11,7100,6420,7180,6420,955385
2000-10-12,6000,6090,6240,5880,1031198
2000-10-13,5510,5400,5590,5360,919999
2000-10-16,6040,6040,6040,5900,833462
2000-10-17,6000,5320,6180,5320,1095448
2000-10-18,5200,5270,5480,4820,933662
2000-10-19,4970,5340,5510,4970,759271
2000-10-20,5770,5750,5820,5620,798462
2000-10-23,5400,5150,5700,5130,595065
2000-10-24,5200,5250,5400,5100,507343
2000-10-25,5230,5230,5430,5110,547578
2000-10-26,5100,5350,5630,5010,986727
2000-10-27,5510,5150,5590,5050,666591
2000-10-30,4890,4540,5080,4540,680235
2000-10-31,4210,4650,4790,4010,884456
2000-11-01,4900,5200,5200,4770,1194242
2000-11-02,5000,5350,5450,5000,1103235
2000-11-03,5430,5200,5600,5150,857838
2000-11-06,5200,5250,5580,5190,782177
2000-11-07,5200,5160,5420,5100,779905
2000-11-08,5010,5000,5180,4960,450918
2000-11-09,5080,5120,5340,5000,858225
2000-11-10,5170,5110,5180,5000,461812
2000-11-13,5070,4720,5080,4620,454064
2000-11-14,4600,4910,4910,4600,383337
2000-11-15,5150,5150,5490,5050,1340344
2000-11-16,5150,4990,5190,4900,497381
2000-11-17,5000,5170,5250,4950,665943
2000-11-20,5170,5220,5370,5170,734939
2000-11-21,5250,5840,5840,5030,1021188
2000-11-22,5790,5300,6070,5240,1973812
2000-11-23,5210,4950,5400,4890,993282
2000-11-24,5000,4980,5150,4800,476294
2000-11-27,5050,5280,5370,5050,879570
2000-11-28,5100,4900,5200,4850,574871
2000-11-29,4700,4570,4700,4500,347266
2000-11-30,4560,4450,4600,4080,384097
2000-12-01,4130,4360,4420,4070,342987
2000-12-04,4420,4270,4490,4220,400525
2000-12-05,4270,4330,4340,4120,249810
2000-12-06,4610,4280,4630,4200,526970
2000-12-07,4100,4370,4440,4100,887314
2000-12-08,4450,4890,4890,4420,1573706
2000-12-11,5200,5470,5470,5100,1529675
2000-12-12,5500,5500,5740,5320,2217408
2000-12-13,5430,5780,6150,5250,1768420
2000-12-14,5650,5750,5920,5520,1369095
2000-12-15,5850,5070,6350,5060,2907367
2000-12-18,4810,4560,5050,4520,999844
2000-12-19,4560,4160,4640,4100,857564
2000-12-20,3750,3670,4000,3670,846345
2000-12-21,3310,3230,3450,3230,928660
2000-12-22,3230,2870,3330,2850,735138
2000-12-26,2900,2900,3030,2810,495670
2001-01-02,2720,3240,3240,2720,488847
2001-01-03,3240,3380,3610,3120,1128927
2001-01-04,3750,3780,3780,3620,786909
2001-01-05,3800,3780,4000,3530,1336344
2001-01-08,3600,3780,3950,3550,1416984
2001-01-09,3840,4230,4230,3700,1868831
2001-01-10,4280,3730,4660,3730,2712922
2001-01-11,3800,4010,4110,3620,2033947
2001-01-12,4280,4490,4490,4220,1578646
2001-01-15,4600,5020,5020,4600,1812315
2001-01-16,5100,5100,5380,4750,3350511
2001-01-17,5000,4490,5080,4490,1727608
2001-01-18,4450,4250,4650,4070,1826881
2001-01-19,4350,4560,4570,4300,908995
2001-01-22,4660,5100,5100,4580,1430176
2001-01-26,5150,4850,5430,4810,1944344
2001-01-29,4900,5300,5380,4760,1733601
2001-01-30,5500,5500,5900,5250,2212172
2001-01-31,5670,5580,5670,4950,1445114
2001-02-01,5500,5300,5650,5200,1092774
2001-02-02,5250,5200,5420,5110,954684
2001-02-05,4890,5080,5640,4780,2642046
2001-02-06,5100,5100,5220,4950,871863
2001-02-07,5100,4880,5250,4870,1024402
2001-02-08,4880,5030,5050,4850,582050
2001-02-09,5000,5150,5260,4950,793522
2001-02-12,5100,5700,5740,5050,1855535
2001-02-13,6010,5940,6250,5710,2873049
2001-02-14,5900,6650,6650,5720,2796772
2001-02-15,7000,6960,7430,6810,2972206
2001-02-16,6960,7200,7690,6800,3576264
2001-02-19,7000,7350,7640,6920,1980462
2001-02-20,7800,7530,7980,7400,1770087
2001-02-21,7400,6670,7410,6650,1395515
2001-02-22,6570,5950,6570,5870,1201262
2001-02-23,6010,6660,6660,6010,1838619
2001-02-26,6860,6860,7170,6700,1224082
2001-02-27,6920,6290,7090,6140,1067991
2001-02-28,6150,6210,6250,5910,623485
2001-03-02,6150,5490,6300,5470,635430
2001-03-05,5010,5970,5970,5010,855857
2001-03-06,6000,5550,6090,5520,808111
2001-03-07,5650,5550,5840,5400,648178
2001-03-08,5700,5890,5950,5630,862801
2001-03-09,5700,5590,5780,5550,437773
2001-03-12,5130,5110,5500,5110,450013
2001-03-13,4750,4920,5270,4600,795277
2001-03-14,5200,5310,5340,5150,888862
2001-03-15,4900,5280,5300,4900,604749
2001-03-16,5280,5230,5400,5130,655374
2001-03-19,5120,5340,5600,5010,1037871
2001-03-20,5600,5340,5730,5280,737564
2001-03-21,5100,5200,5270,5060,477648
