Date,Open,Close,High,Low,Volume
2003-08-01,15000,16800,16800,15000,1115
2003-08-04,18800,18500,18800,17100,3320853
2003-08-05,18800,18500,19200,18200,882372
2003-08-06,18350,17350,18350,16750,577277
2003-08-07,17050,17800,17900,15950,710022
2003-08-08,17900,17200,18750,17200,373695
2003-08-11,17500,17250,18100,17050,317595
2003-08-12,17550,17000,17800,16500,404482
2003-08-13,17000,19000,19000,16700,1039893
2003-08-14,19200,16800,19300,16750,885970
2003-08-18,17300,17600,17750,16500,681123
2003-08-19,17850,15800,18000,15500,772848
2003-08-20,16000,16600,16850,15300,781792
2003-08-21,17400,17700,18450,17300,1183599
2003-08-22,17900,19500,19800,17500,2012912
2003-08-25,19700,19850,19850,19100,792801
2003-08-26,19500,18900,19750,18550,560230
2003-08-27,19400,18900,19700,18350,719849
2003-08-28,18800,18300,19000,17750,542977
2003-08-29,18400,17250,18450,17050,757614
2003-09-01,17250,18650,19050,16700,1139959
2003-09-02,18800,18600,19050,18100,574075
2003-09-03,18950,19800,20450,18850,1625171
2003-09-04,20300,20400,20650,19600,973552
2003-09-05,20900,21250,21950,20800,2302597
2003-09-08,21250,21300,21550,20650,778323
2003-09-09,21800,20950,22050,20800,628992
2003-09-15,20800,19850,20950,19850,395855
2003-09-16,19850,20650,20650,19850,455309
2003-09-17,20800,20800,21150,20600,336372
2003-09-18,21000,20800,22100,20650,1014611
2003-09-19,21350,20950,22050,20300,1133486
2003-09-22,20600,18450,20700,18450,525891
2003-09-23,18050,18200,18350,16900,883437
2003-09-24,18300,18950,19300,18250,729604
2003-09-25,18000,18200,18400,17650,486657
2003-09-26,17850,17700,18800,17600,532340
2003-09-29,17800,18100,18200,17500,260982
2003-09-30,18300,18450,18500,17900,532755
2003-10-01,17900,18450,18450,17350,980583
2003-10-02,18750,18500,19100,18350,617822
2003-10-06,18700,19100,19250,18400,997105
2003-10-07,19600,20650,20850,19550,2163017
2003-10-08,20750,20350,21000,20200,905921
2003-10-09,20500,20600,21000,20200,803316
2003-10-10,20750,21000,21650,20450,1221160
2003-10-13,20850,20150,21050,20150,503213
2003-10-14,20300,21300,21300,20150,761617
2003-10-15,21700,20100,21750,20000,709469
2003-10-16,20050,20950,21200,19700,959154
2003-10-17,20700,20500,21200,20250,420459
2003-10-20,20500,22450,22950,20500,1825600
2003-10-21,22650,22950,23700,22650,1720624
2003-10-22,23200,23550,24250,22550,1249503
2003-10-23,22950,22250,23350,21900,644724
2003-10-24,22200,22250,22800,21650,538699
2003-10-27,22400,23800,23850,22400,816333
2003-10-28,23600,23750,24750,23350,838482
2003-10-29,24300,23750,24600,23450,996708
2003-10-30,24300,24600,25050,24000,904346
2003-10-31,24700,24400,25000,24050,546554
2003-11-03,24400,23650,24800,23650,517008
2003-11-04,24050,24000,24750,23700,643034
2003-11-05,24000,23050,24300,22900,473647
2003-11-06,22950,23250,24600,22950,653204
2003-11-07,23400,24000,24050,22850,514436
2003-11-10,23700,23100,23800,23100,346409
2003-11-11,22550,22000,22800,20400,787039
2003-11-12,22500,23200,23250,22100,563655
2003-11-13,23500,23100,23600,22950,281703
2003-11-14,22950,22700,23550,22700,210062
2003-11-17,22500,21800,22600,21550,244737
2003-11-18,21900,22650,22650,21900,397989
2003-11-19,22200,21300,22250,21200,283677
2003-11-20,21700,21500,21750,21150,220442
2003-11-21,21350,21550,22200,21300,371036
2003-11-24,21500,21800,22150,21200,372732
2003-11-25,22400,23150,23700,22350,602689
2003-11-26,23400,23350,23550,22900,291967
2003-11-27,23350,22700,23350,22700,229756
2003-11-28,22700,23400,23850,22700,371116
2003-12-01,23400,23700,24250,23400,389667
2003-12-02,24300,23750,24600,23750,346004
2003-12-03,23750,23350,24000,23000,214754
2003-12-04,23650,24400,24750,23600,437413
2003-12-05,24700,23800,24700,23800,198706
2003-12-08,23550,23100,24100,23100,139855
2003-12-09,23300,23400,23800,23150,208944
2003-12-10,23000,24000,24200,22700,319680
2003-12-11,24350,25500,25900,24200,759302
2003-12-12,25800,25450,26250,24900,359118
2003-12-15,26000,26000,26000,25250,262557
2003-12-16,25500,26600,26800,25500,434456
2003-12-17,26600,27200,27800,26600,496508
2003-12-18,27200,25450,27600,25250,357559
2003-12-19,26000,25800,26750,25500,265253
2003-12-22,25600,25300,26450,24800,208215
2003-12-23,26000,26850,26850,25050,240449
2003-12-24,27150,26600,27600,26500,244590
2003-12-26,26400,25400,26900,25400,140900
2003-12-29,25500,26050,26050,25200,104672
2003-12-30,26500,26950,27450,26500,201085
2004-01-02,27400,27800,28450,27350,344033
2004-01-05,28000,27900,28150,27350,116531
2004-01-06,28000,26750,28100,26600,268911
2004-01-07,26850,26150,27100,25400,385593
2004-01-08,26300,26300,26650,26000,295581
2004-01-09,26450,26000,26550,25400,345174
2004-01-12,25900,25850,26350,25600,170627
2004-01-13,26050,27100,27100,26050,311737
2004-01-14,27050,26150,27300,25700,303486
2004-01-15,26000,24850,26200,24800,267157
2004-01-16,25050,24800,25350,24750,121542
2004-01-19,24800,24100,25500,24100,139845
2004-01-20,23800,25350,25800,22850,354910
2004-01-26,25000,24100,25250,23800,169357
2004-01-27,24300,24700,25150,23700,245597
2004-01-28,24950,24400,25250,24400,112751
2004-01-29,24050,23900,24500,23650,113195
2004-01-30,23900,24600,24750,23700,136736
2004-02-02,24500,24200,24950,24200,96102
2004-02-03,24050,23400,24300,23300,129324
2004-02-04,23150,22850,23800,22100,200396
2004-02-05,22700,23200,23550,22200,157360
2004-02-06,23050,23400,23700,23000,110254
2004-02-09,23600,23450,24100,23300,97788
2004-02-10,24000,25050,26000,24000,415772
2004-02-11,25500,25300,25600,24450,216251
2004-02-12,25100,24100,25100,23850,191304
2004-02-13,24050,23600,24500,23500,221481
2004-02-16,23700,23300,24100,23000,294141
2004-02-17,23350,22650,24000,22600,342372
2004-02-18,22850,22300,23000,22100,249629
2004-02-19,22300,23400,23450,22200,279071
2004-02-20,23050,22700,23500,22700,156772
2004-02-23,22600,22700,23000,22400,131500
