Date,Open,Close,High,Low,Volume
2001-12-04,7176,7176,7176,7176,2593
2001-12-05,8035,8035,8035,7835,959795
2001-12-06,8344,7076,8678,7076,1148232
2001-12-07,7076,6592,7142,6442,553204
2001-12-10,6592,6383,6809,6241,274102
2001-12-11,6341,7142,7142,6316,714237
2001-12-12,7059,6884,7510,6508,598981
2001-12-13,6884,7259,7476,6684,315267
2001-12-14,7109,7026,7443,6892,228422
2001-12-17,6951,7318,7535,6951,389186
2001-12-18,7401,7343,8194,7343,1424063
2001-12-19,7510,6467,7676,6467,694931
2001-12-20,6508,6008,6633,5799,309863
2001-12-21,5757,5290,5832,5290,270165
2001-12-24,5015,5232,5465,5015,236653
2001-12-26,5157,5340,5507,5157,228551
2001-12-27,5130,5030,5300,4870,117749
2001-12-28,5000,5570,5630,4970,145680
2002-01-02,5610,5760,6040,5600,89451
2002-01-03,5620,5270,5750,5200,182654
2002-01-04,5350,5200,5410,5100,114771
2002-01-07,5210,5290,5320,5140,113576
2002-01-08,5250,5330,5600,5200,156470
2002-01-09,5410,5630,5880,5400,361070
2002-01-10,5630,5210,5640,5150,127999
2002-01-11,5150,5090,5240,4950,141154
2002-01-14,5100,4910,5100,4870,92082
2002-01-15,4910,4640,4910,4550,123415
2002-01-16,4670,4670,4850,4560,78950
2002-01-17,4670,4510,4700,4400,61152
2002-01-18,4430,4210,4550,4150,100809
2002-01-21,4130,4200,4400,4100,47483
2002-01-22,4210,4280,4340,4210,68949
2002-01-23,4480,4530,4750,4300,168065
2002-01-24,4750,4770,5040,4640,438324
2002-01-25,4950,4770,4950,4630,295825
2002-01-28,4229,4685,4685,4212,361987
2002-01-29,4738,5247,5247,4738,441014
2002-01-30,5343,5089,5466,4834,575901
2002-01-31,5264,5694,5694,5264,303573
2002-02-01,5835,5291,6037,5264,406819
2002-02-04,5361,4870,5528,4834,227045
2002-02-05,4756,5194,5422,4536,240706
2002-02-06,4957,4738,5264,4738,136346
2002-02-07,4562,4633,4870,4492,73912
2002-02-08,4773,4738,4913,4641,131772
2002-02-14,4843,5089,5159,4764,239802
2002-02-15,5133,5177,5396,5133,344352
2002-02-18,5177,5168,5264,5036,87282
2002-02-19,5229,4738,5264,4738,161807
2002-02-20,4650,4606,4747,4501,98306
2002-02-21,4650,4712,4834,4562,125751
2002-02-22,4562,4527,4650,4475,81927
2002-02-25,4475,4396,4615,4396,65286
2002-02-26,4413,4431,4641,4212,93942
2002-02-27,4554,4413,4554,4361,66417
2002-02-28,4413,4650,4650,4413,86989
2002-03-04,4826,5054,5142,4694,237710
2002-03-05,5159,5133,5440,5054,202950
2002-03-06,5010,5177,5229,4843,114318
2002-03-07,5615,5791,5791,5528,298109
2002-03-08,5966,6159,6352,5703,480549
2002-03-11,6159,6317,6431,5975,208737
2002-03-12,6317,6405,6537,6019,183899
2002-03-13,6317,6317,6537,6194,139800
2002-03-14,6449,6221,6493,6107,119471
2002-03-15,6142,5984,6186,5922,118382
2002-03-18,5984,6028,6194,5984,111209
2002-03-19,5922,6010,6133,5817,108594
2002-03-20,5852,6493,6510,5852,199523
2002-03-21,6502,6765,6888,6361,145574
2002-03-22,6712,6668,7010,6581,130368
2002-03-25,6756,6405,6756,6151,130059
2002-03-26,6194,6054,6405,5922,95107
2002-03-27,6054,6396,6396,5966,146670
2002-03-28,6589,6896,7160,6581,599691
2002-03-29,6844,7721,7721,6677,397794
2002-04-01,7888,7449,7897,7195,267616
2002-04-02,7791,7546,7984,7326,352211
2002-04-03,7546,6844,7546,6686,195698
2002-04-04,6677,6931,7002,6677,115956
2002-04-08,6888,7063,7265,6844,141666
2002-04-09,7063,6221,7107,6221,162132
2002-04-10,5879,5791,6142,5484,152158
2002-04-11,5782,5843,5879,5650,121188
2002-04-12,5703,5703,5721,5510,127269
2002-04-15,5580,5870,5940,5580,117197
2002-04-16,5879,6054,6107,5835,158043
2002-04-17,6124,6151,6326,6054,178762
2002-04-18,6133,6098,6194,5984,107284
2002-04-19,6098,5870,6098,5650,94726
2002-04-22,5659,5168,6037,5168,131945
2002-04-23,4764,4826,5001,4571,127584
2002-04-24,4826,4677,4957,4598,48402
2002-04-25,4554,4562,4562,4124,235003
2002-04-26,4562,5106,5106,4457,152413
2002-04-29,4957,4870,5045,4650,67532
2002-04-30,4913,5001,5194,4870,98542
2002-05-02,4931,4992,5089,4931,63501
2002-05-03,4922,4843,5019,4668,45194
2002-05-06,4694,4536,4782,4536,41339
2002-05-07,4264,4378,4527,4264,63245
